POA_CODE_2016,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
POA6000,37,297,1704,746,388,269,74,15,4,3538,0,0,9,3,0,3,0,0,0,14,0,7,66,31,15,6,0,0,0,120,0,7,25,10,4,6,0,0,0,54,0,0,15,6,3,0,0,0,0,20,0,7,40,19,4,4,0,0,0,72,3,3,21,8,6,7,0,0,0,47,11,51,105,26,22,20,6,0,0,238,20,115,198,39,22,9,3,0,0,410,0,3,11,12,7,4,0,0,0,41,0,8,17,4,4,0,0,0,0,35,0,12,63,22,9,13,3,0,0,115,0,0,21,9,4,3,0,0,0,40,3,37,188,63,27,10,3,0,0,333,0,22,77,22,10,9,3,0,0,146,0,11,78,53,30,22,3,0,0,192,3,11,100,44,30,20,7,0,0,213,3,30,199,75,43,36,16,0,0,401,0,8,30,9,6,3,0,0,0,59,3,15,53,16,4,4,0,0,0,100
POA6003,11,81,516,218,132,79,25,4,0,1070,0,0,0,0,0,0,0,0,0,0,0,3,24,5,6,3,0,0,0,34,0,3,9,3,3,0,0,0,0,20,0,0,3,4,3,0,0,0,0,11,0,0,23,3,0,0,0,0,0,30,0,0,12,0,0,0,0,0,0,9,4,23,34,5,11,5,0,0,0,79,9,22,78,11,7,5,0,0,0,135,0,4,10,5,0,0,0,0,0,17,0,5,4,3,0,0,0,0,0,12,0,0,18,7,3,0,0,0,0,31,0,3,11,11,0,4,0,0,0,23,0,15,70,17,11,10,0,0,0,123,0,5,26,8,4,3,0,0,0,40,0,5,23,13,6,12,0,0,0,67,0,3,41,11,13,11,3,0,0,80,5,14,59,17,14,11,9,0,0,133,0,3,11,0,0,3,0,0,0,15,0,3,11,4,0,3,0,0,0,27
POA6004,28,305,1436,612,421,338,110,16,0,3268,0,3,3,0,0,0,0,0,0,9,0,10,73,26,14,9,0,0,0,132,0,3,24,8,12,7,3,0,0,70,0,0,7,5,5,0,0,0,0,25,0,5,31,17,16,6,3,0,0,79,0,0,16,8,3,12,3,0,0,40,12,36,75,21,16,19,3,0,0,177,13,97,190,38,17,12,3,0,0,369,0,3,18,10,11,0,6,0,0,51,0,3,11,5,0,0,0,0,0,21,0,11,64,16,10,10,4,0,0,110,0,3,26,4,4,15,7,0,0,60,0,39,160,69,33,16,9,0,0,333,5,20,83,23,11,10,3,0,0,155,0,12,49,27,32,21,4,0,0,149,0,11,76,28,27,43,8,0,0,198,0,43,185,63,58,55,12,0,0,411,3,9,25,4,3,7,0,0,0,46,0,9,45,6,15,10,0,0,0,80
POA6005,14,157,783,351,195,147,54,13,3,1718,0,0,0,0,0,0,0,0,0,7,0,7,36,19,5,0,0,0,0,71,0,3,4,7,3,3,3,0,0,24,0,3,8,5,3,0,0,0,0,16,0,4,15,6,9,0,6,0,0,38,0,3,3,4,0,3,0,0,0,19,5,32,45,4,14,8,3,0,0,107,13,38,87,19,11,3,0,0,0,167,0,0,12,12,3,0,0,0,0,32,0,4,11,6,0,0,0,0,0,26,0,4,24,6,9,6,0,0,0,51,0,3,11,8,7,3,0,0,0,33,0,20,100,29,19,10,0,0,0,178,0,3,43,16,11,10,0,0,0,84,0,0,48,19,14,12,5,0,0,94,0,5,69,28,16,15,3,0,0,140,0,26,136,34,26,24,4,3,0,246,0,0,17,5,6,0,0,0,0,27,0,7,29,5,4,6,0,0,0,57
POA6006,64,185,681,569,498,310,87,5,0,2396,0,0,4,0,3,0,0,0,0,9,0,3,36,28,13,5,0,0,0,81,3,0,12,22,8,7,0,0,0,54,0,0,6,3,4,0,0,0,0,22,0,0,19,11,10,0,0,0,0,44,0,5,4,4,5,7,0,0,0,28,30,47,45,16,30,22,3,0,0,198,24,36,62,22,16,4,6,0,0,172,0,0,7,8,3,4,0,0,0,20,0,3,16,10,9,0,0,0,0,38,0,7,20,32,22,8,0,0,0,89,0,0,7,9,5,6,3,0,0,39,3,22,75,81,52,34,6,0,0,264,0,5,26,18,26,12,0,0,0,81,0,12,50,41,52,26,9,0,0,186,0,7,77,78,91,70,11,3,0,337,0,40,137,94,93,56,11,0,0,435,3,9,18,14,14,0,0,0,0,63,4,13,33,11,19,13,3,0,0,99
POA6007,38,154,729,492,319,234,73,6,0,2046,0,0,0,0,0,0,0,0,0,3,0,3,37,26,18,5,0,0,0,85,3,7,16,10,9,8,0,0,0,43,0,0,5,4,10,0,0,0,0,15,0,7,12,10,7,6,0,0,0,36,0,0,8,8,4,7,3,0,0,27,20,25,42,20,19,9,4,0,0,133,11,46,50,16,4,6,0,0,0,139,0,0,3,4,3,0,0,0,0,21,0,6,5,7,4,0,3,0,0,25,0,4,30,9,17,10,0,0,0,71,0,3,15,7,11,10,8,0,0,49,0,19,106,66,23,14,0,0,0,231,3,5,27,16,7,5,0,0,0,68,0,10,47,35,37,23,11,0,0,154,8,17,62,55,38,55,18,0,0,248,3,29,175,95,76,69,27,0,0,468,3,7,23,9,7,3,0,0,0,48,0,12,23,19,9,5,0,0,0,73
POA6008,114,295,984,856,761,616,262,43,3,3927,0,0,0,0,3,8,3,0,0,10,0,10,43,40,35,6,3,0,0,142,4,9,9,24,14,8,0,0,0,68,0,0,4,6,11,0,0,0,0,30,0,0,19,21,19,13,0,0,0,73,0,0,14,11,11,3,3,0,0,52,32,50,57,37,29,17,6,0,0,239,52,59,53,22,18,18,0,0,0,213,0,0,16,8,9,9,3,0,0,49,0,3,14,6,6,3,0,0,0,38,0,5,29,23,34,16,0,3,0,118,0,8,16,24,18,16,7,0,0,86,0,46,178,144,110,50,24,3,0,550,0,5,23,28,28,16,4,0,0,101,0,7,51,43,42,46,16,0,0,202,12,27,108,103,140,143,40,0,0,573,0,58,263,154,197,160,49,3,0,876,5,15,21,8,16,6,3,0,0,86,0,8,30,12,19,21,6,0,0,94
POA6009,237,543,679,737,898,728,356,72,6,4269,3,0,0,10,3,0,6,3,0,28,0,6,23,27,23,5,3,0,0,85,6,8,10,16,7,5,8,0,0,62,0,0,3,5,13,3,0,0,0,21,3,9,4,14,14,7,3,0,0,53,0,3,8,11,5,6,0,3,0,35,75,89,38,30,40,34,11,0,0,316,94,111,36,24,18,13,6,0,0,301,3,0,7,7,6,0,3,0,0,30,4,4,3,8,4,7,3,0,0,31,0,3,7,19,34,11,4,0,0,85,0,4,8,16,26,19,7,0,0,80,3,51,78,98,111,74,23,3,0,450,3,9,13,25,19,17,3,3,0,82,3,9,31,28,48,44,9,0,0,161,41,87,94,91,161,151,50,9,0,688,18,64,149,208,208,193,65,9,0,912,18,17,9,4,17,11,8,3,0,80,4,14,7,12,7,19,0,0,0,70
POA6010,171,379,674,743,881,672,365,74,6,3960,0,0,0,5,3,5,10,0,0,27,0,3,26,22,26,12,0,0,0,88,9,3,10,24,12,8,3,0,0,61,0,0,3,5,3,4,0,0,0,13,0,4,19,15,17,10,4,3,0,73,3,5,7,8,15,11,0,0,0,49,60,70,51,36,54,44,19,3,0,325,57,57,36,11,18,19,11,0,0,206,0,3,8,10,8,4,4,0,0,41,0,3,16,11,13,7,0,0,0,41,0,7,33,27,25,20,4,0,0,109,3,3,19,14,22,19,12,3,0,94,3,29,99,81,113,67,27,3,0,429,0,9,17,16,19,22,9,3,0,92,0,8,44,35,37,31,10,0,0,165,21,36,76,114,196,169,50,8,0,662,8,46,147,143,221,184,48,9,0,802,15,11,6,11,9,12,0,0,0,67,7,13,17,27,32,23,6,0,0,117
POA6011,78,167,397,394,522,472,196,37,7,2269,0,0,0,0,7,3,3,0,0,13,0,4,22,19,8,0,0,0,0,54,0,6,6,6,3,5,4,0,0,35,0,0,0,3,3,0,0,0,0,4,0,0,15,3,12,11,4,0,0,42,3,3,3,5,6,5,0,0,0,32,29,20,23,26,35,21,11,0,0,166,44,35,18,20,11,6,3,0,0,134,0,0,0,9,6,0,0,0,0,21,0,3,3,10,8,7,0,0,0,22,0,9,18,19,14,8,3,0,0,71,0,3,16,8,16,10,5,3,0,67,0,22,78,56,67,46,12,3,0,281,0,4,15,10,10,12,7,0,0,53,0,0,15,17,26,20,4,0,0,81,20,16,40,37,83,81,19,0,0,305,4,33,120,74,113,110,18,0,0,482,3,6,12,5,3,4,5,0,0,39,8,5,15,9,12,4,3,0,0,54
