region_id,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_school_quals_Cert_Level_M,Non_school_quals_Cert_Level_F,Non_school_quals_Cert_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
POA6069,8788,9454,18242,5605,2936,8541,817,2530,3347,429,391,820,208,305,513,7059,6162,13221,1300,2917,4217,2.9,4.9,3.9,80.3,65.2,72.5,78.0,62.0,69.7,156,113,269,92,141,233,693,1042,1735,667,1026,1693,2777,1622,4399,9329,9723,19052,2370,2510,4880,3869,4052,7921,6709,7077,13786
POA6070,1373,1422,2795,704,350,1054,196,459,655,55,59,114,37,36,73,992,904,1896,336,481,817,3.7,4.0,3.9,72.2,63.5,67.8,69.5,61.0,65.2,105,70,175,39,68,107,267,317,584,143,184,327,303,171,474,1478,1524,3002,198,200,398,1081,1108,2189,508,533,1041
POA6071,1381,1445,2826,680,348,1028,203,440,643,45,52,97,35,33,68,963,873,1836,313,477,790,3.6,3.8,3.7,69.8,60.4,65.0,67.2,58.1,62.6,47,66,113,27,46,73,194,252,446,137,148,285,364,191,555,1456,1480,2936,140,171,311,1090,1140,2230,429,439,868
POA6072,344,350,694,162,83,245,46,107,153,10,12,22,11,5,16,229,207,436,85,115,200,4.8,2.4,3.7,66.4,59.1,62.7,63.2,57.7,60.4,14,8,22,3,11,14,26,54,80,22,33,55,121,53,174,345,342,687,37,42,79,261,246,507,112,122,234
POA6073,1194,1300,2494,563,271,834,156,350,506,54,41,95,18,34,52,791,696,1487,336,511,847,2.3,4.9,3.5,66.2,53.6,59.6,64.7,51.0,57.5,37,17,54,21,25,46,99,166,265,106,134,240,340,147,487,1218,1299,2517,149,169,318,908,956,1864,394,441,835
POA6074,379,397,776,187,105,292,54,116,170,22,13,35,12,10,22,275,244,519,91,140,231,4.4,4.1,4.2,72.6,61.5,66.9,69.4,58.9,64.0,7,7,14,4,14,18,32,53,85,32,47,79,116,55,171,425,418,843,32,42,74,327,311,638,115,134,249
POA6076,8479,9067,17546,4196,2070,6266,1043,2562,3605,333,321,654,201,166,367,5773,5119,10892,2284,3584,5868,3.5,3.2,3.4,68.1,56.5,62.1,65.7,54.6,60.0,342,220,562,153,240,393,1146,1454,2600,810,1129,1939,2280,1109,3389,8929,9363,18292,1047,1124,2171,6463,6725,13188,2977,3302,6279
POA6077,635,651,1286,301,143,444,76,182,258,24,23,47,17,9,26,418,357,775,182,254,436,4.1,2.5,3.4,65.8,54.9,60.3,63.1,53.5,58.3,12,5,17,6,8,14,46,60,106,26,48,74,239,94,333,675,655,1330,51,48,99,553,532,1085,151,159,310
POA6078,358,329,687,176,91,267,62,106,168,18,18,36,7,3,10,263,218,481,75,105,180,2.7,1.4,2.1,73.3,66.1,69.8,71.3,65.2,68.4,7,5,12,4,7,11,28,37,65,17,30,47,133,37,170,390,351,741,47,35,82,307,284,591,115,91,206
POA6079,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,100,0,100,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0
