POA_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
POA6705,18,0,0,5,0,26,35,0,0,0,0,36,5,0,0,4,0,4,55,0,0,8,0,60
POA6707,699,16,0,49,4,766,76,4,0,30,3,116,29,24,0,8,0,64,803,43,0,85,3,939
POA6710,166,11,22,32,0,231,44,4,7,3,0,59,17,0,0,3,3,19,224,16,27,40,6,314
POA6711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6713,276,0,12,3,3,302,20,0,3,0,0,23,8,0,0,0,0,4,302,0,15,3,3,330
POA6714,3678,351,148,65,16,4253,343,121,25,10,0,502,84,17,3,0,0,105,4110,486,179,73,17,4865
POA6716,136,58,0,7,0,205,12,10,0,3,0,25,0,0,0,0,0,3,153,70,3,6,0,229
POA6718,59,20,0,5,7,93,67,28,6,0,3,104,14,3,0,0,0,13,136,53,6,15,8,212
POA6720,511,138,4,10,7,664,48,29,0,12,0,83,6,10,0,3,0,18,562,173,4,16,10,764
POA6721,827,62,229,36,10,1154,68,17,53,10,0,154,20,3,18,11,4,62,923,82,297,58,15,1369
POA6722,1894,195,175,20,13,2299,339,51,35,6,3,438,92,6,4,5,7,115,2323,255,213,38,22,2857
POA6725,1964,209,136,161,45,2518,442,76,48,64,29,659,98,18,14,33,10,174,2497,306,200,259,87,3348
POA6726,1171,65,84,111,20,1449,177,8,26,43,3,260,33,0,5,13,0,53,1385,75,122,161,23,1769
POA6728,868,97,3,41,5,1023,402,78,3,16,0,497,45,14,0,19,0,80,1317,188,10,77,6,1605
POA6731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6740,119,9,4,8,12,148,154,15,4,6,5,181,9,0,0,0,4,19,283,20,7,13,18,348
POA6743,1008,114,59,221,11,1410,257,56,15,83,9,421,44,13,4,22,3,86,1309,185,79,327,26,1923
POA6751,792,24,19,19,0,855,71,3,0,7,0,86,23,0,0,4,11,33,886,28,20,25,8,978
POA6753,1071,36,9,5,3,1127,119,22,8,0,6,156,27,5,0,0,6,34,1213,68,19,6,18,1322
POA6754,331,25,0,0,0,357,21,9,0,0,0,32,7,3,0,0,0,5,362,34,0,0,3,398
POA6758,19,0,0,0,0,24,9,0,0,0,0,9,3,0,0,0,0,3,34,0,0,0,0,37
POA6760,45,0,3,8,0,63,52,0,0,3,0,60,21,0,0,0,0,22,118,0,3,13,0,135
POA6762,3,0,0,0,0,3,43,0,0,0,0,48,0,0,0,0,0,0,52,0,0,0,0,50
POA6765,120,6,52,16,3,192,172,11,24,9,3,211,10,0,4,9,0,26,302,13,73,31,4,426
POA6770,186,53,12,17,7,272,218,40,9,12,0,281,46,7,0,8,0,60,454,102,19,34,5,615
