POA_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
POA6317,954,48,11,0,5,1014,299,39,8,0,4,348,37,8,0,0,3,42,1282,97,16,0,13,1410
POA6318,130,0,0,3,0,133,35,0,0,0,0,35,8,0,0,0,0,8,170,0,0,3,0,175
POA6320,129,0,0,0,6,129,48,0,0,0,0,54,3,0,0,0,0,3,180,0,0,0,3,186
POA6321,119,7,0,0,5,130,45,0,3,0,0,50,6,0,0,0,0,6,168,7,3,0,5,181
POA6322,59,0,0,0,0,59,25,0,0,0,0,25,3,0,0,0,0,3,84,0,0,0,0,89
POA6323,300,0,0,5,3,309,84,0,0,0,0,88,10,0,0,0,0,10,392,0,0,8,8,407
POA6324,931,4,4,10,6,952,265,0,0,0,0,268,37,0,0,0,0,42,1237,5,7,6,13,1264
POA6326,123,0,0,5,6,132,32,0,0,0,0,33,5,0,0,0,0,5,157,0,0,5,6,172
POA6327,63,0,0,0,0,65,27,0,0,3,0,29,3,0,0,0,0,3,88,0,0,3,0,94
POA6328,114,0,0,3,0,116,40,0,0,3,0,39,0,0,0,0,0,0,152,0,0,3,0,152
POA6330,9649,532,25,114,55,10373,1938,424,19,75,6,2466,261,59,3,10,3,340,11847,1016,46,199,63,13176
POA6333,1737,44,0,10,16,1813,295,35,0,4,0,334,41,3,3,0,0,44,2075,81,3,13,16,2192
POA6335,202,7,0,0,0,207,42,7,0,0,0,45,4,0,0,0,0,4,253,8,0,0,0,266
POA6336,89,0,0,0,0,89,24,0,0,0,0,31,3,0,0,0,0,3,123,0,0,0,0,124
POA6337,147,3,0,0,0,152,19,3,0,0,0,22,3,0,0,0,0,3,167,7,0,3,0,184
POA6338,191,3,0,11,0,202,34,6,0,3,0,43,8,0,0,0,0,8,226,8,0,16,0,253
POA6341,87,0,3,0,0,94,12,0,3,0,0,12,0,0,0,0,0,0,96,0,6,3,0,105
POA6343,65,0,0,0,0,74,6,0,0,0,0,6,3,0,0,0,0,3,80,0,0,0,0,80
POA6346,182,3,0,4,3,198,37,0,0,0,0,40,3,0,0,0,0,6,229,3,0,5,3,243
POA6348,243,7,6,9,7,259,51,9,0,7,0,61,7,0,0,3,0,6,303,12,4,13,7,332
POA6350,90,0,0,3,0,92,35,0,0,0,0,35,0,0,0,0,0,0,127,0,0,3,0,134
POA6351,25,0,0,0,0,27,4,0,0,0,0,4,0,0,0,0,0,0,30,0,0,0,0,31
POA6352,54,0,0,0,0,54,11,0,0,0,0,11,7,0,0,0,0,7,70,0,0,0,0,70
POA6353,217,9,0,4,0,232,47,5,0,3,0,57,6,0,0,0,0,5,274,15,0,11,0,292
POA6355,123,0,0,0,7,128,23,0,0,0,0,21,3,0,0,0,0,4,145,3,0,0,10,153
POA6356,35,0,0,0,0,36,10,0,0,0,0,10,0,0,0,0,0,0,46,0,0,0,0,45
POA6357,22,0,0,0,0,22,3,0,0,0,0,3,0,0,0,0,0,0,24,0,0,0,0,24
POA6358,31,0,0,0,0,31,3,0,0,0,0,3,0,0,0,0,0,0,41,0,0,0,0,41
POA6359,105,3,8,0,0,112,15,0,9,0,0,28,3,0,3,0,0,6,124,3,15,0,0,149
POA6361,28,0,0,3,0,31,0,0,0,0,0,0,0,0,0,0,0,3,33,0,0,4,0,41
POA6363,31,0,0,0,0,31,4,0,0,0,0,4,0,0,0,0,0,0,41,0,0,0,0,41
POA6365,140,10,0,0,0,153,56,7,0,0,3,61,3,0,0,0,0,5,195,19,0,0,4,217
POA6367,91,0,0,0,0,98,29,3,0,0,0,34,3,0,0,0,0,3,127,3,3,0,0,135
POA6368,25,0,0,0,0,25,3,0,0,0,0,3,0,0,0,0,0,0,29,0,0,0,0,29
POA6369,188,3,0,0,0,195,46,0,0,0,0,49,12,0,0,0,0,12,247,5,0,0,0,255
POA6370,126,0,0,0,0,128,43,0,0,0,0,43,3,0,0,0,0,4,174,3,4,3,0,178
POA6372,30,0,0,0,0,30,14,0,0,0,0,14,3,0,0,0,0,3,42,0,0,0,0,42
POA6373,25,0,0,0,0,25,5,0,0,0,0,5,0,0,0,0,0,0,33,0,0,0,0,33
POA6375,265,4,0,0,9,281,78,6,0,0,0,89,9,0,0,0,0,9,349,13,0,3,13,378
