region_id,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU_15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU_15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
POA6033,0,0,15,35,29,29,16,0,3,127,0,7,10,3,8,0,0,0,0,28,0,0,3,3,0,3,0,0,0,9,92,0,0,0,0,0,0,0,0,92,0,24,0,0,0,0,0,0,0,24,0,25,8,0,0,4,0,0,0,37,0,5,4,0,0,0,0,0,0,9,0,3,3,0,0,0,0,0,0,6,0,0,3,0,3,0,0,0,0,6,0,3,4,8,0,7,0,0,0,22,0,4,0,4,0,0,0,0,0,8,92,71,50,53,40,43,16,0,3,368,0,3,20,48,28,18,13,6,0,136,0,12,14,3,0,0,0,0,0,29,0,0,3,7,4,0,0,3,0,17,63,0,0,0,0,0,0,0,0,63,0,14,0,0,0,0,0,0,0,14,0,11,0,0,0,0,0,0,0,11,0,3,0,0,4,0,3,0,0,10,0,3,4,0,3,0,0,0,0,10
POA6035,0,3,71,172,154,115,127,44,3,689,0,11,67,48,42,11,5,0,0,184,0,3,3,4,9,5,3,0,0,27,474,0,0,0,0,0,0,0,0,474,0,69,0,0,0,0,0,0,0,69,0,83,19,5,5,3,0,0,0,115,0,3,10,8,0,0,0,4,0,25,0,3,3,4,0,4,3,0,0,17,0,6,6,16,10,0,0,0,0,38,0,11,13,26,31,12,22,10,8,133,6,3,4,8,4,5,3,3,0,36,480,195,196,291,255,155,163,61,11,1807,0,13,103,198,162,143,95,29,3,746,0,35,58,56,35,12,5,0,0,201,0,4,24,52,43,11,4,5,3,146,407,0,0,0,0,0,0,0,0,407,0,77,0,0,0,0,0,0,0,77,0,75,9,0,6,0,0,0,0,90,0,3,3,3,0,0,5,4,0,18,0,6,4,0,0,0,0,3,0,13
POA6036,0,26,356,678,386,183,116,48,3,1796,0,76,220,113,43,9,0,7,0,468,0,0,8,24,18,6,0,0,0,56,1602,0,0,0,0,0,0,0,0,1602,0,239,0,0,0,0,0,0,0,239,0,228,37,16,4,0,0,0,0,285,0,39,31,4,6,0,0,0,3,83,0,23,8,8,3,0,3,0,0,45,0,37,28,13,5,3,3,0,0,89,0,23,63,59,33,19,5,0,0,202,25,15,23,15,7,0,4,0,0,89,1627,706,774,930,505,220,131,55,6,4954,0,57,493,768,309,182,105,24,0,1938,0,125,221,114,47,13,0,0,0,520,0,28,98,129,86,27,7,6,3,384,1570,0,0,0,0,0,0,0,0,1570,0,240,0,0,0,0,0,0,0,240,0,150,25,10,0,0,5,0,0,190,0,26,6,5,11,12,14,10,3,87,0,12,6,3,3,0,3,0,0,27
POA6037,0,4,32,60,62,72,70,36,7,343,0,12,27,22,15,19,7,0,0,102,0,0,0,6,9,5,0,0,0,20,225,0,0,0,0,0,0,0,0,225,0,40,0,0,0,0,0,0,0,40,0,33,10,9,3,0,0,0,0,55,0,3,3,3,0,3,3,0,0,15,0,5,4,3,0,0,0,0,0,12,0,5,4,3,4,7,5,0,0,28,0,0,5,24,25,25,19,13,6,117,0,7,0,4,3,4,3,0,0,21,225,109,85,134,121,135,107,49,13,978,0,7,44,87,62,94,64,21,3,382,0,27,30,21,20,22,5,0,0,125,0,3,24,24,25,6,0,0,3,85,215,0,0,0,0,0,0,0,0,215,0,45,0,0,0,0,0,0,0,45,0,29,5,6,0,0,0,0,0,40,0,3,0,0,0,4,0,9,0,16,0,5,0,0,0,0,0,0,0,5
POA6041,0,0,11,47,48,69,71,35,0,281,0,0,12,17,4,7,3,0,0,43,0,0,0,3,4,0,0,3,0,10,134,0,0,0,0,0,0,0,0,134,0,21,0,0,0,0,0,0,0,21,0,18,0,3,3,0,0,0,0,24,0,3,0,0,3,4,0,0,0,10,0,0,4,0,0,0,0,0,0,4,0,0,0,3,0,3,3,0,0,9,0,0,0,5,10,22,17,0,0,54,0,4,6,5,3,9,0,0,0,27,134,46,33,83,75,114,94,38,0,617,0,0,25,50,55,83,63,17,3,296,0,4,12,13,11,10,0,0,0,50,0,3,0,6,5,4,0,4,0,22,115,0,0,0,0,0,0,0,0,115,0,14,0,0,0,0,0,0,0,14,0,17,0,4,0,4,0,0,0,25,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3
POA6042,0,0,0,0,0,5,4,0,0,9,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,11,7,0,0,24,0,0,3,0,0,3,4,0,0,10,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6043,0,0,3,5,3,11,12,9,0,43,0,0,3,3,3,0,0,0,0,9,0,0,0,0,3,0,0,0,0,3,11,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,9,3,0,3,0,3,3,0,0,0,12,14,0,9,8,15,17,15,9,0,87,0,0,0,7,4,11,12,3,0,37,0,3,3,3,0,3,0,0,0,12,0,0,0,3,0,0,0,0,0,3,16,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6044,0,0,8,40,36,52,58,21,3,218,0,7,17,13,13,10,5,0,0,65,0,0,0,0,3,3,0,0,3,9,105,0,0,0,0,0,0,0,0,105,0,5,0,0,0,0,0,0,0,5,0,15,5,5,0,3,0,0,0,28,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,3,0,3,3,0,0,0,17,0,5,6,13,12,18,19,11,4,88,3,0,3,3,4,4,3,3,0,23,108,40,42,74,71,96,85,35,10,561,0,0,26,46,37,64,41,13,0,227,0,8,15,19,11,9,0,0,0,62,0,0,4,11,3,3,3,0,0,24,77,0,0,0,0,0,0,0,0,77,0,6,0,0,0,0,0,0,0,6,0,10,0,0,3,0,3,0,0,16,0,5,3,0,3,0,0,0,0,11,0,0,0,0,0,3,0,0,0,3
POA6050,0,6,213,492,628,477,271,208,73,2368,0,57,262,130,87,45,11,4,0,596,0,0,5,11,19,17,3,4,3,62,936,0,0,0,0,0,0,0,0,936,0,411,0,0,0,0,0,0,0,411,0,135,109,33,16,11,3,0,0,307,0,57,36,8,8,4,6,0,4,123,0,22,36,3,4,5,3,0,0,73,0,150,238,51,26,21,9,5,0,500,0,43,169,147,147,150,76,58,45,835,13,20,31,18,9,4,6,0,3,104,949,901,1099,893,944,734,388,279,128,6315,0,26,298,556,651,462,240,156,33,2422,0,95,291,93,68,45,4,3,0,599,0,0,19,72,97,47,22,17,15,289,980,0,0,0,0,0,0,0,0,980,0,424,0,0,0,0,0,0,0,424,0,125,74,19,20,9,0,0,0,247,0,59,30,4,8,8,14,17,15,155,0,27,13,8,0,0,0,0,0,48
POA6051,0,26,475,465,260,218,126,71,24,1665,0,71,316,115,63,45,15,0,0,625,0,3,3,15,24,10,3,0,4,62,718,0,0,0,0,0,0,0,0,718,0,107,0,0,0,0,0,0,0,107,0,79,60,21,17,8,0,0,0,185,0,59,51,10,5,3,3,3,4,138,0,28,47,11,6,0,0,0,0,92,0,153,312,93,56,44,19,0,0,677,0,62,288,232,251,237,141,61,21,1293,8,23,43,26,8,6,0,0,0,114,726,611,1595,988,690,571,307,135,53,5676,0,77,574,429,231,227,97,52,7,1694,0,119,301,104,58,33,10,0,0,625,0,13,50,85,98,38,24,19,10,337,683,0,0,0,0,0,0,0,0,683,0,119,0,0,0,0,0,0,0,119,0,73,43,8,7,9,0,0,0,140,0,37,45,4,6,18,7,4,6,127,0,23,25,4,3,3,0,0,0,58
