POA_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
POA6165,48,1700,619,340,1875,0.8,1812,2.3
POA6166,41,2200,732,400,2152,0.7,1864,2.7
POA6167,33,1725,628,300,1558,0.8,1335,2.6
POA6168,44,1580,560,300,1376,0.7,1082,2.2
POA6169,39,1733,614,330,1628,0.7,1360,2.6
POA6170,30,2020,802,360,1859,0.8,1762,2.9
POA6171,29,2167,842,385,2068,0.8,1928,2.9
POA6172,33,1861,680,370,1847,0.8,1718,3
POA6173,31,2167,825,400,2306,0.8,2238,3.3
POA6174,31,1983,743,350,1910,0.8,1697,2.8
POA6175,32,2061,757,375,2018,0.8,1853,3
POA6176,30,2115,777,360,1958,0.7,1802,2.9
POA6180,31,1950,695,360,1759,0.8,1596,2.9
POA6181,40,2383,728,0,2349,0.8,2386,3.3
POA6182,21,0,0,0,0,0,0,0
POA6207,40,2167,630,228,2006,0.8,1676,2.8
POA6208,43,1820,538,318,1384,0.7,1182,2.5
POA6209,49,1833,486,255,1508,0.8,1005,2.4
POA6210,44,1777,546,318,1405,0.7,1127,2.4
POA6211,43,2000,566,350,1516,0.7,1283,2.6
POA6213,47,1602,552,270,1658,0.8,1390,2.4
POA6214,42,1791,630,280,1699,0.8,1470,2.6
POA6215,45,1636,558,250,1464,0.8,1218,2.5
POA6218,44,1300,440,225,1091,0.8,927,2.5
POA6220,43,1729,590,250,1604,0.8,1213,2.5
POA6221,19,1842,421,250,1593,0.8,1270,2.5
POA6223,38,2167,579,200,1333,0.7,1194,2.6
POA6224,44,1517,558,200,1371,0.8,1218,2.6
POA6225,42,1517,515,225,1495,0.7,1173,2.4
POA6226,39,2167,784,250,2166,0.8,2090,3
POA6227,35,2000,725,295,1881,0.8,1732,2.9
POA6228,40,1950,632,210,1437,0.7,1437,2.5
POA6229,52,2045,478,210,1292,1,890,2
POA6230,39,1733,657,300,1658,0.7,1326,2.4
POA6232,36,1800,669,340,1719,0.7,1527,2.6
POA6233,36,1866,695,350,1866,0.7,1665,2.7
POA6236,45,2000,670,250,1906,0.7,1710,2.7
POA6237,44,1950,698,263,1847,0.8,1677,2.7
POA6239,45,1603,579,245,1468,0.7,1214,2.5
POA6240,54,1300,556,200,1174,0.6,1100,2.2
POA6243,50,1489,518,0,1375,0.6,1125,2.4
POA6244,49,1300,589,135,1328,0.7,1068,2.3
POA6251,45,1325,540,200,1339,0.7,1066,2.1
POA6252,51,1645,396,200,767,0.7,682,2.2
POA6253,56,1225,532,210,1224,0.7,994,2.1
POA6254,47,1050,426,185,1166,0.7,900,2.1
POA6255,50,1517,523,250,1268,0.7,1010,2.3
POA6256,48,1733,709,130,1687,0.8,1519,2.5
POA6258,43,1300,618,180,1440,0.7,1166,2.4
POA6260,46,1283,609,190,1397,0.8,1135,2.4
POA6262,50,1125,476,147,1158,0.8,863,2.2
POA6271,41,1647,643,300,1557,0.7,1325,2.5
POA6275,52,1430,509,175,1189,0.7,948,2.2
POA6280,43,1800,615,340,1497,0.7,1220,2.5
POA6281,39,2000,788,405,1862,0.7,1636,2.6
POA6282,45,2000,776,275,1833,0.8,1583,2.5
POA6284,37,2000,748,320,1811,0.8,1532,2.7
POA6285,37,1733,700,340,1591,0.8,1349,2.6
POA6286,47,1559,674,208,1454,0.9,1303,2.2
POA6288,43,1703,690,200,1460,0.8,1265,2.4
