POA_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA6000,0,0,0,3,3,0,0,0,0,9,0,17,13,95,14,7,7,0,0,151,0,0,0,25,9,6,5,3,3,51,0,0,8,65,21,9,4,0,0,110,3,6,21,85,5,15,9,0,0,152,0,0,12,75,14,5,6,0,0,115,0,0,0,3,0,3,3,0,0,16,0,4,3,25,3,3,0,0,0,38,0,0,23,134,0,0,0,0,0,159,0,4,12,48,3,3,0,0,0,72,0,0,0,0,0,0,6,3,0,10,0,0,0,5,0,0,0,0,0,9,7,5,52,85,12,6,3,3,3,178,0,3,40,61,19,35,13,3,0,180,0,0,0,13,8,3,0,3,0,28,0,0,0,13,3,7,0,0,0,21,13,11,99,486,38,29,22,16,3,724,77,49,256,945,194,159,75,34,18,1810,449,349,1611,6233,1083,895,492,215,92,11425
POA6003,0,0,0,0,0,0,0,0,0,0,0,4,3,21,3,3,0,0,0,38,0,0,0,3,0,4,0,0,0,13,0,0,0,20,0,3,3,0,0,28,0,0,3,5,6,6,0,0,0,23,0,0,10,17,5,7,0,0,0,35,0,0,0,0,0,0,0,4,4,12,0,0,0,0,3,0,0,0,0,3,0,0,3,35,0,0,0,0,0,41,0,0,0,17,0,0,0,0,0,25,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,3,14,5,0,0,0,0,28,0,0,5,16,14,11,4,3,3,53,0,0,0,7,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,3,0,4,25,132,13,13,3,0,0,193,16,23,84,406,67,46,23,16,3,677,92,127,407,1985,338,307,159,76,27,3509
POA6004,0,0,3,0,0,0,0,0,0,4,0,0,5,81,19,8,0,0,0,112,0,0,0,20,6,7,6,0,3,48,0,0,8,60,19,21,8,9,0,119,5,0,30,100,19,15,11,4,3,174,0,0,12,62,12,16,8,0,0,104,0,0,0,8,0,0,0,6,0,15,0,0,0,22,0,3,0,3,3,33,0,0,18,94,3,3,6,0,0,121,3,0,22,56,9,9,0,0,0,94,0,0,0,3,0,0,0,0,0,9,0,0,0,13,0,4,4,0,0,20,3,6,7,39,10,12,3,0,0,87,0,0,23,41,7,6,0,3,0,97,0,0,3,10,3,0,3,0,0,27,0,0,3,12,3,4,0,0,0,27,18,16,142,539,54,39,28,10,4,841,51,39,217,822,154,176,89,40,7,1598,372,254,1429,5322,1082,1097,694,277,70,10596
POA6005,0,0,0,0,0,0,0,0,0,3,0,3,9,33,3,6,0,0,0,54,0,0,0,14,0,6,4,3,0,31,0,0,5,27,11,6,7,3,0,58,3,0,15,31,5,3,3,0,3,63,0,0,6,48,11,7,3,0,0,81,0,0,0,0,0,0,0,0,3,9,0,0,0,5,0,3,4,3,0,21,0,0,5,32,0,0,0,0,0,37,0,0,0,6,4,4,0,0,0,23,0,0,0,0,0,0,0,0,0,6,0,0,3,8,0,0,0,0,0,16,5,4,9,35,0,4,3,0,0,59,0,0,3,15,0,5,3,0,0,26,0,0,0,14,3,0,0,0,0,24,0,0,5,18,4,3,0,0,0,42,7,12,50,281,21,25,19,4,8,414,28,18,78,403,87,51,74,28,17,783,193,153,642,2961,570,437,380,188,115,5624
POA6006,0,0,0,3,5,5,0,0,0,7,0,0,7,22,9,4,3,0,0,40,0,0,0,16,0,11,3,3,4,35,0,3,0,41,20,7,11,3,0,96,0,0,5,18,10,4,3,0,0,49,0,0,11,34,12,3,4,0,0,74,0,0,0,5,3,3,4,9,0,23,0,0,0,12,0,0,0,0,0,16,0,0,0,7,0,0,0,0,0,13,0,0,7,9,6,0,0,0,0,22,0,0,0,0,4,5,17,13,13,51,0,0,0,5,0,0,0,3,0,6,3,3,3,19,9,7,4,0,0,48,0,0,3,53,42,46,21,8,3,181,0,0,0,7,0,0,0,0,0,16,0,0,4,18,3,0,3,0,0,24,3,13,18,108,38,29,19,6,3,243,22,32,54,202,84,78,29,33,25,560,493,890,896,3029,1267,948,538,431,261,8744
POA6007,0,0,0,3,0,0,0,0,0,3,0,0,3,13,0,3,0,0,0,25,0,0,0,13,3,0,0,9,0,27,0,3,5,36,18,22,22,0,3,110,0,3,0,24,7,5,6,0,0,47,0,6,7,56,14,6,4,0,0,83,0,0,0,3,0,3,3,0,0,7,0,0,0,13,3,3,0,0,0,17,0,0,0,19,0,0,0,0,0,16,0,3,4,7,4,3,0,0,0,18,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,3,3,3,3,37,8,0,6,0,0,59,0,3,0,23,9,12,7,4,3,54,0,0,0,5,3,5,0,0,3,25,0,0,0,13,3,7,0,0,0,24,3,9,23,169,26,17,12,4,3,267,14,36,117,245,57,43,48,13,9,573,394,590,797,2946,813,695,494,242,153,7130
POA6008,0,0,0,5,3,0,0,0,0,10,0,0,9,34,9,5,8,0,4,64,0,0,0,19,3,6,0,6,9,50,4,13,21,52,34,40,28,22,5,202,0,17,20,66,24,13,16,3,0,159,0,3,29,104,30,32,17,10,0,228,0,0,0,5,3,12,7,8,0,30,0,8,3,16,0,3,3,0,0,39,0,3,3,19,0,4,7,0,0,31,3,7,9,22,8,10,0,0,0,48,0,0,0,3,0,3,0,0,0,4,0,0,3,6,4,0,0,0,0,11,11,28,20,67,19,21,20,0,0,182,0,3,6,21,7,8,8,3,0,51,0,0,0,13,3,9,10,9,0,40,0,0,3,12,3,4,11,0,0,36,8,58,40,250,101,60,35,31,8,591,73,75,84,388,125,151,145,82,36,1156,858,1629,1592,4719,1977,1865,1509,721,277,15144
POA6009,0,0,0,3,7,0,0,0,0,18,0,3,9,19,11,3,3,0,0,51,0,0,0,16,0,4,4,3,0,35,4,24,20,35,38,34,29,13,15,205,6,26,242,143,39,47,42,17,0,560,0,20,94,66,62,52,36,12,6,350,0,0,0,0,0,0,3,0,3,7,6,8,13,33,22,6,18,9,8,125,4,0,9,29,14,19,16,3,0,88,0,0,16,13,0,0,3,3,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,5,29,51,37,27,24,21,3,7,204,0,3,9,49,13,6,3,0,0,84,0,0,0,5,9,0,4,7,0,35,0,3,21,21,10,12,4,3,0,74,7,66,88,211,65,78,29,18,4,571,28,58,163,208,98,105,93,58,49,859,767,2286,4189,4065,2185,2027,1735,854,433,18534
POA6010,0,0,0,0,5,0,0,0,0,6,0,6,5,9,4,4,3,0,0,27,0,0,0,19,3,16,3,0,5,50,0,14,12,33,39,27,28,14,9,167,0,12,29,25,40,28,16,10,0,163,0,32,61,80,89,64,38,20,5,385,0,0,0,0,0,3,0,0,0,3,0,0,0,3,10,11,11,3,3,46,0,0,7,7,0,0,0,0,0,10,0,7,11,11,0,3,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,12,4,40,31,56,30,26,8,9,0,205,0,0,0,3,9,4,0,0,0,22,0,0,4,6,14,5,4,0,0,36,0,0,15,32,18,32,6,0,0,105,14,46,52,166,84,73,40,18,10,508,32,96,126,274,147,137,127,118,69,1130,723,2203,2351,3569,2322,2077,1802,1139,642,16825
POA6011,0,0,0,4,0,0,0,0,0,5,0,3,0,4,0,0,0,0,0,10,0,3,0,7,0,0,0,0,0,12,0,8,10,16,15,22,15,4,0,91,3,18,7,3,3,12,5,0,0,50,0,10,22,47,32,30,14,5,3,168,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,4,0,0,0,13,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,6,27,12,25,11,23,7,0,0,118,0,3,0,3,0,0,0,0,0,7,0,0,0,0,0,5,3,3,0,21,0,0,4,9,4,11,3,0,0,32,12,14,29,63,45,36,19,8,4,220,26,55,67,164,115,92,58,21,18,617,390,1226,1169,2013,1342,1271,919,433,252,9007
POA6012,0,0,3,7,0,0,0,0,0,10,0,6,3,26,5,4,6,0,0,52,0,3,0,7,0,14,3,3,0,31,0,7,4,22,21,22,8,3,3,87,3,5,8,13,3,11,7,3,0,61,0,15,32,49,35,13,19,6,0,169,0,0,0,0,0,0,0,0,0,4,0,0,3,8,0,6,0,0,0,18,0,0,3,3,3,0,0,0,0,9,0,3,3,13,0,0,0,0,0,25,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,8,18,21,7,18,11,4,0,86,0,0,0,8,0,0,0,0,0,9,0,3,3,3,4,7,4,0,0,26,0,3,11,9,16,5,3,0,0,47,3,26,42,181,45,36,26,13,6,379,25,36,41,214,88,90,109,72,59,739,398,1108,1128,2243,1296,1028,932,452,182,8757
POA6014,0,0,0,7,7,0,0,0,0,16,5,3,11,67,7,3,4,4,0,104,0,0,4,24,4,12,4,3,0,55,0,16,12,51,55,30,20,18,5,204,3,21,13,45,27,24,9,9,0,148,0,29,51,137,61,40,33,8,4,363,0,0,0,0,0,5,0,0,0,5,0,7,3,35,8,3,10,9,0,74,0,3,3,11,7,3,0,0,0,22,3,3,4,12,11,5,0,0,0,35,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,9,15,34,23,52,26,17,13,0,3,183,0,9,14,32,17,13,3,0,0,81,0,0,5,7,12,6,3,3,3,45,0,0,3,38,14,17,8,0,0,87,19,112,96,560,116,81,33,15,12,1050,52,103,116,353,135,123,96,94,57,1132,1254,3045,2348,5870,2814,2224,1399,996,644,20604
POA6015,0,0,0,4,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,8,0,0,0,4,3,4,0,4,4,23,0,11,6,8,11,12,8,13,9,80,0,9,5,3,10,9,3,7,0,46,0,16,30,26,37,21,8,10,3,155,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,43,8,17,22,27,3,3,3,137,0,5,0,7,0,0,3,0,0,13,0,0,0,0,7,4,6,3,0,15,0,0,4,8,8,6,0,3,0,31,4,27,18,44,34,21,9,8,4,168,7,37,33,52,58,44,25,37,19,306,237,1078,996,933,1139,835,560,567,266,6609
POA6016,0,0,0,3,0,0,0,0,0,0,3,10,4,33,11,0,0,0,0,58,0,0,0,14,4,11,3,0,3,28,0,3,0,37,23,13,6,9,0,98,3,0,9,29,7,4,0,0,0,54,0,0,8,47,10,16,3,0,0,84,0,0,0,3,0,3,7,0,0,15,0,0,3,10,3,0,0,0,3,19,0,0,3,32,0,0,0,0,0,38,0,0,3,9,4,5,0,0,0,24,0,0,0,10,0,9,9,5,0,38,0,0,0,0,0,0,0,0,3,3,0,4,0,15,6,7,7,3,0,44,0,0,14,27,15,9,11,3,3,84,0,0,0,12,0,3,3,0,0,18,0,0,0,7,0,3,3,0,0,22,8,31,66,320,49,29,19,14,0,532,30,45,62,243,58,48,53,18,23,596,735,1281,1049,3682,1339,945,548,282,173,10035
POA6017,0,0,0,0,0,0,0,0,0,0,0,10,9,30,6,4,3,3,0,65,0,0,0,7,0,7,0,3,0,13,0,0,0,3,3,3,3,0,0,11,0,0,3,18,3,4,0,0,0,36,0,0,4,11,3,3,0,3,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8,0,0,0,20,0,0,0,0,0,20,0,0,0,15,0,0,0,0,0,23,0,0,0,8,3,9,0,0,3,20,0,0,0,0,0,0,0,0,0,5,0,3,3,3,10,0,0,0,0,21,0,3,4,11,8,13,0,0,0,45,0,0,0,0,0,0,4,0,0,3,0,0,0,9,0,3,0,0,0,11,10,18,31,168,23,18,7,5,7,279,15,16,42,148,42,46,21,18,10,358,256,226,458,1946,389,371,256,149,76,4120
POA6018,0,0,0,14,13,4,0,0,0,36,0,11,10,69,27,19,5,0,0,138,0,3,0,39,12,29,14,9,3,112,3,21,28,95,74,70,52,31,18,391,0,28,36,97,39,36,24,18,0,281,8,61,103,304,141,77,42,22,11,764,0,0,0,8,10,10,10,10,6,54,0,4,4,27,18,18,14,5,4,97,3,0,3,35,4,3,7,0,0,50,0,8,14,29,18,0,10,0,0,87,0,0,0,5,6,8,3,4,3,30,0,0,3,9,3,3,0,0,0,19,6,29,25,66,27,22,15,5,4,198,0,9,14,57,22,26,5,9,3,147,0,3,10,30,19,17,11,5,4,100,0,4,14,73,44,31,11,4,0,182,19,93,83,574,210,139,74,55,30,1277,110,174,196,791,277,228,178,160,141,2264,2344,4740,4141,11696,5038,3928,2948,2116,1060,38004
POA6019,0,0,0,6,4,3,3,0,0,20,0,7,9,29,7,5,0,0,0,60,0,3,0,26,7,13,7,0,0,63,0,9,8,81,25,30,25,10,7,210,0,7,11,32,15,20,10,8,3,105,10,37,81,231,92,52,31,20,3,548,0,0,0,7,7,0,0,4,0,16,0,3,0,12,3,6,7,5,0,39,0,0,3,11,6,0,0,0,0,17,0,4,5,13,6,0,0,0,0,36,0,0,0,7,3,0,6,0,0,17,0,0,0,5,0,0,0,0,0,7,0,25,16,64,31,24,10,0,3,180,0,0,4,13,8,9,0,0,0,34,0,7,3,43,9,12,5,0,3,84,0,0,11,37,24,23,4,0,0,104,6,52,116,641,96,67,39,21,12,1059,60,100,134,645,187,157,137,87,36,1544,1237,2267,2371,8052,2804,2174,1556,978,346,21787
POA6020,0,0,0,3,5,0,0,0,0,8,0,0,4,16,5,10,7,3,0,49,0,4,3,17,3,23,13,0,7,63,0,23,24,45,60,54,59,14,3,289,3,6,13,11,8,26,12,4,0,91,0,44,83,153,133,112,34,18,5,586,0,0,0,3,0,3,5,3,0,14,0,0,0,0,3,3,3,0,0,12,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,4,0,0,0,14,0,0,0,5,3,10,3,0,0,20,0,0,0,0,0,0,0,0,0,0,4,33,8,31,19,13,4,4,0,118,0,4,0,21,13,12,3,0,0,51,0,5,9,10,18,11,13,0,0,59,0,0,12,21,37,24,18,10,3,128,3,36,32,158,87,90,60,29,15,508,27,63,72,211,127,178,149,48,25,900,1099,2822,2323,4370,3052,3237,2615,932,340,20791
POA6021,0,0,0,3,0,0,0,0,0,6,0,17,20,68,17,5,7,3,0,141,0,0,3,26,14,25,12,8,4,88,0,6,4,22,23,21,20,10,4,114,0,3,11,40,21,18,3,3,0,102,0,9,28,93,42,19,17,10,0,222,0,0,0,9,10,13,14,4,8,56,0,4,3,15,3,3,0,4,0,36,0,0,3,47,8,11,0,0,0,71,0,4,4,31,4,5,4,0,0,54,0,0,3,34,42,69,76,62,8,296,0,3,5,4,6,0,0,0,0,20,0,11,8,21,9,8,6,0,3,58,3,7,15,117,54,43,25,9,0,272,0,0,0,11,5,0,3,3,5,36,0,0,6,20,7,5,3,0,0,37,4,54,109,373,114,79,49,45,5,829,52,96,116,369,164,129,140,127,132,1329,1208,2085,2219,6059,2585,2177,1900,1314,518,20058
POA6022,0,0,0,0,0,0,0,0,0,3,0,6,3,11,10,4,3,0,0,37,0,0,0,3,3,0,0,3,0,12,0,0,3,13,0,11,9,6,0,37,0,0,0,7,0,3,0,0,0,15,0,3,4,25,10,11,3,0,0,53,0,0,0,3,0,0,0,0,0,3,0,0,0,4,3,0,3,0,3,16,0,0,0,4,0,0,0,0,0,3,0,8,0,16,0,0,0,0,0,26,0,0,0,5,12,6,5,9,0,36,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,3,0,0,15,0,0,0,10,9,8,7,0,0,36,0,0,0,3,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,9,0,4,9,39,11,21,15,8,0,112,8,17,20,60,32,26,32,9,8,218,328,600,489,1416,605,575,646,259,57,4982
POA6023,0,0,0,7,6,0,0,0,0,11,0,0,4,9,4,16,4,3,0,42,0,3,0,20,0,23,7,0,7,54,3,20,17,46,53,47,55,17,3,251,0,3,3,8,10,9,9,6,0,54,3,65,105,147,129,93,34,14,10,599,0,0,0,7,3,5,3,4,0,15,0,0,0,3,0,0,3,0,0,7,0,0,0,7,0,0,4,0,0,13,0,3,4,9,6,4,0,0,0,27,0,0,0,0,0,3,3,0,0,9,0,0,0,0,0,0,0,0,0,3,4,19,20,19,17,9,9,6,5,101,0,0,0,7,3,3,4,5,0,24,0,6,11,20,18,12,10,3,0,79,0,3,19,27,36,20,18,0,0,132,0,29,24,120,73,64,50,18,10,390,17,31,57,119,81,85,53,33,41,510,874,2380,1749,3456,2177,2040,1652,618,316,15268
POA6024,0,0,0,4,0,3,0,0,0,6,0,10,7,23,3,13,8,0,0,57,0,0,0,9,4,11,4,0,0,34,0,3,20,30,39,17,33,11,4,154,0,0,5,15,15,13,11,3,3,66,0,24,38,84,40,24,10,7,0,225,0,0,0,3,0,3,3,3,0,16,0,0,0,0,0,3,4,0,0,16,0,0,3,14,0,3,0,0,0,20,3,7,3,23,5,4,0,0,0,39,0,0,0,3,3,4,11,3,0,17,0,0,0,0,0,0,0,3,0,3,0,0,3,10,4,9,3,0,0,37,0,0,5,23,12,12,0,0,0,60,0,4,0,9,3,10,9,3,0,42,0,0,3,27,11,6,14,0,0,53,3,22,25,139,65,60,33,12,5,362,27,44,41,153,84,75,77,26,20,544,860,1659,1348,3703,1706,1627,1669,559,218,13347
POA6025,0,0,0,8,10,3,0,0,0,23,3,10,12,55,24,18,11,4,0,138,0,3,0,27,9,43,21,7,0,120,3,44,35,136,86,121,78,36,15,557,0,16,12,25,27,15,20,17,0,140,7,76,158,289,202,129,51,22,4,927,0,0,0,3,7,11,3,0,0,29,0,0,0,3,4,4,3,0,0,14,0,3,3,12,0,0,0,0,0,18,3,0,3,36,14,9,3,0,0,67,0,0,0,3,7,11,3,3,0,24,0,3,0,3,0,0,0,0,0,6,0,20,17,36,20,14,11,0,0,124,0,0,6,32,16,14,5,0,0,71,3,18,11,37,34,26,30,7,5,160,0,5,29,73,60,48,25,6,4,242,5,40,63,266,157,164,102,33,13,837,73,131,155,426,213,179,158,73,32,1440,1849,3911,3715,7949,4278,3986,2898,1049,399,30031
POA6026,0,0,0,10,6,0,0,0,0,18,0,7,8,24,10,14,3,0,0,70,0,7,5,11,7,23,5,3,3,65,0,21,38,85,101,111,78,38,17,488,0,4,8,14,12,21,5,4,3,71,3,84,111,199,143,51,34,13,6,645,0,0,0,0,0,3,0,3,0,8,0,3,0,4,10,5,5,0,3,29,0,0,0,3,0,0,3,0,0,4,0,0,10,22,9,5,0,0,0,44,0,0,0,0,6,8,3,3,0,16,0,0,0,0,0,0,0,0,0,0,3,9,12,18,11,8,8,3,0,74,0,0,3,11,3,9,3,0,0,37,0,6,18,17,29,22,15,17,4,125,0,3,18,49,51,29,10,4,3,167,0,26,43,139,105,85,40,31,18,490,26,83,72,189,124,128,65,52,34,779,1149,2986,2895,4754,3352,3553,1966,1036,648,22337
POA6027,0,8,5,16,8,3,0,0,0,41,0,6,14,82,32,25,16,0,0,184,0,3,3,47,22,58,44,14,7,198,3,53,69,189,176,217,124,42,16,895,7,7,29,52,41,45,26,6,12,220,9,145,263,420,260,151,55,20,6,1336,0,0,0,3,0,6,4,0,0,17,0,0,11,26,0,10,11,3,0,64,0,0,6,42,3,0,0,0,0,53,11,16,25,48,27,6,0,0,0,127,0,0,0,7,9,8,0,0,0,31,0,0,0,9,0,3,5,0,0,19,8,20,16,44,35,27,9,3,0,151,0,0,8,39,16,18,6,0,0,100,3,10,29,66,53,48,36,8,3,260,0,16,58,121,87,88,28,7,0,397,20,79,208,471,233,185,117,71,21,1410,74,200,283,555,296,307,185,98,42,2052,2358,5103,6042,11173,6198,5559,3275,1440,532,41677
POA6028,0,0,0,0,9,4,0,0,0,13,0,15,15,48,26,32,7,3,0,144,0,3,3,34,18,28,14,0,0,99,3,72,83,157,191,170,45,32,3,761,0,11,17,38,37,33,16,3,0,162,10,210,326,428,377,138,51,18,4,1547,0,0,0,0,4,0,0,6,0,12,0,0,0,3,3,0,4,0,0,13,0,0,0,12,3,3,0,0,0,23,0,3,10,25,5,3,0,0,0,48,0,0,0,3,8,5,3,0,0,24,0,0,0,0,0,0,0,0,0,0,3,7,13,19,14,10,11,0,0,70,0,0,0,24,4,3,3,0,0,41,5,22,14,52,41,31,9,10,0,186,0,0,33,66,81,47,10,3,0,240,8,49,83,201,141,101,44,24,3,653,44,73,91,200,131,114,56,48,24,782,1261,3432,3677,5310,4338,2605,1167,515,136,22440
POA6029,0,0,0,0,4,0,0,0,0,8,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,3,0,4,8,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,3,9,18,9,8,4,5,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,7,11,0,0,0,31,0,0,0,3,3,0,0,0,0,5,0,0,0,0,6,3,0,0,0,9,0,0,0,8,0,3,0,0,0,15,0,3,0,22,10,10,12,3,0,61,0,6,13,28,15,26,17,5,3,111,145,362,347,669,422,345,278,153,67,2794
POA6030,0,3,6,11,0,4,0,0,0,25,5,45,51,135,60,30,9,0,0,341,0,0,15,38,21,40,20,3,0,140,12,75,87,236,180,114,79,49,13,847,0,15,9,53,28,30,13,3,4,158,16,213,365,581,381,113,58,20,3,1751,0,0,0,9,4,10,9,3,0,31,0,3,0,12,5,4,5,0,0,33,5,0,3,31,3,0,0,0,0,42,0,10,21,52,16,4,0,0,0,117,0,0,0,0,3,3,7,0,0,14,0,0,0,3,0,0,0,0,0,8,5,12,31,36,26,18,9,3,0,142,3,3,9,67,16,9,5,0,0,120,0,31,30,65,57,36,20,9,0,241,0,14,62,114,88,50,14,6,0,347,8,127,208,490,256,136,80,55,10,1365,179,323,374,753,437,253,144,130,97,2689,2739,5846,5910,11039,6010,3475,2301,1495,569,39386
POA6031,0,0,0,8,0,0,0,0,0,8,3,68,61,169,64,14,3,0,0,395,0,0,3,23,9,0,4,0,0,42,7,51,54,154,86,40,18,13,3,437,0,9,12,33,15,8,3,0,0,80,3,96,83,242,96,40,17,3,0,576,0,0,0,3,3,0,0,3,0,6,0,0,8,29,0,0,0,0,0,39,0,0,0,14,0,3,0,0,0,21,0,7,9,19,6,0,0,0,0,41,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,3,11,3,3,0,0,0,22,0,9,8,37,7,7,0,0,0,75,0,15,24,35,14,9,3,8,0,108,0,21,51,71,54,16,6,3,0,224,0,83,122,300,109,50,17,12,0,702,74,98,130,316,128,87,46,12,3,883,1564,2756,2425,5832,2106,1154,560,187,42,16624
POA6032,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,3,4,3,0,0,26,8,20,30,49,37,29,17,6,0,195
