POA_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
POA6050,0,0,0,0,0,4,0,0,0,10,0,0,0,8,0,0,0,0,0,12,3,0,0,14,0,0,0,0,0,20,3,3,4,3,0,0,0,0,0,15,0,0,0,0,3,4,7,3,0,18,0,0,0,8,0,0,0,0,0,12,0,5,7,22,7,3,5,3,0,49,0,0,9,29,14,15,9,0,0,80,0,0,0,7,5,4,6,0,0,21,0,0,7,12,3,0,0,0,0,21,7,4,24,105,23,13,23,7,6,218,23,34,71,216,81,56,66,51,57,657,364,724,940,2247,1047,871,630,322,239,7385,0,0,0,0,0,0,0,0,0,0,282,644,880,1238,627,545,301,192,176,4881,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8,7,3,0,0,28,0,0,0,3,0,0,0,0,0,5
POA6051,0,0,0,0,0,3,8,0,0,13,0,0,8,20,6,3,4,0,0,37,0,0,0,12,0,0,0,0,0,8,0,0,5,13,0,3,0,0,0,22,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,3,0,3,6,13,5,6,3,0,0,29,0,0,3,28,13,14,7,0,0,63,0,0,3,9,4,0,0,0,0,16,0,0,6,17,3,0,0,0,0,28,7,17,31,216,43,27,22,12,4,370,20,21,56,259,64,61,40,6,13,548,371,466,612,2934,762,660,450,117,64,6439,0,0,0,0,0,0,0,0,0,0,301,333,412,1189,336,282,164,70,31,3106,0,3,6,21,0,0,0,0,0,28,0,0,0,4,3,0,0,0,0,9,0,0,0,4,0,0,0,0,0,4,0,0,0,9,9,3,0,0,0,24,0,0,0,5,0,0,0,0,0,12
POA6052,0,0,0,5,0,4,3,0,0,10,0,0,0,9,3,5,3,0,0,21,0,0,0,0,3,0,0,0,0,3,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,3,0,0,3,5,0,0,0,8,0,0,0,0,0,11,0,4,0,0,4,0,0,0,0,6,0,0,0,23,22,16,8,0,0,71,0,0,0,8,3,0,0,0,0,16,0,0,0,6,7,0,0,0,0,14,0,11,16,76,30,17,8,16,5,177,27,32,43,111,60,45,12,23,3,354,393,632,654,1669,783,621,351,199,82,5385,0,0,0,0,0,0,0,0,0,0,290,516,493,1049,512,384,202,120,52,3610,0,0,0,3,0,0,0,0,0,4,0,0,0,6,0,8,3,0,0,20,0,0,0,0,0,0,0,0,0,6,0,3,3,12,3,0,0,0,0,15,0,0,0,3,0,0,3,0,0,9
POA6053,0,0,0,0,0,0,4,0,0,11,0,3,5,19,8,0,0,0,0,37,0,0,3,11,0,0,0,0,0,19,0,0,3,9,0,4,0,0,0,14,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,5,7,0,10,13,3,0,0,0,40,0,3,10,29,14,17,10,4,0,83,0,0,0,4,0,3,0,3,0,12,0,0,0,10,7,0,0,0,0,17,0,12,25,98,32,19,14,12,9,223,20,26,25,137,65,47,34,22,10,380,458,777,764,2306,1016,803,521,285,151,7080,0,0,0,0,0,0,0,0,0,0,447,661,528,1327,570,459,269,173,163,4590,0,0,0,3,0,0,0,0,0,5,0,0,7,3,0,3,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,10,3,4,0,4,0,20,0,0,0,0,0,0,0,0,0,0
POA6054,0,0,0,4,7,4,8,5,0,32,0,0,0,16,0,3,5,3,0,27,0,0,0,3,0,0,0,0,0,7,0,0,6,3,0,0,0,0,0,14,0,0,0,7,0,4,0,3,0,19,0,0,0,5,0,0,0,0,0,5,0,3,5,6,3,10,3,0,0,35,0,3,18,48,25,16,8,5,0,120,0,0,0,4,3,6,0,0,0,18,0,5,0,12,0,4,0,0,0,20,4,15,43,87,39,41,23,15,3,270,44,68,79,215,96,82,64,47,10,711,731,1227,1266,2925,1426,1155,809,440,117,10099,0,0,0,0,0,0,0,0,0,4,572,925,852,1818,810,670,431,223,104,6416,0,0,0,5,0,0,3,0,0,7,0,0,4,7,7,14,3,3,5,40,0,0,0,9,3,0,0,0,0,15,0,0,0,6,3,0,4,0,0,14,0,0,0,0,0,0,0,0,0,3
POA6055,0,0,0,6,0,0,0,3,0,8,0,14,0,34,4,7,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,16,0,0,0,9,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,3,3,0,8,3,5,0,0,0,30,0,0,3,43,8,4,0,0,0,59,0,0,0,7,3,0,3,3,0,16,0,10,12,38,9,6,3,0,0,80,3,29,52,155,45,22,12,10,0,331,46,61,78,238,120,78,63,31,12,715,916,1360,1295,3689,1284,950,569,276,61,10395,0,0,10,18,0,3,0,0,0,27,787,923,893,2054,681,499,293,103,34,6271,0,0,0,3,0,0,0,0,0,9,0,0,3,12,0,0,0,0,0,19,0,0,0,3,0,3,0,0,0,10,0,0,0,9,0,3,0,0,0,12,0,0,0,3,0,0,0,0,0,6
POA6056,0,0,0,5,3,3,12,7,4,22,0,9,4,17,6,0,3,3,0,38,0,0,0,13,0,0,0,0,0,18,0,4,4,8,3,0,0,0,0,20,0,0,0,3,3,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,3,5,10,10,11,15,6,0,0,66,0,0,5,10,11,4,4,0,0,39,0,0,0,3,5,14,8,4,0,35,0,11,17,24,21,14,3,3,0,90,6,22,30,106,58,58,44,30,16,371,76,121,143,401,244,188,156,100,57,1476,1238,2384,2625,5096,2843,2378,1732,885,296,19474,0,0,3,0,0,0,0,0,0,4,1023,1820,2013,3390,1662,1356,981,487,222,12946,0,0,0,8,0,6,0,0,0,13,0,0,0,6,8,3,3,0,0,24,0,0,0,8,0,0,0,0,0,10,0,5,4,5,4,8,3,0,0,25,0,0,0,0,3,0,3,0,0,8
POA6057,0,0,0,0,3,0,0,0,0,4,0,0,0,6,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,8,0,0,3,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,3,0,0,19,0,0,0,10,0,3,0,0,0,16,0,0,3,4,7,5,3,3,0,25,0,3,4,9,12,3,4,4,0,37,0,12,14,40,24,14,8,3,0,119,42,54,69,188,84,73,56,31,10,603,567,1137,1107,2366,1168,944,657,344,77,8366,0,0,0,0,0,0,0,0,0,3,479,943,821,1593,687,610,382,179,44,5737,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
POA6058,0,0,0,0,4,0,0,3,0,9,0,3,0,7,3,0,0,0,0,25,0,0,0,4,0,0,0,0,0,4,0,0,3,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,12,0,5,4,9,11,0,0,0,0,31,0,5,7,36,21,22,17,3,0,122,25,34,34,137,47,48,40,35,18,420,435,758,817,1886,805,735,533,248,73,6292,0,3,21,19,3,0,3,3,0,54,370,582,597,1114,427,477,274,167,62,4070,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,3,0,0,0,0,3
POA6059,0,0,0,10,0,9,4,4,0,28,0,4,5,18,9,5,5,6,3,56,0,0,0,27,0,0,0,0,0,27,7,5,3,8,0,0,0,0,0,24,0,0,0,13,22,23,30,11,0,99,0,0,5,15,7,4,0,4,0,36,3,7,8,18,5,11,5,3,0,51,3,16,23,109,115,89,29,12,7,399,0,0,0,6,0,3,4,0,3,18,0,0,0,12,13,11,0,0,0,34,10,42,43,159,59,41,47,33,10,445,33,38,59,164,85,63,58,53,23,571,652,1285,1408,3151,1554,1332,993,766,256,11392,0,0,3,5,0,0,0,0,0,14,510,1001,1004,1445,812,645,487,458,171,6544,0,0,0,8,0,3,0,0,0,17,0,0,0,10,11,7,4,0,0,29,0,0,0,3,3,0,3,0,0,15,0,0,3,4,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,6
POA6060,0,0,0,7,3,4,6,3,0,29,0,8,0,38,4,3,3,0,0,59,0,0,0,22,0,0,0,0,0,26,3,3,3,8,0,0,0,0,0,19,0,0,0,13,16,8,7,13,0,62,0,0,0,3,5,0,0,0,0,5,0,3,0,13,3,3,4,3,3,36,3,9,9,62,51,25,8,0,4,174,0,0,0,4,8,4,0,0,0,18,0,0,7,33,9,6,0,0,0,48,12,27,54,346,60,42,28,16,8,592,39,55,61,346,81,77,50,57,39,800,726,845,1018,4591,1310,1074,719,507,259,11048,0,0,6,8,0,0,0,0,0,13,639,700,737,2143,711,630,419,332,226,6534,0,0,0,7,0,0,0,0,0,7,0,0,5,17,7,16,3,0,0,47,0,0,0,3,0,0,0,0,0,3,0,3,3,17,6,7,7,0,0,39,0,0,0,4,4,4,0,0,0,17
POA6061,0,0,0,8,9,6,0,8,0,39,0,10,9,45,11,9,0,3,0,84,0,0,3,49,0,0,0,0,0,55,7,37,38,30,8,0,4,0,0,121,0,3,13,58,41,52,47,16,0,241,0,0,5,32,0,0,0,0,0,37,0,6,6,10,7,5,3,0,0,40,3,34,60,251,149,112,54,29,5,690,0,0,3,9,0,5,0,0,0,24,0,4,10,29,9,0,4,0,0,54,37,166,303,974,207,122,63,21,6,1904,150,177,187,694,206,133,109,68,12,1738,1625,2128,2556,7577,2124,1629,1060,639,167,19503,0,4,30,52,11,7,4,0,0,115,1232,1279,1120,2213,711,660,497,301,69,8077,0,0,0,15,3,0,3,0,0,17,0,0,13,41,40,34,12,6,0,148,0,0,0,16,4,7,4,3,0,34,0,0,0,19,0,0,0,0,0,18,0,0,3,9,5,8,3,0,0,31
