POA_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
POA6515,..,0,0,9,14,15,19,5,0,61,..,0,3,4,0,5,0,0,0,12,..,0,0,0,0,0,3,0,0,3,18,..,..,..,..,..,..,..,..,18,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,9,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,3,..,0,8,7,10,11,3,4,0,37,0,0,0,0,0,0,0,0,0,3,18,8,18,18,26,30,20,9,0,146,..,0,3,12,13,17,11,4,0,63,..,0,0,0,8,0,0,0,0,12,..,0,0,0,0,0,0,0,0,3,21,..,..,..,..,..,..,..,..,21,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
POA6516,..,0,10,41,46,71,74,40,7,292,..,0,20,23,16,15,4,0,0,84,..,0,0,0,7,0,0,0,0,10,132,..,..,..,..,..,..,..,..,132,..,18,..,..,..,..,..,..,..,18,..,20,7,3,4,0,0,0,0,36,..,3,5,0,0,0,0,0,0,16,..,0,0,0,0,0,0,0,0,3,..,5,7,3,0,0,0,0,0,22,..,0,15,12,22,31,30,4,0,117,8,3,3,5,0,6,3,3,0,36,137,49,71,93,97,131,113,55,9,761,..,3,26,53,48,82,61,37,3,317,..,5,22,15,25,13,3,0,0,79,..,4,11,19,12,7,3,0,3,51,128,..,..,..,..,..,..,..,..,128,..,17,..,..,..,..,..,..,..,17,..,12,4,0,0,0,0,0,0,15,..,0,0,0,0,0,3,0,0,7,..,0,0,0,0,0,0,0,0,3
POA6517,..,0,4,10,6,23,5,5,0,65,..,3,8,0,4,3,0,0,0,24,..,0,0,0,0,0,0,0,0,0,38,..,..,..,..,..,..,..,..,38,..,4,..,..,..,..,..,..,..,4,..,0,0,3,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,3,0,3,3,0,0,0,6,..,0,4,8,3,15,3,5,0,36,3,0,0,0,0,0,0,0,0,11,38,14,23,20,19,44,15,7,0,186,..,0,4,13,5,28,5,0,0,68,..,4,6,0,3,0,0,0,0,24,..,0,0,0,0,0,0,0,0,3,26,..,..,..,..,..,..,..,..,26,..,0,..,..,..,..,..,..,..,0,..,3,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,3,0,3,..,0,0,0,0,0,0,0,0,0
POA6518,..,0,5,3,13,6,15,0,0,37,..,0,5,0,0,3,0,0,0,14,..,0,0,0,0,0,0,0,0,3,15,..,..,..,..,..,..,..,..,15,..,0,..,..,..,..,..,..,..,0,..,3,0,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,3,0,3,6,0,0,0,16,0,0,0,0,0,0,0,0,0,4,15,7,8,13,18,15,19,3,0,102,..,0,4,3,9,6,13,4,0,37,..,0,6,0,0,0,0,0,0,11,..,0,0,4,0,0,0,0,0,4,17,..,..,..,..,..,..,..,..,17,..,0,..,..,..,..,..,..,..,0,..,3,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
POA6519,..,0,12,18,16,15,25,6,0,87,..,9,13,3,5,8,0,0,0,38,..,0,0,4,0,0,0,0,0,6,72,..,..,..,..,..,..,..,..,72,..,5,..,..,..,..,..,..,..,5,..,4,0,0,0,0,0,0,0,8,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,3,0,12,12,7,5,3,41,0,0,0,0,0,0,4,0,3,11,72,14,28,24,35,39,38,7,7,268,..,0,10,18,15,22,20,0,0,90,..,3,15,6,8,6,0,0,0,36,..,0,3,4,7,0,0,0,0,16,58,..,..,..,..,..,..,..,..,58,..,0,..,..,..,..,..,..,..,0,..,7,0,0,0,0,0,0,0,10,..,3,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0
POA6521,..,0,5,9,17,19,20,8,0,85,..,0,4,0,0,0,0,0,0,17,..,0,0,0,0,0,0,0,0,3,16,..,..,..,..,..,..,..,..,16,..,0,..,..,..,..,..,..,..,0,..,11,5,0,0,0,0,0,0,12,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,3,3,0,5,12,0,0,27,0,0,0,0,0,0,0,0,0,3,16,17,19,12,23,33,30,8,0,160,..,0,11,11,20,24,21,0,0,81,..,3,10,0,0,0,0,0,0,11,..,0,0,3,3,0,0,0,0,8,27,..,..,..,..,..,..,..,..,27,..,0,..,..,..,..,..,..,..,0,..,3,3,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
POA6522,..,3,10,15,16,22,9,7,0,76,..,0,7,3,4,4,0,0,0,24,..,0,0,0,4,3,0,0,0,8,49,..,..,..,..,..,..,..,..,49,..,3,..,..,..,..,..,..,..,3,..,3,4,0,0,0,0,0,0,12,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,4,0,0,0,0,0,0,6,..,3,4,4,4,14,8,0,0,36,0,3,0,3,0,0,0,0,0,4,49,17,30,25,25,38,17,4,7,219,..,0,15,19,16,16,10,5,0,86,..,3,7,6,4,4,0,0,0,26,..,0,0,3,0,0,0,0,0,8,31,..,..,..,..,..,..,..,..,31,..,0,..,..,..,..,..,..,..,0,..,4,0,0,0,0,0,0,0,10,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0
POA6525,..,0,35,74,119,139,160,91,19,641,..,7,26,27,32,32,19,8,0,145,..,0,0,3,9,4,0,0,0,13,298,..,..,..,..,..,..,..,..,298,..,57,..,..,..,..,..,..,..,57,..,57,12,16,0,8,0,0,0,92,..,5,0,5,0,3,3,5,0,18,..,3,0,0,0,0,0,0,0,11,..,5,10,0,4,4,4,8,0,35,..,0,21,20,24,42,43,21,25,203,4,10,4,3,4,6,5,3,0,52,304,151,112,145,196,239,238,132,44,1557,..,0,52,116,136,165,159,55,15,697,..,16,27,40,38,31,14,0,0,169,..,6,23,27,18,13,3,7,4,100,266,..,..,..,..,..,..,..,..,266,..,57,..,..,..,..,..,..,..,57,..,20,3,3,3,3,0,0,0,37,..,5,0,0,0,3,7,4,3,22,..,3,3,0,0,0,0,0,0,6
POA6528,..,0,4,8,15,19,15,9,0,70,..,3,4,0,4,4,3,0,0,21,..,0,0,0,0,0,0,0,0,0,24,..,..,..,..,..,..,..,..,24,..,4,..,..,..,..,..,..,..,4,..,0,5,3,0,0,0,0,0,11,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,3,..,0,0,0,4,0,0,0,0,4,..,0,0,0,7,6,3,0,0,18,0,0,0,0,0,0,0,0,0,4,26,8,10,20,29,34,22,15,0,169,..,0,10,15,11,18,13,8,0,74,..,4,6,0,11,0,4,0,0,21,..,0,3,0,6,0,0,3,0,8,35,..,..,..,..,..,..,..,..,35,..,5,..,..,..,..,..,..,..,5,..,0,0,0,3,0,0,0,0,6,..,0,0,0,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,0
POA6530,..,28,474,838,1112,1002,789,441,110,4786,..,172,417,281,232,157,57,22,0,1349,..,3,27,74,108,38,23,11,4,299,3065,..,..,..,..,..,..,..,..,3065,..,568,..,..,..,..,..,..,..,568,..,653,214,102,62,18,4,0,0,1059,..,130,75,29,26,38,32,12,7,338,..,60,39,21,14,7,6,0,0,159,..,126,100,50,57,45,30,4,4,406,..,79,187,202,286,326,245,130,53,1515,62,65,86,53,55,42,31,16,5,421,3125,1880,1626,1658,1947,1676,1211,646,187,13957,..,55,691,1036,1180,1017,711,321,39,5042,..,289,435,311,266,151,39,21,0,1504,..,90,245,357,327,143,66,42,29,1295,3047,..,..,..,..,..,..,..,..,3047,..,630,..,..,..,..,..,..,..,630,..,384,118,34,30,18,3,0,0,586,..,115,29,14,35,49,52,36,19,342,..,51,31,13,14,3,3,0,0,114
