POA_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
POA6171,26,74,57,50,99,124,63,89,3,584,30,56,43,36,113,115,54,102,76,620,695,1428,1246,1434,2725,2715,1544,2715,203,14701
POA6172,3,29,15,13,49,25,21,35,0,201,20,19,23,19,43,49,17,55,33,277,265,719,586,621,1102,1005,594,1027,106,6026
POA6173,3,39,14,21,21,41,14,25,0,182,7,27,13,10,29,55,15,53,41,250,258,712,537,569,914,1118,548,1127,75,5860
POA6174,0,15,7,4,20,9,8,9,0,65,4,6,3,3,12,19,4,15,18,83,80,225,183,185,298,300,161,314,33,1776
POA6175,0,5,6,8,20,16,7,11,3,70,0,12,3,3,3,15,3,12,7,57,71,235,152,169,286,287,161,340,23,1713
POA6176,0,5,4,4,4,8,3,4,0,40,3,5,3,3,5,8,3,8,8,39,28,79,64,69,121,120,69,134,11,693
POA6180,3,23,9,10,17,12,11,18,3,102,6,3,7,7,14,19,3,24,12,99,127,258,214,257,391,359,222,484,38,2362
POA6181,3,0,0,0,0,0,6,4,0,14,0,0,0,0,3,5,3,0,0,10,13,26,19,30,47,39,26,47,0,234
POA6182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6207,0,3,0,3,3,3,0,14,0,29,0,9,0,4,4,7,6,4,6,41,26,61,44,50,64,70,40,110,6,481
POA6208,5,21,10,17,30,13,16,32,7,155,12,25,16,15,20,25,10,31,39,185,220,568,465,491,698,541,382,872,85,4322
POA6209,3,8,0,5,7,10,0,0,0,33,0,5,4,3,0,4,3,10,4,34,40,110,83,85,120,124,49,112,10,737
POA6210,30,141,96,123,178,162,90,121,5,937,47,126,104,74,126,157,79,170,209,1093,1244,3439,2687,3082,4474,3703,2185,4600,504,25923
POA6211,7,17,16,14,13,20,5,18,0,99,3,14,11,4,7,22,3,23,23,129,148,357,323,311,408,355,197,598,60,2759
POA6213,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,5,0,0,4,13,17,46,34,27,31,45,26,67,11,306
POA6214,0,3,0,0,0,0,0,0,0,11,0,0,3,5,0,3,0,4,3,18,17,50,36,35,49,34,22,65,3,311
POA6215,0,7,3,9,14,10,3,11,0,56,9,4,3,10,5,8,0,12,18,67,111,190,166,165,291,209,128,328,50,1626
POA6218,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,9,18,9,14,16,18,17,18,10,29,5,146
POA6220,0,8,4,5,6,13,6,8,0,57,5,8,4,7,8,15,11,21,14,86,97,240,174,264,307,263,202,380,37,1964
POA6221,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,3,9,20,20,13,21,13,8,28,10,138
POA6223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,16,13,9,13,15,18,3,30,3,110
POA6224,3,0,0,3,7,7,0,5,0,25,0,3,0,0,0,4,7,8,4,24,30,60,42,63,77,64,43,99,18,495
