POA_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
POA6516,134,14,3,5,0,0,0,157
POA6517,25,3,7,0,0,0,0,34
POA6518,16,0,0,0,0,0,0,22
POA6519,51,3,3,0,0,0,0,61
POA6521,41,0,0,0,0,0,0,41
POA6522,47,6,0,0,0,0,0,49
POA6525,296,24,13,3,0,0,3,340
POA6528,36,3,0,0,0,0,0,41
POA6530,2827,254,181,38,5,0,39,3335
POA6532,716,50,33,7,3,0,3,819
POA6535,125,7,7,3,0,0,4,145
POA6536,107,8,3,3,0,0,4,123
POA6537,67,3,3,0,0,0,0,79
POA6556,225,11,17,7,0,0,0,257
POA6558,90,15,3,0,0,0,0,106
POA6560,104,9,15,3,0,0,3,135
POA6562,117,10,3,3,0,0,0,136
POA6564,21,0,0,0,0,0,0,25
POA6566,221,25,20,3,0,3,9,276
POA6567,32,0,4,0,0,0,3,41
POA6568,29,3,3,0,0,0,0,27
POA6569,29,3,0,0,0,0,0,26
POA6571,10,0,0,0,0,0,0,12
POA6572,7,0,0,0,0,0,0,6
POA6574,6,0,0,0,0,0,0,12
POA6575,15,0,0,0,0,0,0,15
POA6603,107,3,7,0,0,0,0,125
POA6605,5,0,0,0,0,0,0,6
POA6606,19,0,0,0,0,0,0,16
POA6608,13,0,0,0,0,0,0,14
POA6609,83,6,11,3,0,0,0,98
POA6612,19,0,0,0,0,0,0,16
POA6613,4,0,0,0,0,0,0,4
POA6614,0,0,0,0,0,0,0,0
POA6616,5,0,0,0,0,0,0,11
POA6620,29,4,5,3,0,0,0,34
POA6623,44,9,4,0,0,0,0,55
POA6625,3,0,0,0,0,0,0,3
POA6627,10,0,0,0,0,0,0,9
POA6628,0,0,0,0,0,0,0,0
POA6630,35,4,0,0,0,0,4,49
POA6631,0,0,0,0,0,0,0,0
POA6632,11,0,0,0,0,0,0,11
POA6635,5,3,0,0,0,0,3,11
POA6638,15,3,3,3,0,0,4,31
POA6639,0,0,0,0,0,0,0,0
POA6640,3,0,0,0,0,0,0,7
POA6642,30,3,3,0,0,0,3,41
POA6646,16,6,0,0,0,0,0,18
POA6701,395,36,28,11,0,0,16,486
POA6705,10,0,0,0,0,0,0,14
POA6707,263,16,7,0,0,0,0,286
POA6710,52,9,6,0,0,0,0,66
POA6711,0,0,0,0,0,0,0,0
POA6712,0,0,0,0,0,0,0,0
POA6713,153,13,9,3,0,0,0,172
POA6714,1808,117,78,26,7,0,9,2054
POA6716,77,4,11,0,0,0,0,95
POA6718,39,12,3,7,0,0,6,75
POA6720,289,32,28,6,0,0,3,350
POA6721,389,29,24,9,0,0,0,461
POA6722,915,76,76,12,3,0,10,1097
POA6725,835,77,45,31,7,3,24,1030
POA6726,464,32,27,7,3,3,10,543
POA6728,385,41,21,32,4,7,25,524
POA6731,0,0,0,0,0,0,0,0
POA6733,0,0,0,0,0,0,0,0
POA6740,73,4,3,12,0,0,3,102
POA6743,435,47,23,24,3,3,3,543
POA6751,381,30,22,3,3,0,0,438
POA6753,509,34,33,9,0,4,0,591
POA6754,167,11,9,3,0,0,3,190
POA6758,4,0,0,0,0,0,0,4
POA6760,27,5,0,5,0,3,3,45
POA6762,16,3,0,3,0,0,3,28
POA6765,93,5,8,14,7,0,9,130
POA6770,121,12,15,16,3,0,11,178
