region_id,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU_15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA6043,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,0,12,0,0,0,3,0,0,3,0,0,6,16,3,3,19,4,17,18,6,0,86,0,0,3,12,7,22,24,12,0,80,0,3,6,6,3,3,0,0,0,21,0,0,0,3,3,0,0,0,0,6,27,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,6,3,0,21,3,0,3,3,3,3,3,0,0,18,30,3,12,27,19,34,33,15,0,173
POA6044,0,3,5,0,3,3,3,0,0,17,0,0,6,0,8,5,9,7,0,35,3,0,3,3,3,4,3,0,4,23,80,32,62,79,71,91,62,20,4,501,0,0,34,86,73,116,99,34,3,445,0,15,32,32,24,19,5,0,0,127,0,0,4,11,6,6,3,0,3,33,182,0,0,0,0,0,0,0,0,182,0,11,0,0,0,0,0,0,0,11,0,25,5,5,3,3,3,0,0,44,0,5,3,0,3,3,0,0,0,14,0,0,0,0,0,3,0,0,0,3,0,11,8,0,6,6,3,0,0,34,0,5,12,13,20,23,28,18,4,123,6,0,6,6,7,8,6,3,4,46,188,72,104,153,142,187,147,55,14,1062
POA6050,0,160,197,38,26,12,4,3,0,440,0,48,158,96,88,149,127,178,144,988,8,42,39,20,8,13,6,3,4,143,988,1006,1119,906,966,745,417,377,211,6735,0,32,511,1048,1279,939,511,364,106,4790,0,152,553,223,155,90,15,7,0,1195,0,0,24,83,116,64,25,21,18,351,1916,0,0,0,0,0,0,0,0,1916,0,835,0,0,0,0,0,0,0,835,0,260,183,52,36,20,3,0,0,554,0,116,66,12,16,12,20,17,19,278,0,49,49,11,4,5,3,0,0,121,0,310,435,89,52,33,13,8,0,940,0,91,327,243,235,299,203,236,189,1823,21,62,70,38,17,17,12,3,7,247,1937,1907,2218,1799,1910,1479,805,656,339,13050
POA6051,0,146,145,38,27,13,10,4,0,383,0,62,205,164,139,196,145,89,57,1057,4,31,31,12,5,7,0,7,0,97,687,700,1419,848,574,544,293,175,80,5320,0,103,1049,894,491,445,223,123,31,3359,0,190,617,219,121,78,25,0,0,1250,0,16,53,100,122,48,27,19,14,399,1401,0,0,0,0,0,0,0,0,1401,0,226,0,0,0,0,0,0,0,226,0,152,103,29,24,17,0,0,0,325,0,96,96,14,11,21,10,7,10,265,0,51,72,15,9,3,0,0,0,150,0,299,457,131,83,57,29,4,0,1060,0,124,493,396,390,433,286,150,78,2350,12,54,74,38,13,13,0,7,0,211,1413,1311,3014,1836,1264,1115,600,310,133,10996
POA6052,0,81,96,22,10,15,4,3,5,236,0,19,80,70,89,139,128,128,76,729,9,25,26,9,9,0,8,8,0,94,854,639,789,842,722,548,319,248,120,5081,0,21,528,972,871,587,302,188,45,3514,0,81,292,190,129,76,17,6,0,791,0,3,39,119,130,77,22,20,22,432,1742,0,0,0,0,0,0,0,0,1742,0,469,0,0,0,0,0,0,0,469,0,286,135,53,32,21,6,0,0,533,0,82,50,8,17,23,23,12,7,222,0,38,35,14,3,3,0,0,0,93,0,191,219,65,36,38,16,7,5,577,0,40,162,162,174,245,184,178,101,1246,18,36,42,20,20,0,11,11,0,158,1760,1247,1502,1603,1412,1070,581,422,180,9777
POA6053,0,87,86,32,28,28,12,4,0,277,0,15,77,77,101,165,173,172,103,883,15,33,33,12,9,10,5,4,0,121,1086,711,1038,1033,861,691,429,325,155,6329,0,40,717,1159,939,697,435,233,79,4299,0,108,496,365,212,97,22,8,0,1308,0,16,58,127,174,92,19,36,16,538,2117,0,0,0,0,0,0,0,0,2117,0,498,0,0,0,0,0,0,0,498,0,307,147,68,34,29,6,0,0,591,0,100,77,21,28,28,18,13,10,295,0,68,78,22,14,4,4,0,3,193,0,204,238,82,71,60,27,9,5,696,0,44,173,180,251,301,260,230,132,1571,28,57,59,30,19,19,5,7,3,227,2145,1442,2043,2054,1742,1327,796,536,248,12333
POA6054,0,62,66,44,45,30,18,7,3,275,0,31,78,92,170,230,208,235,90,1134,29,36,31,22,16,17,16,9,3,179,1655,1141,1321,1408,1375,1102,685,487,148,9322,0,66,918,1414,1369,1268,764,389,76,6264,0,219,618,418,295,131,30,8,0,1719,0,53,148,303,301,132,55,63,24,1079,3472,0,0,0,0,0,0,0,0,3472,0,832,0,0,0,0,0,0,0,832,0,683,280,133,63,42,0,0,0,1201,0,160,98,55,53,58,42,37,12,515,0,105,81,30,16,9,7,0,3,251,0,165,182,114,104,72,36,16,7,696,0,71,213,277,370,452,334,341,119,2177,59,81,69,53,33,25,23,14,7,364,3531,2435,2607,2797,2604,2189,1291,868,248,18570
POA6055,0,20,17,8,17,22,10,0,4,98,0,14,35,29,60,99,93,79,26,435,18,24,16,5,10,8,10,4,0,95,1103,617,687,891,779,654,382,193,60,5366,0,31,614,1087,1003,834,478,208,29,4284,0,112,256,238,159,84,28,3,0,880,0,17,59,127,109,57,32,16,16,433,2277,0,0,0,0,0,0,0,0,2277,0,475,0,0,0,0,0,0,0,475,0,428,151,59,32,17,7,0,0,694,0,81,37,13,24,29,19,15,14,232,0,25,29,14,15,4,3,0,0,90,0,58,59,37,46,50,20,8,4,282,0,31,76,117,139,193,152,117,33,858,35,47,37,18,16,17,13,4,4,191,2312,1305,1318,1710,1543,1285,752,371,100,10696
POA6056,0,128,69,38,56,48,37,6,6,388,0,50,132,154,210,386,379,343,165,1819,48,103,60,35,26,33,22,15,7,349,3134,2433,2155,2438,2435,2159,1337,778,270,17139,0,138,1536,2512,2705,2541,1582,755,123,11892,0,563,950,657,547,268,80,12,0,3077,0,100,286,537,490,264,89,92,45,1903,6481,0,0,0,0,0,0,0,0,6481,0,1496,0,0,0,0,0,0,0,1496,0,1603,543,181,117,65,10,0,0,2519,0,264,116,66,89,120,76,52,39,822,0,167,97,50,43,23,10,3,0,393,0,271,231,134,137,103,64,14,6,960,0,135,386,423,539,708,580,471,210,3452,104,198,139,81,77,55,38,21,7,720,6585,4935,4284,4641,4744,4147,2529,1420,430,33715
POA6057,0,52,31,17,21,14,6,3,0,144,0,15,32,35,76,130,114,87,31,520,31,38,22,7,6,12,11,4,0,131,1541,1063,1029,1115,1041,869,531,262,60,7511,0,66,816,1319,1281,1125,749,338,48,5742,0,251,542,292,183,128,27,8,0,1431,0,26,95,197,229,70,28,22,10,677,3107,0,0,0,0,0,0,0,0,3107,0,651,0,0,0,0,0,0,0,651,0,810,258,84,39,15,0,0,0,1206,0,85,57,23,27,25,24,26,6,273,0,76,31,24,13,13,3,0,0,160,0,108,115,65,54,32,12,6,0,392,0,37,116,138,173,199,171,117,43,994,47,83,55,24,21,17,19,4,0,270,3154,2193,2085,2166,2020,1624,1033,521,107,14903
