POA_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
POA6125,15,0,0,0,0,15,3,0,0,0,0,3,9,0,0,0,0,9,10,0,0,0,0,10,13,0,0,0,0,13,44,0,0,0,0,44,50,0,0,0,0,56,103,0,0,0,0,103,62,0,0,0,0,62,88,0,0,0,0,86,44,0,0,0,0,44,20,0,0,0,0,20,477,0,0,0,3,483
POA6126,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,21,0,0,0,0,21
POA6147,104,8,3,0,0,118,49,4,0,0,0,52,40,3,0,0,0,42,79,13,3,0,0,101,101,15,0,0,0,115,271,31,8,0,0,315,331,64,3,0,0,407,458,39,11,0,0,511,197,13,0,0,0,208,109,7,0,0,0,120,45,3,0,0,0,49,57,10,3,0,0,67,1843,218,33,0,0,2097
POA6148,133,18,0,0,0,151,44,5,0,0,0,48,36,5,0,0,0,47,64,5,0,0,0,71,66,14,0,0,0,83,182,25,0,0,0,208,204,45,0,0,0,252,396,55,0,0,0,452,251,24,0,0,0,276,233,14,0,0,0,251,220,8,0,0,0,230,68,5,0,0,0,72,1898,237,6,0,0,2145
POA6149,154,8,0,0,0,155,56,3,0,0,0,59,41,4,0,0,0,47,70,0,0,0,0,72,83,4,0,0,0,85,241,16,0,0,0,260,235,24,0,0,0,254,383,30,0,0,0,406,288,12,0,0,0,305,381,9,0,0,0,393,186,5,0,0,0,193,74,3,0,0,0,80,2171,125,0,0,0,2299
POA6150,91,6,0,0,0,93,28,3,0,0,0,30,31,0,0,0,0,31,30,0,0,0,0,33,49,0,0,0,0,52,110,7,0,0,0,114,89,6,0,0,0,96,193,12,0,0,0,209,133,6,0,0,0,142,193,9,0,0,0,204,139,0,0,0,0,142,43,4,0,0,0,49,1135,61,0,0,3,1199
POA6151,92,43,6,0,0,141,15,5,3,0,0,27,15,6,0,0,0,26,22,8,5,0,0,40,38,22,6,0,0,64,84,49,19,0,0,149,82,51,24,0,0,158,148,73,45,0,0,268,102,52,12,0,0,167,183,73,20,0,0,272,310,64,14,0,0,382,45,17,12,0,0,74,1129,477,177,0,0,1780
POA6152,140,57,14,0,0,214,19,20,0,0,0,41,29,12,4,0,0,39,33,25,9,0,0,67,55,39,3,0,0,98,129,103,24,0,0,252,138,122,42,0,0,293,259,207,51,0,0,526,175,134,21,0,0,328,319,136,19,0,3,471,345,89,7,0,3,445,72,20,3,0,0,97,1709,958,196,3,10,2870
POA6153,142,32,10,0,0,186,37,4,3,0,0,48,31,8,0,0,0,38,31,12,3,0,0,47,34,16,0,0,0,49,116,34,7,0,0,158,92,47,10,0,3,149,216,72,14,0,3,308,121,39,19,0,0,177,260,65,7,0,0,336,498,80,11,0,3,591,67,25,5,0,0,99,1649,444,84,0,9,2188
POA6154,62,13,0,0,0,78,21,8,0,0,0,30,17,0,0,0,0,20,29,12,0,0,0,37,34,16,0,0,0,47,79,22,0,0,0,99,83,32,0,0,0,113,174,47,0,0,0,221,160,42,0,0,0,197,202,28,3,0,3,230,171,13,0,0,0,182,37,6,0,0,0,44,1053,242,3,0,3,1303
POA6155,389,20,8,0,0,417,121,10,3,0,0,129,127,0,3,0,0,132,186,9,0,0,0,194,230,4,0,0,0,234,718,51,16,0,0,788,866,64,6,0,0,937,1586,142,27,0,0,1759,1094,55,16,0,0,1159,1002,41,5,0,0,1048,406,21,5,0,0,434,251,7,0,0,0,261,6971,429,94,4,4,7497
POA6156,90,24,0,0,0,115,28,3,0,0,0,34,22,3,0,0,0,27,36,10,0,0,0,46,52,16,5,0,0,77,173,35,6,0,0,216,177,47,0,0,0,225,363,82,4,0,4,456,236,51,0,0,0,288,358,51,0,0,0,412,288,19,0,0,7,317,86,12,0,0,0,106,1915,359,22,0,12,2313
POA6157,65,24,3,0,0,91,23,7,0,0,0,39,24,3,0,0,0,25,26,20,0,0,0,52,47,19,0,0,0,63,135,48,7,0,0,187,136,80,3,0,0,224,243,160,10,0,3,418,197,72,0,0,0,267,249,66,0,0,0,316,200,31,0,0,7,234,49,20,0,0,0,66,1402,563,23,0,6,1996
POA6158,51,12,3,0,0,65,9,6,0,0,0,18,6,3,0,0,0,12,9,3,7,0,0,15,22,8,3,0,0,35,58,7,17,0,0,85,49,11,24,0,0,81,111,24,27,0,0,164,62,15,3,0,0,80,122,23,11,0,0,155,234,18,3,0,0,251,34,3,5,0,0,35,767,136,98,0,0,1004
POA6159,15,3,7,0,0,17,3,5,0,0,0,9,3,0,3,0,0,7,3,4,3,0,0,9,5,3,0,0,0,8,9,10,3,0,0,21,17,20,10,0,0,44,19,28,14,0,0,70,17,16,13,0,0,50,25,24,14,0,0,65,46,25,20,0,0,96,4,3,6,0,0,15,163,150,98,0,0,408
POA6160,42,19,9,0,0,65,18,4,3,0,0,21,17,5,0,0,0,18,14,10,3,0,0,23,12,10,5,0,0,21,49,33,13,0,0,95,45,31,19,0,0,97,74,58,31,0,0,161,64,35,14,0,0,117,87,44,9,0,3,137,75,33,12,0,0,118,21,12,0,0,0,31,507,283,110,3,9,908
POA6161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6162,45,14,0,0,0,62,20,0,0,0,0,20,18,0,0,0,0,24,39,3,3,0,0,43,46,6,5,0,0,56,118,25,3,3,0,152,122,35,6,0,0,159,209,33,8,0,3,251,150,23,3,0,0,179,195,36,0,3,0,229,146,15,0,0,0,169,37,3,0,0,0,48,1156,190,28,9,10,1389
POA6163,303,43,9,0,0,360,133,24,0,0,0,165,107,14,3,0,0,128,201,31,9,0,0,246,266,39,12,0,0,321,623,123,41,0,3,784,755,143,58,0,0,954,1287,209,43,0,5,1549,815,77,18,0,6,920,666,49,25,0,3,746,321,57,18,0,0,396,228,39,16,0,0,279,5705,855,254,0,27,6844
POA6164,304,16,9,0,0,337,126,9,0,0,0,137,107,4,0,0,0,114,193,14,3,0,0,213,336,11,6,0,0,357,975,68,31,0,0,1076,1242,100,61,0,0,1402,2549,201,77,0,0,2827,1755,85,20,0,0,1861,1248,55,4,0,0,1308,504,21,7,0,0,526,318,11,3,0,0,336,9658,604,220,0,4,10489
POA6165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
POA6166,63,7,0,0,0,70,13,0,0,0,0,13,23,0,0,0,0,25,27,5,0,0,0,34,47,3,0,0,0,54,110,6,0,0,0,118,122,5,0,0,0,124,264,14,0,0,3,281,195,15,0,0,0,206,221,10,0,0,0,229,132,0,0,0,0,134,57,0,0,0,0,58,1269,63,0,3,3,1340
POA6167,138,4,3,0,0,147,82,3,4,0,0,91,74,4,0,0,0,76,138,5,14,0,0,155,192,6,13,0,0,211,643,25,29,3,0,700,964,27,13,7,3,1010,1091,43,9,13,3,1161,385,22,0,8,3,417,194,7,0,0,0,205,103,0,0,0,0,103,139,9,0,3,0,152,4146,160,81,34,10,4433
POA6168,132,13,3,0,0,146,74,5,3,0,0,86,74,3,8,0,0,83,148,19,3,0,0,166,147,21,0,0,0,165,434,38,9,0,0,486,588,36,16,0,0,639,657,26,8,0,0,695,175,13,7,0,0,200,123,7,0,0,0,137,47,7,3,0,0,62,96,4,3,0,0,106,2694,197,77,3,5,2970
POA6169,221,4,3,0,0,231,108,0,0,0,0,113,101,0,0,0,0,98,174,5,3,0,0,184,218,10,5,0,0,234,705,13,18,0,0,742,1027,19,20,0,0,1062,1417,12,8,3,0,1435,495,4,0,0,0,505,306,0,4,0,0,314,129,0,0,0,0,128,191,9,0,0,0,197,5098,71,58,6,3,5237
POA6170,63,0,0,0,0,65,20,0,0,0,0,20,19,0,0,0,0,19,44,0,0,0,0,51,59,0,0,0,0,55,213,13,0,0,0,221,428,11,0,0,0,443,898,10,0,0,5,919,418,3,0,0,4,425,171,3,0,0,0,176,80,0,0,0,0,84,62,3,0,0,3,66,2485,37,9,0,17,2544
POA6171,99,4,0,0,0,103,42,3,0,0,0,43,35,0,0,0,0,32,66,0,0,0,0,65,98,3,0,0,0,101,394,12,0,0,3,405,790,47,0,0,0,833,2270,37,0,3,4,2314,1118,0,0,3,7,1130,496,3,0,0,3,499,214,0,0,3,0,220,173,0,0,0,0,174,5793,109,0,3,18,5920
POA6172,75,0,0,0,0,70,35,0,0,0,0,37,35,0,0,0,0,35,60,0,0,0,0,60,80,4,0,0,0,81,286,7,0,0,0,291,447,5,0,0,0,453,691,6,0,0,0,697,264,5,0,0,0,272,157,0,0,0,0,153,55,0,0,0,0,60,70,0,0,0,0,70,2249,34,0,0,0,2283
POA6173,59,0,0,0,0,59,21,0,0,0,0,21,24,0,0,0,0,23,32,0,0,0,0,32,36,0,0,0,0,38,159,4,0,0,0,164,238,3,0,0,0,249,649,5,0,0,0,650,430,4,0,0,0,429,310,0,0,0,0,317,117,3,0,0,0,116,75,3,0,0,0,79,2149,23,0,0,0,2177
POA6174,20,0,0,0,0,19,11,0,0,0,0,12,8,0,0,0,0,6,4,0,0,0,0,5,21,0,0,0,0,19,66,6,0,0,0,79,104,20,0,0,0,126,211,15,0,0,0,229,113,0,0,0,0,113,67,0,0,0,3,67,17,0,0,0,0,18,26,0,0,0,0,30,673,51,0,0,6,728
POA6175,28,0,0,0,0,29,5,0,0,0,0,5,7,0,0,0,0,7,19,0,0,0,0,19,11,0,0,0,0,11,74,0,0,0,0,74,97,0,0,0,0,98,203,3,0,0,0,203,108,0,0,0,0,108,79,0,0,0,0,79,26,0,0,0,0,26,14,0,0,0,0,14,669,5,0,0,0,675
POA6176,8,0,0,0,0,8,4,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,3,20,0,0,0,0,20,40,0,0,0,0,40,124,0,0,0,0,124,37,0,0,0,0,37,15,0,0,0,0,15,16,0,0,0,0,16,11,0,0,0,0,11,278,0,0,0,0,276
POA6180,30,0,0,0,0,30,4,0,0,0,0,7,8,0,0,0,0,8,17,0,0,0,0,17,19,0,0,0,0,19,87,3,0,0,0,87,195,3,0,0,0,205,379,3,0,0,0,381,147,0,0,0,0,147,59,0,0,0,0,59,24,0,0,0,0,26,33,0,0,0,0,33,1000,12,0,0,0,1014
POA6181,4,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,8,0,0,0,0,8,5,0,0,0,0,5,20,0,0,0,0,20,13,0,0,0,0,13,24,0,0,0,0,24,12,0,0,0,0,12,8,0,0,0,0,8,92,0,0,0,0,92
POA6182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6207,6,0,0,0,0,10,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,5,0,0,0,0,5,16,0,0,0,0,16,19,0,0,0,0,19,26,0,0,0,0,27,21,0,0,0,0,21,36,0,0,0,0,38,16,0,0,0,0,13,10,0,0,0,0,10,176,0,0,3,0,179
POA6208,70,0,0,0,0,70,36,0,0,0,0,39,28,0,0,0,0,32,64,0,0,0,0,68,67,0,0,0,0,67,215,4,0,0,0,219,263,0,0,0,0,263,426,0,0,0,0,431,190,0,0,0,0,190,113,0,0,0,0,113,61,0,0,0,0,60,72,0,0,0,0,73,1604,16,5,4,0,1633
POA6209,14,0,0,0,0,18,3,3,0,0,0,4,4,0,0,0,0,4,9,0,0,0,0,7,11,0,0,0,0,11,26,0,0,0,0,32,26,0,0,0,0,28,46,0,0,0,0,44,29,0,0,0,0,29,23,0,0,0,0,23,16,0,0,0,0,16,15,0,0,0,0,13,237,4,0,3,0,243
POA6210,396,29,3,0,0,429,166,24,0,0,0,185,157,14,3,0,0,170,263,35,9,0,0,311,325,22,3,0,0,351,1071,92,29,0,0,1197,1498,124,21,0,6,1645,2187,76,22,0,8,2294,889,27,11,0,0,933,616,20,23,3,0,661,317,14,14,0,3,343,354,19,3,3,0,375,8235,495,138,10,13,8888
POA6211,41,0,0,0,0,42,18,0,0,0,0,23,18,0,0,0,0,18,34,0,0,0,0,31,42,0,0,0,0,42,120,3,0,0,0,124,164,3,0,0,0,166,306,0,0,0,0,310,159,0,0,0,0,162,85,0,0,0,0,90,53,0,3,0,0,56,33,0,0,0,0,33,1079,10,3,0,3,1097
POA6213,4,0,0,0,0,4,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,6,0,0,0,0,6,9,0,0,0,0,9,16,0,0,0,0,16,17,0,0,0,0,17,10,0,0,0,0,10,10,0,0,0,0,10,3,0,0,0,0,3,5,0,0,0,0,5,80,0,0,0,0,80
POA6214,4,0,0,0,0,4,4,0,0,0,0,4,5,0,0,0,0,5,4,0,0,0,0,4,7,0,0,0,0,7,6,0,0,0,0,6,19,0,0,0,0,19,12,0,0,0,0,12,8,0,0,0,0,10,11,0,0,0,0,11,4,0,0,0,0,4,6,0,0,0,0,6,95,0,0,0,0,95
POA6215,21,0,0,0,0,26,14,0,0,0,0,13,17,0,0,0,0,17,21,0,0,0,0,21,33,0,0,0,0,30,73,0,0,3,0,78,96,0,3,3,0,96,107,0,0,0,0,107,45,0,0,0,0,48,48,0,0,0,0,45,20,0,0,0,0,20,25,0,0,0,0,25,512,4,4,10,0,531
POA6218,4,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,3,3,0,0,0,0,3,8,0,0,0,0,8,3,0,0,0,0,3,5,0,0,0,0,5,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,44,0,0,0,0,44
POA6220,31,0,0,0,0,31,13,0,0,0,0,13,9,0,0,0,0,9,18,0,0,0,0,18,31,0,0,0,0,27,65,0,0,0,0,65,85,0,0,0,0,87,113,0,0,0,0,113,49,0,0,0,0,49,35,0,0,0,0,35,21,0,0,0,0,21,36,0,0,0,0,36,493,0,0,0,0,497
POA6221,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,6,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,24,0,0,0,0,24
POA6223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,7,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,0,20,0,0,0,0,26
POA6224,8,0,0,0,0,8,3,0,0,0,0,4,4,0,0,0,0,4,6,0,0,0,0,6,8,0,0,0,0,8,32,0,0,0,0,32,34,0,0,0,0,34,24,0,0,0,0,23,8,0,0,0,0,8,11,0,0,0,0,15,3,0,0,0,0,3,11,0,0,0,0,8,161,0,0,0,4,169
POA6225,48,0,0,0,0,48,48,0,0,0,0,46,40,0,0,0,0,40,70,0,0,0,0,76,82,0,0,0,0,82,239,4,0,0,0,238,236,0,0,0,0,242,234,0,0,0,0,238,73,0,0,0,0,75,82,0,0,0,0,82,28,0,0,0,0,28,53,0,0,0,0,53,1239,7,0,3,3,1250
POA6226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,5,6,0,0,0,0,7,21,0,0,0,3,23,33,0,0,0,4,38,24,0,0,0,0,25,30,0,0,0,3,36,3,0,0,0,0,6,8,0,0,0,0,8,140,0,0,0,9,152
POA6227,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,4,0,0,0,0,4,14,0,0,0,0,14,24,0,0,0,0,24,46,0,0,0,0,46,18,0,0,0,0,18,11,0,0,0,0,11,4,0,0,0,0,4,3,0,0,0,0,3,129,0,0,0,0,129
POA6228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,12,0,0,0,0,12
POA6229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,12
POA6230,236,18,6,0,3,259,104,11,0,0,0,121,98,10,0,0,0,106,198,15,3,6,0,216,248,24,3,0,0,275,812,89,6,0,0,911,1082,71,8,0,3,1165,1383,43,9,0,3,1435,534,18,3,0,0,549,330,18,4,0,0,357,173,7,0,0,0,177,179,12,6,0,0,197,5374,333,49,10,10,5772
POA6232,61,5,0,0,0,62,30,0,0,0,0,35,19,0,0,0,0,21,38,0,0,0,0,38,80,0,0,0,0,83,237,8,0,0,0,250,330,9,0,0,0,346,540,3,0,0,0,553,185,3,0,0,0,189,83,0,0,0,0,82,30,0,0,0,0,26,64,0,0,0,0,69,1711,42,0,0,0,1753
POA6233,95,5,0,0,0,101,47,0,0,0,0,53,40,0,0,0,0,42,89,0,0,0,0,88,123,0,0,3,0,132,346,3,0,0,0,351,597,3,0,0,0,605,894,6,0,0,0,900,340,0,0,0,0,340,216,0,0,0,0,219,86,0,0,0,0,86,103,0,0,0,0,103,2982,26,3,3,4,3013
POA6236,8,0,0,0,0,8,10,0,0,0,0,10,4,0,0,0,0,4,6,0,0,0,0,6,8,0,0,0,0,8,36,0,0,0,0,36,40,0,0,0,0,40,65,0,0,0,0,65,42,0,0,0,0,42,24,0,0,0,0,24,27,0,0,0,3,28,17,0,0,0,0,17,287,0,0,0,3,289
POA6237,12,0,0,0,0,12,7,0,0,0,0,7,10,0,0,0,0,7,7,0,0,0,0,8,24,0,0,0,0,20,38,0,0,0,0,36,52,0,0,0,0,54,76,0,0,0,0,76,46,0,0,0,0,46,50,0,0,0,0,49,20,0,0,0,0,21,14,0,0,0,0,14,353,0,3,3,0,364
POA6239,22,0,0,0,0,22,11,0,0,0,0,8,16,0,0,0,0,16,36,0,0,0,0,36,34,0,0,0,0,41,105,0,0,0,0,109,118,0,0,0,0,120,126,0,0,0,0,131,52,0,0,0,0,52,38,0,0,0,0,40,21,0,0,0,0,22,35,0,0,0,0,35,620,9,0,4,4,634
POA6240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,23,0,0,0,0,23
POA6243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
POA6244,17,0,0,0,0,17,6,0,0,0,0,6,3,0,0,0,0,7,8,0,0,0,0,8,13,0,0,0,0,13,31,0,0,0,0,31,21,0,0,0,0,21,19,0,0,0,0,19,5,0,0,0,0,5,10,0,0,0,0,10,10,0,0,0,0,10,7,0,0,0,0,11,151,0,0,3,0,154
POA6251,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,13,0,0,0,0,13,6,0,0,0,0,6,6,0,0,0,0,6,3,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,45
POA6252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15
POA6253,12,0,0,0,0,12,4,0,0,0,0,4,3,0,0,0,0,3,3,0,0,0,0,6,3,0,0,0,0,4,17,0,0,0,0,17,11,0,0,0,0,12,15,0,0,0,0,15,6,0,0,0,0,4,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,4,6,81
POA6254,11,0,0,0,0,11,3,0,0,0,0,3,3,0,0,0,0,4,5,0,0,0,0,5,9,0,0,0,0,9,14,0,0,0,0,14,5,0,0,0,0,8,12,0,0,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,67,0,0,0,0,73
POA6255,37,0,0,0,0,37,24,0,0,0,0,24,17,0,0,0,0,14,35,0,0,0,0,32,31,0,0,0,0,31,75,0,0,0,0,75,115,0,0,0,0,115,94,0,0,0,0,94,46,0,0,0,0,46,32,0,0,0,0,36,15,0,0,0,0,15,23,0,0,0,0,23,527,0,0,3,3,531
POA6256,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,4,0,0,0,0,4,7,0,0,0,0,7,5,0,0,0,0,5,3,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,43,0,0,0,0,39
POA6258,33,0,0,0,0,33,30,0,0,0,0,25,18,0,0,0,0,21,46,3,0,0,0,49,60,0,0,0,0,69,189,4,0,0,0,189,132,0,0,0,0,132,107,0,0,0,0,107,41,0,0,0,0,41,27,0,0,0,0,27,30,0,0,0,0,37,31,0,0,0,0,33,742,9,3,0,0,764
POA6260,12,0,0,0,0,12,8,0,0,0,0,8,9,0,0,0,0,8,7,0,0,0,0,7,9,0,0,0,0,9,35,0,0,0,0,34,25,0,0,0,0,25,23,0,0,0,0,23,4,0,0,0,0,4,3,0,0,0,0,3,5,0,0,0,0,5,4,0,0,0,0,5,144,0,0,0,0,141
POA6262,3,0,0,0,0,3,7,0,0,0,0,7,0,0,0,0,0,0,10,0,0,0,0,10,7,0,0,0,0,7,18,0,0,0,0,23,8,0,0,0,0,11,6,0,0,0,0,7,3,0,0,0,0,3,4,0,0,0,0,4,3,0,0,0,0,3,6,0,0,0,0,6,70,0,0,3,0,77
POA6271,20,0,0,0,0,20,15,0,0,0,0,15,0,0,0,0,0,0,17,0,0,0,0,17,27,0,0,0,0,27,98,0,0,0,0,98,104,0,0,0,0,101,143,0,0,0,0,141,47,0,0,0,0,47,21,0,0,0,0,21,9,0,0,0,0,14,20,0,0,0,0,20,519,3,0,0,0,528
POA6275,12,0,0,0,0,13,4,0,0,0,0,4,4,0,0,0,0,8,8,0,0,0,0,8,7,0,0,0,0,8,30,0,0,3,0,33,16,0,0,0,0,21,26,0,0,0,0,23,8,0,0,0,0,8,12,0,0,0,0,12,8,0,0,0,0,8,10,0,0,0,0,10,144,0,0,4,0,153
POA6280,175,5,0,0,0,176,49,3,0,0,0,51,60,8,0,0,0,67,107,6,0,0,0,118,141,5,0,0,0,142,446,11,0,0,0,456,560,16,0,4,0,580,888,30,0,3,0,918,377,4,0,3,0,387,241,3,0,3,3,252,117,0,0,3,0,120,120,0,0,0,0,124,3272,104,3,14,7,3404
POA6281,61,0,0,0,0,65,23,0,0,0,0,20,11,0,0,0,0,11,23,0,0,0,3,25,36,3,0,0,0,40,96,3,0,0,0,96,123,3,0,0,0,134,240,3,0,0,0,245,128,3,0,0,0,133,102,0,0,0,0,102,45,3,0,0,0,45,52,4,0,0,0,56,940,23,0,7,6,978
POA6282,14,0,0,0,0,14,4,0,0,0,0,4,4,0,0,0,0,4,6,0,0,0,0,6,6,0,0,0,0,6,19,0,0,0,0,19,20,0,0,0,0,20,29,0,0,0,0,29,18,0,0,0,0,18,36,0,0,0,0,36,17,0,0,0,0,17,11,0,0,0,0,11,174,0,0,0,0,179
POA6284,10,0,0,0,0,10,7,0,0,0,0,7,7,0,0,0,0,7,11,0,0,0,0,11,14,0,0,0,0,11,39,0,0,0,0,39,43,0,0,0,0,47,86,0,0,0,0,89,47,0,0,0,0,49,41,0,0,0,0,41,10,0,0,0,0,10,8,0,0,0,0,14,315,0,0,5,3,323
POA6285,51,0,0,0,0,53,31,0,0,0,0,28,24,0,0,0,0,24,49,3,0,0,0,46,66,3,0,0,0,64,161,9,0,0,0,178,225,3,0,3,0,228,288,4,0,4,0,294,113,4,0,0,0,117,118,0,0,0,0,117,58,0,0,0,0,58,59,0,0,0,0,61,1237,25,0,12,6,1281
