POA_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
POA6071,35,0,0,0,0,35,15,0,0,0,0,15,5,0,0,0,0,5,15,0,0,0,0,15,20,0,0,0,0,20,68,0,0,0,0,68,67,0,0,0,0,65,123,0,0,0,0,127,79,0,0,0,0,79,90,0,0,0,0,90,37,0,0,0,0,42,18,0,0,0,0,18,580,0,0,0,0,584
POA6072,0,0,0,0,0,0,7,0,0,0,0,7,3,0,0,0,0,3,4,0,0,0,0,4,3,0,0,0,0,3,13,0,0,0,0,13,18,0,0,0,0,14,32,0,0,0,0,32,22,0,0,0,0,22,11,0,0,0,0,11,8,0,0,0,0,8,10,0,0,0,0,10,128,0,0,0,0,128
POA6073,28,0,0,0,0,28,9,0,0,0,0,9,10,0,0,0,0,10,12,0,0,0,0,12,19,0,0,0,0,19,51,0,0,0,0,51,61,0,0,0,0,56,93,0,0,0,0,93,55,0,0,0,0,55,60,0,0,0,0,60,33,0,0,0,0,33,24,0,0,0,0,24,447,3,0,0,0,447
POA6074,6,0,0,0,0,12,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,7,17,0,0,0,0,16,28,0,0,0,0,28,36,0,0,0,0,36,22,0,0,0,0,22,28,0,0,0,0,28,3,0,0,0,0,3,14,0,0,0,0,14,161,0,3,0,0,168
POA6076,182,3,0,0,0,185,64,0,0,0,0,64,51,0,0,0,0,53,90,0,0,0,0,90,113,3,0,0,0,117,343,6,0,3,0,355,324,7,0,3,0,335,605,5,0,0,0,622,427,3,0,0,3,431,485,0,0,4,5,492,259,0,0,3,0,261,119,4,0,0,0,125,3064,34,5,13,10,3125
POA6077,6,0,0,0,0,6,8,0,0,0,0,8,0,0,0,0,0,0,6,0,0,0,0,6,5,0,0,0,0,5,18,0,0,0,0,18,12,0,0,0,0,12,11,0,0,0,0,15,15,0,0,0,0,15,28,0,0,0,0,28,43,0,0,0,0,43,15,0,0,0,0,15,164,0,0,0,0,167
POA6078,15,0,0,0,0,15,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,7,0,0,0,0,7,7,0,0,0,0,7,6,0,0,0,0,6,25,0,0,0,0,25,10,0,0,0,0,10,20,0,0,0,0,20,24,0,0,0,0,24,5,0,0,0,0,5,123,0,0,0,0,123
POA6079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
POA6081,44,0,0,0,0,44,20,0,0,0,0,20,15,0,0,0,0,15,28,0,0,0,0,28,25,0,0,0,0,25,97,0,0,0,0,95,101,0,0,0,0,101,180,0,0,0,0,180,118,0,0,0,0,118,120,0,0,0,0,116,54,0,0,0,0,54,38,0,0,0,0,38,833,0,0,0,0,837
POA6082,30,0,0,0,0,30,9,0,0,0,0,9,13,0,0,0,0,13,19,0,0,0,0,19,31,0,0,0,0,31,46,0,0,0,0,46,81,0,0,0,0,87,119,0,0,0,0,121,98,0,0,0,0,100,101,0,0,0,0,101,25,0,0,0,0,25,19,0,0,0,0,19,597,5,0,0,0,599
