region_id,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_199_Family_households,HI_1_199_Non_family_hseholds,HI_1_199_Tot,HI_200_299_Family_households,HI_200_299_Non_fam_househlds,HI_200_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_599_Family_households,HI_400_599_Non_fam_househlds,HI_400_599_Tot,HI_600_799_Family_households,HI_600_799_Non_fam_househlds,HI_600_799_Tot,HI_800_999_Family_households,HI_800_999_Non_fam_househlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1999_Fam_households,HI_1500_1999_Non_fam_hsehlds,HI_1500_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
POA6082,4,5,9,7,0,7,3,5,8,10,28,38,56,14,70,42,29,71,47,21,68,58,19,77,64,12,76,133,12,145,98,0,98,80,14,94,63,0,63,32,0,32,33,0,33,121,4,125,17,10,27,868,173,1041
POA6083,13,7,20,10,6,16,3,10,13,8,29,37,60,25,85,44,15,59,49,20,69,49,22,71,53,11,64,95,17,112,121,0,121,122,10,132,77,0,77,30,0,30,60,3,63,162,4,166,16,5,21,972,184,1156
POA6084,15,18,33,21,8,29,10,13,23,19,46,65,109,46,155,107,34,141,105,34,139,117,35,152,127,22,149,225,27,252,193,9,202,201,22,223,121,0,121,41,0,41,68,4,72,283,7,290,30,10,40,1792,335,2127
POA6090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
POA6100,44,78,122,27,58,85,20,106,126,21,232,253,162,232,394,169,196,365,189,205,394,220,214,434,219,168,387,395,260,655,353,72,425,413,284,697,309,46,355,177,17,194,243,28,271,306,98,404,51,57,108,3318,2351,5669
POA6101,46,67,113,39,50,89,29,159,188,47,356,403,190,216,406,231,222,453,212,180,392,237,214,451,236,198,434,398,245,643,422,62,484,439,205,644,317,29,346,156,15,171,218,27,245,371,121,492,50,86,136,3638,2452,6090
POA6102,51,128,179,58,88,146,26,230,256,52,482,534,213,352,565,218,205,423,194,141,335,198,170,368,168,127,295,274,146,420,258,47,305,186,113,299,138,18,156,59,15,74,82,15,97,244,148,392,51,107,158,2470,2532,5002
POA6103,19,40,59,29,43,72,17,115,132,24,246,270,160,129,289,121,104,225,118,116,234,111,110,221,137,89,226,223,138,361,229,38,267,207,110,317,154,26,180,70,8,78,129,20,149,183,80,263,37,72,109,1968,1484,3452
POA6104,23,49,72,39,41,80,21,136,157,49,324,373,235,145,380,202,123,325,184,137,321,185,148,333,216,129,345,424,142,566,383,28,411,339,146,485,200,21,221,101,21,122,168,23,191,384,87,471,72,82,154,3225,1782,5007
POA6105,42,38,80,43,40,83,33,101,134,57,366,423,347,190,537,260,165,425,224,125,349,266,151,417,272,121,393,432,154,586,357,40,397,290,98,388,193,24,217,75,9,84,97,12,109,381,72,453,82,75,157,3451,1781,5232
