POA_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
POA6000,769,1490,4099,1727,1002,839,465,212,87,10689,3,0,4,3,0,0,3,0,0,14,10,25,111,153,172,124,51,9,7,658,14,30,117,113,189,105,40,15,0,623,3,26,60,93,145,96,34,7,0,468,3,3,38,46,57,39,12,5,3,211,47,163,334,313,324,236,159,86,39,1706,0,0,3,14,19,13,0,0,0,52,0,0,7,12,12,8,7,0,0,38,4,3,12,4,7,3,6,0,0,35,0,0,0,0,0,0,0,0,0,0,80,249,675,737,928,632,311,122,52,3789,81,245,684,741,929,634,311,126,52,3801,851,1737,4781,2469,1930,1474,777,339,140,14493
POA6003,212,392,1346,540,316,290,156,71,20,3347,0,3,8,4,7,5,3,0,0,33,0,0,6,7,4,4,3,0,0,21,0,0,0,3,8,3,3,0,0,14,0,0,0,0,8,3,0,0,0,13,3,0,3,3,3,0,0,0,0,11,4,48,55,46,19,12,3,3,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,48,64,56,37,23,10,3,0,250,8,55,77,66,43,29,10,3,0,283,220,447,1421,604,353,319,166,75,22,3631
POA6004,610,1352,3570,1397,1007,1009,652,256,67,9911,0,3,3,0,3,0,6,3,0,14,8,10,46,88,94,77,20,6,3,357,3,4,43,66,75,60,20,8,0,279,0,11,19,36,42,47,18,3,0,178,0,0,12,25,31,15,9,7,0,94,34,76,170,125,109,77,34,13,3,651,6,0,0,3,14,9,0,4,0,30,0,3,7,4,0,3,0,0,0,22,0,3,3,3,9,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,55,105,305,347,377,281,106,44,11,1618,55,110,304,351,377,280,108,45,11,1638,664,1461,3872,1744,1384,1286,763,300,81,11549
POA6005,333,585,1938,817,513,418,346,180,105,5238,0,3,3,3,0,0,0,0,0,8,0,0,19,14,11,18,10,3,0,73,0,0,15,20,13,18,9,0,0,76,3,3,3,5,19,10,3,0,0,47,0,0,3,3,6,0,4,0,0,21,14,41,72,56,54,41,26,6,0,314,0,0,0,0,0,4,3,0,0,9,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,48,118,93,109,96,57,8,0,547,17,54,116,94,106,96,58,8,0,555,352,642,2054,915,615,513,408,194,105,5795
POA6006,1365,868,1535,1288,1221,909,520,415,240,8356,0,0,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,11,20,27,20,21,13,6,5,4,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,20,32,22,19,14,7,5,5,139,11,20,34,27,19,14,7,7,5,151,1381,886,1572,1315,1238,920,530,425,250,8504
POA6007,966,764,1661,1079,785,661,446,237,149,6751,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,4,0,15,3,0,3,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,20,35,37,22,17,18,16,5,0,169,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,21,35,40,25,18,20,26,10,0,204,25,35,42,23,18,25,28,10,0,204,987,796,1704,1106,808,681,472,248,152,6955
POA6008,2426,1517,2377,2040,1889,1754,1420,675,262,14361,3,4,0,0,4,3,9,4,0,23,8,0,11,3,4,6,5,7,0,45,0,0,3,3,4,3,3,0,0,12,0,0,3,3,0,3,0,0,0,12,0,0,0,0,3,0,0,0,0,0,226,91,175,145,119,93,149,96,36,1132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,231,94,191,162,135,109,157,104,41,1206,233,97,194,162,140,112,165,107,38,1236,2656,1610,2569,2197,2026,1866,1587,779,301,15591
POA6009,3022,4053,2000,1854,2092,1910,1638,819,408,17794,0,9,3,3,0,3,0,0,0,19,0,3,4,0,5,9,3,3,0,32,5,4,4,4,3,0,4,0,0,25,0,3,3,0,3,5,0,0,0,17,0,0,0,0,0,0,0,0,0,10,34,269,117,75,141,162,218,204,183,1397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,38,288,132,89,146,184,228,203,183,1483,38,292,128,89,153,182,228,206,185,1500,3064,4341,2136,1941,2246,2091,1867,1025,589,19296
POA6010,2881,2250,1598,1731,2210,1953,1679,1065,612,15986,0,3,0,4,3,5,4,3,3,26,0,0,4,4,0,0,6,4,0,26,0,3,6,3,0,7,3,0,0,20,3,4,6,0,3,4,3,0,0,26,0,0,3,0,0,3,0,0,0,5,62,79,82,57,58,50,44,20,11,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,3,0,3,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,63,88,109,72,69,62,57,31,11,560,65,90,105,73,66,72,59,32,9,582,2949,2336,1707,1807,2276,2022,1742,1098,624,16568
POA6011,1596,1118,952,892,1236,1155,830,403,239,8422,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,5,3,0,0,23,4,0,5,0,11,5,0,0,0,31,3,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,3,3,0,8,39,46,34,21,40,20,18,15,7,242,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,47,26,51,38,34,17,7,323,50,50,47,26,53,38,35,17,7,329,1645,1169,997,919,1293,1192,866,423,248,8751
