POA_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
POA6313,0,0,0,49,58,23,30,35,47,248
POA6315,24,12,64,296,366,244,209,301,205,1629
POA6316,0,0,0,43,75,39,35,42,30,271
POA6317,42,21,95,619,669,371,333,807,535,3343
POA6318,0,4,9,83,105,52,40,70,57,412
POA6320,0,4,10,83,107,46,60,81,77,455
POA6321,3,3,10,61,87,46,44,105,41,397
POA6322,0,0,3,18,46,32,38,29,25,190
POA6323,0,0,3,134,216,142,127,126,101,843
POA6324,37,23,88,507,732,402,376,441,421,2880
POA6326,0,0,5,85,101,59,64,55,45,409
POA6327,0,3,7,33,48,29,29,44,28,220
POA6328,0,0,3,80,78,53,52,45,40,342
POA6330,436,215,1034,5885,7855,3865,3343,5360,2924,29230
POA6333,28,34,117,816,1392,783,572,702,570,4837
POA6335,5,3,9,125,134,54,83,140,83,615
POA6336,0,0,0,40,65,21,38,41,48,260
POA6337,0,0,3,74,104,55,46,58,71,407
POA6338,0,0,6,109,154,76,78,75,68,562
POA6341,0,0,0,51,59,29,31,32,32,236
POA6343,0,0,0,37,28,29,31,44,30,196
POA6346,0,3,6,109,134,63,74,149,85,616
POA6348,4,0,11,121,145,101,99,155,100,712
POA6350,3,0,3,48,57,30,48,35,36,257
POA6351,0,0,0,13,20,12,13,3,5,62
POA6352,0,0,0,26,34,9,20,14,33,144
POA6353,4,0,11,141,159,85,78,90,72,624
POA6355,0,0,3,71,79,41,46,62,24,324
POA6356,0,0,0,21,24,13,10,23,14,97
POA6357,0,0,0,16,17,5,4,12,8,63
POA6358,0,0,0,28,14,14,7,17,5,82
POA6359,0,0,0,75,92,54,35,68,37,357
POA6361,0,0,0,28,19,16,10,14,11,91
POA6363,0,0,0,14,18,12,20,10,7,76
