POA_CODE_2016,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
POA6107,0,5,21,7,11,10,3,0,0,63,3,33,204,167,97,50,11,0,0,560,17,71,289,256,174,106,27,3,0,951,0,10,38,50,45,11,3,0,0,157,50,150,513,349,248,156,39,0,0,1510,0,37,155,113,93,62,11,0,0,479,80,188,319,157,99,57,21,3,0,924,160,244,326,126,65,29,11,0,0,963,11,70,387,280,220,149,44,8,0,1176,4,12,64,32,24,12,3,0,0,146,0,9,87,64,28,8,5,0,0,209,0,13,41,31,27,17,14,0,0,148,0,61,265,206,100,48,15,4,0,693,12,67,167,108,65,52,16,0,0,492,7,39,174,145,121,96,22,3,0,609,11,30,120,104,48,56,15,0,0,390,3,50,193,151,77,68,24,0,0,565,13,32,82,25,23,16,8,0,0,199,13,71,146,107,77,48,15,0,0,485,17,107,273,192,124,52,25,3,0,791
POA6108,0,3,9,7,3,4,0,0,0,24,3,14,76,83,90,42,3,0,0,315,9,43,115,158,130,119,33,0,0,606,0,3,23,20,25,13,3,0,0,84,30,103,237,196,168,129,26,0,0,893,9,14,69,55,56,41,14,0,0,261,63,80,105,47,67,66,17,0,0,439,90,62,62,33,30,17,3,0,0,297,6,25,117,133,142,118,33,4,0,573,4,6,19,23,10,11,3,0,0,73,0,4,39,32,24,14,3,0,0,110,0,8,19,16,16,18,10,0,0,91,3,14,85,79,57,37,14,0,0,289,5,14,37,40,37,38,11,0,0,183,7,15,77,70,88,103,13,4,0,361,7,19,39,49,47,52,13,0,0,224,12,11,54,50,43,35,11,0,0,214,7,14,22,12,18,13,5,0,0,92,17,40,76,70,58,40,5,0,0,295,16,47,105,91,79,47,12,0,0,393
POA6109,3,3,5,8,6,3,3,0,0,32,0,11,33,47,35,19,3,0,0,147,0,19,91,105,62,41,7,3,0,321,0,0,10,6,12,10,0,0,0,33,9,64,136,112,97,46,12,0,0,486,0,16,28,32,31,17,11,0,0,133,20,45,73,52,18,16,3,0,0,233,43,35,40,17,17,3,3,0,0,164,0,17,79,89,76,71,20,0,0,349,0,0,11,9,4,3,4,0,0,34,0,0,14,13,8,4,0,0,0,38,0,0,7,14,3,3,0,0,0,30,3,5,29,30,9,15,0,0,0,99,4,9,28,21,17,15,7,0,0,94,0,6,34,28,29,29,8,0,0,130,3,4,14,10,24,17,7,0,0,70,0,3,13,26,18,21,8,0,0,91,0,6,5,3,11,8,0,0,0,31,10,17,33,30,34,19,0,0,0,150,9,35,59,59,36,36,7,5,0,245
POA6110,3,12,18,9,19,11,0,3,0,81,4,20,169,192,141,72,11,0,0,603,26,76,277,284,223,135,25,0,0,1047,0,9,47,34,34,35,4,0,0,158,52,191,444,399,309,193,23,3,0,1618,4,30,122,142,107,61,16,0,0,486,95,166,209,171,114,69,16,3,0,846,142,75,108,61,48,25,3,0,0,469,6,54,236,218,248,160,44,0,0,963,8,12,21,30,10,14,0,0,0,95,0,6,38,33,18,14,5,0,0,118,0,7,22,19,28,23,8,0,0,111,4,31,137,152,69,44,12,0,0,440,5,35,80,82,68,41,11,0,0,324,4,27,105,149,132,111,23,3,0,551,9,20,50,56,61,59,21,0,0,273,6,18,90,103,82,79,17,0,0,406,10,16,23,30,16,13,3,0,0,112,7,48,118,117,85,78,21,3,0,484,43,71,184,151,156,68,22,3,0,692
POA6111,3,5,6,13,15,23,12,8,0,92,0,14,87,113,122,67,6,0,0,420,16,28,124,121,116,89,29,3,0,527,0,5,12,16,26,19,6,0,0,87,36,106,220,184,212,137,28,7,0,928,3,19,58,53,62,31,4,0,0,232,64,88,91,79,54,54,26,0,0,453,67,40,33,23,21,13,3,0,0,200,6,22,87,99,144,114,30,0,0,504,3,4,16,3,10,12,3,0,0,57,0,3,15,20,14,12,4,0,0,72,0,9,14,10,16,16,10,4,0,89,6,19,45,68,74,49,21,0,0,287,5,11,27,36,49,32,8,0,0,176,3,17,56,65,80,109,20,3,0,349,4,18,24,49,51,60,10,0,0,220,3,6,42,42,48,60,16,3,0,228,3,10,22,10,11,4,3,0,0,68,18,38,60,58,55,41,17,3,0,291,12,35,86,75,85,56,15,4,0,376
POA6112,0,7,28,17,23,12,3,8,0,102,3,41,334,286,198,76,5,0,0,941,48,132,425,395,247,180,29,3,0,1446,0,13,65,60,58,22,7,0,0,230,95,280,771,499,386,216,37,3,0,2286,7,35,204,173,123,73,13,3,0,637,108,208,329,207,141,91,30,4,0,1121,194,127,153,103,46,20,3,0,0,651,11,76,397,320,301,209,42,3,0,1357,0,10,47,45,21,18,4,0,0,146,0,6,81,64,34,19,7,0,0,202,3,10,59,36,38,26,3,0,0,179,4,38,289,239,121,55,26,7,0,776,9,49,115,101,56,58,9,3,0,412,6,38,210,208,186,134,38,0,0,820,9,17,110,128,87,76,23,3,0,457,10,22,171,170,126,73,23,0,0,593,14,24,34,41,18,15,7,3,0,149,35,64,195,148,120,86,24,3,0,678,36,102,222,215,167,80,22,4,0,841
POA6121,8,3,0,5,8,6,4,3,0,43,0,4,10,14,12,7,0,0,0,50,3,15,3,13,32,14,11,0,0,87,0,0,0,3,3,7,3,0,0,15,9,18,27,30,60,27,8,0,0,177,0,4,3,5,12,11,0,0,0,37,17,7,4,5,13,8,3,0,0,54,6,3,4,0,3,0,0,0,0,17,0,4,4,14,19,16,7,0,0,70,3,0,0,5,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,5,5,12,10,3,0,0,0,35,0,3,3,3,3,6,0,0,0,19,0,3,3,4,22,7,3,0,0,39,3,0,7,0,9,8,0,0,0,27,0,0,0,5,6,5,0,0,0,19,3,0,0,4,3,5,0,0,0,20,3,3,6,10,11,6,4,0,0,41,8,3,3,7,17,10,4,3,0,61
POA6122,3,3,8,3,5,9,6,0,0,31,0,31,160,124,89,36,7,0,0,442,19,52,153,93,88,65,11,0,0,472,0,3,29,16,14,17,3,0,0,75,50,128,338,200,133,86,8,0,0,947,6,23,61,52,46,18,7,0,0,202,45,47,106,53,35,23,4,0,0,313,51,24,34,22,15,3,0,0,0,143,0,29,151,118,87,68,18,0,0,477,0,3,12,3,0,0,0,0,0,29,0,3,16,21,8,3,0,0,0,51,0,3,23,17,13,3,5,0,0,60,0,6,51,34,46,18,5,0,0,165,0,11,43,23,17,8,0,0,0,106,3,10,78,70,51,25,7,0,0,253,3,4,19,27,28,22,6,0,0,115,0,5,31,42,25,13,3,0,0,117,5,7,14,10,7,3,0,0,0,48,4,39,83,54,40,25,3,0,0,252,15,35,70,77,57,33,6,0,0,286
POA6123,0,0,0,3,3,4,3,0,0,16,0,0,13,9,17,3,0,0,0,40,0,3,7,10,6,7,0,0,0,39,0,3,0,3,0,4,0,0,0,9,10,13,23,18,28,13,3,0,0,93,0,3,3,5,3,8,0,0,0,17,5,6,9,0,3,3,0,0,0,22,9,0,0,0,0,0,0,0,0,6,3,0,6,8,10,11,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,3,0,0,0,0,0,0,0,7,0,3,3,0,0,3,0,0,0,16,0,0,0,0,5,12,0,0,0,25,0,0,0,3,0,3,0,0,0,8,0,0,0,3,0,0,0,0,0,6,3,0,3,0,0,4,0,0,0,7,0,4,5,4,3,0,0,0,0,14,3,0,9,4,3,3,0,0,0,26
POA6124,0,3,3,4,0,0,3,0,0,17,0,0,5,10,13,3,0,0,0,36,3,0,3,3,5,6,3,0,0,22,0,0,0,0,0,0,0,0,0,3,3,9,8,10,24,3,3,0,0,57,0,0,3,0,0,0,0,0,0,3,0,0,5,0,3,3,0,0,0,12,4,3,0,0,0,0,0,0,0,10,0,0,3,0,3,6,3,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,5,0,0,0,16,0,0,3,0,5,3,0,0,0,9,0,0,4,7,11,4,0,0,0,23,0,0,0,0,3,4,0,0,0,9,0,0,0,0,3,4,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,3,3,0,7,3,0,0,0,12,0,5,4,0,0,5,3,0,0,20
