region_id,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA6149,0,6,10,15,23,81,81,96,65,377,3,0,3,0,8,8,8,7,9,46,33,34,47,81,77,96,66,91,138,663,838,1564,1766,2156,2984,3041,1284,718,445,14796
POA6150,3,3,5,7,22,42,57,89,50,278,0,0,0,0,8,11,7,14,10,50,43,51,39,47,71,56,52,103,78,540,768,1552,1270,1371,1935,1793,986,672,297,10644
POA6151,4,0,17,22,15,28,49,52,46,233,0,4,12,0,8,8,4,0,5,41,47,142,252,169,158,205,124,106,81,1284,516,1484,2775,2346,2273,2161,1080,521,324,13480
POA6152,4,7,21,22,37,73,83,159,127,533,0,4,10,8,9,17,8,14,7,77,98,179,313,200,198,175,157,219,219,1758,1044,2764,4071,2946,3005,2860,1582,1201,782,20255
POA6153,0,6,3,10,19,44,69,115,52,318,0,0,3,5,6,3,6,3,6,32,50,115,192,139,163,166,132,125,86,1168,701,1471,2189,2385,2865,2684,1563,1073,467,15398
POA6154,0,4,3,9,5,24,63,111,69,288,3,0,0,3,0,3,3,3,3,18,34,35,50,75,67,69,65,121,110,626,353,565,981,1337,1326,1046,799,797,432,7636
POA6155,3,3,24,76,121,197,204,140,54,822,5,8,23,17,40,35,28,35,18,209,167,335,587,473,324,291,170,103,44,2494,2202,3828,6184,7433,7214,5346,2401,980,327,35915
POA6156,4,8,15,22,20,49,107,182,76,483,7,0,7,9,6,3,9,7,7,55,49,38,88,133,101,112,97,163,76,857,542,868,1831,2552,2192,1593,1135,1088,388,12189
POA6157,3,0,5,7,13,39,98,131,70,366,0,3,0,0,7,5,8,0,0,23,33,39,74,114,94,95,110,139,104,802,358,681,1734,1968,1880,1601,1024,805,427,10478
POA6158,0,0,0,5,4,13,41,56,32,151,0,0,0,0,3,6,0,4,7,20,16,35,44,66,66,59,47,57,56,446,187,400,653,1006,1184,965,503,347,156,5401
POA6159,0,0,0,4,0,7,8,18,5,42,0,0,0,0,0,3,0,0,0,3,14,17,51,32,41,49,28,48,41,321,58,143,453,388,342,455,291,145,66,2341
POA6160,4,0,4,7,18,45,78,110,48,314,0,6,3,3,6,3,6,15,4,46,31,41,136,79,96,112,74,73,33,675,206,570,1430,1088,1149,1118,643,382,145,6731
POA6161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,6,4,18,31,15,23,9,0,0,0,100
POA6162,0,0,7,8,27,100,203,229,83,657,0,0,3,6,4,9,25,51,16,114,38,24,99,96,113,99,97,103,41,710,288,534,1309,1592,1589,1383,849,630,216,8390
POA6163,5,7,34,78,154,441,782,729,217,2447,4,7,29,25,40,46,83,127,46,407,115,196,359,423,399,373,435,467,306,3073,1658,3349,6040,6644,6612,5594,3844,2559,911,37211
POA6164,9,14,33,78,126,211,259,136,49,915,0,0,11,28,18,25,25,26,8,141,159,166,520,468,354,273,173,132,29,2274,1788,3403,8876,8355,5891,3760,1696,760,211,34740
POA6165,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,4,6,5,0,3,0,0,21,12,3,10,20,20,16,12,6,0,99
POA6166,0,0,6,11,29,77,161,114,26,424,0,0,0,0,8,10,14,17,6,55,26,25,49,69,77,76,88,59,20,489,364,484,778,1188,1355,1088,752,374,80,6463
POA6167,6,8,28,53,93,182,192,138,61,761,0,0,7,6,12,11,19,0,11,66,160,225,554,467,325,269,216,188,61,2465,953,1606,4030,3325,2614,2104,1362,773,245,17012
POA6168,6,7,26,37,72,178,260,290,137,1013,5,3,3,14,7,13,7,11,7,70,104,162,223,266,293,295,326,365,164,2198,952,1713,2871,2816,3186,2974,2349,1675,583,19119
POA6169,6,8,45,62,96,163,248,257,93,978,10,6,6,13,13,12,12,9,3,84,176,165,291,370,393,297,311,343,155,2501,1620,2400,4090,4689,5010,3746,2655,1560,468,26238
POA6170,0,3,7,9,17,28,40,13,4,121,0,0,4,0,3,7,6,0,0,20,47,39,95,105,51,28,35,17,3,420,312,526,1122,1068,821,505,273,61,14,4702
POA6171,3,6,10,15,17,37,57,23,8,176,0,0,0,3,3,0,3,0,0,9,38,53,121,149,88,66,56,22,3,596,551,1166,2818,2711,1802,1155,611,175,30,11019
POA6172,3,0,9,17,29,32,65,55,5,215,3,3,4,6,8,6,6,0,0,36,94,85,138,191,168,70,76,83,53,958,765,965,1737,2376,1911,948,588,351,111,9752
POA6173,6,0,4,3,10,13,21,9,8,74,0,0,0,0,7,7,0,0,3,17,25,22,69,87,61,46,22,6,0,338,475,569,1416,2143,1360,543,263,74,11,6854
POA6174,0,0,0,0,8,11,15,15,0,49,0,0,0,0,0,0,0,0,0,0,12,18,20,37,22,15,23,7,0,154,105,134,264,370,317,194,136,63,0,1583
POA6175,0,4,3,0,3,9,11,16,0,46,0,0,0,0,0,0,0,0,0,0,9,9,25,32,19,23,9,6,0,132,134,121,379,538,414,263,147,59,4,2059
POA6176,3,0,0,0,9,3,8,8,0,31,0,0,0,0,0,0,0,3,0,3,0,6,0,6,6,6,6,3,0,33,38,40,45,92,131,114,55,20,0,535
POA6180,3,3,7,0,9,16,24,9,0,71,0,0,0,3,0,0,0,0,0,3,20,19,47,60,24,20,8,7,5,210,140,265,550,519,383,334,213,54,8,2466
POA6181,0,0,0,0,3,3,6,3,0,15,0,0,0,3,0,0,0,0,0,3,6,3,0,7,9,0,4,3,0,32,32,40,28,71,115,41,31,12,0,370
POA6182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6207,0,0,6,3,3,7,6,7,3,35,0,0,0,0,0,0,0,0,0,0,3,8,9,13,21,17,20,4,0,95,52,47,96,176,177,147,93,23,6,817
POA6208,3,3,6,17,23,72,176,116,43,459,0,0,0,0,0,0,6,6,4,16,44,39,79,77,108,132,128,106,30,743,326,444,981,1123,1239,1325,1226,647,132,7443
POA6209,4,0,0,0,15,34,44,19,9,125,0,0,0,0,0,0,4,3,0,7,14,9,4,22,23,40,23,28,12,175,76,70,112,208,294,341,232,131,36,1500
POA6210,15,18,58,96,151,383,836,804,275,2636,5,3,10,12,20,16,16,16,17,115,247,248,492,579,610,674,808,891,441,4990,2427,3382,6169,7204,7992,7892,7074,4592,1518,48250
POA6211,3,0,5,6,10,33,59,24,6,146,0,0,0,0,3,0,0,0,0,3,23,12,41,51,38,42,64,17,6,294,230,188,532,818,697,869,620,158,27,4139
POA6213,0,0,0,0,4,6,10,8,0,28,0,0,0,3,0,0,0,0,0,3,0,0,6,3,4,13,7,3,0,36,19,26,66,89,122,128,52,29,0,531
POA6214,0,0,0,0,4,7,6,0,0,17,0,0,0,0,0,0,0,0,0,0,3,0,3,3,6,4,6,6,0,31,16,10,36,63,50,51,27,15,0,268
POA6215,0,5,0,12,12,33,65,54,26,207,0,0,0,0,0,0,8,8,4,20,13,13,20,16,33,25,35,26,11,192,144,179,346,460,544,509,345,168,57,2752
POA6218,0,0,0,4,4,0,0,3,0,11,0,0,0,3,0,0,0,0,0,3,9,4,10,19,8,9,10,3,0,72,34,31,42,84,66,42,35,15,3,352
POA6220,0,0,3,13,15,53,103,66,14,267,0,3,3,0,0,0,9,6,10,31,17,17,37,58,48,62,61,59,23,382,178,228,455,667,664,626,485,241,74,3618
