POA_CODE_2016,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_Nthern_Ireland_0_4,F_Nthern_Ireland_5_14,F_Nthern_Ireland_15_24,F_Nthern_Ireland_25_44,F_Nthern_Ireland_45_54,F_Nthern_Ireland_55_64,F_Nthern_Ireland_65_74,F_Nthern_Ireland_75_84,F_Nthern_Ireland_85ov,F_Nthern_Ireland_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_SE_Europe_nfd_0_4,F_SE_Europe_nfd_5_14,F_SE_Europe_nfd_15_24,F_SE_Europe_nfd_25_44,F_SE_Europe_nfd_45_54,F_SE_Europe_nfd_55_64,F_SE_Europe_nfd_65_74,F_SE_Europe_nfd_75_84,F_SE_Europe_nfd_85ov,F_SE_Europe_nfd_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_FYROM_0_4,F_FYROM_5_14,F_FYROM_15_24,F_FYROM_25_44,F_FYROM_45_54,F_FYROM_55_64,F_FYROM_65_74,F_FYROM_75_84,F_FYROM_85ov,F_FYROM_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
POA6000,0,0,0,7,0,0,0,0,0,11,0,0,0,4,3,6,4,3,0,14,0,3,13,20,0,3,0,0,0,35,0,0,3,8,0,0,3,0,4,15,0,3,13,65,25,9,8,3,0,123,0,0,3,8,0,0,0,0,0,4,0,0,3,3,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,3,0,9,13,60,7,3,7,0,0,94,0,0,0,13,0,3,0,0,0,23,0,0,4,26,9,3,0,0,0,44,3,3,14,46,7,8,3,0,0,82,0,0,9,44,10,7,3,0,0,69,0,0,0,3,0,3,0,0,0,7,0,0,3,12,3,0,0,0,0,18,0,0,21,86,0,0,0,0,0,108,0,0,10,36,4,3,0,0,0,49,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,3,3,0,39,48,4,0,0,0,0,98
POA6003,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,3,7,0,0,0,0,0,12,0,0,0,4,0,0,0,0,0,3,0,0,3,23,3,3,3,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,5,3,0,0,0,20,0,0,0,0,0,3,0,0,0,7,0,0,0,9,0,0,0,0,0,13,0,0,4,6,0,4,0,0,0,13,0,0,5,4,0,3,0,0,0,7,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,4,25,0,0,0,0,0,29,0,0,0,15,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,11
POA6004,0,0,3,12,3,3,4,0,0,23,0,0,0,6,0,4,3,3,0,15,0,0,15,19,0,0,0,0,0,27,0,0,0,4,0,4,3,0,4,14,0,0,8,40,22,18,9,3,0,107,0,0,0,13,0,0,0,0,0,13,6,3,0,18,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,8,48,13,7,0,0,0,76,0,0,0,11,6,0,8,3,3,30,0,0,3,23,3,14,3,4,0,49,5,0,22,46,9,11,3,0,0,95,0,0,0,29,4,5,3,0,0,53,0,0,0,5,0,0,0,0,0,4,0,0,0,7,0,0,0,3,0,17,0,0,14,61,3,0,3,0,0,82,0,0,15,39,9,5,0,0,0,69,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,6,0,6,6,19,3,6,0,0,0,48
POA6005,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,0,0,0,10,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,3,0,0,7,25,13,3,3,5,0,64,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,20,3,4,0,0,0,32,0,0,0,13,0,7,4,0,0,25,0,0,0,10,4,3,0,0,0,20,0,0,8,9,0,3,3,0,3,23,0,0,3,19,10,3,0,0,0,43,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,3,3,0,0,10,0,0,3,28,0,0,0,0,0,35,0,0,0,7,4,4,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,3,3,17,0,3,0,0,0,30
POA6006,0,0,3,3,3,0,0,0,0,15,0,0,0,0,0,7,0,7,3,17,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,3,3,0,13,0,6,14,34,11,7,4,0,0,79,0,0,0,3,5,0,0,0,0,8,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,11,3,0,0,0,0,22,0,0,0,6,0,3,3,0,4,21,0,0,0,17,11,4,0,3,0,35,0,0,0,9,9,3,3,0,0,29,0,0,11,18,9,3,3,0,0,35,0,0,0,0,5,0,0,3,0,9,0,0,0,3,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,10,0,0,0,9,4,0,0,0,0,17,0,0,0,0,0,5,3,11,3,31,0,0,0,0,0,0,0,0,0,5,0,0,3,6,7,3,5,0,0,25
POA6007,0,0,0,0,0,3,0,3,0,8,0,0,0,0,0,0,0,0,0,5,0,0,4,7,0,0,0,0,0,14,0,0,0,0,0,4,0,3,0,9,0,0,11,31,17,17,7,0,0,90,0,0,0,9,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,3,0,0,0,18,0,0,0,9,3,0,0,4,0,14,0,0,3,12,7,10,7,0,3,42,0,0,0,7,5,3,4,0,0,23,0,3,4,23,4,0,0,0,0,37,0,0,0,0,0,0,3,0,0,5,0,0,0,4,0,0,0,0,0,13,0,0,0,8,0,0,0,0,0,11,0,3,0,6,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,21,5,3,3,0,0,42
POA6008,0,0,0,4,0,3,0,0,0,10,0,0,0,3,6,0,4,0,0,19,0,0,0,7,0,0,0,0,0,6,3,0,5,9,3,3,9,3,0,38,0,10,10,41,34,26,17,6,0,140,0,3,0,4,3,3,0,0,0,16,0,0,0,6,0,0,0,0,0,9,0,0,0,5,6,0,0,0,0,11,0,0,7,22,3,5,4,0,4,49,0,0,0,7,3,5,0,6,8,33,4,5,5,27,10,19,18,8,3,93,0,3,6,31,13,4,11,0,0,71,0,3,12,49,14,14,7,3,0,109,0,0,0,3,3,4,7,4,0,14,0,0,0,10,0,8,3,0,0,26,0,0,0,15,0,4,3,0,0,19,0,3,0,12,4,4,0,0,0,27,0,0,0,0,0,3,0,0,0,3,0,0,3,4,3,0,0,0,0,7,4,10,7,34,13,10,8,0,0,89
POA6009,0,0,3,0,0,8,0,0,0,11,0,0,0,3,3,4,4,3,3,23,0,0,3,4,0,0,0,0,0,4,0,6,4,3,5,4,9,0,3,31,0,6,14,22,29,17,18,0,3,110,0,0,0,0,0,0,3,0,0,6,0,3,5,16,3,0,0,0,0,25,0,0,0,3,3,0,0,0,0,3,0,4,4,16,7,3,3,0,0,36,0,0,0,13,0,3,3,3,0,26,0,15,6,13,25,19,10,7,3,102,0,12,135,68,19,25,17,6,0,292,0,11,45,36,37,29,16,7,4,183,0,0,0,0,0,0,0,0,3,3,6,6,7,18,8,3,7,3,3,70,0,0,4,19,8,10,12,3,0,52,0,0,5,9,0,0,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,26,15,14,13,10,0,0,98
POA6010,0,0,0,3,4,0,0,4,0,9,0,0,0,3,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,3,0,4,7,3,9,0,0,27,3,4,8,26,24,34,12,3,4,115,0,0,0,3,0,4,5,3,0,14,0,0,0,5,3,0,0,0,0,9,0,0,0,0,4,0,0,0,0,5,0,0,0,5,4,7,3,0,0,24,0,0,0,15,3,9,0,0,3,30,0,3,3,18,12,16,9,7,10,81,0,6,11,9,30,14,10,3,0,86,0,8,31,44,51,30,23,12,8,199,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,6,3,3,0,21,0,0,0,3,0,0,0,0,0,6,0,3,5,5,3,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,7,3,18,17,31,21,11,4,8,0,111
POA6011,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,11,0,0,3,25,25,12,8,6,0,81,0,0,0,3,7,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,7,0,6,10,14,10,14,11,3,0,58,4,8,5,0,3,8,3,0,0,32,0,8,15,27,20,16,5,3,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,13,9,17,8,12,6,0,0,64
