region_id,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
POA6566,0,0,0,0,91,91,3,0,0,0,40,43,26,0,5,0,68,99,86,8,13,3,51,161,169,7,43,0,49,268,199,6,52,9,29,295,142,5,24,10,16,197,49,4,6,5,5,69,12,0,0,4,4,20,686,30,143,31,353,1243,0,0,0,0,78,78,9,0,0,0,55,64,39,3,4,0,61,107,122,11,20,0,42,195,188,4,38,11,38,279,210,14,61,17,12,314,113,3,21,27,0,164,24,0,7,27,3,61,5,0,0,10,0,15,710,35,151,92,289,1277,0,0,0,0,169,169,12,0,0,0,95,107,65,3,9,0,129,206,208,19,33,3,93,356,357,11,81,11,87,547,409,20,113,26,41,609,255,8,45,37,16,361,73,4,13,32,8,130,17,0,0,14,4,35,1396,65,294,123,642,2520
POA6567,0,0,0,0,3,3,0,0,0,0,5,5,4,0,0,0,4,8,8,0,3,0,9,20,18,0,5,0,8,31,31,4,6,0,0,41,19,0,3,5,0,27,4,0,3,3,0,10,0,0,0,0,0,0,84,4,20,8,29,145,0,0,0,0,12,12,0,0,0,0,5,5,5,0,0,0,3,8,17,0,3,0,11,31,22,4,9,0,0,35,30,0,5,0,3,38,16,0,6,0,0,22,4,0,0,3,0,7,0,0,0,0,0,0,94,4,23,3,34,158,0,0,0,0,15,15,0,0,0,0,10,10,9,0,0,0,7,16,25,0,6,0,20,51,40,4,14,0,8,66,61,4,11,0,3,79,35,0,9,5,0,49,8,0,3,6,0,17,0,0,0,0,0,0,178,8,43,11,63,303
POA6568,0,0,0,0,6,6,0,0,0,0,3,3,3,0,0,0,4,7,10,0,0,0,11,21,16,0,0,0,9,25,10,0,8,0,0,18,0,7,0,0,0,7,9,0,0,0,0,9,0,0,0,3,0,3,48,7,8,3,33,99,0,0,0,0,3,3,0,0,0,0,3,3,8,0,0,0,7,15,15,0,0,0,3,18,13,0,5,0,0,18,8,0,5,0,3,16,4,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,48,0,10,3,19,80,0,0,0,0,9,9,0,0,0,0,6,6,11,0,0,0,11,22,25,0,0,0,14,39,29,0,5,0,9,43,18,0,13,0,3,34,4,7,0,3,0,14,9,0,0,0,0,9,0,0,0,3,0,3,96,7,18,6,52,179
POA6569,0,0,0,0,6,6,0,0,0,0,10,10,9,0,0,0,15,24,9,0,0,0,17,26,18,0,5,0,13,36,17,0,3,0,0,20,12,0,3,0,0,15,3,0,0,8,0,11,3,0,0,0,0,3,71,0,11,8,61,151,0,0,0,0,4,4,0,0,0,0,6,6,9,3,3,0,10,25,12,4,0,0,0,16,23,0,0,0,0,23,8,0,3,0,0,11,11,0,0,6,0,17,3,0,0,0,0,3,3,0,0,0,0,3,69,7,6,6,20,108,0,0,0,0,10,10,0,0,0,0,16,16,18,3,3,0,25,49,21,4,0,0,17,42,41,0,5,0,13,59,25,0,6,0,0,31,23,0,3,6,0,32,6,0,0,8,0,14,6,0,0,0,0,6,140,7,17,14,81,259
POA6575,0,0,0,0,7,7,0,0,0,0,6,6,7,0,0,0,4,11,19,0,3,0,4,26,12,0,3,0,7,22,12,0,3,0,0,15,6,0,3,0,0,9,3,0,3,3,0,9,0,0,0,0,0,0,59,0,15,3,28,105,0,0,0,0,6,6,3,0,0,0,0,3,7,0,0,0,0,7,16,0,0,0,7,23,16,0,3,0,0,19,12,0,0,0,0,12,3,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,57,0,3,6,13,79,0,0,0,0,13,13,3,0,0,0,6,9,14,0,0,0,4,18,35,0,3,0,11,49,28,0,6,0,7,41,24,0,3,0,0,27,9,0,3,6,0,18,3,0,3,3,0,9,0,0,0,0,0,0,116,0,18,9,41,184
POA6603,0,0,0,0,32,32,0,0,0,0,19,19,28,0,3,0,50,81,37,3,3,0,30,73,55,3,3,0,14,75,56,7,13,4,4,84,24,6,8,0,0,38,16,0,0,6,0,22,3,0,0,0,0,3,219,19,30,10,149,427,0,0,0,0,15,15,0,0,0,0,21,21,33,3,3,0,45,84,42,4,4,0,22,72,60,4,5,3,7,79,56,3,10,4,3,76,16,3,5,3,3,30,16,0,0,7,0,23,0,0,0,16,3,19,223,17,27,33,119,419,0,0,0,0,47,47,0,0,0,0,40,40,61,3,6,0,95,165,79,7,7,0,52,145,115,7,8,3,21,154,112,10,23,8,7,160,40,9,13,3,3,68,32,0,0,13,0,45,3,0,0,16,3,22,442,36,57,43,268,846
POA6606,0,0,0,0,0,0,0,0,0,0,3,3,7,0,4,0,11,22,15,0,0,0,6,21,22,4,5,0,5,36,17,0,3,0,6,26,5,0,5,3,0,13,9,0,0,0,0,9,0,0,0,0,0,0,75,4,17,3,31,130,0,0,0,0,3,3,0,0,0,0,9,9,11,3,0,0,8,22,17,3,0,0,0,20,20,0,0,0,3,23,13,3,3,3,0,22,11,0,0,0,0,11,0,0,0,4,0,4,0,0,0,0,0,0,72,9,3,7,23,114,0,0,0,0,3,3,0,0,0,0,12,12,18,3,4,0,19,44,32,3,0,0,6,41,42,4,5,0,8,59,30,3,6,3,6,48,16,0,5,3,0,24,9,0,0,4,0,13,0,0,0,0,0,0,147,13,20,10,54,244
POA6608,0,0,0,0,4,4,0,0,0,0,8,8,7,0,0,0,11,18,8,0,0,0,3,11,28,0,3,0,3,34,10,0,3,3,4,20,4,0,3,3,3,13,10,0,0,0,0,10,3,0,0,0,0,3,70,0,9,6,36,121,0,0,0,0,3,3,0,0,0,0,3,3,10,0,0,0,3,13,8,0,0,0,3,11,24,3,0,0,3,30,12,0,0,0,0,12,7,0,0,3,0,10,6,0,0,0,0,6,0,0,0,0,0,0,67,3,0,3,15,88,0,0,0,0,7,7,0,0,0,0,11,11,17,0,0,0,14,31,16,0,0,0,6,22,52,3,3,0,6,64,22,0,3,3,4,32,11,0,3,6,3,23,16,0,0,0,0,16,3,0,0,0,0,3,137,3,9,9,51,209
POA6609,0,0,0,0,16,16,0,0,0,0,35,35,18,0,0,0,21,39,18,0,4,3,10,35,29,5,6,0,4,44,21,4,3,0,6,34,12,0,0,0,6,18,8,0,0,3,0,11,3,0,0,3,0,6,109,9,13,9,98,238,0,0,0,0,12,12,5,0,0,0,21,26,20,0,0,0,23,43,16,0,5,0,8,29,31,0,0,0,6,37,17,0,3,5,3,28,14,0,4,4,0,22,7,0,0,9,0,16,3,0,0,6,0,9,113,0,12,24,73,222,0,0,0,0,28,28,5,0,0,0,56,61,38,0,0,0,44,82,34,0,9,3,18,64,60,5,6,0,10,81,38,4,6,5,9,62,26,0,4,4,6,40,15,0,0,12,0,27,6,0,0,9,0,15,222,9,25,33,171,460
POA6612,0,0,0,0,6,6,0,0,0,0,3,3,5,0,0,0,6,11,8,3,3,0,3,17,13,0,3,0,3,19,13,3,3,3,4,26,6,0,3,0,0,9,8,0,0,0,3,11,0,0,0,0,0,0,53,6,12,3,28,102,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,5,9,13,0,0,0,3,16,13,0,3,3,3,22,15,0,0,0,0,15,7,0,3,0,0,10,6,0,0,0,0,6,0,0,0,0,0,0,58,0,6,3,14,81,0,0,0,0,6,6,0,0,0,0,6,6,9,0,0,0,11,20,21,3,3,0,6,33,26,0,6,3,6,41,28,3,3,3,4,41,13,0,6,0,0,19,14,0,0,0,3,17,0,0,0,0,0,0,111,6,18,6,42,183
