region_id,Bosnia_Herzegovina_Befre_1941,Bosnia_Herzegovina_1941_1950,Bosnia_Herzegovina_1951_1960,Bosnia_Herzegovina_1961_1970,Bosnia_Herzegovina_1971_1980,Bosnia_Herzegovina_1981_1990,Bosnia_Herzegovina_1991_2000,Bosnia_Herzegovina_2001_2005,Bosnia_Herzegovina_2006,Bosnia_Herzegovina_2007,Bosnia_Herzegovina_2008,Bosnia_Herzegovina_2009,Bosnia_Herzegovina_2010,Bosnia_Herzegovina_2011,Bosnia_Herzegovina_arrival_ns,Bosnia_Herzegovina_Tot,Cambodia_Before_1941,Cambodia_1941_1950,Cambodia_1951_1960,Cambodia_1961_1970,Cambodia_1971_1980,Cambodia_1981_1990,Cambodia_1991_2000,Cambodia_2001_2005,Cambodia_2006,Cambodia_2007,Cambodia_2008,Cambodia_2009,Cambodia_2010,Cambodia_2011,Cambodia_Yr_arrival_ns,Cambodia_Tot,Canada_Before_1941,Canada_1941_1950,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2005,Canada_2006,Canada_2007,Canada_2008,Canada_2009,Canada_2010,Canada_2011,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1941,China_exc_SARs_Taiwan_41_50,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_05,China_exc_SARs_Taiwan_2006,China_exc_SARs_Taiwan_2007,China_exc_SARs_Taiwan_2008,China_exc_SARs_Taiwan_2009,China_exc_SARs_Taiwan_2010,China_exc_SARs_Taiwan_2011,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1941,Croatia_1941_1950,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2005,Croatia_2006,Croatia_2007,Croatia_2008,Croatia_2009,Croatia_2010,Croatia_2011,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1941,Egypt_1941_1950,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2005,Egypt_2006,Egypt_2007,Egypt_2008,Egypt_2009,Egypt_2010,Egypt_2011,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1941,Fiji_1941_1950,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2005,Fiji_2006,Fiji_2007,Fiji_2008,Fiji_2009,Fiji_2010,Fiji_2011,Fiji_Yr_arrival_NS,Fiji_Tot,Frmr_Y_R_M_FYROM_Bef_1941,Frmr_Y_R_M_FYROM_1941_1950,Frmr_Y_R_M_FYROM_1951_1960,Frmr_Y_R_M_FYROM_1961_1970,Frmr_Y_R_M_FYROM_1971_1980,Frmr_Y_R_M_FYROM_1981_1990,Frmr_Y_R_M_FYROM_1991_2000,Frmr_Y_R_M_FYROM_2001_2005,Frmr_Yug_Rep_Mac_FYROM_2006,Frmr_Yug_Rep_Mac_FYROM_2007,Frmr_Yug_Rep_Mac_FYROM_2008,Frmr_Yug_Rep_Mac_FYROM_2009,Frmr_Yug_Rep_Mac_FYROM_2010,Frmr_Yug_Rep_Mac_FYROM_2011,Frmr_Y_R_M_FYROM_arrival_ns,Frmr_Yug_Rep_Mac_FYROM_Tot,Germany_Before_1941,Germany_1941_1950,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2005,Germany_2006,Germany_2007,Germany_2008,Germany_2009,Germany_2010,Germany_2011,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1941,Greece_1941_1950,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2005,Greece_2006,Greece_2007,Greece_2008,Greece_2009,Greece_2010,Greece_2011,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1941,Hng_Kng_SAR_China_1941_1950,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2005,Hong_Kong_SAR_China_2006,Hong_Kong_SAR_China_2007,Hong_Kong_SAR_China_2008,Hong_Kong_SAR_China_2009,Hong_Kong_SAR_China_2010,Hong_Kong_SAR_China_2011,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1941,India_1941_1950,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2005,India_2006,India_2007,India_2008,India_2009,India_2010,India_2011,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1941,Indonesia_1941_1950,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2005
POA6000,0,0,0,0,0,0,19,0,0,3,0,0,0,0,0,22,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,8,0,0,0,0,3,5,8,14,3,11,8,6,10,6,4,78,0,0,0,0,4,15,20,27,14,19,19,19,26,8,9,180,0,0,3,3,0,3,4,0,0,0,0,0,0,0,0,13,0,0,3,3,3,0,4,0,0,0,0,0,0,0,0,13,0,0,0,0,0,3,3,3,0,0,0,0,3,0,3,15,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,11,0,5,0,3,3,3,11,8,4,3,6,4,11,3,10,74,0,0,11,5,3,0,0,0,0,0,0,0,3,0,0,22,0,0,0,0,5,12,10,4,3,5,4,12,9,10,16,90,0,0,0,13,5,8,6,19,20,24,33,36,37,10,6,217,0,0,0,0,3,9,30,20
POA6003,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6,0,0,0,0,3,5,3,3,0,3,3,0,0,0,0,20,0,0,0,0,0,0,5,4,3,14,9,9,11,5,4,64,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,4,0,3,0,0,0,0,0,0,0,13,0,0,0,0,3,6,4,0,3,0,0,3,5,0,0,24,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,5,13,3,0,0,5,0,0,0,29,0,0,0,11,8,0,3,3,3,10,3,3,4,3,3,54,0,0,0,0,0,0,6,0
POA6004,0,0,0,0,6,0,11,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,6,3,0,3,8,3,6,9,4,46,0,0,0,0,0,13,38,33,14,23,17,40,41,12,10,241,0,0,0,6,3,0,6,0,0,0,0,0,0,0,0,15,0,0,0,0,3,0,0,0,0,0,0,0,3,0,4,10,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,3,4,3,9,3,0,6,3,11,3,0,49,0,0,3,5,4,3,0,0,0,0,0,0,0,0,0,15,0,0,0,0,6,9,11,17,4,5,4,6,3,0,3,68,0,4,0,5,8,14,20,24,8,16,23,37,30,21,16,226,0,0,0,0,0,4,33,27
POA6005,0,0,0,5,0,0,0,0,3,0,0,0,0,0,4,12,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,6,0,0,5,5,8,4,0,33,0,0,0,0,3,4,11,17,12,10,26,21,4,7,3,118,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,3,0,0,0,5,0,5,0,0,16,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,7,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,8,0,3,3,4,3,3,0,0,4,0,4,3,4,3,3,37,0,3,3,5,5,0,0,0,0,0,0,0,0,0,5,21,0,0,0,3,3,0,3,15,3,3,0,6,3,5,0,44,0,0,0,10,4,3,9,18,11,7,19,15,24,22,7,149,0,0,0,0,0,4,4,7
POA6006,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,3,4,3,3,0,6,0,11,0,0,0,35,0,0,0,0,3,11,16,8,3,5,5,3,11,3,3,71,3,3,6,3,3,0,3,0,0,3,0,0,0,0,3,27,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,15,12,4,0,0,0,4,0,0,0,0,0,53,0,9,8,4,0,8,3,0,3,3,0,0,4,0,3,45,3,16,58,35,14,0,0,0,0,0,0,0,0,0,5,131,0,0,0,0,0,6,3,5,0,0,5,4,3,0,4,30,3,0,0,21,4,4,7,6,10,0,8,9,0,0,6,78,0,0,0,0,0,3,4,0
POA6007,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,4,3,3,0,11,3,3,3,40,0,0,0,0,0,5,4,6,3,3,0,5,5,0,3,34,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,9,3,0,3,0,3,3,0,0,0,0,0,0,0,0,0,12,0,3,0,0,0,10,5,5,5,3,5,0,0,4,0,40,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,3,3,8,6,6,0,0,0,3,0,0,0,29,0,6,3,8,7,5,12,6,3,11,19,36,9,9,9,143,0,0,0,3,0,0,8,0
POA6008,0,0,3,3,0,0,12,3,0,0,0,0,0,0,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,8,21,14,8,0,4,5,16,0,0,89,0,0,3,0,3,5,13,22,5,14,6,13,21,4,3,112,0,3,3,3,3,0,5,3,0,0,0,0,0,0,3,23,0,0,3,0,0,5,0,5,0,0,0,0,0,0,0,13,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,11,11,3,18,3,12,3,3,5,7,8,7,0,96,0,8,3,4,0,0,0,0,0,0,0,0,0,0,0,15,0,4,0,0,4,7,9,7,5,0,4,0,8,0,3,51,0,4,0,17,10,8,12,10,7,11,20,23,18,5,7,152,0,0,0,3,0,3,13,10
POA6009,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,8,0,0,3,5,8,16,25,13,3,0,3,3,4,11,3,97,0,0,3,6,13,32,47,37,3,32,67,90,96,50,23,499,3,0,5,4,0,3,0,0,0,0,0,0,0,0,0,15,0,0,8,0,0,6,0,0,0,0,0,5,0,0,0,19,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,14,5,8,5,15,4,8,0,0,4,8,5,3,3,82,0,3,4,5,0,0,3,3,0,0,0,0,0,0,0,18,0,0,0,6,23,39,35,16,0,0,5,4,13,0,4,145,0,4,7,24,29,29,26,14,14,15,21,15,29,4,7,238,0,0,3,9,7,25,31,17
POA6010,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,18,20,3,7,8,4,3,4,3,11,103,0,3,4,3,4,8,16,6,8,5,8,15,3,4,14,101,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,3,0,3,0,0,0,0,3,0,4,16,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,0,12,4,5,16,14,11,12,4,7,10,5,10,3,4,117,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,7,7,15,11,17,0,0,7,0,3,0,0,67,0,10,4,12,3,6,11,21,8,13,7,32,17,7,0,151,0,4,4,3,3,0,8,7
POA6011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,9,5,0,0,4,5,4,5,0,44,4,0,0,3,3,3,6,3,0,0,3,0,3,0,0,28,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,10,6,4,3,4,3,8,6,0,4,3,0,3,0,54,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,5,3,3,3,0,3,0,3,3,3,26,0,8,0,3,3,0,0,3,0,0,4,0,0,0,6,27,0,3,5,0,0,3,3,3
