POA_CODE_2016,Canada_Before_1946,Canada_1946_1955,Canada_1956_1965,Canada_1966_1975,Canada_1976_1985,Canada_1986_1995,Canada_1996_2005,Canada_2006_2010,Canada_2011,Canada_2012,Canada_2013,Canada_2014,Canada_2015,Canada_2016,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1946,China_exc_SARs_Taiwan_46_55,China_exc_SARs_Taiwan_56_65,China_exc_SARs_Taiwan_66_75,China_exc_SARs_Taiwan_76_85,China_exc_SARs_Taiwan_86_95,China_exc_SARs_Taiwan_96_05,China_exc_SARs_Taiwan_06_10,China_exc_SARs_Taiwan_2011,China_exc_SARs_Taiwan_2012,China_exc_SARs_Taiwan_2013,China_exc_SARs_Taiwan_2014,China_exc_SARs_Taiwan_2015,China_exc_SARs_Taiwan_2016,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1946,Croatia_1946_1955,Croatia_1956_1965,Croatia_1966_1975,Croatia_1976_1985,Croatia_1986_1995,Croatia_1996_2005,Croatia_2006_2010,Croatia_2011,Croatia_2012,Croatia_2013,Croatia_2014,Croatia_2015,Croatia_2016,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1946,Egypt_1946_1955,Egypt_1956_1965,Egypt_1966_1975,Egypt_1976_1985,Egypt_1986_1995,Egypt_1996_2005,Egypt_2006_2010,Egypt_2011,Egypt_2012,Egypt_2013,Egypt_2014,Egypt_2015,Egypt_2016,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1946,Fiji_1946_1955,Fiji_1956_1965,Fiji_1966_1975,Fiji_1976_1985,Fiji_1986_1995,Fiji_1996_2005,Fiji_2006_2010,Fiji_2011,Fiji_2012,Fiji_2013,Fiji_2014,Fiji_2015,Fiji_2016,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1946,Germany_1946_1955,Germany_1956_1965,Germany_1966_1975,Germany_1976_1985,Germany_1986_1995,Germany_1996_2005,Germany_2006_2010,Germany_2011,Germany_2012,Germany_2013,Germany_2014,Germany_2015,Germany_2016,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1946,Greece_1946_1955,Greece_1956_1965,Greece_1966_1975,Greece_1976_1985,Greece_1986_1995,Greece_1996_2005,Greece_2006_2010,Greece_2011,Greece_2012,Greece_2013,Greece_2014,Greece_2015,Greece_2016,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1946,Hng_Kng_SAR_China_1946_1955,Hng_Kng_SAR_China_1956_1965,Hng_Kng_SAR_China_1966_1975,Hng_Kng_SAR_China_1976_1985,Hng_Kng_SAR_China_1986_1995,Hng_Kng_SAR_China_1996_2005,Hng_Kng_SAR_China_2006_2010,Hong_Kong_SAR_China_2011,Hong_Kong_SAR_China_2012,Hong_Kong_SAR_China_2013,Hong_Kong_SAR_China_2014,Hong_Kong_SAR_China_2015,Hong_Kong_SAR_China_2016,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1946,India_1946_1955,India_1956_1965,India_1966_1975,India_1976_1985,India_1986_1995,India_1996_2005,India_2006_2010,India_2011,India_2012,India_2013,India_2014,India_2015,India_2016,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1946,Indonesia_1946_1955,Indonesia_1956_1965,Indonesia_1966_1975,Indonesia_1976_1985,Indonesia_1986_1995,Indonesia_1996_2005,Indonesia_2006_2010,Indonesia_2011,Indonesia_2012,Indonesia_2013,Indonesia_2014,Indonesia_2015,Indonesia_2016,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1946,Iran_1946_1955,Iran_1956_1965,Iran_1966_1975,Iran_1976_1985,Iran_1986_1995,Iran_1996_2005,Iran_2006_2010,Iran_2011,Iran_2012,Iran_2013,Iran_2014,Iran_2015,Iran_2016,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1946,Iraq_1946_1955,Iraq_1956_1965,Iraq_1966_1975,Iraq_1976_1985,Iraq_1986_1995,Iraq_1996_2005,Iraq_2006_2010,Iraq_2011,Iraq_2012,Iraq_2013,Iraq_2014,Iraq_2015,Iraq_2016,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1946,Ireland_1946_1955,Ireland_1956_1965,Ireland_1966_1975,Ireland_1976_1985,Ireland_1986_1995,Ireland_1996_2005,Ireland_2006_2010
POA6125,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3
POA6126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6147,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,17,0,0,0,3,24,69,91,278,43,49,53,31,35,28,23,733,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,3,3,0,0,3,0,0,0,0,0,18,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,6,9,9,9,3,4,8,0,0,0,0,0,0,3,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,16,9,24,14,0,0,6,0,5,3,0,94,0,7,7,52,17,29,60,205,27,26,42,39,69,24,16,630,0,3,0,12,8,26,61,77,7,15,20,9,7,7,4,255,0,0,0,0,7,5,9,11,4,15,3,3,6,3,0,63,0,0,0,0,0,12,8,13,0,0,0,12,7,0,3,57,0,0,3,16,5,4,3,13
POA6148,0,0,0,6,0,7,7,17,4,0,0,3,3,0,0,46,0,0,0,3,4,70,135,155,38,51,48,34,65,26,21,660,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,0,3,4,3,0,5,4,0,0,0,6,0,0,0,0,28,0,5,3,0,3,0,0,3,0,0,0,0,0,0,0,11,0,20,5,3,16,5,11,0,3,0,0,0,0,0,3,75,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,13,32,21,9,0,8,0,3,3,0,4,89,0,6,12,50,23,53,101,332,58,65,38,61,44,22,21,878,0,7,0,8,6,28,80,43,9,18,11,7,9,4,3,226,0,0,0,3,3,14,19,20,3,10,6,8,0,0,3,81,0,0,0,0,0,0,7,6,0,0,0,9,11,0,0,49,0,7,3,11,9,12,4,13
POA6149,0,0,0,6,5,11,3,3,0,3,0,0,3,0,0,36,0,0,3,4,5,77,115,139,17,18,25,35,26,24,19,507,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,3,0,3,5,0,0,0,8,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,19,3,13,15,5,13,11,0,0,0,0,0,0,0,82,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8,28,57,22,16,4,8,7,10,10,3,9,175,3,10,14,42,17,87,93,123,17,27,23,19,29,13,11,517,0,0,0,3,16,42,64,30,0,5,3,7,0,3,4,175,0,0,0,0,4,10,5,17,6,3,9,3,0,0,0,51,0,0,0,0,0,0,0,3,4,0,0,3,0,0,0,17,0,0,6,15,13,26,11,9
POA6150,0,0,0,0,0,9,7,7,0,4,0,0,0,6,0,36,0,0,0,3,25,81,87,59,13,28,18,25,19,12,15,378,0,0,10,16,0,0,4,0,0,0,0,0,0,0,0,27,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,6,0,7,11,0,3,4,0,0,0,3,0,0,3,33,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,12,36,61,28,19,9,6,10,5,13,8,3,211,0,7,15,40,24,84,80,80,7,17,15,23,19,27,13,442,0,0,0,8,31,172,185,53,12,8,10,14,0,0,7,505,0,0,0,0,12,5,11,8,4,3,3,8,0,0,0,61,0,0,0,0,0,3,7,9,0,0,3,3,6,0,0,25,0,0,3,12,5,5,6,4
POA6151,0,0,0,3,5,4,7,12,3,5,6,4,3,0,3,61,0,0,0,3,0,39,20,49,18,10,20,24,29,30,30,270,0,0,6,3,0,6,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,4,0,3,7,0,4,0,0,26,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,11,0,15,9,13,6,8,6,13,0,0,0,3,0,0,3,79,0,4,4,9,6,0,0,0,0,0,0,0,0,0,0,31,0,0,3,6,10,18,5,9,0,3,0,0,6,3,4,74,0,14,11,31,6,34,29,72,16,31,25,25,31,16,9,349,0,8,0,3,14,18,39,14,8,9,5,3,12,8,0,132,0,0,0,0,4,16,3,19,9,23,13,22,26,12,0,151,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,17,0,0,3,12,22,17,12,28
POA6152,0,0,0,9,3,14,14,20,3,0,7,0,7,0,0,83,0,0,3,5,4,51,95,110,49,41,47,60,75,69,24,632,0,0,13,5,0,3,3,0,0,0,0,0,0,0,3,30,0,3,4,4,3,0,3,6,0,0,0,8,0,0,0,31,0,0,0,0,5,4,3,3,0,0,0,0,0,0,0,15,0,18,0,10,12,6,11,9,4,0,3,8,9,3,3,94,0,5,8,3,3,0,3,0,3,5,4,5,0,0,0,42,0,0,0,8,19,28,29,15,3,4,4,3,8,7,9,146,0,12,8,48,20,45,82,83,26,23,41,39,30,41,13,513,0,3,3,10,17,55,173,50,12,14,23,29,10,22,6,435,0,0,0,0,18,29,37,27,18,32,20,18,22,10,4,238,0,0,0,0,0,3,17,17,3,4,20,20,7,0,0,99,0,8,9,24,9,40,12,31
POA6153,0,0,0,8,10,17,9,5,8,13,0,3,0,0,3,73,3,0,0,3,7,51,84,78,15,38,31,21,29,14,24,395,0,5,12,3,3,3,0,0,0,0,0,0,0,0,0,24,0,4,0,6,0,0,5,0,0,0,3,5,0,0,0,37,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,0,15,5,5,12,10,15,20,6,0,0,3,0,0,6,94,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,8,27,38,30,9,5,0,4,0,3,4,0,128,0,5,8,47,29,50,56,73,4,14,26,11,24,9,3,355,0,4,7,7,33,77,131,39,3,8,3,7,6,4,11,342,0,0,0,0,31,44,31,52,14,9,18,10,14,0,3,228,0,0,0,0,0,0,7,6,0,0,3,0,0,0,0,21,0,3,3,26,16,22,15,13
POA6154,0,0,0,7,8,0,6,8,3,0,0,0,0,0,0,26,0,0,0,5,11,26,42,39,11,3,3,13,14,7,7,181,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,15,0,3,5,3,0,0,0,0,0,0,3,0,0,0,0,11,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,16,4,3,6,9,9,0,0,0,0,0,0,3,0,51,0,3,5,4,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,8,17,6,14,0,0,0,0,3,0,0,52,0,3,5,24,7,18,21,16,3,3,4,8,10,0,0,119,0,0,0,0,17,35,30,33,3,3,0,4,3,3,0,132,0,0,0,0,3,12,11,11,3,3,10,9,8,0,0,65,0,0,0,0,0,0,3,0,0,0,0,4,3,0,0,13,0,3,3,10,4,12,10,18
