region_id,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA6065,0,2658,2658,5067,280,5347,3102,58,3160,3756,16,3772,1538,4,1542,721,0,721,14184,3016,17200
POA6066,0,902,902,1565,96,1661,1105,19,1124,1360,7,1367,601,4,605,364,0,364,4995,1028,6023
POA6067,0,6,6,11,0,11,5,0,5,0,0,0,0,0,0,4,0,4,20,6,26
POA6068,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
POA6069,0,1048,1048,2489,113,2602,1496,14,1510,1873,9,1882,775,0,775,349,0,349,6982,1184,8166
POA6070,0,203,203,459,15,474,213,0,213,238,0,238,107,0,107,27,0,27,1044,218,1262
POA6071,0,161,161,435,14,449,198,0,198,233,0,233,104,0,104,25,0,25,995,175,1170
POA6072,0,45,45,101,3,104,43,0,43,51,0,51,24,0,24,16,0,16,235,48,283
POA6073,0,296,296,410,18,428,155,6,161,166,0,166,77,0,77,34,0,34,842,320,1162
POA6074,0,45,45,138,4,142,61,0,61,51,0,51,25,0,25,13,0,13,288,49,337
POA6076,0,1406,1406,2809,90,2899,1187,13,1200,1314,3,1317,579,3,582,211,0,211,6100,1515,7615
POA6077,0,97,97,173,5,178,77,0,77,81,0,81,55,0,55,27,0,27,413,102,515
POA6078,0,19,19,82,4,86,40,0,40,61,0,61,29,0,29,19,3,22,231,26,257
POA6079,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
POA6081,0,200,200,508,15,523,278,8,286,338,5,343,143,0,143,60,0,60,1327,228,1555
POA6082,0,158,158,362,10,372,178,0,178,192,3,195,90,3,93,45,0,45,867,174,1041
POA6083,0,171,171,443,14,457,181,0,181,212,0,212,90,0,90,46,0,46,972,185,1157
POA6084,0,284,284,739,44,783,371,6,377,419,0,419,174,0,174,89,0,89,1792,334,2126
POA6090,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
POA6100,0,1808,1808,1832,342,2174,774,151,925,516,37,553,143,8,151,53,6,59,3318,2352,5670
POA6101,0,1915,1915,1815,331,2146,832,131,963,666,53,719,226,11,237,98,12,110,3637,2453,6090
POA6102,0,1846,1846,1155,235,1390,568,198,766,429,133,562,200,74,274,119,46,165,2471,2532,5003
POA6103,0,1171,1171,1006,207,1213,462,69,531,325,27,352,113,6,119,62,4,66,1968,1484,3452
POA6104,0,1443,1443,1532,224,1756,767,85,852,560,18,578,251,7,258,116,5,121,3226,1782,5008
POA6105,0,1475,1475,1570,202,1772,768,70,838,656,22,678,293,6,299,164,6,170,3451,1781,5232
POA6106,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
POA6107,0,2972,2972,3702,511,4213,2066,187,2253,1867,103,1970,875,46,921,565,31,596,9075,3850,12925
POA6108,0,1507,1507,2470,179,2649,1423,34,1457,1363,16,1379,617,5,622,369,5,374,6242,1746,7988
POA6109,0,1005,1005,1158,125,1283,624,40,664,474,7,481,219,5,224,182,6,188,2657,1188,3845
POA6110,0,2724,2724,3623,318,3941,2049,57,2106,2064,15,2079,859,3,862,479,5,484,9074,3122,12196
POA6111,0,1672,1672,2687,175,2862,1328,32,1360,1233,7,1240,506,3,509,272,0,272,6026,1889,7915
POA6112,0,2968,2968,4426,360,4786,2389,53,2442,2192,23,2215,1015,3,1018,622,3,625,10644,3410,14054
POA6121,0,86,86,249,11,260,147,0,147,194,4,198,84,0,84,62,0,62,736,101,837
POA6122,0,335,335,944,60,1004,552,12,564,601,0,601,289,0,289,173,0,173,2559,407,2966
