POA_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
POA6123,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,3,4,10,11,6,0,3,0,3,5,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7
POA6124,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,3,6,10,3,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6125,0,0,0,0,0,0,3,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,3,5,7,0,0,0,0,0,0,0,0,0,0,25,0,0,0,4,17,19,8,8,8,0,0,0,0,0,6,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
POA6126,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,14,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
POA6147,5,16,4,3,3,0,0,72,0,9,13,4,5,0,4,3,0,0,3,0,0,0,0,38,0,0,0,0,0,13,6,10,0,0,0,0,0,0,0,25,0,0,0,0,3,9,37,39,3,16,4,4,4,3,14,139,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,14,0,0,4,34,170,274,132,195,35,43,34,24,37,18,17,1014,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,16,6,5,11,0,7,0,0,0,0,0,0,0,3,41,0,3,3,18,58,47,77,89,38,39,24,8,4,8,9,417,0,0,0,4,0,5,18,39,3,19,22,16,9,8,6,144,0,0,0,0,5,20,22,106,26,40,41,31,40,17,7,352,0,0,0,0,8,11,0,0,0,0,0,0,0,0,0,24,0,0,3,21,61,60,67,80,3,5,15,0,3,3,3,317
POA6148,8,4,4,7,3,0,4,102,0,30,21,15,0,8,0,0,0,0,0,5,0,0,9,95,0,0,3,0,4,0,12,9,3,0,0,3,0,0,0,30,0,0,0,0,0,20,38,69,11,12,10,7,16,0,3,187,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,13,0,0,6,47,96,162,140,170,33,44,41,55,43,12,22,877,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,51,10,3,12,3,9,0,0,0,3,0,0,0,3,97,0,0,3,36,54,91,51,59,20,14,24,16,11,5,23,410,0,0,0,0,0,3,0,3,5,13,5,5,7,0,0,55,0,0,0,3,9,15,19,55,16,24,13,8,13,8,3,174,0,9,0,0,12,10,3,10,0,0,0,0,0,0,0,44,0,0,0,25,38,50,89,66,11,10,16,20,18,13,7,358
POA6149,11,12,19,3,0,8,0,126,0,14,27,16,0,0,3,0,0,0,0,0,0,0,0,66,0,0,0,0,0,11,17,3,3,0,0,0,0,3,4,44,0,0,0,3,9,20,30,36,22,12,14,17,6,4,6,179,0,0,0,0,0,4,0,5,0,0,3,0,0,0,0,13,0,6,6,58,134,347,199,142,19,40,18,23,42,30,7,1067,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,30,7,3,4,4,6,8,0,0,0,0,0,0,5,70,0,0,11,22,57,72,42,50,7,22,16,9,7,3,11,334,0,0,0,0,0,3,3,5,0,0,0,0,0,0,0,15,0,0,0,5,10,3,5,8,4,0,3,9,7,0,0,70,0,5,0,0,4,5,0,7,0,0,5,0,3,0,0,24,0,0,5,15,40,83,112,69,17,23,10,11,10,3,11,411
POA6150,4,8,0,3,0,0,0,58,0,26,35,14,4,4,3,0,0,6,0,0,0,0,4,107,0,0,0,0,0,11,6,0,3,0,0,0,3,3,3,34,0,0,0,0,6,11,16,20,3,9,0,3,0,0,4,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,43,102,335,147,85,24,34,38,14,34,11,20,891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,5,0,9,10,4,5,0,7,0,0,0,3,53,0,0,0,12,32,28,34,15,20,10,9,8,4,3,6,167,0,0,0,0,0,0,3,0,0,0,0,6,6,0,0,17,0,0,0,0,8,21,11,17,4,6,9,6,8,3,0,96,0,4,0,0,11,4,3,4,0,0,0,0,0,0,0,29,0,0,4,23,58,128,133,33,11,6,14,14,23,24,12,489
POA6151,31,44,9,8,3,7,3,188,0,29,20,20,5,3,3,6,3,13,19,3,8,4,5,139,0,0,0,0,4,8,27,13,3,3,10,5,8,7,9,90,0,0,0,0,5,11,11,10,4,9,13,9,7,3,5,86,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,7,0,0,3,27,61,57,52,42,14,15,17,10,23,4,15,329,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15,9,3,3,3,5,3,4,3,3,0,0,0,0,50,0,0,3,40,79,71,68,38,17,15,17,22,5,0,7,380,0,0,0,0,0,0,0,3,0,3,0,6,3,4,0,25,0,0,0,0,3,5,14,10,4,7,3,4,3,7,4,69,0,3,0,6,10,11,0,3,4,3,0,4,0,0,0,44,0,4,3,13,15,20,43,30,0,9,0,4,3,6,10,167
POA6152,44,19,9,8,8,3,3,224,7,45,38,25,7,7,10,8,0,4,3,3,9,0,7,173,0,0,0,4,0,12,21,13,0,5,3,0,12,10,4,102,0,0,0,0,8,11,32,45,15,13,19,19,18,3,0,192,0,3,3,7,3,7,3,0,0,0,0,0,0,0,0,19,3,3,5,43,113,214,123,98,38,20,32,25,38,48,25,824,0,3,0,3,0,4,0,0,0,0,0,0,0,0,0,6,0,23,14,6,4,5,10,3,0,4,0,0,0,0,6,73,0,0,8,30,99,77,63,60,24,30,14,0,16,6,17,449,0,0,0,0,0,0,5,10,3,11,3,9,9,5,0,60,0,0,0,3,15,31,17,33,7,7,5,21,9,8,0,164,0,4,0,4,28,41,3,5,0,0,0,3,0,0,5,98,0,0,9,16,43,70,121,43,5,8,4,13,17,10,3,365
