POA_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
POA6082,7,3,16,3,3,0,40,0,10,16,14,4,5,0,0,56,14,41,59,69,49,41,11,0,289,13,29,53,74,57,21,10,0,252,52,112,119,122,112,57,13,8,598,14,0,5,3,4,0,0,0,31,3,10,8,12,14,12,5,0,70,71,121,132,136,131,70,23,8,696,0,0,0,5,0,4,0,0,15,31,30,30,31,32,25,15,9,197,137,241,298,342,286,169,60,16,1546
POA6083,19,21,22,13,5,0,85,0,0,11,15,12,3,3,0,40,17,41,81,66,63,27,5,0,296,14,16,48,94,79,44,15,5,313,50,67,128,172,135,63,24,3,644,12,4,8,12,9,0,0,0,40,5,10,10,16,16,5,3,3,70,64,77,151,200,161,68,23,5,751,0,0,0,4,4,4,3,0,20,44,22,37,57,55,52,18,0,285,146,163,345,457,388,209,75,12,1789
POA6084,18,20,13,14,3,0,71,0,4,16,23,11,3,3,0,69,56,81,103,105,63,43,11,3,457,36,65,128,153,103,42,15,3,544,145,252,316,370,290,141,38,4,1566,47,18,15,17,8,7,0,0,114,14,15,37,36,28,17,4,0,149,198,293,370,428,324,166,50,4,1834,3,3,9,7,6,11,3,0,40,169,104,147,177,137,87,42,15,870,459,559,794,905,663,368,122,24,3885
POA6090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
POA6100,304,140,84,55,4,4,1011,12,91,75,73,68,20,13,0,346,300,1276,666,322,225,98,26,3,2924,132,398,267,212,214,111,20,3,1359,166,442,259,238,226,103,52,18,1498,49,23,14,17,11,9,3,3,125,10,33,29,34,39,15,11,3,171,229,493,300,288,271,126,60,25,1796,11,33,23,15,17,10,4,0,120,158,366,223,162,144,99,82,33,1268,864,3067,1855,1211,1028,520,208,66,8820
POA6101,344,147,78,20,7,3,952,4,115,126,73,38,19,7,3,382,257,1325,769,389,225,85,34,13,3087,122,394,272,222,138,74,28,3,1259,212,496,316,280,227,125,51,21,1730,44,35,17,12,15,4,0,0,126,22,44,38,49,31,33,7,6,222,279,575,366,340,267,158,63,31,2075,7,39,24,20,18,17,4,4,132,217,424,237,235,210,168,115,85,1695,902,3197,2135,1431,978,542,253,138,9583
POA6102,191,74,45,21,3,3,735,19,54,61,25,29,10,3,0,204,398,1034,416,167,122,63,37,21,2255,266,306,173,108,82,71,38,19,1062,191,280,169,172,111,105,67,41,1127,45,25,18,6,10,8,0,0,114,29,30,14,21,18,18,21,14,171,272,339,196,201,145,127,83,54,1418,27,31,16,16,16,10,7,4,112,252,340,204,150,128,152,239,419,1888,1262,2472,1251,749,561,449,410,517,7669
POA6103,157,52,29,15,4,0,496,9,67,43,21,22,7,0,0,173,182,847,353,161,102,48,19,0,1721,89,298,157,109,122,34,19,5,833,164,366,212,175,153,76,36,14,1193,22,18,9,6,9,0,0,0,66,8,20,22,28,12,10,3,3,118,197,405,244,211,173,89,38,19,1374,10,27,12,12,10,6,0,0,73,200,400,197,156,147,85,84,43,1321,714,2272,1169,714,604,281,172,69,5998
POA6104,122,66,47,21,3,0,430,7,42,50,44,41,13,4,0,196,147,624,441,214,148,66,21,4,1671,82,283,225,217,141,83,24,8,1054,228,511,361,327,258,156,80,18,1935,35,35,18,8,7,5,3,0,111,23,42,42,46,45,20,13,3,233,284,587,416,386,305,186,99,21,2283,5,24,20,8,13,14,3,3,91,202,335,231,197,183,179,167,109,1599,730,2056,1497,1130,873,560,312,146,7318
POA6105,163,61,23,11,0,3,465,7,57,36,33,19,4,0,0,158,151,718,452,191,118,64,21,3,1724,91,298,215,154,125,64,33,11,990,222,454,365,313,263,166,102,33,1914,42,27,25,11,7,7,3,3,133,16,46,60,27,39,27,13,8,234,278,526,449,353,307,205,121,41,2278,15,32,20,17,23,10,9,0,125,210,328,232,168,165,158,138,60,1461,755,2155,1568,980,780,520,329,120,7204
