POA_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
POA6124,0,7,0,3,0,0,17,0,0,3,7,3,0,0,0,14,9,14,22,33,14,14,4,3,105,0,17,19,21,17,15,3,0,93,14,42,34,67,30,22,11,4,225,0,0,0,0,0,0,0,0,6,0,3,3,6,8,3,0,0,22,16,49,41,74,35,21,11,4,252,0,0,3,3,0,0,0,0,4,18,4,13,27,22,12,3,0,105,41,86,102,169,92,68,21,7,595
POA6125,3,4,8,0,0,0,19,0,3,3,16,8,3,0,0,32,7,39,45,47,30,20,6,0,193,18,12,21,56,56,20,11,0,186,55,87,108,137,99,61,27,7,581,13,3,9,15,7,5,0,0,48,3,3,9,21,10,13,6,0,67,75,95,123,171,115,71,34,7,692,0,0,3,3,0,0,0,0,15,47,27,51,58,50,50,32,8,322,154,184,255,345,261,168,86,18,1467
POA6126,0,0,0,3,0,0,6,0,0,0,0,0,3,0,0,3,0,0,6,12,3,6,0,0,27,0,3,0,11,0,5,0,0,20,4,12,9,13,8,6,0,0,54,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,3,4,12,17,10,8,6,0,0,55,0,0,0,0,0,0,0,0,0,12,82,117,81,41,21,7,0,359,21,98,140,112,57,44,11,0,477
POA6147,159,83,63,23,5,3,537,6,60,56,34,24,10,0,0,186,159,738,469,248,155,101,42,6,1923,91,258,215,190,197,98,35,9,1074,221,400,337,323,323,192,83,23,1909,46,35,18,26,16,8,0,0,146,12,35,41,46,46,25,23,3,234,281,466,401,390,385,228,107,21,2292,6,17,15,13,18,20,10,3,110,111,159,125,114,119,102,81,29,845,666,1888,1436,1073,967,578,284,66,6967
POA6148,293,284,165,77,19,0,1048,12,57,84,103,86,32,11,4,377,279,689,734,672,402,285,94,28,3186,74,173,224,286,297,203,108,33,1390,181,283,244,340,301,234,145,44,1776,37,13,24,21,15,11,4,0,121,11,19,40,56,57,54,33,6,282,232,317,305,418,368,306,188,53,2175,10,16,16,31,26,20,19,10,147,91,96,87,121,134,133,185,202,1050,704,1535,1746,1917,1466,1045,632,328,9379
POA6149,249,254,214,119,14,3,995,14,73,122,114,125,44,13,4,503,321,757,733,625,592,310,84,24,3451,82,166,269,330,399,287,105,40,1671,193,267,293,360,393,209,91,38,1851,43,14,22,17,12,10,9,4,130,13,21,29,56,82,68,27,13,308,251,308,343,434,490,283,127,54,2290,8,19,32,32,43,25,13,3,162,58,83,77,97,122,132,130,154,852,735,1540,1825,1889,1981,1196,483,284,9931
POA6150,200,189,157,69,24,5,795,14,46,57,77,70,36,7,3,308,347,625,515,506,434,270,96,32,2825,117,113,131,189,256,183,96,32,1112,124,138,112,183,184,135,81,23,980,33,11,7,13,12,12,7,0,91,15,19,23,37,45,45,24,7,209,173,164,142,237,246,190,107,35,1283,8,15,9,16,33,32,13,4,130,115,100,61,80,108,144,153,185,938,781,1200,1118,1289,1297,922,484,291,7384
POA6151,371,278,223,125,26,8,1388,13,91,109,131,114,43,8,4,511,332,1079,861,671,507,264,76,19,3805,88,235,184,254,285,196,70,22,1322,137,255,183,225,200,126,38,24,1184,34,10,10,15,15,13,3,0,99,16,26,23,47,68,39,18,3,247,185,296,214,276,283,182,61,30,1527,11,22,15,22,17,27,12,7,140,147,307,206,200,193,198,126,88,1469,785,2379,1966,1824,1617,1034,377,174,10156
POA6152,471,363,255,132,49,5,1827,20,155,157,168,131,58,22,4,713,606,1763,1061,811,653,318,133,45,5389,162,356,326,321,392,266,131,51,1992,278,480,307,313,335,209,97,48,2074,55,32,26,23,18,14,4,3,166,22,42,41,59,80,58,21,19,352,357,556,367,396,433,289,124,70,2588,25,41,26,32,29,35,29,20,234,274,287,250,216,238,221,216,294,1982,1468,3671,2659,2313,2130,1317,699,484,14738
POA6153,412,345,256,153,58,13,1469,17,85,119,161,139,60,17,8,605,365,998,959,820,699,431,177,66,4512,94,182,231,340,376,272,129,49,1674,166,235,223,302,258,175,108,47,1513,30,15,13,10,22,9,3,0,109,13,19,42,63,57,72,44,17,323,215,268,273,371,337,251,153,65,1944,7,15,24,27,35,44,20,11,191,145,174,135,152,187,162,159,124,1232,861,1927,2160,2222,2031,1376,711,338,11629
POA6154,167,134,75,54,14,3,532,3,45,71,72,45,26,8,0,271,125,371,477,415,263,164,79,37,1930,40,103,159,184,162,116,84,38,884,80,151,154,176,131,95,80,38,913,12,10,5,9,13,10,3,3,65,9,17,17,38,21,22,15,11,150,105,170,185,231,163,125,105,49,1130,3,14,7,11,20,16,3,12,84,55,71,88,79,72,64,100,106,631,345,859,1155,1125,798,555,390,245,5467
POA6155,948,656,276,123,35,5,2658,19,130,231,233,150,61,17,0,835,740,1996,2326,1603,882,403,114,15,8078,280,555,853,993,670,381,112,26,3871,587,786,1064,1211,905,508,134,34,5229,139,57,74,81,53,20,8,3,435,54,57,128,163,134,99,36,3,666,782,901,1267,1453,1090,626,175,39,6333,34,69,100,82,57,49,19,8,410,542,638,585,424,293,244,175,120,3008,2421,4857,6302,5437,3421,1885,650,215,25185
POA6156,185,178,112,75,28,4,713,12,67,82,117,80,37,8,3,401,210,667,721,600,333,185,101,29,2852,65,180,281,311,239,163,85,36,1355,175,331,349,394,247,156,118,46,1811,20,23,18,17,19,12,5,4,106,14,21,52,62,62,44,39,10,314,215,379,417,480,321,214,165,62,2238,3,12,26,26,18,13,15,16,124,125,133,123,160,119,118,163,118,1074,633,1565,1843,1869,1222,807,559,261,8760
POA6157,174,137,124,51,14,4,611,4,75,91,107,86,38,14,0,416,156,644,607,469,298,178,81,9,2440,52,152,239,262,208,142,61,27,1141,145,280,275,299,221,190,94,44,1548,21,13,12,18,17,7,3,3,97,15,25,39,42,39,37,23,8,223,176,322,327,354,274,233,119,57,1865,3,13,15,21,22,27,14,5,119,91,124,115,136,113,104,161,149,992,486,1441,1567,1483,1133,771,452,257,7588
POA6158,104,139,111,55,16,0,494,4,22,52,78,74,28,9,0,269,95,249,352,404,307,146,40,4,1608,30,68,117,149,131,83,41,16,632,64,103,101,141,110,57,21,12,602,14,3,5,9,9,4,0,0,44,5,12,15,29,11,24,12,3,115,88,122,123,175,128,79,31,13,766,3,8,6,12,17,5,3,3,58,54,60,78,91,80,53,65,66,542,269,593,831,1053,849,454,214,102,4362
POA6159,59,67,50,40,4,0,286,0,21,19,23,23,14,3,0,102,52,212,145,137,125,108,34,7,822,7,38,29,59,61,66,28,5,295,12,51,30,44,48,31,12,3,237,0,4,0,3,4,4,0,0,21,0,4,3,13,10,16,7,0,57,16,62,40,55,63,51,19,7,312,0,0,0,3,8,5,3,0,24,23,69,56,45,51,67,45,28,389,105,453,353,397,384,349,136,48,2233
POA6160,160,143,113,87,24,9,696,3,64,62,61,78,28,10,0,302,109,544,358,267,238,132,48,10,1711,45,126,98,122,133,87,37,0,646,63,215,126,132,107,71,38,8,774,8,6,8,6,3,3,0,0,45,7,17,11,10,16,10,6,4,81,84,241,146,150,130,86,46,14,897,0,11,16,8,20,12,0,3,67,91,197,155,153,131,126,99,51,1011,337,1327,994,901,841,571,263,89,5318
POA6161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,6,0,0,0,0,18,0,3,0,4,3,0,0,0,9,3,9,4,0,5,0,0,0,18,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,11,6,0,5,0,0,0,24,0,0,0,0,0,0,0,0,0,31,60,33,29,24,16,6,0,204,41,81,48,33,37,16,6,0,259
POA6162,176,201,135,67,15,0,733,3,36,70,87,67,42,0,0,311,91,499,498,430,305,156,38,12,2023,30,123,159,192,165,95,18,3,793,91,217,190,254,207,111,68,8,1153,11,21,11,12,5,6,0,0,64,13,16,22,37,39,39,6,0,177,115,253,222,310,257,153,79,15,1394,3,14,13,17,8,16,12,0,82,90,124,126,133,148,93,71,35,823,339,1180,1268,1366,1094,623,225,70,6158
POA6163,462,361,254,101,29,9,1663,22,176,214,252,168,50,14,0,900,500,2040,1591,1078,772,293,117,46,6431,252,706,782,792,665,368,130,44,3740,669,1388,1282,1371,1195,704,339,84,7026,157,100,81,54,55,35,8,7,479,53,110,159,213,187,102,60,26,907,879,1598,1515,1636,1441,840,398,113,8421,20,58,68,77,69,50,27,9,386,431,688,604,565,576,540,538,381,4325,2133,5697,5229,4746,3945,2256,1256,596,25861
POA6164,614,281,143,47,11,3,1717,25,280,297,168,72,34,3,0,890,496,2606,2145,973,442,172,52,14,6894,301,1096,1165,895,503,206,55,12,4238,1000,2131,2040,1592,1039,413,144,23,8387,192,150,118,79,40,27,8,0,610,74,165,202,204,118,79,25,7,878,1269,2443,2365,1877,1192,516,175,32,9872,23,83,95,74,47,45,17,4,393,531,694,601,518,380,254,177,110,3267,2666,7804,7281,4780,2785,1272,500,181,27270
POA6165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,3,0,6,0,3,0,0,24,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,5,0,6,4,0,0,0,27,0,0,0,0,0,0,0,0,0,0,3,0,8,5,0,0,0,10,9,6,0,14,11,4,0,0,40
POA6166,47,35,25,16,0,0,163,3,20,31,27,19,5,3,0,111,76,227,253,175,112,49,19,0,910,53,120,163,162,138,62,9,5,711,161,261,312,370,257,170,78,16,1626,25,15,23,13,8,4,0,0,87,8,19,34,54,37,18,8,3,175,187,298,365,434,307,198,85,13,1890,0,14,19,17,15,6,0,0,72,64,60,79,120,97,101,78,26,627,385,774,956,973,720,427,199,50,4492
POA6167,125,46,30,10,9,0,348,13,73,62,37,30,11,3,0,219,99,688,536,240,152,61,19,3,1797,117,395,380,250,195,82,23,7,1447,478,1033,821,667,468,260,143,34,3904,113,100,40,42,31,11,0,0,340,43,78,97,79,60,43,18,6,426,636,1210,964,793,551,312,166,43,4669,11,37,27,26,28,13,9,5,153,502,756,616,439,318,287,207,75,3207,1386,3288,2704,1831,1303,778,429,133,11852
POA6168,57,45,35,21,5,0,227,3,28,39,46,48,12,4,0,178,68,293,285,215,175,125,47,19,1217,103,248,281,320,281,161,69,20,1482,520,833,667,768,742,511,266,67,4373,141,61,35,44,38,21,6,6,341,38,48,69,77,91,64,32,11,432,697,941,776,890,867,590,297,84,5152,14,17,11,32,27,26,21,6,146,441,394,291,338,380,378,382,153,2753,1332,1958,1740,1886,1793,1315,828,293,11145
POA6169,114,102,73,29,8,0,391,12,73,67,80,68,16,8,4,332,152,467,515,399,332,159,71,20,2111,146,373,481,571,469,231,85,23,2379,718,1260,1138,1328,978,601,293,77,6395,139,94,69,57,46,29,3,0,444,58,92,103,133,116,88,36,8,632,917,1448,1301,1519,1142,713,336,90,7468,9,21,46,34,46,29,20,3,210,341,396,373,443,364,373,353,202,2853,1578,2840,2902,3144,2496,1557,883,333,15743
POA6170,108,44,15,7,0,0,389,11,60,59,26,14,4,4,0,179,110,577,409,174,76,35,4,0,1381,90,273,216,166,84,39,8,0,865,293,635,380,311,181,83,29,0,1919,68,39,29,17,7,0,0,0,163,20,44,29,37,15,15,0,0,168,378,710,442,366,213,100,35,0,2250,5,16,14,8,9,4,0,0,61,132,231,162,104,70,57,19,3,772,735,2079,1399,888,483,244,71,10,5903
POA6171,125,82,26,17,3,0,379,15,91,89,64,23,12,0,0,307,155,781,711,370,145,85,26,10,2280,175,648,617,458,202,105,35,3,2252,745,1880,1191,938,493,265,91,14,5626,140,118,69,37,24,10,3,0,398,48,130,154,71,53,45,14,0,514,935,2133,1414,1046,572,320,110,14,6537,11,44,28,39,21,19,5,3,172,417,593,414,329,247,187,103,16,2317,1712,4413,3404,2398,1249,747,285,45,14248
POA6172,36,31,20,10,0,0,122,3,9,27,38,13,3,0,0,95,49,158,194,151,75,40,19,8,689,75,145,257,274,137,46,25,3,957,286,525,532,576,292,132,49,13,2395,59,49,30,24,9,6,0,0,184,33,43,54,49,39,18,9,0,246,375,622,607,641,340,161,56,11,2818,9,5,9,16,15,8,3,0,72,174,176,171,191,117,85,102,107,1119,674,1136,1302,1339,722,354,210,126,5862
POA6173,56,57,15,14,0,0,164,4,22,40,35,12,3,4,0,122,55,201,341,244,60,29,6,3,940,54,155,297,277,97,29,11,0,911,245,474,599,590,160,77,24,8,2178,43,28,27,18,6,5,0,0,130,20,29,70,38,22,9,4,0,191,305,524,692,651,189,98,24,4,2498,8,4,17,23,6,5,0,0,62,135,115,146,153,56,30,19,5,656,560,1046,1585,1438,432,204,65,15,5344
POA6174,18,3,4,0,0,0,32,4,8,12,8,3,4,0,0,46,16,64,81,38,17,11,3,0,234,11,49,54,69,33,11,10,0,234,97,227,168,137,59,36,13,0,734,10,17,7,0,0,0,0,0,40,5,15,10,10,8,3,0,0,53,114,257,185,149,71,38,19,0,830,9,4,5,5,0,0,0,0,23,48,47,60,40,37,21,21,0,279,204,439,415,322,164,86,52,4,1677
POA6175,6,6,6,5,0,0,37,3,9,20,22,3,3,0,0,55,6,72,77,61,32,17,4,0,269,13,58,68,84,44,15,7,0,293,89,170,171,135,59,35,12,5,682,20,10,7,8,0,0,0,0,41,8,7,8,15,8,7,3,0,56,112,187,189,165,63,43,11,5,776,0,3,3,4,3,0,4,0,13,41,46,35,37,20,11,18,3,216,172,386,402,389,164,105,49,5,1663
POA6176,4,3,0,3,0,0,22,0,3,3,4,0,0,0,0,12,3,16,22,17,13,5,0,0,73,13,25,23,16,14,11,0,0,110,52,73,50,43,33,18,3,5,268,8,6,0,3,0,0,0,0,21,3,5,7,3,6,0,0,0,26,67,87,52,52,37,15,3,5,316,3,3,4,3,0,0,0,0,12,18,39,9,21,16,15,3,0,132,105,187,119,116,86,55,12,5,684
POA6180,15,14,8,3,4,0,68,0,15,10,19,8,7,0,0,62,21,97,94,56,28,18,15,0,326,27,100,91,76,54,35,3,0,388,139,301,222,158,97,63,28,0,1007,22,15,17,6,3,4,3,0,70,10,19,17,12,14,16,3,0,97,172,339,252,171,114,89,33,3,1179,0,3,5,4,3,3,7,0,29,47,66,58,52,42,45,19,8,342,274,639,532,389,256,203,82,9,2386
POA6181,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,3,5,10,11,3,0,0,37,0,3,7,16,5,0,0,0,36,4,16,26,33,21,10,0,0,106,0,0,4,0,4,0,0,0,7,0,0,0,3,4,0,0,0,10,12,13,28,36,24,10,0,0,129,0,0,0,0,3,0,0,0,3,9,0,3,8,4,4,0,0,25,13,24,52,66,52,11,0,0,227
POA6182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6207,3,0,9,0,0,0,8,0,0,0,0,3,0,0,0,8,0,14,18,6,10,9,3,0,66,6,10,4,18,19,7,0,0,66,20,33,50,49,33,16,4,3,206,9,0,3,0,3,0,0,0,12,0,3,3,6,3,3,0,0,16,24,38,57,51,43,14,4,3,238,0,0,0,0,0,0,0,0,0,15,9,20,9,19,12,5,0,98,51,73,105,91,100,47,10,3,479
POA6208,13,10,14,15,0,0,69,0,17,19,22,20,9,4,0,90,18,92,99,90,82,61,44,10,498,37,75,94,137,134,115,54,8,650,191,407,409,363,326,251,134,28,2104,58,37,17,14,21,7,0,0,152,14,23,37,29,29,58,12,8,214,263,472,458,407,373,312,155,38,2473,3,7,8,9,10,18,6,4,60,121,117,131,155,178,210,179,41,1126,441,792,820,817,804,753,439,103,4970
POA6209,7,3,4,0,0,0,15,0,0,5,4,0,0,0,0,7,9,11,19,22,13,3,7,0,75,4,4,18,26,15,12,3,0,82,31,33,44,70,69,55,26,5,339,6,6,9,4,8,3,0,0,31,0,0,5,9,8,8,3,0,35,37,36,62,86,86,67,27,5,408,0,0,3,3,0,3,0,0,13,18,11,13,21,39,37,21,10,167,65,66,122,167,164,122,57,13,772
POA6210,211,194,111,110,27,5,813,12,86,147,142,144,87,30,0,656,228,911,1041,870,684,485,229,70,4513,254,612,777,1002,887,726,391,87,4744,1220,2065,1892,2195,1849,1410,824,206,11664,254,155,117,103,84,55,22,6,798,97,158,227,222,272,220,116,32,1338,1577,2374,2230,2519,2209,1681,956,248,13798,22,31,61,76,75,114,70,18,466,583,618,641,768,848,1045,971,546,6016,2681,4778,5105,5579,4963,4249,2669,981,31001
POA6211,13,21,15,14,3,0,90,0,3,28,26,16,9,0,0,79,23,65,116,83,86,60,20,3,456,17,63,100,113,116,98,25,3,534,84,225,261,261,233,190,76,8,1337,25,23,12,5,5,10,0,0,78,8,18,19,29,33,36,4,0,151,115,261,290,294,268,236,82,15,1562,3,4,6,10,4,14,8,0,45,52,54,77,83,103,112,62,3,544,209,467,629,626,599,547,203,20,3309
POA6213,0,3,5,0,0,0,9,0,3,0,0,0,0,0,0,4,0,9,6,9,11,12,0,0,45,0,3,9,9,10,6,0,0,39,10,10,14,23,15,13,7,0,99,0,3,3,0,0,0,0,0,6,0,0,0,8,0,0,0,0,12,10,12,16,30,17,13,7,0,117,0,0,0,0,0,0,0,0,3,11,9,9,22,18,11,5,0,90,26,34,45,77,59,49,17,0,308
POA6214,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,8,3,5,4,9,0,0,33,0,0,0,12,3,10,3,0,37,13,23,21,19,19,4,4,3,110,0,0,0,3,0,0,0,0,3,0,0,3,8,3,3,0,0,14,16,27,27,30,17,8,4,3,129,0,0,0,3,0,0,0,0,3,11,9,10,17,10,10,3,3,66,33,45,46,69,32,32,5,5,263
POA6215,3,7,0,3,0,0,21,0,3,3,4,5,3,0,0,19,3,26,38,43,27,15,8,0,165,17,20,24,53,49,37,17,10,216,76,143,132,147,115,57,32,5,717,11,9,5,13,6,4,0,0,48,6,7,16,15,12,10,3,0,66,101,157,150,178,136,79,35,11,830,0,0,0,4,3,3,0,0,13,56,54,60,57,89,90,86,41,537,174,265,289,334,307,225,153,61,1811
POA6218,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,3,0,3,4,3,0,0,16,0,0,3,6,8,0,0,0,18,0,13,20,14,11,7,0,0,67,3,0,0,0,3,0,0,0,6,0,0,3,3,5,3,0,0,11,4,15,21,13,17,10,5,0,84,0,0,0,0,0,0,0,0,0,5,9,5,4,11,6,3,0,37,8,30,30,32,38,24,6,0,168
POA6220,6,3,7,5,0,0,19,0,9,13,3,14,3,0,0,39,17,73,87,57,36,25,8,0,291,15,37,45,54,54,29,16,3,247,96,123,142,154,106,77,33,7,738,15,15,5,7,5,6,0,0,53,3,19,15,16,10,7,6,0,75,115,153,160,173,126,93,37,11,870,3,9,4,5,5,7,0,0,34,51,51,61,72,89,99,67,20,516,200,332,370,367,328,254,130,36,2021
POA6221,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,15,0,8,3,0,0,31,0,0,0,6,4,0,0,0,13,8,12,9,3,3,4,0,0,34,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,12,10,3,3,4,0,0,42,0,0,0,0,0,0,0,0,0,65,6,9,11,4,5,6,0,108,74,18,31,21,22,15,8,0,193
POA6223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,3,0,0,0,15,3,3,0,3,3,0,0,0,14,0,9,4,7,3,4,0,0,33,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,16,4,7,3,4,0,0,36,0,0,0,0,0,0,0,0,0,5,0,6,11,7,4,3,0,32,11,19,21,30,12,7,8,0,103
POA6224,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,3,11,4,7,6,0,0,42,3,8,12,15,14,8,0,0,60,23,18,47,53,33,22,5,0,200,4,0,0,0,7,0,0,0,9,0,0,0,3,3,3,0,0,10,27,23,52,50,39,24,10,0,229,0,0,0,0,0,0,0,0,0,28,10,8,17,17,19,16,4,118,55,48,86,94,75,60,23,9,454
POA6225,5,8,12,4,0,0,33,3,5,8,5,9,5,0,0,36,13,76,74,63,64,37,7,0,330,15,56,61,71,106,56,13,0,380,215,342,316,344,273,157,52,11,1711,47,38,25,17,19,6,0,0,154,13,14,31,31,33,25,6,3,152,280,392,368,393,320,189,60,16,2017,0,3,3,5,9,9,0,6,38,144,122,102,125,153,158,107,55,968,446,665,622,678,673,448,199,73,3800
POA6226,5,3,3,0,0,0,12,0,0,0,3,3,3,0,0,9,3,4,20,21,13,9,0,0,68,0,8,8,20,9,4,0,0,54,13,25,45,43,25,4,0,0,156,0,0,0,3,0,0,0,0,10,3,0,3,8,3,0,0,0,17,14,28,49,49,32,6,0,0,180,0,0,0,0,0,0,0,0,4,8,5,6,3,3,3,3,0,35,25,51,95,102,62,25,5,0,366
POA6227,0,3,0,4,0,0,8,0,0,3,0,3,0,0,0,4,0,9,11,9,12,9,3,0,47,3,8,12,23,10,4,3,0,63,13,34,35,32,17,5,3,0,146,7,0,3,0,0,0,0,0,7,0,3,5,3,0,0,0,0,11,21,34,42,41,17,13,3,0,165,0,0,0,0,0,0,0,0,0,3,9,5,9,3,6,3,3,42,25,64,76,88,40,32,14,3,345
POA6228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,0,0,0,6,0,4,8,6,0,3,3,0,31,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,7,14,9,0,3,3,0,39,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,0,0,16,3,14,18,11,3,10,4,0,66
POA6229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,3,0,0,7,0,0,0,0,0,3,3,0,6,0,0,3,7,11,4,0,0,32,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,6,0,0,10,14,9,4,0,0,38,0,0,0,0,0,0,0,0,0,0,3,3,4,0,5,0,0,24,3,7,15,16,12,15,3,0,75
POA6230,186,179,117,73,14,3,704,14,98,152,154,117,34,13,0,579,141,830,924,747,581,271,110,24,3640,122,472,529,649,559,293,98,31,2752,866,1492,1438,1320,1090,612,211,68,7100,267,115,93,79,44,23,3,0,619,80,97,148,170,157,100,31,8,791,1208,1704,1686,1560,1284,730,246,81,8512,7,51,48,37,45,48,27,5,274,476,584,574,587,515,497,345,178,3757,1983,3863,4103,3910,3228,1954,859,323,20219
POA6232,24,15,11,3,0,0,73,0,26,18,27,16,7,0,0,95,20,157,168,93,69,29,30,10,582,37,124,129,116,105,56,27,3,591,291,570,412,359,252,146,65,18,2107,54,38,21,13,11,3,0,0,144,14,28,35,41,34,21,10,3,191,358,639,468,421,292,177,75,19,2448,3,9,13,6,8,3,9,4,48,91,110,105,99,109,111,148,118,889,512,1077,929,767,610,392,288,151,4722
POA6233,50,33,48,14,3,0,173,3,27,48,52,43,19,3,0,201,42,270,358,251,230,105,40,3,1304,50,213,246,280,225,149,37,17,1215,317,784,753,704,497,265,73,17,3418,81,67,42,30,25,12,4,0,263,23,54,59,77,71,49,16,7,352,426,907,860,815,595,327,91,20,4035,3,16,16,19,15,15,12,4,95,166,200,213,238,209,211,120,39,1399,692,1663,1800,1682,1364,844,306,80,8420
POA6236,3,3,8,0,0,0,18,0,0,7,8,5,8,0,0,22,4,27,51,59,42,14,3,0,204,3,9,19,39,58,12,7,0,157,43,49,61,91,64,32,7,3,357,15,4,4,6,9,0,0,0,41,4,0,9,5,8,0,3,0,36,54,52,74,112,87,40,8,3,430,0,0,0,0,3,0,0,0,4,27,5,14,29,36,37,13,3,166,90,102,163,247,238,114,39,4,999
POA6237,3,12,4,0,0,0,21,0,0,5,4,3,3,0,0,24,5,39,47,49,40,18,3,0,200,3,23,33,45,69,17,5,0,190,27,67,94,120,113,52,8,3,476,12,5,3,7,0,4,0,0,37,5,4,12,13,15,14,0,0,56,43,80,108,137,133,63,8,3,568,0,3,3,0,0,3,0,0,12,28,16,16,26,45,24,9,0,166,81,157,212,283,294,127,26,9,1182
POA6239,6,7,5,13,0,0,42,0,4,7,10,15,10,4,0,56,12,53,71,64,67,38,14,4,317,3,25,44,67,65,47,19,3,281,58,130,144,141,130,65,34,8,700,18,11,8,3,6,0,0,0,52,4,12,9,15,14,16,5,0,85,76,153,162,159,153,87,40,7,828,0,4,3,8,4,6,4,0,29,61,40,65,61,91,88,63,38,502,150,282,359,371,410,285,139,51,2053
