region_id,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
POA6516,78,69,121,52,80,48,62,92,9,611
POA6517,77,24,25,11,21,19,29,15,0,221
POA6518,7,4,3,6,0,3,12,10,0,45
POA6519,100,16,40,27,24,13,28,28,3,279
POA6521,105,15,33,6,19,3,17,12,6,216
POA6522,87,18,20,14,17,6,37,29,3,231
POA6525,249,182,299,107,160,111,156,230,19,1513
POA6528,27,16,19,17,16,6,28,18,6,153
POA6530,1469,2217,2755,1533,1923,1464,1439,1718,215,14733
POA6532,600,350,499,222,346,190,288,305,36,2836
POA6535,170,64,56,48,41,36,75,87,11,588
POA6536,110,78,97,74,56,50,49,127,12,653
POA6537,50,35,39,33,39,27,22,63,5,313
POA6556,109,132,181,92,143,88,84,111,15,955
POA6558,57,42,71,42,59,31,33,61,3,399
POA6560,38,43,100,66,59,31,64,139,10,550
POA6562,79,61,89,59,59,36,73,50,12,518
POA6564,26,22,33,9,25,11,9,19,0,154
POA6566,178,175,214,152,170,69,141,144,23,1266
POA6567,33,16,34,15,18,9,16,18,3,162
POA6568,43,8,9,6,4,5,19,14,3,111
POA6569,57,7,30,9,21,10,9,20,4,167
POA6575,75,17,3,9,15,3,3,18,0,143
POA6603,129,50,87,40,73,29,50,55,6,519
POA6606,105,19,11,9,9,3,15,17,0,188
POA6608,90,12,10,9,6,3,12,12,3,157
POA6609,70,28,56,26,38,27,29,35,6,315
POA6612,78,5,4,3,13,7,8,19,0,137
POA6620,15,3,18,4,15,0,22,12,3,92
POA6623,244,100,135,52,70,22,147,127,11,908
POA6628,73,4,0,0,9,0,4,11,0,101
POA6630,49,26,39,29,13,3,49,22,6,236
POA6635,44,29,57,12,24,0,81,38,4,289
POA6638,36,32,57,22,23,8,29,47,0,254
POA6639,10,4,6,3,4,0,9,6,3,45
POA6640,16,12,5,7,9,4,17,14,0,84
POA6642,77,84,119,55,50,14,150,79,19,647
POA6646,39,108,196,41,37,3,198,91,10,723
POA6701,533,299,328,232,305,160,224,400,52,2533
POA6705,25,12,5,12,0,0,11,23,0,88
POA6707,177,151,255,134,173,106,70,184,18,1268
POA6710,132,167,443,50,106,18,316,291,21,1544
POA6713,82,110,173,37,115,26,76,74,15,708
POA6714,948,1321,2664,552,1326,485,1082,1155,197,9730
POA6716,26,28,96,24,37,12,116,27,13,379
POA6718,21,32,38,45,31,6,53,50,13,289
POA6720,71,152,306,81,145,49,229,139,27,1199
POA6721,402,459,688,130,365,94,392,313,42,2885
POA6722,367,638,1332,332,673,246,854,606,98,5146
POA6725,570,784,713,593,613,304,262,447,102,4388
POA6726,389,558,439,299,380,231,136,207,31,2670
POA6728,196,373,255,284,221,81,146,414,74,2044
POA6740,62,119,56,112,35,16,67,93,28,588
POA6743,435,620,539,310,454,148,301,364,76,3247
POA6751,212,405,938,128,327,76,865,261,48,3260
POA6753,282,673,1512,237,425,114,1454,520,69,5286
POA6754,52,101,224,48,80,33,250,59,14,861
POA6758,5,5,8,9,0,0,4,5,4,40
POA6760,15,20,19,13,14,3,16,42,11,153
POA6762,25,101,263,21,36,6,281,91,8,832
POA6765,57,132,39,92,50,21,21,130,23,565
POA6770,90,174,106,153,76,20,47,199,38,903
POA6907,12,66,11,94,12,40,3,42,6,286
