POA_CODE_2016,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
POA6000,7,0,4,4,0,3,17,71,8,153,19,58,4,308,4,0,42,7,31,0,85,6,0,10,6,9,0,32,25,0,57,29,128,3,252,11,0,20,8,11,0,52,15,6,50,15,32,3,126,25,0,99,67,87,7,294,10,0,29,19,18,3,78,0,0,19,6,4,0,37,13,0,55,15,8,0,92,9,0,23,5,13,0,53,117,25,303,42,24,13,518,12,0,35,16,17,6,89,30,15,88,20,29,6,189,70,20,52,12,12,7,161,38,6,106,11,17,8,192,3,0,14,11,13,0,41,6,3,23,7,34,3,70,25,0,49,18,25,10,130,498,102,1230,336,557,85,2804,0,0,8,0,0,0,12,27,7,42,11,8,3,99,3,0,22,11,8,0,41,12,0,8,0,3,0,21,8,3,22,11,8,0,56,8,0,24,5,3,0,36,25,5,55,27,34,9,147,23,4,111,66
POA6003,0,0,0,0,0,0,0,16,0,21,3,8,3,58,0,0,15,3,3,3,30,0,0,4,0,0,0,5,0,0,15,9,27,0,61,0,0,7,0,3,0,13,3,0,22,12,5,3,49,3,0,34,32,29,11,111,0,0,7,3,7,0,23,0,0,16,0,0,0,16,5,0,13,3,3,0,28,0,0,11,3,3,0,18,30,9,86,8,5,0,136,3,0,12,7,3,0,26,7,4,30,9,10,3,64,17,6,23,0,3,0,52,7,4,27,3,5,0,48,3,0,11,4,3,0,19,5,0,3,5,11,0,31,3,0,15,11,7,3,45,120,28,371,121,153,31,829,0,0,0,0,0,0,0,8,0,17,4,5,0,34,4,3,3,0,4,0,17,3,0,3,0,0,0,9,3,0,10,3,6,0,24,0,0,4,0,0,0,9,3,3,13,11,11,7,53,9,0,38,24
POA6004,0,0,4,0,4,0,9,74,10,133,21,42,7,287,17,4,48,14,19,0,105,13,3,9,4,5,0,31,26,0,91,45,100,4,263,14,0,27,0,12,0,52,25,0,52,17,28,3,119,15,6,104,83,64,16,293,9,0,23,16,20,5,75,5,0,15,4,3,3,33,19,0,52,14,8,0,95,3,4,22,10,3,0,43,116,15,270,45,23,6,470,11,3,35,17,17,7,96,22,5,64,22,14,0,137,33,10,44,3,9,0,97,29,4,102,15,5,6,165,7,0,23,5,4,0,39,5,0,12,8,23,3,51,23,0,54,19,24,13,132,453,71,1178,378,430,94,2607,0,0,0,0,0,0,6,32,5,57,8,10,3,118,13,0,24,10,8,0,54,3,0,11,3,0,0,24,10,0,36,3,10,0,59,5,0,12,9,3,0,29,10,3,61,15,17,7,111,14,0,120,95
POA6005,0,0,6,0,0,0,6,26,3,84,7,13,5,144,7,0,13,11,14,0,51,9,0,9,3,0,0,22,7,0,44,17,47,0,116,4,0,11,3,4,0,29,10,0,23,14,11,0,61,7,0,31,24,35,11,109,7,0,17,8,6,0,42,3,3,7,4,4,3,26,9,3,30,4,3,6,55,0,3,18,3,3,0,31,62,10,176,13,14,6,285,7,0,24,3,12,0,39,22,8,38,10,13,3,91,31,9,25,5,3,3,69,27,3,59,7,8,3,107,0,0,10,4,7,0,26,3,3,11,4,19,3,48,6,0,19,4,7,3,45,238,47,665,158,236,45,1396,0,0,0,0,0,0,3,10,6,40,3,5,0,64,3,0,9,5,0,0,17,0,0,14,0,3,0,20,3,0,23,0,5,0,34,0,0,10,3,0,0,11,5,0,29,11,15,3,63,6,3,43,30
POA6006,0,0,4,0,0,0,9,29,11,79,5,24,3,155,4,7,26,12,29,6,80,5,3,15,3,8,0,33,12,7,56,33,122,7,226,3,0,11,6,9,0,28,5,0,34,13,25,4,86,4,0,20,16,33,3,86,6,3,27,12,23,0,67,3,3,17,3,7,0,27,7,0,32,15,6,3,68,3,0,24,5,12,0,49,48,24,222,40,12,8,349,0,3,19,8,13,0,42,16,10,57,18,13,0,125,30,15,56,14,10,4,133,34,9,64,12,9,0,125,3,3,22,10,7,0,51,3,0,10,7,29,0,49,10,4,32,10,19,3,79,226,96,829,237,418,47,1854,0,0,0,0,0,0,0,20,6,47,0,4,0,77,3,0,11,6,3,0,33,3,3,10,0,3,0,21,3,5,9,8,10,0,31,0,3,11,3,0,0,17,4,0,44,25,19,3,94,0,3,39,20
POA6007,3,0,10,0,0,0,13,29,9,81,7,24,0,144,4,0,30,5,19,0,58,5,0,9,4,6,0,26,4,0,52,15,70,3,151,3,0,11,3,13,0,38,8,0,35,7,17,3,61,5,3,30,17,23,4,79,8,0,17,4,17,0,52,0,7,20,4,3,0,34,9,8,39,14,3,3,71,3,0,14,14,9,0,36,70,14,158,36,12,7,298,0,0,21,7,13,0,55,20,7,60,10,18,3,124,31,7,42,17,7,3,105,35,8,102,12,11,9,184,4,0,19,5,3,0,32,4,0,10,9,21,0,46,13,3,28,11,16,3,71,270,77,794,194,305,36,1674,0,0,0,0,0,0,0,26,6,35,3,8,0,76,5,0,12,4,4,0,24,0,0,5,4,3,0,14,0,0,21,10,0,4,36,0,0,15,3,4,0,25,7,3,25,15,13,0,76,3,0,33,19
POA6008,3,0,10,0,3,0,15,91,13,151,23,21,8,308,15,3,46,13,25,3,105,15,0,25,3,0,0,47,23,0,76,36,91,5,238,8,4,19,5,12,0,51,15,3,54,22,20,10,123,6,3,54,23,28,8,123,12,6,23,16,13,0,73,3,3,25,8,4,0,45,24,20,84,21,11,3,162,8,5,33,15,10,7,82,181,32,415,44,27,14,720,13,0,25,5,6,0,52,51,9,72,24,17,11,181,133,31,101,13,9,0,288,105,20,219,16,11,13,386,4,0,33,4,8,3,60,8,3,11,6,32,0,57,27,10,70,12,9,10,135,764,171,1554,297,375,97,3250,0,0,0,3,6,0,13,20,22,66,8,8,3,136,11,3,22,5,3,0,44,6,3,8,3,0,0,25,9,4,31,12,4,3,60,4,0,23,3,0,0,36,15,5,67,21,28,3,142,5,4,64,18
POA6009,7,0,13,0,3,0,21,96,21,170,10,21,5,316,26,8,52,0,19,0,100,12,3,17,0,3,0,33,20,6,67,28,51,7,178,5,0,25,4,8,0,43,26,0,91,8,12,4,147,12,3,63,10,18,6,115,9,0,28,8,6,5,62,4,3,23,3,3,3,37,30,17,97,21,3,6,165,17,3,62,24,15,3,114,145,22,395,35,9,14,624,13,0,21,6,3,3,46,50,11,71,10,10,3,155,202,24,121,15,11,0,371,224,33,331,16,9,12,624,8,0,28,3,3,0,51,17,3,15,5,16,0,58,42,3,65,11,8,9,148,964,164,1750,232,236,78,3411,0,0,15,3,0,0,17,18,10,49,4,3,0,80,6,3,25,3,4,0,38,4,0,11,0,0,0,20,7,3,17,9,3,0,44,9,0,16,3,4,0,26,16,3,84,16,21,0,141,6,3,71,16
POA6010,4,0,13,3,8,3,27,79,8,168,21,22,6,306,22,0,59,9,20,5,121,16,0,8,7,4,0,32,23,8,76,24,73,6,212,3,0,27,8,4,3,47,16,4,74,9,28,11,148,3,0,44,8,21,0,82,5,3,33,19,16,0,77,7,0,17,4,5,0,39,20,11,115,26,3,3,185,9,5,49,31,16,4,113,138,22,385,33,14,11,613,7,0,22,10,3,0,52,32,12,71,31,61,4,215,83,19,93,21,16,6,236,121,4,200,14,8,12,368,4,0,27,6,5,0,51,14,0,17,7,23,0,55,30,4,55,20,23,11,144,638,126,1553,315,377,97,3103,3,0,11,8,3,0,24,19,5,45,8,3,0,84,6,3,23,8,7,0,48,3,0,10,0,0,0,13,7,4,26,11,5,0,52,4,0,17,13,0,3,37,14,14,88,30,25,12,187,4,0,50,19
POA6011,4,0,22,3,0,3,41,53,3,82,10,13,3,164,8,4,41,7,16,0,75,3,0,13,0,0,0,23,11,0,65,25,56,3,169,0,3,18,5,10,0,30,13,0,54,13,13,0,97,7,0,23,7,12,3,54,5,0,20,3,4,6,42,3,0,10,0,0,0,16,30,15,78,10,3,3,139,4,4,41,20,8,3,85,70,12,238,20,11,7,362,0,5,13,6,4,3,30,18,6,24,8,16,0,70,34,7,32,3,3,5,85,92,10,136,12,3,8,256,7,0,12,3,3,0,25,0,0,11,7,6,0,22,18,6,38,7,17,8,90,384,78,985,173,201,54,1880,0,0,3,6,0,3,15,15,0,31,0,0,0,48,3,0,13,3,8,0,24,0,0,5,0,0,0,8,0,3,20,5,6,0,34,0,3,7,3,3,0,17,6,5,47,16,9,3,95,4,3,25,8
POA6012,0,0,16,3,0,0,25,36,5,74,9,17,3,140,12,3,34,7,21,3,81,4,0,14,4,7,0,29,9,0,46,21,71,3,153,0,0,15,9,4,0,26,13,3,35,5,16,3,80,5,3,28,16,24,4,81,6,0,15,10,8,0,47,3,0,7,4,0,3,19,14,7,45,7,6,4,75,3,0,35,7,11,3,63,56,9,141,26,9,5,247,5,0,17,4,8,0,40,21,4,44,4,5,0,82,30,16,47,7,3,0,105,39,6,102,6,9,5,171,3,0,17,0,7,0,32,3,0,11,8,15,0,41,16,0,34,7,21,7,88,298,56,773,179,271,47,1626,0,0,10,3,0,0,9,11,3,29,0,3,0,47,5,0,9,6,8,3,26,3,0,3,0,0,0,5,3,0,7,5,3,0,23,4,0,7,3,0,0,10,13,3,50,12,18,3,99,4,0,29,18
