POA_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
POA6060,0,3,12,92,30,13,9,3,3,161,0,0,4,6,9,13,10,10,7,56,0,3,3,7,0,0,3,3,0,19,7,12,22,164,98,68,76,57,20,521,0,0,0,0,0,4,0,0,0,5,0,0,0,18,8,0,0,0,0,21,0,0,10,15,11,5,20,0,5,62,0,0,0,4,3,6,10,28,4,53,0,0,3,32,10,5,0,0,0,58,17,34,68,296,26,26,14,15,3,485,0,0,3,34,8,0,3,0,0,51,0,3,3,51,13,4,0,4,0,80,0,0,0,15,6,0,0,0,0,23,0,3,14,186,5,8,13,7,0,231,0,3,5,26,11,32,101,115,74,374,0,3,4,40,10,3,0,0,0,59,0,0,4,35,8,4,0,0,0,45,0,0,0,0,0,0,0,0,0,3,0,7,4,94,13,38,24,8,0,186,0,0,0,0,0,3,3,0,0,6
POA6061,5,5,18,167,36,43,5,9,3,293,0,0,0,25,15,12,19,16,0,77,3,9,0,11,0,3,4,5,0,35,0,3,16,119,95,97,119,62,18,531,0,0,0,3,6,0,0,0,0,11,0,0,0,11,0,3,0,0,0,18,0,0,4,19,9,6,22,3,6,69,0,0,0,7,3,5,12,31,11,73,0,0,9,45,10,5,0,0,0,73,16,34,104,553,38,50,39,25,5,876,3,0,3,58,22,8,3,0,3,108,3,14,29,77,21,12,3,0,0,153,0,26,66,126,37,15,8,0,0,277,0,5,20,127,4,6,15,9,0,175,0,4,13,30,14,26,42,48,13,188,0,0,5,43,11,0,0,0,0,63,0,5,8,51,4,4,0,0,0,66,0,3,7,7,3,3,0,0,0,23,7,32,29,139,31,43,19,8,4,307,0,0,0,0,0,3,3,3,0,8
POA6062,4,15,49,237,78,60,22,18,5,486,0,0,0,13,9,11,18,8,3,57,0,0,0,3,3,4,5,0,0,23,0,20,20,108,109,128,168,99,55,716,0,0,0,3,0,3,0,0,0,13,0,0,0,12,3,5,0,3,0,20,0,0,3,10,7,0,23,10,12,71,0,4,8,6,3,12,26,24,6,90,0,0,13,44,9,16,10,0,0,91,4,27,34,227,67,74,83,37,22,575,0,3,13,55,17,8,6,0,0,93,0,3,11,34,9,5,3,0,0,67,0,7,3,14,11,3,0,0,0,40,0,7,10,98,5,8,17,3,0,149,0,0,7,27,34,69,156,127,43,467,0,3,4,25,11,5,4,0,0,54,0,0,6,27,9,0,0,0,0,45,0,0,3,8,6,3,3,0,0,19,0,5,20,128,37,78,52,24,9,356,0,0,0,4,0,0,3,3,0,13
POA6063,0,11,11,48,30,10,5,3,4,112,0,0,3,10,4,10,0,4,0,25,0,0,0,0,3,0,0,0,0,5,0,4,8,47,69,70,55,23,9,296,0,0,0,3,3,6,0,0,0,9,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,4,9,0,0,18,0,0,0,0,0,4,0,0,0,8,0,3,0,15,8,10,3,0,0,32,0,22,28,142,47,37,28,17,9,330,0,3,4,11,0,3,0,0,0,25,0,7,10,10,4,4,0,0,0,39,0,8,10,51,11,3,0,0,0,84,0,0,0,10,3,5,3,3,0,25,0,3,0,3,4,11,8,6,4,41,0,0,0,4,3,0,0,0,0,10,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,9,27,27,31,11,0,0,114,0,0,0,0,0,0,0,3,0,3
POA6064,0,3,7,44,25,9,5,3,0,98,0,0,0,15,14,15,9,3,3,61,0,18,0,4,3,3,8,0,0,32,0,9,18,104,158,127,131,97,30,674,0,0,0,0,0,0,0,0,0,4,0,0,0,8,3,0,0,0,0,8,0,0,3,10,4,0,13,0,0,39,0,0,0,3,5,0,8,5,3,23,0,0,0,20,5,6,0,0,0,30,3,15,12,93,35,29,62,25,13,279,0,3,8,26,9,8,4,0,0,53,3,10,13,16,9,4,0,0,0,48,0,8,14,57,14,8,0,0,0,95,0,3,4,27,3,3,6,5,0,52,0,0,3,7,14,31,35,52,36,181,0,3,0,6,5,0,0,0,0,26,0,3,3,12,3,0,0,0,0,14,0,0,0,3,0,4,0,0,0,17,9,15,12,49,22,32,14,5,3,161,0,0,0,0,0,3,3,3,0,7
POA6065,0,10,19,153,32,33,12,0,0,263,0,0,4,17,8,22,18,9,3,77,0,13,9,28,7,3,3,3,0,71,20,232,307,906,724,466,436,267,105,3477,0,0,0,4,3,0,0,0,0,12,0,3,0,9,7,3,4,0,0,24,0,3,8,32,17,18,28,5,3,122,0,0,0,0,3,6,10,7,0,30,0,5,10,31,11,3,0,0,0,68,7,57,44,440,109,63,37,17,3,777,0,3,9,48,15,4,3,0,0,87,0,4,4,46,14,4,0,0,0,73,0,0,11,34,7,5,0,0,0,60,0,52,27,114,33,22,22,15,0,292,0,6,0,17,22,28,47,27,16,159,0,0,0,15,4,0,3,0,0,31,0,3,7,28,11,3,0,0,0,45,0,3,0,4,3,4,0,0,0,20,0,4,35,106,45,44,16,13,3,262,0,0,0,0,0,0,3,3,0,15
POA6066,0,7,8,47,10,14,3,0,3,89,0,0,0,5,6,7,5,0,0,20,0,3,0,0,3,0,0,0,0,6,0,7,22,79,143,107,63,48,12,482,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,14,0,0,4,7,7,7,5,0,0,22,0,0,0,3,0,0,0,0,0,10,0,0,0,10,3,5,0,0,0,24,0,9,11,46,30,34,15,10,6,160,7,4,4,22,5,7,0,3,0,48,0,0,10,12,8,3,8,0,0,36,0,13,5,45,12,8,3,0,0,86,0,4,3,26,10,4,7,0,0,47,0,0,0,3,5,17,10,7,4,47,0,0,0,10,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,9,0,13,11,30,33,40,31,5,4,169,0,0,0,0,0,0,0,0,0,3
POA6067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6069,0,0,5,30,7,6,4,0,0,55,0,3,0,5,3,7,3,3,0,26,0,7,4,3,0,0,0,0,0,14,6,89,140,387,395,241,219,99,24,1595,0,0,0,5,3,3,0,0,0,18,0,0,0,4,3,0,0,0,0,7,0,3,8,13,14,8,14,3,0,72,0,0,0,3,0,0,3,3,0,12,0,0,0,10,3,8,0,0,0,25,13,41,44,366,33,34,27,15,3,573,0,0,5,39,9,4,0,0,0,64,0,0,3,11,4,3,0,0,0,22,0,0,8,18,4,3,0,0,0,35,0,8,4,43,18,13,5,8,0,97,3,0,3,11,3,7,5,3,0,44,0,5,0,20,6,0,0,0,0,34,3,0,0,13,0,0,0,0,0,24,0,0,0,4,0,0,0,0,0,6,0,17,4,47,24,22,8,0,0,122,0,0,0,0,0,6,0,0,3,15
