region_id,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_u_ap_I_1or2_sty_blk_Ds,OPDs_F_u_ap_I_1or2_sty_blk_Ps,OPDs_F_u_ap_I_3_sty_blk_Dwgs,OPDs_F_u_ap_I_3_sty_blk_Psns,OPDs_F_u_ap_I_4_m_sty_blk_Ds,OPDs_F_u_ap_I_4_m_sty_blk_Ps,OPDs_Flt_un_apt_Att_house_Ds,OPDs_Flt_un_apt_Att_house_Ps,OPDs_Flt_unit_apart_Tot_Dwgs,OPDs_Flt_unit_apart_Tot_Psns,OPDs_Oth_dw_Cvn_cab_hboat_Ds,OPDs_Oth_dw_Cvn_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
POA6488,131,300,0,0,0,0,0,0,6,11,0,0,0,0,0,0,6,11,0,0,0,0,3,4,3,4,0,0,140,315,81,0,221,315
POA6490,84,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,87,211,33,0,120,211
POA6501,339,939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,8,30,0,0,13,41,0,0,352,980,65,0,417,980
POA6502,364,873,18,23,0,0,18,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,4,385,904,102,0,487,904
POA6503,719,1807,4,6,3,4,7,10,4,4,0,0,0,0,0,0,4,4,7,8,4,12,0,5,11,25,3,5,744,1851,197,0,941,1851
POA6505,97,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,97,253,20,0,117,253
POA6507,144,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0,0,7,12,0,0,151,345,26,0,177,345
POA6509,119,268,5,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,124,276,49,0,173,276
POA6510,692,1760,22,34,0,0,22,34,22,35,0,0,0,0,0,0,22,35,0,0,0,0,3,0,3,0,3,8,742,1837,133,0,875,1837
POA6511,181,382,0,0,0,0,0,0,6,5,0,0,0,0,0,0,6,5,4,4,0,0,0,5,4,9,0,3,191,399,292,0,483,399
POA6513,62,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,7,0,0,65,171,7,0,72,171
POA6514,220,490,0,0,0,0,0,0,3,6,0,0,0,0,0,5,3,11,12,11,0,0,3,5,15,16,0,0,238,517,349,0,587,517
POA6515,182,433,0,0,0,0,0,0,3,6,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,185,439,47,0,232,439
POA6516,518,1219,7,15,3,3,10,18,18,24,0,0,0,0,0,0,18,24,21,32,0,3,0,3,21,38,0,3,567,1302,624,0,1191,1302
POA6517,167,375,9,5,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,176,384,32,0,208,384
POA6518,38,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,3,6,0,0,41,92,14,0,55,92
POA6519,230,532,13,28,0,0,13,28,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,4,3,0,5,247,568,78,0,325,568
POA6521,123,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,3,11,0,0,126,296,62,0,188,296
POA6522,168,412,0,5,0,0,0,5,4,8,0,0,0,0,0,0,4,8,5,4,0,4,4,4,9,12,0,0,181,437,51,0,232,437
POA6525,1214,2959,31,64,3,5,34,69,36,50,0,0,0,0,0,0,36,50,32,47,4,11,3,11,39,69,3,11,1326,3158,388,0,1714,3158
POA6528,95,251,6,3,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,101,257,23,0,124,257
POA6530,9874,26186,643,1130,56,126,699,1256,756,1168,35,50,0,0,3,6,794,1224,168,267,3,8,14,31,185,306,8,31,11560,29003,1881,0,13441,29003
POA6532,1809,4865,21,46,0,3,21,49,3,3,0,0,0,0,0,4,3,7,102,163,3,0,3,6,108,169,5,7,1946,5097,310,0,2256,5097
POA6535,564,1269,4,4,0,0,4,4,9,8,0,0,0,0,0,0,9,8,22,33,0,4,7,16,29,53,0,5,606,1339,266,0,872,1339
POA6536,471,1108,43,70,10,15,53,85,16,34,0,0,0,0,0,0,16,34,44,82,0,3,6,12,50,97,3,9,593,1333,322,0,915,1333
POA6537,188,426,5,6,6,11,11,17,39,63,0,0,3,5,0,0,42,68,37,62,0,3,0,3,37,68,0,0,278,579,131,0,409,579
POA6556,664,1740,0,0,3,12,3,12,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,4,0,8,670,1764,54,0,724,1764
POA6558,274,708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,5,11,0,3,279,722,31,0,310,722
POA6560,405,1108,0,4,3,3,3,7,29,51,0,0,0,0,0,0,29,51,0,0,0,0,0,3,0,3,3,3,440,1172,75,0,515,1172
POA6562,418,1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,3,4,0,0,421,1023,83,0,504,1023
POA6564,125,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,125,292,25,0,150,292
POA6566,1107,2621,19,33,0,0,19,33,3,0,0,0,0,0,0,7,3,7,24,35,0,0,3,3,27,38,3,3,1159,2702,333,0,1492,2702
POA6567,143,340,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,149,343,86,0,235,343
POA6568,87,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,229,36,0,123,229
POA6569,123,288,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,3,3,0,0,3,5,6,8,0,0,132,299,46,0,178,299
POA6575,83,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,6,7,0,0,89,224,13,0,102,224
POA6603,379,911,3,3,0,0,3,3,41,69,0,0,0,0,0,0,41,69,6,6,0,0,7,11,13,17,0,0,436,1000,122,0,558,1000
POA6606,124,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,6,0,0,127,278,56,0,183,278
POA6608,88,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,88,222,25,0,113,222
POA6609,212,517,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,3,3,7,0,0,219,524,54,0,273,524
POA6612,91,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,213,61,0,152,213
POA6620,62,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,6,6,0,0,68,174,23,0,91,174
POA6623,412,1018,3,19,0,0,3,19,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,4,5,0,0,419,1042,145,0,564,1042
POA6628,60,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,4,3,0,0,64,176,41,0,105,176
POA6630,155,390,0,0,0,0,0,0,5,8,0,0,0,0,0,0,5,8,0,0,4,3,0,3,4,6,0,0,164,404,78,0,242,404
POA6635,87,245,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,4,3,9,0,0,93,257,23,0,116,257
POA6638,190,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,3,3,9,0,0,193,492,105,0,298,492
POA6639,35,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,7,4,3,4,45,88,8,0,53,88
POA6640,89,196,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,9,23,4,3,0,0,13,26,0,0,102,225,28,0,130,225
POA6642,240,668,15,30,0,0,15,30,15,23,0,0,0,0,0,0,15,23,9,19,0,0,3,5,12,24,17,28,299,773,72,0,371,773
POA6646,82,338,6,16,0,9,6,25,14,30,0,0,0,0,0,0,14,30,6,6,0,0,0,0,6,6,3,4,111,403,55,0,166,403
POA6701,1474,4054,141,236,8,22,149,258,60,103,0,0,0,0,0,0,60,103,229,403,11,23,9,16,249,442,17,46,1949,4903,294,0,2243,4903
POA6705,68,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,4,6,0,0,72,220,29,0,101,220
POA6707,651,1681,49,97,3,6,52,103,55,77,0,0,0,0,0,0,55,77,84,177,5,15,19,51,108,243,6,11,872,2115,150,0,1022,2115
POA6710,209,566,20,40,0,0,20,40,4,3,0,0,0,0,0,0,4,3,48,63,3,3,0,3,51,69,7,19,291,697,73,0,364,697
POA6713,274,839,4,3,0,0,4,3,13,22,27,55,0,0,0,0,40,77,6,11,0,0,0,0,6,11,4,3,328,933,81,0,409,933
POA6714,3221,10262,456,1017,40,91,496,1108,198,340,0,3,0,0,3,0,201,343,271,537,9,17,8,29,288,583,8,26,4214,12322,674,0,4888,12322
POA6716,118,375,68,117,0,0,68,117,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,186,500,62,0,248,500
POA6718,162,614,9,37,0,0,9,37,3,7,0,0,0,0,0,0,3,7,34,59,0,0,0,0,34,59,3,20,211,737,50,0,261,737
POA6720,328,1189,148,331,3,7,151,338,20,39,4,7,0,0,0,0,24,46,23,45,0,5,0,0,23,50,7,23,533,1646,234,0,767,1646
