POA_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
POA6211,276,385,597,273,341,260,288,287,43,2759
POA6213,54,40,37,32,19,17,53,58,3,306
POA6214,60,20,63,20,26,22,46,43,9,311
POA6215,173,135,367,190,146,105,264,218,31,1626
POA6218,30,12,22,12,7,8,26,25,7,146
POA6220,264,154,345,163,186,116,223,478,29,1964
POA6221,30,19,18,8,16,13,6,23,3,138
POA6223,32,17,18,11,10,8,3,18,3,110
POA6224,68,38,89,52,58,44,72,71,17,495
POA6225,270,304,783,347,331,266,577,495,65,3425
POA6226,68,62,99,37,51,34,32,42,4,428
POA6227,56,51,74,25,46,20,38,37,3,359
POA6228,17,6,18,4,11,4,14,10,3,82
POA6229,9,6,11,4,8,6,14,14,0,72
POA6230,1750,3340,3411,2034,2204,1865,1602,2510,300,19024
POA6232,359,534,1053,529,575,561,600,614,80,4897
POA6233,725,1199,1706,860,1028,893,865,998,133,8402
POA6236,193,171,174,97,128,80,100,92,9,1042
POA6237,186,172,229,109,164,90,114,146,20,1238
POA6239,282,249,315,170,188,138,222,254,31,1852
POA6240,18,10,18,3,11,4,0,7,0,69
POA6243,9,3,7,0,0,0,3,0,0,26
POA6244,245,54,67,33,49,33,44,91,10,645
POA6251,56,12,23,11,10,13,14,25,0,165
POA6252,21,4,8,4,4,4,6,13,3,68
POA6253,63,42,39,31,24,15,24,38,0,265
POA6254,16,18,34,15,9,7,27,36,4,167
POA6255,249,239,266,164,167,137,189,194,26,1630
POA6256,50,29,38,20,9,13,11,30,5,213
POA6258,525,360,443,255,343,273,300,480,39,3016
POA6260,175,71,59,49,60,60,52,137,18,683
POA6262,105,30,33,32,23,7,22,50,3,298
POA6271,162,226,272,144,142,112,144,234,23,1452
POA6275,133,64,71,46,32,38,52,93,14,547
POA6280,1517,1632,2187,1363,1360,1309,907,1594,172,12039
POA6281,474,622,675,361,349,343,178,367,43,3402
POA6282,123,149,110,55,49,50,27,61,3,632
POA6284,216,173,189,81,99,95,52,148,16,1067
POA6285,679,773,823,530,415,445,239,631,68,4604
POA6286,79,59,45,38,32,18,10,59,3,335
POA6288,98,29,32,15,17,11,13,53,0,278
POA6290,94,54,101,81,63,69,39,102,7,608
POA6302,253,190,195,158,162,125,122,180,18,1407
POA6304,175,63,107,61,69,38,78,69,5,662
POA6306,153,36,31,31,34,19,29,62,14,421
POA6308,209,48,82,44,65,25,73,79,11,630
POA6309,36,13,8,13,13,4,11,11,0,100
POA6311,77,31,44,22,26,16,27,31,4,268
POA6312,284,331,326,250,198,166,135,258,33,1979
POA6313,29,22,15,5,18,5,18,16,0,123
POA6315,216,82,101,78,75,55,84,99,13,808
POA6316,71,15,17,8,10,9,16,17,0,174
POA6317,276,218,250,143,163,149,110,424,38,1780
POA6318,82,18,35,14,35,14,12,27,7,243
POA6320,109,17,20,27,24,5,17,11,4,222
POA6321,107,14,19,18,15,8,18,26,4,232
POA6322,40,3,8,4,9,8,8,16,3,102
POA6323,91,37,38,51,46,23,28,60,0,377
POA6324,309,149,207,132,157,109,116,252,17,1459
POA6326,88,27,25,16,20,15,31,43,0,257
POA6327,45,6,23,6,13,11,5,17,3,130
POA6328,115,5,17,12,10,8,14,32,7,215
POA6330,1858,2540,2517,2079,1756,1609,1082,1957,243,15635
POA6333,424,466,359,250,244,193,110,294,22,2364
POA6335,102,31,66,24,44,14,27,55,3,360
POA6336,88,8,8,5,17,3,10,31,0,170
POA6337,123,21,33,12,18,11,33,34,0,286
POA6338,172,28,41,16,23,13,19,46,9,357
POA6341,78,9,11,3,15,4,19,19,0,167
POA6343,81,9,7,6,6,0,6,14,0,131
POA6346,143,27,45,22,34,11,75,54,0,407
POA6348,39,28,78,26,24,25,43,37,6,311
POA6350,50,7,19,14,17,3,8,13,3,132
POA6351,29,3,0,0,5,0,0,0,0,44
POA6352,42,12,3,7,5,0,4,14,0,92
POA6353,146,39,82,25,41,28,29,45,7,435
POA6355,136,17,15,7,15,11,24,23,0,243
POA6356,40,8,3,4,5,0,3,15,0,78
POA6357,36,4,0,0,3,0,3,6,4,53
POA6358,35,0,3,0,4,0,6,7,0,59
POA6359,85,16,39,19,25,11,28,37,8,268
POA6361,36,3,4,3,10,3,3,7,3,64
POA6363,33,4,0,0,3,0,0,9,0,52
POA6365,108,30,27,19,21,11,21,28,4,275
POA6367,80,10,26,15,12,8,13,12,0,171
POA6368,31,0,4,3,4,0,3,4,0,46
POA6369,113,34,38,21,27,17,21,44,8,328
POA6370,80,17,20,13,16,11,24,37,4,221
POA6372,18,0,12,0,3,0,5,3,0,53
POA6373,33,3,7,0,3,0,0,0,0,51
POA6375,141,47,58,25,45,27,40,59,6,449
POA6383,115,38,36,35,20,21,32,55,0,354
POA6384,13,0,3,0,3,0,0,3,0,18
POA6385,4,0,0,0,0,3,0,4,0,8
POA6386,22,3,3,3,3,0,3,6,0,44
POA6390,96,98,172,61,81,27,206,71,16,839
POA6391,208,58,47,38,38,16,55,54,10,528
POA6392,102,15,24,13,17,11,20,26,6,240
POA6393,37,0,0,0,4,3,0,9,4,63
POA6394,127,18,20,3,17,5,12,39,7,246
POA6395,260,86,81,53,66,37,70,104,18,782
POA6396,74,6,15,5,10,5,20,49,4,190
POA6397,21,0,0,3,0,3,0,10,0,34
