region_id,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
POA6237,300,17,15,0,0,4,0,336
POA6239,411,33,18,3,5,0,7,477
POA6240,30,0,4,0,0,0,0,34
POA6244,151,8,12,0,0,0,3,174
POA6251,39,4,5,0,0,0,0,48
POA6253,27,3,3,0,0,0,3,36
POA6254,59,3,5,0,0,0,0,67
POA6255,303,25,18,3,0,0,3,352
POA6256,20,3,3,0,0,0,0,26
POA6258,585,44,44,7,0,0,5,685
POA6260,156,17,5,4,0,0,0,182
POA6262,68,3,3,0,0,0,4,78
POA6271,238,33,28,0,0,0,0,299
POA6275,94,7,3,0,0,0,4,108
POA6280,2234,212,140,8,4,3,6,2607
POA6281,602,48,26,3,0,0,0,679
POA6282,160,8,4,0,0,0,0,172
POA6284,185,11,10,0,0,0,0,206
POA6285,793,55,39,4,0,0,3,894
POA6286,50,3,0,3,0,0,3,59
POA6288,30,6,0,0,0,0,0,36
POA6290,114,6,3,0,0,0,0,123
POA6302,284,22,26,0,0,0,4,336
POA6304,122,8,12,0,0,0,4,146
POA6306,83,9,5,3,0,0,3,103
POA6308,147,11,5,0,0,4,0,167
POA6309,24,0,0,0,0,0,0,24
POA6311,66,0,6,0,0,0,0,72
POA6312,430,27,28,4,0,0,13,502
POA6313,40,4,0,0,0,0,0,44
POA6315,164,6,14,3,0,0,4,191
POA6316,43,3,3,0,0,0,0,49
POA6317,410,27,19,6,0,0,6,468
POA6318,19,3,3,0,0,0,0,25
POA6320,99,7,0,5,3,0,0,114
POA6321,16,4,0,0,0,0,3,23
POA6322,43,3,3,0,0,0,3,52
POA6323,78,3,9,3,0,0,3,96
POA6324,279,16,6,5,0,0,0,306
POA6326,55,3,4,0,0,0,0,62
POA6327,33,3,0,0,0,0,3,39
POA6328,44,5,0,0,0,0,0,49
POA6330,2978,295,190,33,5,0,24,3525
POA6333,418,36,24,0,6,0,0,484
POA6335,88,0,3,3,0,0,3,97
POA6336,16,3,4,0,0,0,4,27
POA6337,62,3,0,0,0,0,3,68
POA6338,93,4,0,0,0,0,0,97
POA6341,35,3,0,0,0,0,0,38
POA6343,30,3,0,0,0,0,0,33
POA6346,50,13,3,0,0,0,0,66
POA6348,141,5,6,3,0,0,0,155
POA6350,11,3,0,0,0,0,0,14
POA6352,43,3,3,0,0,3,0,52
POA6353,79,3,5,0,0,0,0,87
POA6355,92,4,3,0,4,0,0,103
POA6358,23,3,0,0,0,0,0,26
POA6359,40,3,0,4,0,0,0,47
POA6365,59,3,3,3,0,0,0,68
POA6367,22,0,5,0,0,0,0,27
POA6368,23,0,0,0,0,0,0,23
POA6369,53,4,4,0,0,0,0,61
POA6370,46,3,4,0,0,0,0,53
POA6373,33,3,0,0,0,0,0,36
POA6375,48,4,5,0,0,0,5,62
POA6383,75,6,6,3,0,0,0,90
POA6386,30,0,3,3,0,0,0,36
POA6390,164,23,17,0,0,0,0,204
POA6391,92,8,0,0,0,0,0,100
POA6392,50,3,5,0,0,0,4,62
POA6393,43,4,0,0,0,0,0,47
POA6394,55,0,3,0,0,0,0,58
POA6395,140,12,5,0,0,0,6,163
POA6396,38,3,4,0,0,0,0,45
POA6397,28,0,0,0,0,0,0,28
POA6398,40,5,0,0,0,0,0,45
POA6401,616,56,36,9,4,0,16,737
POA6403,20,0,0,0,0,0,0,20
POA6405,25,5,0,5,0,0,0,35
POA6407,102,0,4,0,0,0,0,106
POA6409,43,3,0,4,0,0,0,50
POA6410,110,4,12,0,0,0,0,126
POA6413,19,0,0,0,0,0,0,19
POA6415,254,17,21,4,0,0,0,296
POA6418,53,3,10,3,0,0,0,69
POA6421,24,5,5,0,0,0,0,34
POA6423,24,0,0,3,0,0,0,27
POA6425,19,3,0,0,0,0,0,22
POA6426,108,4,7,0,0,0,0,119
POA6429,69,8,10,10,0,0,0,97
POA6430,2333,205,147,33,0,7,13,2738
POA6431,33,7,3,3,0,5,8,59
POA6432,644,88,55,13,0,3,6,809
POA6434,6,4,0,0,0,0,0,10
POA6436,8,5,0,0,0,0,0,13
POA6437,79,5,7,5,0,0,0,96
POA6438,35,3,5,4,0,4,0,51
