POA_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
POA6148,25,3,80,33,35,24,8,19,5,227,0,0,6,0,0,0,0,0,0,8,10,16,6,5,10,3,6,3,0,63,7,5,6,6,9,7,9,8,10,76,765,2165,765,524,647,317,202,257,82,5726
POA6149,22,10,55,33,34,19,3,20,3,210,0,0,0,0,3,0,0,0,0,8,11,16,11,8,11,6,0,6,3,67,10,13,12,6,10,8,8,8,16,86,951,2605,770,527,807,329,161,271,72,6494
POA6150,13,3,42,26,22,15,8,18,0,145,0,0,0,0,0,0,0,0,0,6,5,11,9,8,4,3,0,0,0,42,4,3,5,4,10,3,0,3,17,53,653,1808,432,337,523,265,98,180,54,4350
POA6151,27,9,76,28,26,19,6,13,4,204,0,0,3,0,0,0,0,3,0,10,11,24,6,8,15,4,4,5,3,73,11,25,8,9,6,7,4,0,20,88,1161,2907,598,479,721,316,98,187,81,6545
POA6152,39,14,107,43,33,33,10,21,3,301,0,0,0,0,3,0,6,0,0,13,13,28,13,3,16,11,5,3,8,95,9,20,12,9,14,9,5,11,23,121,1398,3926,982,726,1100,514,185,333,111,9276
POA6153,37,7,69,52,21,26,7,13,0,230,0,0,0,3,0,0,3,0,0,7,16,27,5,10,6,9,0,3,0,71,9,22,13,8,9,5,0,15,14,91,1350,3154,644,494,853,412,107,178,106,7301
POA6154,9,4,38,23,18,10,4,5,3,123,3,0,0,0,0,0,0,0,0,4,12,7,4,3,7,4,3,0,0,44,5,12,10,8,7,4,3,0,13,64,573,1324,416,297,438,168,74,111,44,3430
POA6155,104,17,247,114,83,79,42,67,4,750,0,0,8,3,3,0,0,6,0,25,23,40,50,21,32,8,29,15,4,217,30,20,42,37,31,29,27,22,56,297,2032,5725,2552,1661,2113,942,698,807,211,16743
POA6156,37,7,74,35,39,24,6,18,3,239,0,0,0,0,0,0,0,0,0,3,12,18,6,11,13,0,3,3,4,74,7,13,24,9,14,7,3,11,18,106,1000,2119,738,492,668,282,135,216,79,5730
POA6157,27,10,65,28,25,28,3,10,3,198,0,0,0,0,0,3,0,0,0,5,5,10,9,6,5,3,4,3,5,55,11,16,13,3,8,7,5,3,10,77,762,1981,636,447,495,275,109,150,73,4930
