POA_CODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
POA6000,0,0,24,37,12,17,11,5,0,106,0,0,0,6,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,10,7,3,60,265,24,11,13,5,0,394,26,12,153,426,88,60,29,19,10,826,212,165,884,2843,473,368,222,109,56,5339,0,0,3,8,0,0,0,0,0,12,309,186,487,1985,418,339,155,70,19,3965,0,0,5,14,0,0,0,0,0,18,0,0,4,7,3,3,0,0,0,10,0,0,0,3,0,0,0,0,0,3,0,8,22,46,9,4,4,0,0,91,0,0,0,9,0,0,0,0,0,8,4,8,156,190,45,26,10,9,5,455,0,0,0,9,0,0,0,0,0,10,0,0,0,5,0,0,0,0,0,13,0,6,49,292,95,83,67,16,12,618,0,0,0,3,3,0,0,0,0,7,0,3,28,69,10,0,0,0,0,113,0,0,17,48,0,0,9,0,0,71
POA6003,0,0,0,13,6,7,3,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,15,49,6,7,3,0,0,84,4,6,38,203,22,18,13,9,3,314,46,67,219,951,137,146,70,35,18,1688,0,0,0,0,0,0,0,0,0,0,67,76,174,700,130,132,61,12,3,1357,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,3,13,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,5,0,6,10,33,9,8,0,3,0,63,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,15,77,33,31,15,9,0,165,0,0,0,0,0,0,0,0,0,0,0,0,3,33,0,0,0,0,0,37,0,0,3,9,0,0,0,0,0,17
POA6004,0,0,9,22,4,3,0,3,0,53,0,0,3,3,0,0,0,0,0,14,0,0,0,4,0,3,0,0,0,6,13,9,74,271,29,16,13,4,3,421,27,19,112,377,72,79,36,17,3,744,192,133,745,2500,487,514,317,112,39,5036,0,0,0,3,0,0,0,0,0,12,244,134,423,1214,357,452,265,88,25,3195,0,0,0,19,3,3,0,0,0,25,0,0,0,10,3,4,3,5,0,20,0,0,0,0,3,0,0,0,0,3,0,0,5,19,5,5,3,0,0,34,0,0,0,14,0,4,0,0,0,22,3,6,118,194,49,25,14,11,0,426,0,0,0,13,3,6,0,0,0,25,0,0,0,7,0,0,0,0,0,12,0,3,56,268,142,116,87,38,9,711,0,0,3,9,0,0,0,0,0,12,0,0,18,60,7,0,0,0,0,86,0,0,3,37,4,3,5,0,0,62
POA6005,0,0,3,7,0,3,3,0,0,16,0,0,0,9,0,0,0,0,0,8,0,0,4,10,7,0,0,0,0,20,4,6,20,144,13,9,5,3,3,210,15,10,38,193,37,20,38,14,15,372,103,77,313,1416,253,208,169,90,88,2717,0,0,0,0,3,0,0,0,0,3,120,70,236,1059,226,184,142,72,44,2142,0,0,0,6,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,5,0,0,0,27,0,0,0,7,0,0,0,0,0,9,0,0,62,61,14,14,3,4,0,158,0,0,0,0,3,0,0,9,0,11,0,0,0,0,0,0,0,0,0,9,3,5,36,159,44,47,39,17,14,360,0,0,0,0,0,0,0,0,0,3,0,0,3,28,4,0,3,0,0,43,0,0,3,23,3,3,9,4,3,41
POA6006,0,0,3,32,25,21,11,7,0,101,0,0,0,5,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,10,0,7,15,59,21,10,9,3,0,121,12,15,29,97,39,36,12,14,12,274,227,425,468,1518,620,473,252,256,176,4425,0,0,0,0,0,0,0,0,0,3,446,799,696,1798,744,544,217,112,59,5409,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,3,0,0,0,21,0,0,0,4,0,0,0,0,0,9,0,0,3,21,7,3,0,0,0,36,0,0,0,6,0,0,0,0,0,10,0,6,12,29,13,15,3,0,0,73,0,0,0,0,0,3,9,0,3,19,0,0,0,0,0,0,0,0,0,3,0,7,25,178,109,73,53,20,14,475,0,0,0,0,0,0,0,0,0,5,0,0,0,23,0,0,0,0,0,22,0,0,8,14,11,3,13,6,3,52
POA6007,0,0,0,11,6,3,8,0,0,25,0,0,0,4,0,0,0,0,0,7,0,0,0,10,3,3,0,0,0,20,0,5,17,89,19,15,8,5,3,151,3,16,83,107,30,21,23,8,5,296,168,283,447,1452,412,357,259,160,110,3653,0,0,0,0,0,0,0,0,0,0,353,474,527,1518,449,389,246,112,72,4131,0,0,0,5,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,24,8,3,0,0,0,39,0,0,0,0,0,0,0,0,0,3,0,0,5,19,3,5,0,0,0,34,0,0,0,0,0,4,0,0,5,8,0,0,0,0,0,0,3,0,3,7,4,17,26,202,94,82,57,22,14,518,0,0,0,0,3,0,0,0,0,3,0,0,3,24,0,0,0,3,0,30,0,0,4,15,4,0,5,0,4,31
POA6008,0,3,3,14,7,7,4,0,0,35,0,0,0,6,0,0,0,3,0,12,0,0,6,4,3,0,4,0,0,21,8,25,22,149,50,46,24,17,6,346,32,42,50,204,57,80,67,45,21,592,424,800,826,2436,1033,960,747,390,185,7800,0,0,0,3,0,0,0,0,0,3,688,1147,1087,2335,1028,1045,793,323,117,8567,0,0,0,10,0,0,0,0,0,15,0,0,0,4,3,3,4,0,3,17,0,0,0,3,3,0,0,0,0,8,0,9,10,44,19,13,10,0,0,107,0,0,0,0,3,3,3,0,0,19,3,26,50,101,15,12,9,6,0,216,0,0,0,3,3,7,3,3,0,17,0,3,0,8,0,0,0,0,0,13,18,90,62,342,275,229,201,99,37,1346,0,0,0,5,0,0,0,0,0,3,3,8,6,63,16,7,5,0,0,110,0,9,4,31,13,6,14,7,0,89
POA6009,0,3,6,31,7,5,0,0,0,52,0,0,0,6,6,3,0,3,0,12,0,0,8,8,7,3,0,4,0,36,6,31,50,106,33,44,18,14,5,308,10,24,82,97,41,57,50,35,32,419,379,1091,2040,1990,1123,1073,912,451,275,9320,0,0,3,0,0,0,0,0,0,4,639,1731,2276,1793,1119,1087,934,483,249,10299,0,6,4,20,0,3,0,0,0,39,0,0,0,4,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,4,0,18,16,30,17,13,4,0,0,106,0,0,0,11,0,0,0,0,0,12,9,22,560,390,82,24,24,12,4,1139,0,0,0,3,0,3,3,0,0,16,0,0,0,4,0,3,0,6,0,11,10,91,150,172,214,191,180,68,35,1121,0,0,0,3,0,0,0,0,0,8,0,12,12,23,16,3,3,0,0,75,3,5,14,24,9,11,24,6,4,91
POA6010,0,0,0,7,3,0,0,0,0,14,0,0,0,4,10,0,0,0,0,16,0,0,8,21,10,15,3,0,0,57,5,18,32,92,55,38,24,7,6,272,19,41,67,127,78,70,65,73,53,595,329,987,1042,1808,1277,1120,959,654,451,8623,0,0,0,0,0,0,0,0,0,0,639,1671,1654,2117,1247,1168,1090,713,412,10713,0,0,0,5,3,0,0,0,0,12,0,0,0,0,4,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,11,14,29,21,13,12,4,0,105,0,3,9,9,0,3,3,0,0,24,0,27,97,58,28,13,14,9,3,256,0,4,0,4,3,3,3,3,0,17,0,0,0,0,0,3,7,0,3,11,9,116,93,203,266,228,229,132,71,1351,0,0,0,4,3,0,0,0,0,11,0,7,13,23,3,4,0,0,0,55,0,3,7,22,18,16,22,6,3,100
POA6011,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,7,0,0,4,5,3,0,3,0,0,15,5,13,17,29,18,12,3,4,3,113,6,29,38,79,56,44,20,9,15,310,184,641,640,1060,708,635,456,220,171,4703,0,0,0,0,0,0,0,0,0,0,311,977,914,1208,807,835,622,313,160,6145,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,17,10,6,0,0,0,52,0,0,3,0,3,0,0,0,0,8,0,0,13,4,6,3,5,0,0,39,0,0,0,0,0,4,3,0,0,6,0,0,0,0,0,0,0,0,3,7,15,77,38,179,160,103,108,35,37,751,0,0,0,0,0,0,0,0,0,0,3,3,8,21,8,3,0,0,0,46,0,0,3,12,9,3,11,6,3,44
POA6012,0,0,0,3,0,0,0,0,0,13,0,3,0,0,3,3,5,0,0,10,0,0,4,7,10,3,3,0,0,25,0,14,18,104,28,13,19,9,0,204,10,12,19,110,40,39,61,47,34,368,189,650,613,1209,682,520,477,248,111,4693,0,0,0,0,0,0,0,0,0,0,339,883,793,1090,729,550,520,241,82,5224,0,0,0,12,0,0,0,0,0,14,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,3,18,10,7,0,0,0,39,0,0,0,0,3,0,0,0,0,8,0,13,14,28,23,9,11,0,0,97,0,0,0,0,0,8,4,0,3,13,0,0,0,0,0,0,0,0,0,5,9,50,69,165,173,119,98,47,18,749,0,0,0,0,0,0,0,0,0,3,3,3,4,31,8,3,0,0,0,52,0,0,0,19,6,5,12,3,0,51
POA6014,0,4,5,20,5,4,3,0,0,42,0,0,3,0,3,3,0,3,0,16,0,0,3,26,8,3,3,0,0,49,8,61,48,296,61,45,15,11,6,550,22,35,49,174,59,65,52,57,33,551,599,1423,1137,3059,1446,1129,720,605,419,10528,0,0,0,3,0,0,0,0,0,3,1081,2432,1711,2912,1667,1344,805,596,419,12974,4,3,0,26,6,0,3,0,0,38,0,0,0,3,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,9,3,30,16,10,5,0,0,75,0,0,3,11,0,4,0,0,0,20,4,24,28,122,36,25,8,8,4,258,0,0,0,3,3,4,3,8,3,27,0,0,3,0,0,3,3,3,0,14,16,90,91,304,289,202,154,83,60,1293,0,0,0,3,0,0,0,0,0,8,3,11,5,44,9,3,5,4,0,91,0,6,4,33,21,14,11,3,0,99
POA6015,0,5,0,6,0,3,0,0,0,9,0,0,0,0,3,0,3,0,0,5,0,0,0,3,6,4,0,0,0,13,0,11,9,26,22,16,3,6,4,97,0,15,15,27,22,30,11,25,13,160,118,489,506,503,589,400,304,315,160,3380,0,0,0,0,3,0,0,0,0,7,218,823,782,545,662,474,315,354,169,4344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,4,4,12,5,0,0,0,27,0,0,0,3,0,0,0,0,0,6,0,3,6,13,16,4,6,0,0,52,0,0,0,0,3,0,0,0,0,9,0,0,0,3,3,0,0,0,0,10,0,32,42,61,129,84,72,56,33,520,0,0,0,0,3,0,0,0,0,5,0,14,0,9,3,0,0,0,0,28,0,3,4,13,12,11,10,3,0,51
POA6016,0,0,11,23,6,3,8,3,3,60,0,0,0,3,3,0,0,0,0,7,0,0,0,6,0,5,0,0,0,13,3,15,29,172,20,14,6,4,0,270,15,23,26,133,30,26,26,10,18,302,372,609,546,1909,679,478,279,168,122,5165,0,0,0,0,0,0,0,0,0,4,670,1101,714,1853,818,549,220,96,59,6079,0,3,0,7,0,0,0,0,0,7,0,0,0,10,3,3,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,0,25,6,4,0,0,0,43,0,0,0,3,0,0,0,0,0,3,0,3,12,39,3,0,9,0,3,75,0,0,0,4,7,3,6,0,3,17,0,0,0,5,4,3,3,0,0,14,5,19,16,174,147,74,63,11,16,518,0,0,0,0,3,0,0,0,0,10,0,0,0,9,0,3,0,0,0,11,0,3,0,17,7,10,3,3,0,43
POA6017,0,3,3,6,10,4,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,6,4,13,78,7,4,0,5,3,121,10,3,9,64,25,22,12,10,10,162,127,119,225,910,189,181,124,92,47,2023,0,3,4,7,0,0,0,0,0,19,203,132,211,739,163,151,106,56,29,1775,0,0,0,3,0,0,0,0,0,3,0,0,0,7,4,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,3,3,0,8,38,9,10,0,0,0,66,0,0,0,3,0,3,4,8,0,20,0,0,0,10,0,0,0,0,0,10,0,4,8,64,26,32,32,13,7,183,0,0,0,3,0,0,0,0,0,3,0,0,3,4,0,0,0,0,0,11,0,0,0,3,3,0,0,0,0,14
POA6018,0,6,7,34,10,18,6,4,0,87,0,3,3,17,8,7,3,0,0,48,0,4,10,28,28,21,4,0,0,88,10,53,46,323,108,75,38,24,22,694,56,86,97,391,140,115,99,104,101,1193,1121,2367,2169,6076,2606,2044,1640,1255,711,19977,0,0,0,11,0,0,0,0,0,11,2125,3853,3054,6376,2847,2261,1598,1221,578,23911,0,0,0,7,3,0,0,0,0,10,0,0,0,15,4,6,10,0,0,31,0,0,0,4,3,3,0,0,0,12,4,6,9,72,25,19,3,3,8,149,0,0,0,9,8,3,0,0,0,17,15,35,65,302,91,61,40,21,9,633,0,0,0,8,9,10,7,27,7,72,0,8,0,17,3,9,5,3,0,42,20,138,154,732,500,373,356,223,91,2596,0,0,0,5,4,4,0,0,0,12,3,15,8,52,19,6,4,0,0,97,0,6,16,63,32,15,46,25,7,210
POA6019,0,0,0,13,3,7,0,0,0,21,0,0,0,12,3,8,3,0,0,27,0,0,5,20,9,16,5,0,0,51,3,20,64,345,49,40,22,16,9,563,30,49,65,299,81,77,79,49,19,750,577,1017,1105,4060,1377,1118,859,551,216,10882,0,0,3,3,0,3,0,0,0,10,1121,1812,1646,4207,1590,1243,849,604,209,13287,0,0,0,0,0,3,0,0,0,3,0,0,0,8,3,0,0,0,0,12,0,0,0,0,0,3,0,0,0,3,0,10,4,76,16,15,8,7,0,134,0,3,0,16,0,0,3,0,0,19,0,15,10,56,23,16,8,6,0,131,0,0,0,3,4,0,8,5,0,19,0,0,0,6,3,3,0,3,0,16,15,65,115,596,352,230,215,85,35,1701,0,0,0,4,0,4,0,0,0,11,0,7,5,50,11,3,0,0,0,79,0,8,17,71,25,8,24,23,9,177
POA6020,0,0,0,13,7,5,0,0,0,28,0,0,0,3,10,3,3,0,0,22,0,0,7,10,21,16,3,8,0,60,3,16,21,79,49,42,28,11,5,263,14,29,25,94,55,87,68,26,8,413,531,1389,1110,2270,1587,1704,1298,487,200,10587,0,0,0,0,0,0,0,0,0,0,1021,2383,1843,2795,1772,1938,1541,507,193,13988,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,4,20,13,10,11,3,0,62,0,0,0,6,0,0,0,0,0,14,3,7,3,38,20,8,8,3,3,91,0,0,0,4,0,11,6,5,3,31,0,0,0,3,3,4,5,3,0,23,16,128,113,363,411,381,346,169,49,1971,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,4,0,0,0,20,0,0,7,21,15,9,37,14,3,107
POA6021,0,0,3,62,27,28,15,8,0,138,0,0,0,0,3,0,5,0,0,13,0,0,4,11,0,0,3,0,0,18,3,33,66,195,48,46,21,21,4,439,29,53,53,181,75,75,84,73,87,708,593,1042,1054,3030,1322,1162,1066,687,318,10285,0,0,16,21,8,7,0,0,0,45,1101,1704,1449,3053,1418,1076,686,412,122,11027,0,0,0,5,0,0,0,0,0,8,0,0,4,27,27,14,7,0,0,74,0,0,0,0,0,0,0,0,0,0,3,6,4,20,10,7,0,0,0,45,0,4,0,6,3,4,3,0,0,18,4,5,44,144,70,40,23,12,6,356,0,0,0,17,22,35,58,41,9,179,0,4,0,6,3,10,9,8,0,35,0,15,63,209,155,119,106,67,28,769,0,0,0,0,0,0,0,0,0,0,0,3,0,8,3,0,0,0,0,19,0,3,9,18,7,7,13,9,0,62
POA6022,0,0,0,10,4,3,3,0,0,16,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,4,3,19,3,12,8,6,0,58,4,3,13,25,14,17,21,5,3,103,161,295,238,697,290,313,335,128,30,2482,0,0,0,0,0,0,0,0,0,0,311,517,392,900,352,346,386,109,30,3344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,9,0,3,0,27,0,0,0,0,0,0,0,0,0,3,0,3,3,26,10,5,0,0,0,48,0,0,0,0,0,0,5,4,0,7,0,0,0,0,0,0,0,0,0,5,0,8,15,86,77,56,68,47,9,369,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,5,0,0,7,0,0,12
POA6023,0,0,0,6,0,3,0,0,0,12,0,4,4,11,6,3,3,0,0,31,0,0,6,14,18,15,11,0,0,76,0,12,5,78,44,38,25,12,3,214,9,17,26,38,34,48,24,25,30,256,432,1110,808,1762,1132,1097,835,326,218,7711,0,0,0,0,0,0,0,0,0,0,830,1898,1268,2118,1109,1126,906,314,141,9709,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,4,8,20,10,7,4,0,0,59,0,0,0,0,0,0,0,0,0,5,0,9,6,38,12,19,3,0,3,94,0,0,0,0,0,6,3,3,0,23,0,0,0,0,0,3,3,3,0,17,11,206,130,362,370,247,268,99,58,1751,0,0,0,0,4,0,0,0,0,3,0,3,0,6,0,0,0,3,0,18,0,0,3,15,13,8,22,11,8,83
POA6024,0,0,6,12,5,6,0,0,0,31,0,0,0,3,0,6,8,0,0,21,0,0,0,18,5,0,5,0,0,26,0,14,10,74,42,24,15,5,8,190,17,20,20,68,38,38,41,16,12,266,435,808,618,1815,860,872,846,278,144,6677,0,3,0,3,0,0,0,0,0,3,801,1402,1023,2374,937,962,952,265,118,8830,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,17,3,7,0,0,0,27,0,0,3,5,3,3,3,0,0,14,3,4,17,50,20,14,3,0,0,122,0,0,0,5,3,5,9,11,0,34,0,0,0,3,0,0,3,0,0,12,11,59,58,248,217,188,230,91,26,1125,0,3,0,0,0,0,0,0,0,6,0,3,0,4,3,0,0,0,0,15,0,5,0,20,18,5,33,13,0,101
POA6025,0,0,3,20,4,9,3,0,0,38,3,6,5,17,16,15,17,3,0,86,0,3,9,37,24,23,14,7,0,127,3,26,34,160,85,89,48,20,7,457,31,68,68,185,98,87,87,39,20,692,892,1901,1801,3968,2174,2100,1446,556,238,15080,0,0,0,3,0,0,0,0,0,12,1678,3090,2701,4679,2078,1915,1305,422,173,18043,0,0,0,0,0,0,0,0,0,3,0,0,3,3,7,14,5,0,0,35,0,0,0,0,0,0,0,0,0,3,5,17,13,31,20,17,3,8,0,110,0,3,0,3,3,5,0,0,0,14,3,3,16,61,27,22,5,3,0,151,0,0,0,3,8,11,3,6,0,32,0,0,0,11,7,12,8,3,0,41,42,263,321,830,799,712,634,248,99,3958,0,3,0,0,0,8,0,0,0,6,0,0,3,17,6,0,9,0,3,40,3,7,16,47,31,35,54,18,9,224
POA6026,0,0,3,6,3,5,0,0,0,25,0,3,7,8,17,8,5,8,3,62,0,3,10,26,31,12,4,3,0,82,0,15,22,82,56,37,24,15,8,264,8,44,35,86,61,58,35,35,20,381,549,1468,1333,2435,1788,1818,965,647,431,11432,0,0,0,0,0,0,0,0,0,0,1087,2345,2135,2759,1686,2074,957,507,361,13904,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,3,3,0,0,9,0,0,3,0,0,0,0,3,0,7,0,4,4,14,10,11,4,0,0,52,0,0,0,3,3,0,6,0,0,10,4,5,15,61,13,19,8,0,0,119,0,0,0,0,3,9,5,8,0,25,0,0,0,0,0,0,3,0,0,5,16,269,280,583,668,561,429,240,136,3173,0,0,0,0,0,0,0,0,0,0,0,3,4,12,10,5,4,0,0,34,0,3,11,18,24,13,28,6,4,116
POA6027,0,0,5,25,8,12,3,0,0,62,0,6,10,29,26,30,13,3,0,127,0,6,25,68,41,46,19,0,0,209,3,34,75,259,139,95,55,35,7,702,40,92,131,243,143,140,96,65,24,964,1136,2477,2951,5535,3224,2818,1632,807,341,20922,0,0,3,7,10,5,0,0,0,32,2133,3819,3869,5753,2567,2279,1144,484,221,22272,0,3,4,31,0,0,0,0,0,37,0,0,0,7,6,9,0,0,0,29,0,0,0,4,4,0,3,0,0,15,0,8,15,44,23,25,7,0,0,132,0,3,0,4,3,0,0,0,0,13,3,10,74,145,30,8,7,5,0,290,0,0,5,5,10,8,9,3,0,44,0,7,11,19,14,25,16,11,3,109,43,431,650,1495,1569,1320,916,428,128,6984,0,5,5,3,4,0,5,0,0,20,0,4,9,24,7,3,3,4,0,55,0,4,21,63,54,34,57,20,13,277
POA6028,0,0,0,13,0,0,3,0,0,22,0,12,10,28,22,15,3,6,0,91,0,0,16,38,39,17,3,0,0,109,3,28,38,122,78,40,17,11,3,341,17,33,34,87,52,49,28,26,16,348,619,1680,1780,2806,2229,1244,593,284,68,11299,0,0,3,15,5,7,3,0,0,35,1113,2359,2091,2256,1355,760,333,145,38,10445,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,8,10,6,18,14,11,0,0,0,56,0,0,0,0,3,0,0,0,0,11,3,8,12,48,14,22,4,9,0,117,0,0,0,3,10,0,8,0,0,22,0,0,0,18,16,23,3,0,3,67,45,472,686,1090,1389,787,355,146,42,5019,0,0,0,0,0,0,0,0,0,3,0,0,0,8,5,0,3,4,0,21,0,0,4,16,26,5,17,0,0,75
POA6029,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,11,5,3,4,3,0,30,0,8,7,14,6,10,7,7,0,54,78,193,177,329,215,165,144,84,41,1424,0,0,0,0,0,0,0,0,0,0,140,329,311,448,283,209,190,105,42,2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,3,3,0,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,44,44,44,21,17,10,193,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,8,0,0,0,3,3,0,4,0,0,16
POA6030,0,3,6,39,10,8,0,0,0,69,0,12,12,33,26,17,5,6,0,118,0,7,38,54,41,25,5,0,0,171,3,61,104,287,135,64,48,19,6,729,87,163,179,357,215,124,76,77,64,1341,1321,2791,2835,5715,3098,1802,1250,811,349,19972,0,3,19,54,28,15,0,6,0,120,2445,4108,3314,4997,1962,1262,857,596,278,19807,0,0,0,22,0,0,0,0,0,26,0,0,6,16,13,8,6,0,0,42,0,0,0,26,18,7,0,3,0,56,4,17,10,38,12,12,4,0,0,96,0,0,0,9,20,6,6,3,0,38,0,7,14,112,32,9,4,0,0,182,0,0,0,15,3,10,12,7,0,46,0,4,10,25,12,14,12,3,0,81,30,531,825,1569,1693,783,667,440,123,6661,0,0,0,10,0,3,0,0,0,18,0,4,3,15,9,3,8,3,0,46,0,10,11,40,36,31,36,14,8,189
