POA_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
POA6162,3,62,476,1608,791,106,23,47,3121,3,80,242,133,26,3,0,11,497,0,11,83,176,37,5,0,0,314,3,93,319,312,64,4,0,16,819,4,44,38,9,0,0,0,4,97,0,44,71,36,0,0,0,4,160,0,3,5,4,0,0,0,0,12,0,0,0,0,0,0,0,0,3,7,91,116,52,3,0,3,9,279,10,26,45,9,3,0,0,3,106,6,11,10,3,0,0,0,23,48,27,280,966,1987,866,115,32,100,4370
POA6163,24,183,920,6630,5858,743,124,285,14775,11,292,1020,1180,121,5,9,86,2721,4,87,103,250,123,15,3,3,591,12,381,1120,1423,248,20,8,89,3309,0,42,208,66,3,0,0,8,329,0,52,243,100,3,0,0,18,410,0,91,166,63,3,0,0,4,324,0,0,0,0,0,0,0,0,4,0,186,609,222,11,0,0,33,1063,0,0,7,0,3,0,0,7,15,0,3,6,24,14,0,0,59,108,39,756,2668,8308,6133,762,134,467,19273
POA6164,15,46,193,4059,10606,970,155,214,16248,3,58,221,845,257,13,0,32,1428,0,17,50,178,34,3,0,5,290,3,76,273,1021,284,19,0,40,1718,0,38,76,6,0,0,0,3,129,0,52,160,25,0,0,0,8,246,0,113,290,17,0,0,0,6,428,0,0,0,0,0,0,0,0,0,0,207,526,40,3,0,0,18,798,0,0,0,0,6,0,0,0,6,0,3,5,11,4,0,0,3,26,13,330,997,5132,10902,987,161,266,18796
POA6165,0,0,3,11,7,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,7,3,0,0,22
POA6166,3,23,108,760,1749,248,41,53,2988,0,7,12,125,12,0,0,0,167,0,0,3,10,8,3,0,0,31,0,7,17,136,23,4,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,38,72,9,0,0,0,3,124,0,0,0,0,3,0,0,0,5,5,67,193,908,1781,258,41,62,3304
POA6167,9,65,471,3335,3408,308,46,172,7820,0,68,110,191,57,0,0,26,450,0,3,61,38,4,0,0,0,113,0,70,166,233,63,0,0,26,564,0,57,174,49,0,0,0,3,284,0,0,91,34,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,264,79,0,0,0,6,411,0,0,0,26,28,3,6,8,66,0,0,7,4,3,0,0,6,17,10,195,906,3679,3499,312,54,215,8879
POA6168,3,41,368,3468,2834,272,50,152,7194,3,112,471,413,12,0,0,46,1055,0,30,165,174,36,0,0,21,433,3,138,634,583,55,3,0,66,1486,0,83,252,61,8,0,0,27,435,0,0,7,0,0,0,0,0,7,0,22,61,35,0,0,0,4,128,0,0,0,0,0,0,0,0,0,3,102,319,97,11,0,0,31,562,13,70,19,7,5,0,0,8,123,0,0,3,3,4,0,0,0,11,21,354,1344,4164,2900,277,48,259,9372
POA6169,14,84,457,4045,6103,646,104,236,11681,0,27,116,211,11,0,0,14,383,0,14,23,5,5,0,0,0,49,0,41,140,213,18,0,0,18,431,0,44,237,79,6,0,0,12,378,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,244,79,6,0,0,12,380,0,0,0,13,3,0,0,3,19,0,0,3,4,0,0,0,3,13,10,165,839,4354,6127,649,104,271,12529
POA6170,0,14,69,1185,2257,192,30,64,3802,0,0,32,77,3,0,0,3,119,0,0,0,9,0,0,0,0,6,0,0,36,83,8,0,0,3,129,0,4,16,0,0,0,0,0,19,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,4,26,0,17,121,1283,2275,194,30,66,3983
POA6171,16,115,362,1874,6447,458,65,117,9443,0,0,123,253,22,0,0,3,398,0,0,0,20,12,0,0,0,24,0,0,123,267,26,0,0,6,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,12,0,6,0,0,4,46,0,0,3,6,9,4,0,3,29,18,139,499,2146,6494,457,68,131,9946
POA6172,6,8,37,548,3000,259,36,65,3960,0,4,143,80,20,0,0,12,268,0,0,0,5,3,0,0,0,14,0,4,150,82,24,0,0,14,280,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,185,628,3029,263,36,77,4241
POA6173,0,3,15,356,2736,286,24,48,3475,0,0,0,25,24,0,0,0,52,0,0,0,4,3,0,0,0,12,0,0,0,36,26,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,395,2759,287,29,46,3543
POA6174,4,3,48,383,591,72,7,17,1126,0,0,0,88,17,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,88,17,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,4,3,48,469,606,72,7,20,1231
POA6175,3,0,34,284,716,94,15,13,1162,0,0,0,5,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,34,296,726,97,15,13,1181
POA6176,0,4,13,97,264,39,13,10,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,97,268,42,13,10,441
POA6180,0,43,156,416,1026,65,17,22,1742,0,0,0,22,3,0,0,3,29,0,0,0,0,0,0,0,0,0,0,0,0,22,3,0,0,3,29,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,163,438,1028,65,17,22,1778
POA6181,0,3,3,14,89,26,4,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,14,89,26,4,0,143
POA6182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6207,0,12,35,105,146,17,10,9,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,7,42,104,151,18,10,7,346
POA6208,6,27,359,1353,1927,165,30,71,3940,0,22,108,47,0,0,0,10,197,0,0,5,3,3,0,0,0,9,0,22,118,51,5,0,0,10,203,0,3,3,11,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,0,0,0,0,16,13,50,27,5,3,0,0,3,92,0,0,3,0,3,0,0,0,9,16,104,508,1420,1933,169,30,86,4270
POA6209,0,13,54,142,245,53,20,5,532,6,35,94,3,0,0,0,3,146,0,0,0,0,0,0,0,0,0,6,35,94,3,0,0,0,3,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33,31,0,0,0,0,3,68,0,0,0,3,0,0,0,0,3,11,87,177,153,245,53,20,18,750
POA6210,21,151,1174,7016,10954,983,133,386,20811,5,297,1202,1250,88,3,0,139,2988,4,52,202,566,77,9,0,24,935,11,347,1409,1823,167,15,0,162,3928,3,187,426,182,4,0,0,49,863,3,0,44,82,6,0,0,0,141,0,5,73,125,5,0,0,6,218,0,0,0,0,0,0,0,0,0,9,196,549,397,18,0,0,60,1221,14,66,48,6,4,0,0,9,155,0,8,12,16,13,0,0,3,57,51,769,3188,9257,11159,997,135,623,26178
POA6211,0,14,85,664,1361,138,18,44,2322,0,15,45,17,0,0,0,0,77,0,0,0,16,0,0,0,0,18,0,15,45,27,4,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,3,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,11,15,3,0,0,0,30,9,31,20,3,0,0,0,3,60,0,3,0,0,0,0,0,0,8,4,65,163,704,1372,140,18,52,2515
POA6213,0,10,34,114,64,14,0,3,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,9,37,113,65,14,0,3,256
POA6214,0,6,25,66,90,16,3,7,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,66,90,16,3,7,217
POA6215,7,12,145,512,517,85,18,28,1323,0,0,16,8,10,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,13,8,10,0,0,0,34,0,10,38,11,0,0,0,4,61,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,36,10,0,0,0,4,62,0,6,4,5,0,0,0,10,27,0,0,0,3,0,3,0,3,15,4,32,201,538,522,88,23,45,1452
POA6218,0,7,27,53,39,7,4,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,27,53,42,7,4,0,142
POA6220,3,15,131,646,573,77,14,45,1503,0,24,48,19,0,0,0,3,94,0,0,7,0,0,0,0,0,10,0,24,51,21,0,0,0,3,103,0,0,14,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,15,0,5,3,0,0,0,0,3,10,0,0,3,3,0,0,0,9,14,4,40,197,671,580,78,14,67,1647
POA6221,0,0,4,36,37,3,3,3,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,4,36,37,3,3,3,91
POA6223,0,3,6,31,25,3,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,32,25,4,0,0,72
POA6224,0,7,49,192,119,24,0,8,399,0,0,8,9,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,10,0,7,58,209,117,24,3,8,425
POA6225,5,36,410,1505,1053,122,17,73,3222,0,25,47,32,0,0,0,8,113,0,0,0,0,0,0,0,0,0,0,25,47,32,0,0,0,8,113,0,7,0,4,0,0,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,4,0,18,3,6,3,5,0,0,0,0,21,0,0,0,5,4,0,0,0,11,6,79,471,1546,1060,122,17,82,3389
POA6226,0,0,7,54,151,18,4,3,238,0,0,3,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,11,0,0,14,60,160,23,4,3,254
POA6227,0,3,12,87,120,27,0,5,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,87,120,24,0,5,252
POA6228,0,0,4,18,29,6,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,29,6,0,4,63
POA6229,0,3,3,22,7,4,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23,14,0,0,0,0,0,37,0,0,0,0,0,0,0,0,4,10,25,14,20,7,4,0,3,80
POA6230,7,55,638,5182,5855,587,91,222,12632,10,230,649,854,68,3,5,62,1883,0,16,68,249,44,0,0,6,386,12,250,720,1099,110,3,3,70,2268,10,193,347,108,5,0,0,39,700,0,3,54,25,0,0,0,3,82,0,0,20,17,0,0,0,0,37,0,0,0,0,0,0,0,0,0,10,193,416,154,5,0,0,44,827,11,49,55,13,0,0,0,3,135,0,0,4,16,7,0,0,5,32,40,549,1831,6469,5974,593,94,345,15900
POA6232,0,12,196,956,2112,117,18,46,3472,0,3,98,115,10,0,0,6,236,0,0,0,0,0,0,0,0,3,0,3,96,110,10,0,0,6,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,15,3,0,0,0,0,37,0,3,3,0,3,0,0,0,10,3,35,316,1071,2128,119,18,55,3751
POA6233,3,14,151,1506,3811,351,59,92,5983,0,16,59,139,6,0,0,9,229,0,0,0,3,0,0,0,0,3,0,16,59,142,4,0,0,9,235,0,7,15,17,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,17,0,0,0,0,40,9,44,10,3,0,0,0,3,73,0,0,3,0,3,0,0,0,12,9,77,244,1666,3818,352,59,105,6337
POA6236,0,8,54,239,320,60,6,9,692,0,0,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,4,0,7,54,244,321,60,10,6,708
POA6237,4,3,55,280,392,63,15,19,828,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,5,0,4,0,3,3,0,0,0,9,0,0,0,3,0,0,0,0,4,4,8,60,287,395,65,15,16,849
POA6239,3,12,141,576,626,69,21,30,1471,0,13,23,14,0,0,0,3,49,0,0,0,0,0,0,0,0,0,0,13,23,14,0,0,0,3,55,0,3,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,4,0,4,4,0,0,0,0,0,7,0,0,3,0,7,0,0,0,14,3,32,170,590,634,69,21,29,1546
POA6240,0,0,0,20,15,10,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,10,0,0,46
POA6243,0,0,6,14,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,0,0,0,0,25
POA6244,3,16,83,244,149,38,10,13,551,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,21,90,246,149,37,10,20,570
POA6251,0,3,19,55,58,8,0,3,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,19,54,58,8,0,3,147
POA6252,0,0,8,23,10,9,4,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,8,23,10,9,4,0,54
POA6253,0,9,68,108,43,10,3,4,247,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,3,4,0,0,0,8,4,13,72,107,47,10,3,4,263
POA6254,0,3,47,103,32,12,0,6,206,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,54,103,32,12,0,9,210
POA6255,4,25,206,634,498,59,22,33,1482,0,10,22,7,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,10,22,7,0,0,0,0,41,0,5,3,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,0,12,0,3,0,0,0,0,0,9,13,0,0,0,0,0,0,0,0,6,5,50,237,645,499,59,20,36,1554
POA6256,0,5,17,68,31,15,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,17,67,31,15,0,0,139
POA6258,8,27,252,1069,717,103,19,43,2247,0,19,55,14,0,0,0,8,97,0,0,0,0,0,0,0,0,0,0,19,56,14,0,0,0,8,98,0,38,55,7,0,0,0,9,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,55,7,0,0,0,9,101,0,7,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,7,5,89,365,1090,720,105,27,59,2467
