region_id,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
POA6210,1513,9177,8341,2539,1052,22622,742,23364
POA6211,43,596,887,260,141,1927,45,1972
POA6213,3,78,104,51,30,266,5,271
POA6214,3,23,40,36,20,122,3,125
POA6215,55,392,513,201,142,1303,39,1342
POA6218,6,66,49,25,15,161,11,172
POA6220,84,475,618,256,176,1609,86,1695
POA6221,0,32,55,29,19,135,9,144
POA6224,21,118,146,64,50,399,31,430
POA6225,188,933,1249,462,315,3147,129,3276
POA6226,0,30,88,51,35,204,4,208
POA6227,3,38,78,30,13,162,5,167
POA6229,0,33,51,29,29,142,51,193
POA6230,979,5323,5785,1879,734,14700,439,15139
POA6232,87,962,1447,469,227,3192,76,3268
POA6233,133,1256,2420,937,441,5187,98,5285
POA6236,6,120,288,143,95,652,7,659
POA6237,12,172,369,175,149,877,13,890
POA6239,51,387,579,247,150,1414,38,1452
POA6240,0,14,40,30,17,101,4,105
POA6244,22,143,248,105,79,597,17,614
POA6251,4,35,61,34,26,160,3,163
POA6253,8,80,100,36,25,249,0,249
POA6254,13,84,97,37,22,253,9,262
POA6255,59,457,515,218,106,1355,26,1381
POA6256,0,14,37,17,12,80,4,84
POA6258,160,736,892,341,187,2316,75,2391
POA6260,25,164,234,74,39,536,17,553
POA6262,10,93,124,59,17,303,11,314
POA6271,24,283,409,152,79,947,23,970
POA6275,21,166,201,75,42,505,14,519
POA6280,470,2985,3286,1104,519,8364,227,8591
POA6281,50,588,934,240,106,1918,47,1965
POA6282,0,78,222,80,32,412,10,422
POA6284,16,134,239,108,22,519,4,523
POA6285,92,888,1102,343,137,2562,66,2628
POA6286,4,54,86,45,22,211,5,216
POA6288,0,41,54,31,22,148,6,154
POA6290,37,277,235,80,37,666,25,691
POA6302,45,410,494,209,134,1292,36,1328
POA6304,26,200,234,80,92,632,24,656
POA6306,18,84,112,52,56,322,18,340
POA6308,22,165,230,91,85,593,20,613
POA6309,3,28,33,25,22,111,0,111
POA6311,0,50,81,59,29,219,5,224
POA6312,150,589,569,244,149,1701,59,1760
POA6313,0,23,50,32,30,135,6,141
POA6315,43,231,246,96,88,704,23,727
POA6316,3,32,49,27,42,153,4,157
POA6317,126,509,496,203,114,1448,64,1512
POA6318,6,20,39,12,12,89,3,92
POA6320,5,61,100,61,67,294,15,309
POA6321,6,47,28,11,9,101,5,106
POA6322,4,31,60,41,27,163,6,169
POA6323,8,110,137,66,36,357,8,365
POA6324,62,324,435,194,93,1108,37,1145
POA6326,0,23,64,31,49,167,10,177
POA6327,0,18,49,22,20,109,5,114
POA6328,0,42,45,42,26,155,3,158
POA6330,685,4037,4594,1687,860,11863,392,12255
POA6333,96,727,784,266,119,1992,45,2037
POA6335,19,89,110,41,35,294,7,301
POA6336,0,24,40,14,13,91,5,96
POA6337,3,47,57,38,30,175,7,182
POA6338,3,74,89,57,51,274,6,280
POA6341,3,22,54,18,18,115,3,118
POA6343,0,11,33,15,28,87,0,87
POA6346,5,59,92,29,26,211,11,222
POA6348,14,164,191,64,38,471,20,491
POA6350,4,40,33,16,5,98,0,98
POA6352,3,29,58,32,32,154,5,159
POA6353,5,84,104,56,30,279,13,292
POA6355,17,75,91,55,73,311,14,325
POA6358,4,10,28,22,22,86,5,91
POA6359,5,37,54,17,22,135,3,138
POA6365,16,61,87,33,43,240,6,246
POA6367,8,36,36,12,10,102,5,107
POA6368,3,6,32,12,24,77,0,77
POA6369,14,87,84,28,30,243,4,247
POA6370,9,56,81,26,34,206,13,219
POA6373,0,13,30,21,31,95,0,95
POA6375,24,109,132,51,25,341,7,348
POA6383,17,150,131,66,50,414,6,420
POA6386,0,22,37,17,20,96,0,96
POA6390,22,140,221,108,73,564,14,578
POA6391,5,82,167,60,41,355,12,367
POA6392,0,52,72,40,27,191,8,199
POA6393,0,24,54,34,38,150,3,153
POA6394,0,23,67,24,34,148,8,156
POA6395,35,169,210,91,65,570,21,591
POA6396,4,33,57,15,17,126,8,134
POA6397,3,32,42,25,12,114,3,117
POA6398,7,85,81,33,8,214,7,221
POA6401,207,894,921,371,216,2609,104,2713
POA6403,3,18,23,23,9,76,3,79
POA6405,0,32,42,20,17,111,0,111
POA6407,10,129,148,42,36,365,7,372
POA6409,8,46,42,30,16,142,3,145
POA6410,38,119,157,49,56,419,19,438
POA6413,0,4,20,16,15,55,0,55
POA6415,92,355,391,119,79,1036,36,1072
POA6418,20,86,114,43,21,284,12,296
POA6421,3,13,32,21,15,84,3,87
POA6423,0,27,42,15,9,93,4,97
POA6425,0,14,26,8,14,62,0,62
POA6426,18,134,144,46,32,374,10,384
POA6429,30,145,126,50,40,391,22,413
POA6430,417,2249,2794,1118,506,7084,240,7324
POA6431,84,37,14,3,0,138,3,141
POA6432,167,738,926,355,188,2374,103,2477
POA6434,20,9,0,0,0,29,3,32
POA6436,9,16,12,7,4,48,7,55
POA6437,9,100,50,5,3,167,5,172
POA6438,31,77,63,15,14,200,16,216
POA6440,42,79,46,7,5,179,16,195
POA6442,33,269,341,143,63,849,28,877
POA6443,35,147,100,25,18,325,31,356
POA6445,0,10,19,16,14,59,0,59
POA6447,0,15,48,40,35,138,4,142
POA6448,4,24,41,33,24,126,3,129
POA6450,240,1330,1734,625,312,4241,154,4395
POA6460,13,126,158,46,40,383,9,392
POA6461,14,53,79,13,6,165,4,169
POA6462,0,21,37,23,33,114,0,114
POA6468,0,23,28,7,14,72,0,72
POA6472,0,15,24,14,18,71,3,74
POA6475,0,44,76,28,23,171,4,175
POA6477,3,35,41,14,25,118,3,121
POA6479,11,55,62,41,32,201,5,206
POA6484,0,11,9,6,4,30,0,30
POA6485,17,73,78,23,20,211,9,220
POA6488,8,52,34,27,15,136,3,139
POA6490,0,23,32,15,14,84,3,87
POA6501,0,52,128,93,72,345,9,354
POA6502,10,99,134,83,42,368,15,383
POA6503,12,169,281,152,114,728,15,743
POA6505,0,17,33,23,25,98,0,98
POA6507,3,27,61,40,14,145,5,150
POA6509,4,40,44,17,17,122,3,125
POA6510,47,216,261,126,72,722,20,742
POA6511,11,59,72,37,4,183,10,193
POA6513,0,16,27,9,15,67,0,67
POA6514,15,77,86,42,15,235,4,239
POA6515,3,36,70,40,31,180,3,183
POA6516,15,193,239,67,35,549,20,569
POA6517,6,48,63,30,20,167,9,176
POA6518,0,18,16,3,3,40,0,40
POA6519,15,71,103,24,24,237,11,248
POA6521,5,18,45,26,33,127,0,127
