region_id,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
POA6106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6107,0,10,14,7,7,6,4,0,0,48,5,42,186,163,69,40,3,0,0,508,59,158,390,324,231,184,30,0,0,1376,5,0,45,35,30,24,4,0,0,143,65,208,425,293,218,164,26,3,0,1402,11,63,202,121,101,72,12,0,0,582,111,189,238,120,94,84,12,0,0,848,79,151,174,78,49,18,4,5,0,558,13,75,258,223,204,156,36,3,0,968,6,20,41,27,22,10,3,0,0,129,0,17,74,46,25,14,3,0,0,179,3,17,28,27,15,15,10,0,0,115,13,83,318,166,89,44,12,0,0,725,10,49,117,61,70,49,10,0,0,366,14,41,140,123,122,87,18,0,3,548,7,17,107,95,56,56,17,0,0,355,6,31,120,77,63,56,21,3,0,377,10,32,42,23,15,11,7,0,0,140,23,66,114,109,93,58,19,3,0,485,20,39,86,64,47,20,12,0,3,291
POA6108,0,4,3,5,3,8,0,0,0,23,5,29,94,89,58,31,3,0,0,309,53,96,202,237,206,188,27,3,0,1012,0,0,23,15,25,25,9,0,0,97,70,109,219,206,177,138,24,3,0,946,11,40,89,89,72,81,13,0,0,395,105,89,104,70,74,70,12,0,0,524,80,38,55,28,27,20,0,0,0,248,7,44,108,137,169,134,25,0,0,624,4,13,15,16,10,12,0,0,0,70,3,11,23,17,19,16,3,0,0,92,0,14,15,15,12,25,10,0,0,91,7,26,109,77,62,43,7,3,0,334,12,14,40,32,23,42,9,0,0,172,3,20,62,85,131,93,15,3,0,412,6,12,48,43,48,41,9,0,0,207,3,15,26,40,47,53,16,0,0,200,8,17,18,14,10,7,3,0,0,77,19,37,55,71,61,46,6,0,0,295,4,25,41,37,35,19,7,3,0,171
POA6109,3,3,0,0,0,3,3,0,0,12,0,15,41,24,31,14,3,0,0,128,25,56,154,120,76,64,16,0,0,511,0,0,5,8,5,5,0,0,0,23,20,51,103,79,79,47,5,0,0,384,4,12,39,42,27,26,7,0,0,157,37,27,63,28,32,23,7,5,0,222,27,12,24,19,9,6,3,0,0,100,6,14,65,76,78,78,9,0,0,326,0,0,11,5,3,7,3,0,0,29,0,3,8,7,4,7,0,0,0,29,0,6,4,6,7,4,3,0,0,30,0,9,47,23,18,12,4,0,0,113,3,8,19,12,20,18,3,0,0,83,0,5,20,29,37,31,9,0,0,131,0,4,13,13,18,13,4,0,0,65,0,4,19,14,12,13,6,0,0,68,5,4,5,7,5,0,0,0,0,26,13,24,38,29,27,21,5,0,0,157,5,11,23,19,7,12,7,3,0,87
POA6110,0,5,6,3,15,6,0,4,0,39,11,32,154,134,102,50,7,0,0,490,76,153,377,377,308,165,35,0,0,1491,6,11,28,33,37,32,4,0,0,151,91,163,420,362,258,173,25,0,0,1492,11,70,161,152,109,76,9,4,0,592,110,114,172,162,88,88,25,0,0,759,97,60,59,59,37,27,4,0,0,343,23,57,179,181,216,162,33,0,0,851,10,12,22,12,20,9,3,0,0,88,0,3,38,27,22,10,3,0,0,103,6,8,18,26,25,21,6,0,0,110,12,33,159,101,87,49,14,0,0,455,13,18,63,61,49,25,12,0,0,241,5,34,107,109,124,111,21,0,0,511,6,7,37,56,70,66,11,3,0,256,8,19,49,50,52,74,9,0,0,261,14,16,19,12,15,7,7,0,0,90,39,42,124,80,76,63,20,3,0,447,20,34,51,71,50,41,13,3,0,283
POA6111,0,6,20,16,16,19,12,3,4,96,3,9,80,86,108,51,10,0,0,347,52,76,177,161,186,135,34,3,0,824,0,3,18,18,27,37,4,0,0,107,70,150,198,219,186,145,28,3,0,999,17,33,82,78,76,39,8,0,0,333,75,73,85,71,76,57,20,0,0,457,66,37,29,11,16,14,5,0,0,178,14,34,73,116,128,104,18,3,0,490,5,10,5,8,15,16,4,0,0,63,0,7,10,11,17,20,6,0,0,71,3,9,17,19,21,22,3,0,0,94,7,23,54,81,84,68,23,0,0,340,5,19,33,41,24,28,8,4,0,162,5,22,46,58,97,102,21,3,0,354,8,6,22,36,59,72,16,0,0,219,4,18,28,41,74,57,14,0,0,236,11,14,9,11,8,11,3,0,0,67,26,33,56,50,65,56,11,0,0,297,14,26,36,34,29,12,5,0,0,156
POA6112,4,11,17,9,13,22,10,4,0,90,5,34,205,177,128,53,7,0,0,609,103,197,475,377,328,193,34,0,0,1707,7,17,40,39,38,21,6,0,0,168,144,253,542,347,313,183,25,0,0,1807,26,64,180,140,150,84,20,0,0,664,122,157,224,139,105,83,12,0,0,842,123,61,75,28,34,22,0,0,0,343,16,68,198,267,236,155,39,3,0,982,10,5,29,22,14,11,0,0,0,91,0,7,50,34,11,13,3,0,0,118,6,17,34,30,26,22,6,0,0,141,14,44,207,123,85,58,19,3,0,553,14,43,75,61,59,45,7,6,0,310,11,42,125,127,144,109,14,3,0,575,4,13,78,68,68,71,13,0,0,315,3,20,62,66,85,47,10,0,0,293,6,13,12,17,19,8,4,0,0,79,35,65,116,100,103,73,19,0,0,511,32,42,69,60,55,40,7,6,0,311
POA6121,3,0,4,12,8,4,4,0,5,40,4,3,3,15,18,10,0,0,0,53,7,11,12,32,23,13,5,0,0,103,0,0,0,7,5,0,0,0,0,12,16,21,18,45,60,18,0,0,0,178,10,3,3,12,18,7,3,0,0,56,8,8,3,8,8,9,3,0,0,47,3,5,0,0,3,0,0,0,0,11,3,4,7,16,17,17,3,0,0,67,0,0,3,0,3,4,0,0,0,10,0,0,0,4,0,0,0,0,0,4,0,0,0,3,8,0,0,0,0,11,0,4,4,6,6,4,0,0,0,24,0,3,3,7,3,4,0,0,0,20,0,0,4,3,13,9,3,0,0,32,0,0,0,0,7,9,0,0,0,16,0,0,5,4,5,0,0,0,0,14,0,0,3,3,3,6,0,0,0,15,3,3,7,10,12,6,0,0,0,41,3,0,0,3,3,4,0,0,0,13
POA6122,0,3,5,5,3,11,0,0,0,27,0,28,54,58,44,23,0,0,0,207,39,36,102,113,81,75,5,0,0,451,0,0,3,8,14,8,0,0,0,33,41,90,151,132,104,53,9,0,4,584,10,8,21,35,22,19,3,0,0,118,37,16,44,27,28,14,3,0,0,169,25,7,5,8,4,0,0,0,0,49,4,12,46,56,55,41,10,0,0,224,3,3,3,3,3,3,3,0,0,21,0,3,6,8,3,3,0,0,0,23,3,3,10,5,12,6,4,0,0,43,3,10,23,30,21,11,3,0,0,101,0,7,19,16,12,8,4,0,0,66,3,8,28,31,42,23,9,0,0,144,3,4,19,14,17,17,3,0,0,77,0,0,12,14,14,7,0,0,0,47,3,3,3,9,4,0,3,0,0,25,18,23,21,23,28,16,3,0,0,132,4,5,15,27,13,10,0,0,0,74
POA6123,0,0,3,0,3,4,0,0,0,10,0,3,8,10,8,7,0,0,0,36,5,6,8,19,21,10,5,0,0,74,0,0,0,3,0,0,0,0,0,3,6,9,16,26,13,9,5,0,0,84,0,0,9,4,5,7,0,0,0,25,8,0,4,0,5,0,0,0,0,17,0,3,0,0,0,0,0,0,0,3,0,0,0,13,12,8,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,6,0,3,3,3,4,3,0,0,0,16,3,0,3,0,0,0,0,0,0,6,0,3,0,4,7,6,0,0,0,20,0,0,0,3,5,3,0,0,0,11,0,3,0,0,0,4,0,0,0,7,3,0,0,0,0,3,0,0,0,6,4,3,0,5,0,0,0,0,0,12,4,3,0,3,0,0,0,0,0,10
