POA_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
POA6102,0,0,0,0,0,0,0,0,0,4,0,0,85,61,6,3,0,0,0,162,6,19,170,359,27,19,17,16,17,650,7,24,112,152,26,12,5,7,3,348,0,0,8,52,9,6,5,3,0,85,3,3,3,24,12,8,0,3,0,52,0,4,0,48,12,8,11,3,6,89,0,0,0,15,0,14,31,53,36,160,0,0,6,15,0,0,0,0,0,30,3,3,25,109,13,13,0,0,0,166,0,0,0,6,5,0,3,0,0,11,0,8,366,261,31,34,26,24,7,757,0,0,0,0,0,0,3,0,0,5,0,3,28,35,7,6,3,3,3,84,0,0,19,35,13,19,6,14,7,115,0,0,11,25,0,0,0,0,0,41,0,0,0,4,3,4,15,10,12,49,0,10,30,96,33,27,14,12,0,234,0,0,3,0,0,0,3,4,0,7,4,8,48,91,4,0,0,0,0,164
POA6103,0,0,0,0,0,0,0,7,0,14,0,0,24,52,4,5,4,4,0,90,14,12,66,213,18,19,11,9,3,365,0,6,6,52,3,5,3,3,0,78,0,3,9,55,3,0,4,0,0,73,0,4,0,8,7,0,0,0,0,27,0,0,17,102,3,3,5,5,0,131,0,0,3,11,7,5,15,20,11,73,0,0,3,13,9,0,0,3,0,32,0,4,16,144,9,8,3,0,0,189,0,0,0,3,0,0,0,0,0,3,4,7,44,146,19,25,8,3,0,257,0,0,0,0,0,0,0,0,0,0,0,4,7,31,0,3,3,0,0,52,0,0,0,24,11,10,3,4,3,60,0,0,3,19,0,0,0,0,0,25,0,0,0,3,0,0,3,0,3,13,3,16,41,151,49,45,20,10,3,335,0,0,0,6,0,3,3,3,0,11,3,5,20,67,0,0,0,0,0,108
POA6104,0,0,0,0,0,0,5,0,0,6,0,0,15,42,10,4,0,0,0,73,11,13,54,207,52,30,30,18,11,420,0,3,10,54,13,6,3,0,0,93,0,0,14,17,10,5,0,0,0,40,0,0,9,11,0,9,0,0,0,27,3,4,12,155,13,14,9,13,3,219,0,0,3,18,4,15,25,24,8,108,0,4,0,16,4,0,0,0,0,22,0,3,11,60,0,3,4,0,0,78,0,3,0,11,3,3,6,3,0,29,0,3,17,81,26,27,12,7,5,177,0,0,0,4,0,3,3,3,0,13,0,0,5,28,3,8,0,0,0,51,0,0,3,22,19,16,18,4,7,87,0,0,14,36,4,0,0,0,0,54,0,0,3,5,3,11,22,6,5,51,11,37,68,236,112,83,40,4,3,595,0,0,6,18,3,4,6,0,0,31,3,11,16,59,6,3,5,0,0,107
POA6105,0,0,0,0,0,3,0,3,0,15,0,0,5,51,4,0,3,0,0,78,14,22,67,263,36,32,30,30,11,508,0,8,6,56,19,10,4,3,0,110,0,3,5,16,3,0,0,0,0,31,0,3,3,13,10,4,0,0,0,34,0,3,5,112,8,7,4,7,0,149,0,0,3,10,10,13,50,63,19,171,0,0,4,13,3,0,0,0,0,22,0,0,11,97,3,0,0,0,0,113,0,4,0,19,3,7,6,3,0,45,0,10,35,126,21,30,17,12,3,250,0,0,0,0,0,3,3,0,0,4,0,8,7,29,9,3,4,7,0,76,0,0,0,27,15,40,22,15,16,130,0,6,20,74,4,0,0,0,0,106,0,0,3,4,3,3,9,4,6,36,5,42,78,209,96,64,33,9,3,546,0,0,4,15,7,3,4,0,0,35,10,27,27,102,13,3,0,0,0,186
POA6106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6107,0,0,0,0,0,0,0,3,3,10,3,0,66,182,14,13,4,7,0,292,71,241,515,2058,229,153,109,40,17,3426,6,68,137,458,92,49,30,6,4,853,0,9,23,99,8,3,3,3,0,155,11,31,29,86,30,7,5,0,0,200,4,13,3,86,12,11,16,11,0,167,0,3,3,32,12,61,122,106,53,391,0,0,10,48,10,6,6,0,0,82,9,8,40,241,33,20,5,3,0,363,3,7,3,32,6,7,3,6,0,75,20,62,295,694,112,111,66,14,9,1382,0,0,0,0,0,0,3,0,0,5,4,23,43,145,31,19,11,4,0,280,3,24,89,250,103,105,72,27,14,686,7,13,64,220,18,12,0,0,0,338,0,0,0,7,7,16,43,34,17,129,24,150,145,426,175,145,58,15,0,1146,0,0,0,15,4,4,13,6,3,46,32,45,77,291,24,7,6,0,0,479
POA6108,0,0,0,0,0,0,3,0,0,3,0,3,3,43,10,6,3,0,0,68,18,42,73,369,94,80,87,39,11,810,3,25,25,153,33,35,13,0,3,286,0,3,11,12,8,3,0,0,0,43,0,3,10,51,19,9,9,0,0,101,0,3,3,40,22,17,24,6,3,120,0,0,0,5,12,29,32,28,4,119,0,3,0,27,3,3,3,0,0,41,3,11,12,49,19,6,0,0,0,91,0,0,4,17,5,11,3,0,0,41,6,38,55,260,117,155,93,38,4,767,0,0,0,0,0,7,5,0,0,11,0,4,11,29,8,10,3,3,0,68,0,6,31,72,46,44,32,9,6,254,0,0,4,11,0,3,0,0,0,13,3,3,4,4,8,19,42,25,15,109,7,93,117,291,181,110,41,12,0,843,0,3,0,6,6,11,18,7,0,54,3,26,25,80,14,10,4,0,0,159
POA6109,0,0,0,0,0,0,0,0,0,4,0,0,0,5,3,0,0,0,0,12,16,62,78,427,49,44,36,10,7,722,3,21,19,70,19,12,5,0,0,150,0,3,12,12,3,0,0,0,0,27,0,0,3,21,7,0,0,0,0,33,0,0,0,3,0,0,12,7,3,29,0,0,0,3,9,16,34,44,17,119,0,0,0,0,3,0,0,0,0,9,3,0,0,17,0,3,0,0,0,22,0,0,3,5,0,9,0,0,0,18,0,8,19,49,23,23,19,7,0,144,0,0,0,0,0,0,0,0,0,3,0,0,3,25,3,0,0,0,0,38,0,15,45,82,41,23,17,9,3,233,0,3,4,22,3,0,0,0,0,31,0,0,0,3,3,4,7,7,14,41,6,50,41,118,69,73,19,7,4,388,0,0,0,0,0,3,11,4,5,20,0,26,15,51,6,3,0,0,0,110
POA6110,0,0,0,0,0,0,4,0,0,5,0,0,7,26,9,4,0,0,0,47,27,144,160,953,159,105,82,39,11,1681,5,45,40,193,56,26,19,5,3,393,0,16,22,30,9,8,0,0,0,85,0,3,15,49,26,3,3,0,0,97,0,16,3,56,20,14,19,14,5,147,0,0,0,12,10,25,35,35,18,130,0,0,3,8,6,3,0,0,0,26,0,9,8,61,13,0,0,0,0,97,0,0,0,19,12,3,3,0,0,41,12,77,127,348,136,109,49,19,4,876,0,0,0,0,3,7,3,4,0,20,0,18,15,73,19,17,4,5,0,147,0,15,41,162,72,63,31,19,9,406,0,0,4,34,3,5,0,0,0,48,0,0,3,14,13,26,70,49,19,192,21,182,174,542,274,200,73,27,9,1490,0,0,0,4,12,11,13,9,0,46,6,49,29,159,22,9,0,0,0,285
POA6111,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,11,6,33,29,215,37,25,38,16,3,407,3,4,4,23,14,3,3,3,0,60,0,0,3,17,0,0,0,0,0,27,0,0,4,5,0,0,0,0,0,13,0,0,0,24,18,15,28,6,4,92,0,0,3,7,3,30,45,36,14,139,0,0,0,8,3,0,0,0,0,15,0,3,3,8,0,0,0,0,0,18,0,0,0,0,3,0,0,0,0,9,0,3,4,21,24,18,21,10,0,94,0,0,0,0,0,6,4,0,0,13,0,0,0,11,3,0,0,0,0,16,0,8,4,59,21,26,13,8,0,147,0,0,0,10,0,0,0,0,0,7,0,0,0,12,22,27,65,29,7,173,6,43,88,251,181,142,58,16,5,786,0,0,0,8,8,16,12,9,0,54,7,12,7,44,3,4,0,0,0,80
