region_id,No_IC_DS_Separate_house,No_IC_DS_SemD_ro_tr_h_th,No_IC_DS_Flat_Unit_or_Apart,No_IC_DS_Other_dwelling,No_IC_DS_Not_stated,No_IC_Total,Tof_IC_BrdB_DS_Separate_house,Tof_IC_BrdB_DS_SemD_ro_tr_h_t,Tof_IC_BrdB_DS_Flt_Unt_or_Apt,Tof_IC_BrdB_DS_Other_dwelling,Tof_IC_BrdB_DS_Not_stated,Tof_IC_BrdB_Total,Tof_IC_DU_DS_Separate_house,Tof_IC_DU_DS_SemD_ro_tr_h_th,Tof_IC_DU_DS_Flt_Unt_or_Aprt,Tof_IC_DU_DS_Other_dwelling,Tof_IC_DU_DS_Not_stated,Tof_IC_D_up_Total,Tof_IC_Oth_DS_Separate_house,Tof_IC_Oth_DS_SemD_ro_tr_h_th,Tof_IC_Ot_DS_Flt_Unt_or_Aprt,Tof_IC_Oth_DS_Other_dwelling,Tof_IC_Oth_DS_Not_stated,Tof_IC_Other_Total,Tof_IC_Tot_DS_Separate_house,Tof_IC_Tot_DS_SemD_ro_tr_h_th,Tof_IC_Tot_DS_Flt_Unt_or_Apt,Tof_IC_Tot_DS_Other_dwelling,Tof_IC_Tot_DS_Not_stated,Tof_IC_Tot_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_Unit_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_Unit_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
POA6462,33,0,0,0,0,33,71,0,0,0,0,71,3,0,0,0,0,3,6,0,0,0,0,6,80,0,0,0,0,80,0,0,0,0,0,0,113,0,0,0,0,113
POA6468,15,0,0,0,0,15,47,0,0,0,0,47,3,0,0,0,0,3,7,0,0,0,0,7,57,0,0,0,0,57,0,0,0,0,0,0,72,0,0,0,0,72
POA6472,14,0,0,0,0,14,54,0,0,0,0,54,3,0,0,0,0,3,3,0,0,0,0,3,60,0,0,0,0,60,0,0,0,0,0,0,74,0,0,0,0,74
POA6475,49,0,0,0,0,49,117,0,0,0,0,117,5,0,0,0,0,5,3,0,0,0,0,3,125,0,0,0,0,125,3,0,0,0,0,3,177,0,0,0,0,177
POA6477,29,0,0,0,0,29,75,0,0,0,0,75,10,0,0,0,0,10,3,0,0,0,0,3,88,0,0,0,0,88,3,0,0,0,0,3,120,0,0,0,0,120
POA6479,48,12,0,0,0,60,124,5,0,0,0,129,6,0,0,0,0,6,6,0,0,0,0,6,136,5,0,0,0,141,6,0,0,0,0,6,190,17,0,0,0,207
POA6484,10,0,0,0,0,10,12,0,0,0,0,12,3,0,0,0,3,6,0,0,0,0,0,0,15,0,0,0,3,18,0,0,0,0,0,0,25,0,0,0,3,28
POA6485,55,4,3,3,0,65,127,0,3,0,0,130,5,0,0,0,0,5,10,0,0,0,0,10,142,0,3,0,0,145,6,0,3,0,0,9,203,4,9,3,0,219
POA6488,42,0,6,4,0,52,74,0,0,0,0,74,4,0,0,0,0,4,4,0,0,0,0,4,82,0,0,0,0,82,5,0,0,0,0,5,129,0,6,4,0,139
POA6490,21,0,0,0,0,21,51,0,0,3,0,54,3,0,0,0,0,3,8,0,0,0,0,8,62,0,0,3,0,65,3,0,0,0,0,3,86,0,0,3,0,89
POA6501,52,0,0,0,0,52,248,0,0,13,0,261,17,0,0,0,0,17,12,0,0,0,0,12,277,0,0,13,0,290,11,0,0,0,0,11,340,0,0,13,0,353
POA6502,67,0,0,0,0,67,266,13,0,0,4,283,9,0,0,0,0,9,9,0,0,0,0,9,284,13,0,0,4,301,14,3,0,0,0,17,365,16,0,0,4,385
POA6503,157,0,4,0,0,161,472,4,0,7,0,483,26,0,0,3,3,32,37,0,0,3,0,40,535,4,0,13,3,555,26,0,0,0,0,26,718,4,4,13,3,742
POA6505,22,0,0,0,0,22,64,0,0,0,0,64,4,0,0,0,0,4,5,0,0,0,0,5,73,0,0,0,0,73,3,0,0,0,0,3,98,0,0,0,0,98
POA6507,24,0,0,5,0,29,101,0,0,0,0,101,3,0,0,0,0,3,10,0,0,0,0,10,114,0,0,0,0,114,7,0,0,0,0,7,145,0,0,5,0,150
POA6509,23,0,0,0,0,23,86,4,0,0,0,90,6,0,0,0,0,6,5,0,0,0,0,5,97,4,0,0,0,101,0,0,0,0,0,0,120,4,0,0,0,124
POA6510,196,12,15,0,0,223,420,6,6,0,0,432,20,0,0,0,0,20,28,3,0,0,0,31,468,9,6,0,0,483,28,3,3,0,0,34,692,24,24,0,0,740
POA6511,42,0,3,0,0,45,112,0,3,3,0,118,12,0,0,0,0,12,7,0,0,0,0,7,131,0,3,3,0,137,7,0,0,3,0,10,180,0,6,6,0,192
POA6513,14,0,0,0,0,14,43,0,0,3,0,46,4,0,0,0,0,4,3,0,0,0,0,3,50,0,0,3,0,53,0,0,0,0,0,0,64,0,0,3,0,67
POA6514,55,0,0,12,0,67,127,0,5,0,0,132,15,0,0,0,0,15,17,0,0,0,0,17,159,0,5,0,0,164,8,0,0,0,0,8,222,0,5,12,0,239
POA6515,44,0,4,0,0,48,115,0,0,0,0,115,7,0,0,0,0,7,13,0,0,0,0,13,135,0,0,0,0,135,0,0,0,0,0,0,179,0,4,0,0,183
POA6516,127,8,3,9,0,147,326,0,9,7,0,342,25,0,3,0,0,28,25,0,0,4,0,29,376,0,12,11,0,399,16,0,3,3,0,22,519,8,18,23,0,568
POA6517,38,0,0,0,0,38,108,10,0,0,0,118,9,0,0,0,0,9,4,0,0,0,0,4,121,10,0,0,0,131,6,0,0,0,0,6,165,10,0,0,0,175
POA6518,13,0,0,0,0,13,17,0,0,3,0,20,3,0,0,0,0,3,5,0,0,0,0,5,25,0,0,3,0,28,0,0,0,0,0,0,38,0,0,3,0,41
POA6519,65,8,0,0,0,73,137,3,0,3,0,143,6,0,0,0,0,6,11,0,0,0,0,11,154,3,0,3,0,160,11,3,0,0,0,14,230,14,0,3,0,247
POA6521,34,0,0,0,0,34,84,0,0,0,0,84,4,0,0,0,0,4,3,0,0,0,0,3,91,0,0,0,0,91,0,0,0,0,0,0,125,0,0,0,0,125
POA6522,39,0,3,3,0,45,110,0,3,6,0,119,3,0,0,0,0,3,9,0,0,0,0,9,122,0,3,6,0,131,7,0,0,0,0,7,168,0,6,9,0,183
POA6525,258,15,20,17,0,310,820,18,12,15,4,869,61,0,0,3,0,64,39,0,3,3,0,45,920,18,15,21,4,978,36,0,0,3,0,39,1214,33,35,41,4,1327
POA6528,20,3,0,0,0,23,57,3,0,0,0,60,8,0,0,0,0,8,10,0,0,0,0,10,75,3,0,0,0,78,0,0,0,0,0,0,95,6,0,0,0,101
POA6530,2008,307,351,75,3,2744,6676,269,334,80,3,7362,405,22,20,3,3,453,423,45,44,16,0,528,7504,336,398,99,6,8343,359,56,44,12,3,474,9871,699,793,186,12,11561
POA6532,295,7,0,53,4,359,1254,10,0,36,0,1300,110,3,0,3,0,116,99,3,0,5,0,107,1463,16,0,44,0,1523,52,0,0,10,0,62,1810,23,0,107,4,1944
POA6535,179,3,8,19,0,209,299,0,0,9,0,308,39,0,0,0,0,39,14,3,0,0,0,17,352,3,0,9,0,364,33,0,0,0,0,33,564,6,8,28,0,606
POA6536,108,21,3,11,3,146,307,23,11,33,3,377,23,3,0,0,0,26,19,4,4,0,0,27,349,30,15,33,3,430,12,0,0,4,0,16,469,51,18,48,6,592
POA6537,39,0,19,17,0,75,129,8,15,14,0,166,3,0,3,5,0,11,9,0,3,0,0,12,141,8,21,19,0,189,8,3,3,0,0,14,188,11,43,36,0,278
POA6556,102,0,0,0,0,102,499,3,0,0,0,502,23,0,0,0,0,23,14,0,0,3,0,17,536,3,0,3,0,542,28,0,0,0,0,28,666,3,0,3,0,672
POA6558,45,0,0,3,0,48,199,0,0,3,0,202,10,0,0,0,0,10,5,0,0,0,0,5,214,0,0,3,0,217,14,0,0,0,0,14,273,0,0,6,0,279
POA6560,81,0,21,0,0,102,276,4,4,0,3,287,11,0,0,0,0,11,17,0,0,0,0,17,304,4,4,0,3,315,20,0,4,0,0,24,405,4,29,0,3,441
POA6562,69,0,0,3,0,72,313,0,0,0,0,313,19,0,0,0,0,19,10,0,0,0,0,10,342,0,0,0,0,342,6,0,0,0,0,6,417,0,0,3,0,420
POA6564,28,0,0,0,0,28,81,0,0,0,0,81,10,0,0,0,0,10,6,0,0,0,0,6,97,0,0,0,0,97,0,0,0,0,0,0,125,0,0,0,0,125
POA6566,229,12,3,14,0,258,743,4,3,6,3,759,60,0,0,0,0,60,33,0,0,3,0,36,836,4,3,9,3,855,40,0,0,4,0,44,1105,16,6,27,3,1157
POA6567,21,0,0,0,0,21,101,3,0,3,0,107,9,0,0,0,0,9,3,0,0,0,0,3,113,3,0,3,0,119,9,0,0,0,0,9,143,3,0,3,0,149
POA6568,16,0,0,0,0,16,59,0,0,0,0,59,9,0,0,0,0,9,0,0,0,0,0,0,68,0,0,0,0,68,4,0,0,0,0,4,88,0,0,0,0,88
POA6569,32,0,0,0,0,32,79,0,0,0,0,79,7,0,0,0,0,7,7,0,0,0,0,7,93,0,0,0,0,93,3,0,0,0,0,3,128,0,0,0,0,128
POA6575,23,0,0,0,0,23,53,0,0,4,0,57,0,0,0,0,0,0,7,0,0,0,0,7,60,0,0,4,0,64,0,0,0,0,0,0,83,0,0,4,0,87
