region_id,No_IC_DS_Separate_house,No_IC_DS_SemD_ro_tr_h_th,No_IC_DS_Flat_Unit_or_Apart,No_IC_DS_Other_dwelling,No_IC_DS_Not_stated,No_IC_Total,Tof_IC_BrdB_DS_Separate_house,Tof_IC_BrdB_DS_SemD_ro_tr_h_t,Tof_IC_BrdB_DS_Flt_Unt_or_Apt,Tof_IC_BrdB_DS_Other_dwelling,Tof_IC_BrdB_DS_Not_stated,Tof_IC_BrdB_Total,Tof_IC_DU_DS_Separate_house,Tof_IC_DU_DS_SemD_ro_tr_h_th,Tof_IC_DU_DS_Flt_Unt_or_Aprt,Tof_IC_DU_DS_Other_dwelling,Tof_IC_DU_DS_Not_stated,Tof_IC_D_up_Total,Tof_IC_Oth_DS_Separate_house,Tof_IC_Oth_DS_SemD_ro_tr_h_th,Tof_IC_Ot_DS_Flt_Unt_or_Aprt,Tof_IC_Oth_DS_Other_dwelling,Tof_IC_Oth_DS_Not_stated,Tof_IC_Other_Total,Tof_IC_Tot_DS_Separate_house,Tof_IC_Tot_DS_SemD_ro_tr_h_th,Tof_IC_Tot_DS_Flt_Unt_or_Apt,Tof_IC_Tot_DS_Other_dwelling,Tof_IC_Tot_DS_Not_stated,Tof_IC_Tot_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_Unit_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_Unit_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
POA6603,71,0,19,7,0,97,258,3,16,6,0,283,15,0,3,0,0,18,14,0,3,0,0,17,287,3,22,6,0,318,21,0,0,0,0,21,379,3,41,13,0,436
POA6606,18,0,0,0,0,18,93,0,0,3,0,96,3,0,0,0,0,3,3,0,0,0,0,3,99,0,0,3,0,102,8,0,0,0,0,8,125,0,0,3,0,128
POA6608,13,0,0,0,0,13,71,0,0,0,0,71,3,0,0,0,0,3,0,0,0,0,0,0,74,0,0,0,0,74,3,0,0,0,0,3,90,0,0,0,0,90
POA6609,54,4,0,0,0,58,137,0,0,3,0,140,10,0,0,0,0,10,7,0,0,0,0,7,154,0,0,3,0,157,4,0,0,0,0,4,212,4,0,3,0,219
POA6612,22,0,0,0,0,22,60,0,0,0,0,60,3,0,0,0,0,3,5,0,0,0,0,5,68,0,0,0,0,68,0,0,0,0,0,0,90,0,0,0,0,90
POA6620,20,0,0,3,0,23,30,0,0,0,0,30,5,0,0,0,0,5,3,0,0,0,0,3,38,0,0,0,0,38,5,0,0,0,0,5,63,0,0,3,0,66
POA6623,101,3,0,0,0,104,278,0,0,0,0,278,16,0,0,0,0,16,14,0,0,0,0,14,308,0,0,0,0,308,4,0,0,5,0,9,413,3,0,5,0,421
POA6628,6,0,0,3,0,9,50,0,0,3,0,53,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,3,0,53,3,0,0,0,0,3,59,0,0,6,0,65
POA6630,63,0,4,0,0,67,76,0,0,3,0,79,4,0,0,0,0,4,3,0,0,0,0,3,83,0,0,3,0,86,10,0,3,0,0,13,156,0,7,3,0,166
POA6635,30,0,0,3,0,33,45,3,0,3,0,51,3,0,0,0,0,3,3,0,0,0,0,3,51,3,0,3,0,57,5,0,0,0,0,5,86,3,0,6,0,95
POA6638,86,0,0,0,0,86,84,0,0,3,0,87,7,0,0,0,0,7,11,0,0,0,0,11,102,0,0,3,0,105,3,0,0,0,0,3,191,0,0,3,0,194
POA6639,9,0,0,0,0,9,20,0,0,0,3,23,3,0,0,0,0,3,3,0,0,3,0,6,26,0,0,3,3,32,0,0,0,3,0,3,35,0,0,6,3,44
POA6640,30,0,0,0,0,30,46,0,0,6,0,52,4,0,0,4,0,8,0,0,0,0,0,0,50,0,0,10,0,60,10,0,0,0,0,10,90,0,0,10,0,100
POA6642,106,3,9,5,8,131,99,4,6,9,5,123,10,4,0,0,0,14,7,3,0,0,3,13,116,11,6,9,8,150,19,0,0,0,0,19,241,14,15,14,16,300
POA6646,38,0,0,6,0,44,30,3,7,3,3,46,0,0,0,0,0,0,11,6,4,0,0,21,41,9,11,3,3,67,3,0,0,0,0,3,82,9,11,9,3,114
POA6701,363,60,30,94,3,550,908,51,20,95,14,1088,57,7,0,6,0,70,67,10,4,14,0,95,1032,68,24,115,14,1253,81,23,6,36,0,146,1476,151,60,245,17,1949
POA6705,40,0,0,3,0,43,23,0,0,0,0,23,0,0,0,0,0,0,0,0,0,4,0,4,23,0,0,4,0,27,3,0,0,0,0,3,66,0,0,7,0,73
POA6707,75,10,24,29,0,138,487,30,22,66,5,610,22,3,0,3,0,28,39,6,5,7,0,57,548,39,27,76,5,695,28,4,3,5,0,40,651,53,54,110,5,873
POA6710,56,10,4,10,0,80,131,10,0,19,5,165,4,0,0,0,0,4,7,0,0,0,0,7,142,10,0,19,5,176,11,3,0,19,0,33,209,23,4,48,5,289
POA6713,12,0,5,0,0,17,231,0,27,5,0,263,4,3,3,0,3,13,12,0,4,0,0,16,247,3,34,5,3,292,16,0,3,0,0,19,275,3,42,5,3,328
POA6714,204,85,26,45,0,360,2697,319,121,195,7,3339,80,17,3,4,0,104,139,53,23,24,0,239,2916,389,147,223,7,3682,102,23,27,20,0,172,3222,497,200,288,7,4214
POA6716,3,6,0,0,0,9,104,57,0,0,0,161,3,4,0,0,0,7,7,0,0,0,0,7,114,61,0,0,0,175,0,0,0,4,0,4,117,67,0,4,0,188
POA6718,57,9,4,7,0,77,65,0,0,20,3,88,0,0,0,0,0,0,26,0,0,5,0,31,91,0,0,25,3,119,14,0,0,0,0,14,162,9,4,32,3,210
POA6720,38,18,7,8,3,74,267,113,14,14,3,411,6,3,0,0,0,9,10,8,0,0,3,21,283,124,14,14,6,441,8,9,0,0,0,17,329,151,21,22,9,532
POA6721,52,19,17,30,4,122,615,99,79,66,8,867,23,4,3,8,0,38,30,0,14,8,0,52,668,103,96,82,8,957,22,24,6,39,0,91,742,146,119,151,12,1170
POA6722,283,72,30,15,5,405,1307,272,128,72,4,1783,46,11,3,5,0,65,90,33,15,17,0,155,1443,316,146,94,4,2003,87,13,8,33,0,141,1813,401,184,142,9,2549
POA6725,456,116,91,109,15,787,1235,113,157,157,20,1682,49,4,4,3,0,60,139,35,27,19,5,225,1423,152,188,179,25,1967,93,22,13,25,10,163,1972,290,292,313,50,2917
POA6726,175,43,13,35,0,266,917,96,35,113,0,1161,37,3,0,8,0,48,81,18,7,16,0,122,1035,117,42,137,0,1331,59,13,0,6,0,78,1269,173,55,178,0,1675
POA6728,517,18,7,26,6,574,474,27,8,22,4,535,38,0,0,3,0,41,49,4,0,6,0,59,561,31,8,31,4,635,51,5,0,34,0,90,1129,54,15,91,10,1299
POA6740,208,8,3,15,3,237,114,7,0,16,5,142,5,0,0,3,0,8,14,0,0,0,0,14,133,7,0,19,5,164,32,0,0,6,0,38,373,15,3,40,8,439
POA6743,298,43,22,77,3,443,799,67,60,210,7,1143,47,3,3,5,0,58,75,17,10,30,0,132,921,87,73,245,7,1333,57,10,3,29,0,99,1276,140,98,351,10,1875
POA6751,76,6,5,7,0,94,740,58,3,33,0,834,35,4,0,0,0,39,29,4,0,6,0,39,804,66,3,39,0,912,14,3,0,3,0,20,894,75,8,49,0,1026
POA6753,124,13,20,0,0,157,978,44,66,3,3,1094,41,3,4,0,0,48,44,9,17,0,0,70,1063,56,87,3,3,1212,36,3,4,0,0,43,1223,72,111,3,3,1412
POA6754,25,0,6,0,0,31,341,0,18,4,0,363,13,0,0,0,0,13,11,0,5,0,0,16,365,0,23,4,0,392,11,0,0,0,0,11,401,0,29,4,0,434
POA6758,20,0,0,0,0,20,18,0,0,0,0,18,4,0,0,0,0,4,0,0,0,0,0,0,22,0,0,0,0,22,0,0,0,5,0,5,42,0,0,5,0,47
POA6760,61,0,5,3,0,69,29,0,3,3,0,35,3,0,0,0,0,3,8,0,0,0,0,8,40,0,3,3,0,46,6,0,0,4,0,10,107,0,8,10,0,125
POA6762,40,0,0,0,0,40,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,50,0,0,0,0,50
POA6765,153,0,15,7,0,175,84,0,24,11,3,122,7,0,0,0,0,7,25,0,9,5,0,39,116,0,33,16,3,168,10,0,0,3,3,16,279,0,48,26,6,359
POA6770,309,7,0,36,15,367,138,25,4,22,15,204,15,0,0,0,0,15,78,0,0,8,0,86,231,25,4,30,15,305,15,0,0,3,0,18,555,32,4,69,30,690
POA6907,0,0,0,0,0,0,0,23,23,0,13,59,0,0,3,0,0,3,0,3,3,0,0,6,0,26,29,0,13,68,0,0,0,0,0,0,0,26,29,0,13,68
