POA_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
POA6517,61,0,0,0,0,62,43,0,0,0,0,43,0,0,0,0,0,0,3,0,3,0,0,10,10,0,0,0,0,10,0,0,0,0,0,0,23,0,0,0,0,23,3,0,0,0,0,4,42,0,3,0,0,49,0,0,0,0,0,0,9,0,0,0,0,9,153,0,6,0,0,162
POA6518,38,0,0,0,0,36,15,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,10,0,0,0,0,15,10,0,0,0,0,10,31,0,0,0,0,27,3,0,0,0,0,3,0,0,0,0,0,0,85,0,0,0,0,87
POA6519,86,0,0,0,0,84,36,0,0,0,3,38,3,0,0,0,0,3,9,0,0,0,0,14,25,0,3,0,0,24,0,0,0,0,0,0,26,0,4,0,0,27,8,0,0,0,0,8,70,0,7,0,0,81,6,0,0,0,0,9,4,0,0,0,0,6,201,3,5,0,4,216
POA6521,63,0,0,0,0,63,38,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,10,0,0,0,0,14,12,0,0,0,0,10,28,0,0,0,0,36,3,0,0,0,0,6,0,0,0,0,0,4,129,0,0,3,0,141
POA6522,79,0,0,0,4,80,31,0,0,3,0,34,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,15,0,0,0,0,0,0,26,0,4,0,0,27,3,0,0,0,0,3,46,0,3,0,0,55,0,0,0,0,0,0,8,0,0,0,0,8,163,0,3,5,3,180
POA6525,542,8,3,23,10,588,389,0,4,3,3,399,123,8,0,0,3,137,32,14,23,0,0,70,83,3,0,3,0,93,5,0,3,0,0,10,26,0,0,9,0,36,15,0,3,0,0,19,287,33,33,8,3,365,11,0,0,0,0,11,30,0,0,0,3,39,1267,42,48,40,16,1404
POA6528,49,0,0,14,0,66,52,0,0,4,0,50,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,3,25,0,0,0,0,24,0,0,0,0,0,0,4,0,0,0,0,4,125,0,0,19,0,145
POA6530,3035,288,24,113,13,3471,3768,165,14,10,3,3969,1200,397,81,0,12,1689,392,240,79,17,3,728,864,164,28,15,5,1066,34,34,3,0,0,78,163,33,11,22,3,231,40,10,0,0,0,49,2696,870,197,52,22,3842,51,35,0,4,0,95,237,49,16,14,8,323,9782,1418,254,195,48,11697
POA6532,675,0,0,37,12,723,879,0,0,39,5,926,176,3,0,0,0,186,21,0,0,0,0,21,159,0,0,3,0,162,0,0,0,0,0,0,50,0,0,0,0,53,26,0,0,0,0,27,434,3,0,6,0,443,11,0,0,0,0,10,48,0,0,9,8,58,2051,3,3,95,19,2165
POA6535,288,0,0,15,0,308,138,0,0,3,0,146,12,0,0,0,0,12,12,0,0,0,0,12,71,0,0,3,0,78,0,0,6,0,0,5,17,0,0,7,0,19,10,0,0,0,0,10,124,0,9,11,0,142,15,0,0,3,0,18,15,0,0,4,0,18,581,0,8,29,3,621
POA6536,179,19,8,38,0,241,134,3,4,3,0,143,57,12,16,0,0,83,4,3,7,0,0,13,39,11,12,0,4,62,0,0,0,0,0,0,16,3,3,7,0,35,8,0,0,0,0,7,118,31,39,13,3,205,3,0,0,0,0,5,10,3,3,8,0,20,445,60,50,62,3,622
POA6537,81,0,4,34,0,116,34,3,0,3,0,45,30,7,11,0,0,43,30,11,0,0,0,37,20,3,3,5,0,26,3,0,0,0,0,3,60,0,0,3,3,65,10,0,0,4,0,11,138,17,19,11,3,189,6,0,0,0,0,3,3,0,0,7,0,15,265,24,19,55,3,372
POA6556,233,0,0,3,0,233,378,0,0,0,3,382,27,0,0,0,0,27,0,0,0,0,0,0,34,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,63,0,0,0,0,69,3,0,0,0,0,3,13,0,0,0,3,19,690,0,0,6,12,702
POA6558,95,0,0,0,0,95,132,0,0,3,0,139,16,0,0,0,0,16,0,0,0,0,0,0,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,31,0,0,0,0,0,0,5,0,0,0,0,6,263,0,0,3,0,268
POA6560,142,0,0,0,0,144,229,0,0,0,0,233,16,3,0,0,0,22,31,10,0,0,0,38,30,0,0,0,0,33,0,0,0,0,0,0,10,0,0,0,0,10,4,0,0,0,0,4,87,8,0,0,0,99,7,0,0,0,0,7,13,0,0,3,0,11,468,13,3,8,0,492
POA6562,161,0,0,0,0,161,220,0,0,0,0,222,21,0,0,0,0,21,3,0,0,0,0,3,36,0,0,0,0,31,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,5,63,0,0,0,0,65,3,0,0,0,0,3,13,0,0,0,0,13,460,0,0,5,0,463
POA6564,52,0,0,0,0,52,60,0,0,0,0,64,3,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,131,0,0,0,0,129
POA6566,525,4,0,13,3,537,486,0,0,3,4,494,66,0,0,0,0,63,9,0,0,0,0,15,84,0,0,0,0,84,0,7,0,0,0,10,8,0,0,9,0,18,9,0,0,0,0,11,175,10,0,9,0,196,8,0,0,0,0,8,45,0,0,5,0,46,1237,17,3,24,7,1286
POA6567,79,0,0,0,4,81,73,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,12,0,0,0,0,15,3,0,0,0,0,3,7,0,0,0,0,7,171,0,0,0,4,174
POA6568,40,0,0,0,0,45,26,0,0,0,0,26,0,0,0,0,0,0,4,0,0,0,0,4,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19,4,0,0,0,0,4,3,0,0,0,0,3,91,0,0,0,0,92
POA6569,38,0,0,3,0,40,30,0,0,0,0,30,6,0,0,0,0,6,3,0,0,0,0,3,7,0,0,0,0,7,0,0,0,0,0,0,13,0,0,0,0,13,6,0,0,0,0,6,32,0,0,0,0,32,0,0,0,0,0,0,3,0,0,0,0,3,105,0,0,3,0,111
POA6571,18,0,0,0,0,18,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,32
POA6572,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19
POA6574,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,28
POA6575,24,0,0,0,0,31,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,4,45,0,0,6,0,49
POA6603,160,0,0,5,0,162,118,0,0,0,0,123,21,0,0,0,0,21,30,0,0,0,0,30,54,0,0,0,0,53,3,8,0,0,0,11,40,0,0,0,0,40,7,0,0,0,0,7,143,8,0,3,0,154,3,0,0,0,0,0,8,0,0,0,0,9,431,8,0,8,0,452
POA6605,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,16
POA6606,45,0,0,0,0,44,12,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,14,0,0,0,0,14,4,0,0,0,0,4,0,0,0,0,0,0,73,0,0,0,0,76
POA6608,31,0,0,0,0,31,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50
POA6609,79,0,0,9,3,83,75,0,0,3,0,79,0,0,0,0,0,0,12,10,0,0,0,23,51,0,0,3,4,60,3,0,0,0,0,4,33,3,0,5,0,37,3,0,0,0,0,7,103,14,3,10,3,126,9,0,0,0,0,9,0,0,0,0,0,3,259,14,3,15,7,296
POA6612,38,0,0,3,0,36,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,3,7,0,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,5,62,0,0,3,0,61
POA6613,12,0,0,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20
POA6614,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
POA6616,10,0,0,3,0,13,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,3,0,24
POA6620,43,0,0,0,0,42,28,0,0,0,0,28,0,0,0,0,0,0,3,0,0,0,0,6,21,0,0,0,0,17,0,0,0,0,0,0,13,0,0,0,0,14,3,0,0,0,0,3,38,0,0,0,0,42,4,0,0,0,0,4,3,0,0,0,0,3,113,4,0,3,0,120
POA6623,93,0,0,0,0,93,43,0,0,0,0,44,3,0,0,0,0,3,14,0,0,0,0,14,28,0,0,0,0,28,4,0,0,0,0,4,31,0,0,0,0,31,7,0,0,0,0,7,90,0,0,0,0,90,0,0,0,0,0,0,6,0,0,0,0,6,231,0,0,0,3,235
POA6625,13,0,0,0,0,13,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16
POA6627,11,0,0,0,0,11,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17
POA6628,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
POA6630,65,0,0,7,0,73,25,0,0,0,0,29,0,0,0,0,0,0,32,0,0,0,0,32,17,0,0,0,0,17,3,0,0,0,0,3,24,0,0,0,3,29,10,0,0,0,0,12,81,0,0,4,3,89,4,0,0,0,0,7,5,0,0,0,0,8,182,0,0,12,6,205
POA6631,12,0,0,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,12
POA6632,6,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17
POA6635,7,0,0,0,0,9,7,0,0,0,0,7,0,0,0,0,0,0,26,0,0,0,0,27,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,14,0,0,0,0,0,0,37,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,3,53,0,0,3,0,60
POA6638,48,0,0,7,3,55,24,0,0,0,0,27,0,0,0,0,0,0,16,3,0,0,0,16,15,0,0,0,0,16,0,0,0,0,0,0,13,0,0,0,0,13,4,0,0,0,0,4,49,5,0,0,0,59,0,0,0,0,0,0,7,0,0,0,0,7,127,5,0,6,5,143
POA6639,19,0,0,0,0,19,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,3,0,0,0,0,3,8,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,32,0,0,0,0,38
POA6640,23,0,0,3,0,26,8,0,0,0,0,8,0,0,0,0,0,0,12,0,0,0,0,12,11,0,0,0,0,12,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,30,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,3,8,61,0,0,7,4,67
POA6642,37,0,0,3,4,46,16,0,0,0,0,18,0,0,0,0,0,0,51,0,8,0,0,63,14,0,0,0,0,14,6,0,0,0,0,6,32,0,13,3,0,48,4,0,0,0,0,8,105,0,24,3,4,142,0,0,0,0,0,0,9,0,0,0,4,10,176,0,23,8,12,219
POA6646,10,0,0,3,0,12,3,0,0,0,0,3,0,0,0,0,0,0,33,0,0,0,0,33,3,0,0,0,0,3,12,0,0,0,0,12,21,0,0,3,0,23,6,0,0,0,0,6,70,0,0,3,0,73,0,0,0,0,0,0,3,0,0,0,0,5,87,0,0,7,4,95
POA6701,404,5,7,116,10,544,375,5,5,9,8,408,113,16,11,0,0,144,206,55,4,0,5,266,134,14,7,3,0,160,12,12,0,0,0,30,110,23,3,29,0,159,17,6,3,5,0,30,591,121,33,37,4,793,9,0,0,7,0,15,63,6,0,17,3,95,1445,145,46,189,25,1852
POA6705,6,0,0,5,0,13,4,0,0,0,0,4,0,0,0,0,0,0,32,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,40,0,0,0,0,43,0,0,0,0,0,3,5,0,0,4,0,4,55,0,0,8,0,60
POA6707,145,0,0,64,0,205,266,0,0,3,0,272,139,10,0,3,0,149,93,0,0,0,0,93,51,5,0,0,0,62,0,0,0,0,0,0,72,3,0,7,0,79,9,0,0,0,0,5,362,15,0,10,0,392,7,0,0,3,0,11,22,31,0,10,0,58,803,43,0,85,3,939
POA6710,22,0,0,20,0,49,20,0,4,0,0,25,23,3,8,0,0,36,31,3,0,3,0,36,14,0,0,3,0,16,13,3,0,0,0,16,72,3,10,4,0,94,8,0,3,0,0,10,158,16,21,7,0,209,3,0,0,0,0,9,20,0,0,5,3,24,224,16,27,40,6,314
POA6711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6713,58,0,3,3,0,66,113,0,3,0,0,115,61,0,3,0,0,63,4,0,0,0,0,4,21,0,0,0,0,19,0,0,0,0,0,0,44,0,7,0,0,53,3,0,0,0,0,3,131,0,11,0,0,146,0,0,0,0,0,0,3,0,0,0,0,7,302,0,15,3,3,330
POA6714,202,8,0,50,0,268,666,52,8,3,3,728,1095,181,112,3,0,1395,355,100,15,0,0,467,160,18,4,3,0,183,8,0,0,0,0,8,1427,99,37,19,10,1584,72,13,0,3,0,92,3113,406,166,23,13,3727,43,0,0,0,0,46,80,12,4,0,0,97,4110,486,179,73,17,4865
POA6716,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,6,0,0,0,0,0,0,13,0,0,0,0,13,134,64,3,0,0,201,0,0,0,0,0,0,153,63,3,0,0,219,0,0,0,0,0,0,0,0,0,0,0,3,153,70,3,6,0,229
POA6718,16,0,0,8,0,21,19,0,0,0,0,21,13,11,0,0,0,21,44,26,0,0,3,76,13,0,0,0,0,12,21,0,6,0,0,26,3,5,0,0,0,15,0,0,0,0,3,8,96,48,6,5,4,159,0,0,0,0,0,3,11,3,0,4,0,13,136,53,6,15,8,212
POA6720,16,0,0,9,4,28,35,0,0,0,0,35,34,10,0,0,0,49,33,16,0,0,0,47,15,3,0,0,0,18,3,0,0,0,0,3,412,135,4,7,3,560,8,0,0,0,0,8,507,163,4,7,3,685,0,0,0,0,0,3,7,9,0,3,0,20,562,173,4,16,10,764
POA6721,74,6,5,29,0,115,96,3,7,0,0,108,210,19,109,0,0,342,48,17,9,0,0,77,41,0,5,3,0,54,3,0,5,0,0,14,382,35,125,5,4,551,23,0,3,0,0,30,712,71,264,13,9,1063,15,0,0,3,0,23,24,3,21,11,4,62,923,82,297,58,15,1369
POA6722,140,10,8,19,0,184,288,17,3,0,0,311,650,79,96,0,3,837,395,29,11,0,7,437,60,5,5,0,0,74,12,0,0,0,0,13,648,96,83,4,10,844,25,4,5,0,0,36,1796,217,198,9,12,2232,16,0,3,3,0,24,79,9,4,5,7,101,2323,255,213,38,22,2857
POA6725,299,5,8,134,13,467,660,33,15,13,3,717,306,110,89,3,4,518,619,69,41,0,22,750,146,13,16,15,3,197,34,0,0,0,3,44,247,48,11,46,18,371,59,0,3,4,7,73,1415,246,164,74,59,1955,33,3,3,8,0,43,91,16,15,36,8,167,2497,306,200,259,87,3348
POA6726,186,8,6,97,3,293,458,7,20,10,9,499,229,29,63,19,3,334,243,11,13,0,0,262,85,11,9,8,3,112,9,0,0,0,0,9,121,19,10,25,4,175,11,0,0,0,0,16,704,57,92,49,12,915,9,0,0,0,3,12,30,0,11,13,0,51,1385,75,122,161,23,1769
POA6728,119,0,3,35,0,159,148,0,0,0,0,149,65,23,0,0,0,93,644,85,0,0,0,732,55,6,0,9,0,67,38,0,0,0,0,35,168,45,0,14,3,223,19,0,0,3,0,23,984,171,0,21,7,1181,11,0,0,8,0,18,58,17,0,19,0,96,1317,188,10,77,6,1605
POA6731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6740,36,3,0,7,4,54,32,0,0,0,3,37,4,0,0,0,0,6,59,13,0,0,3,77,30,4,0,0,0,31,80,3,4,0,0,81,31,0,3,0,0,34,4,3,0,0,0,5,206,19,8,0,4,241,0,0,0,0,0,0,14,0,0,0,3,15,283,20,7,13,18,348
POA6743,143,0,0,148,7,301,271,11,8,32,3,325,139,52,10,3,5,210,278,56,17,3,0,352,133,7,12,40,3,193,61,3,0,0,0,70,212,33,19,64,8,336,27,4,0,12,0,43,845,159,65,116,15,1202,8,0,0,5,0,13,43,10,4,28,3,90,1309,185,79,327,26,1923
POA6751,49,0,0,18,0,70,19,0,0,3,0,21,56,8,6,0,0,67,37,6,0,0,0,39,22,0,0,0,0,22,35,0,0,0,0,35,639,17,14,3,0,681,11,0,0,0,0,11,796,28,20,3,0,849,4,0,0,0,0,8,17,0,0,7,11,27,886,28,20,25,8,978
POA6753,55,3,0,0,0,59,55,0,0,0,0,54,228,11,14,0,0,249,107,17,0,0,0,128,29,3,0,0,0,34,10,0,0,0,0,10,671,22,0,3,7,704,9,0,0,0,3,15,1056,59,18,4,10,1144,19,0,0,0,3,19,23,5,0,0,8,39,1213,68,19,6,18,1322
POA6754,11,0,0,0,0,15,4,0,0,0,0,3,8,7,0,0,0,15,6,4,0,0,0,12,6,0,0,0,0,6,0,0,0,0,0,0,308,22,0,0,0,334,11,0,0,0,0,11,344,33,0,0,0,376,0,0,0,0,0,0,3,3,0,0,0,8,362,34,0,0,3,398
POA6758,7,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,4,10,0,0,0,0,10,3,0,0,0,0,5,0,0,0,0,0,0,23,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,37
POA6760,10,0,0,6,0,24,7,0,0,0,0,7,0,0,0,0,0,0,45,0,3,0,0,47,3,0,0,0,0,0,13,0,0,0,0,15,13,0,0,0,0,19,3,0,0,0,0,4,82,0,3,4,0,92,0,0,0,0,0,3,21,0,0,0,0,18,118,0,3,13,0,135
POA6762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,41,5,0,0,0,0,6,0,0,0,0,0,0,45,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,50
POA6765,0,0,0,7,0,8,4,0,0,0,0,3,0,5,0,0,0,3,231,0,46,0,0,280,0,0,0,3,0,5,13,0,0,0,0,14,38,5,26,4,3,76,3,0,4,0,0,7,280,12,68,18,4,389,0,0,0,0,0,5,13,0,4,6,0,22,302,13,73,31,4,426
POA6770,28,0,0,10,0,44,10,0,0,3,0,10,0,0,0,0,0,0,278,51,7,4,0,350,7,0,0,0,0,14,29,7,0,0,0,40,52,29,3,4,0,92,15,3,0,3,0,22,383,96,21,14,4,512,13,0,0,0,0,17,18,9,0,8,0,36,454,102,19,34,5,615
