POA_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
POA6102,126,332,306,1527,40,2332,0,0,0,23,0,18,1947,5,27,18,10,2004,32,9,4,12,0,56,97,22,20,44,3,190,1151,372,269,1268,62,3119,241,3,16,0,3,260,53,0,0,8,0,68,96,12,19,89,0,219,14,8,3,15,0,35,14,3,0,0,0,19,747,9,9,5,3,773,262,100,44,407,8,820,267,67,22,157,12,533,187,0,0,0,0,190,15,3,0,0,0,14,7,0,4,0,0,10,19,3,5,3,0,31,35,10,3,0,0,46,68,22,20,9,3,120,58,8,5,14,3,82,24,5,3,3,0,35,254,69,73,333,6,742,12,0,6,0,0,16,60,3,3,0,3,70,63,3,0,6,0,67,76,0,3,0,0,83,42,0,0,0,0,40,160,3,3,3,0,174,35,8,5,20,3,73,2690,80,102,72,24,2966,98,3,3,73,1564,1748,7844,671,556,2873,1736,13688
POA6103,90,329,243,1503,42,2196,0,6,0,48,3,57,1021,11,12,12,3,1055,24,7,14,12,0,57,51,21,8,37,3,126,933,305,228,1171,35,2681,192,3,19,0,0,218,53,5,0,15,0,71,93,21,10,90,3,216,19,5,4,16,0,41,19,3,0,0,0,25,430,9,3,3,6,450,333,62,52,412,7,862,201,60,23,162,7,445,199,0,0,0,0,198,17,0,0,0,0,22,10,0,0,6,0,22,6,0,0,4,0,14,78,10,0,0,5,86,106,16,9,3,0,136,58,11,9,20,0,95,26,0,0,3,0,31,235,52,57,299,14,660,13,3,0,4,0,17,40,0,4,0,0,49,49,3,4,3,0,57,60,8,0,0,4,72,26,3,3,0,0,32,80,0,4,0,0,85,34,9,3,15,0,58,1527,71,43,63,23,1724,49,3,5,30,1248,1334,5210,595,452,2746,1371,10366
POA6104,151,556,390,2548,73,3719,0,3,7,41,0,48,930,6,20,25,4,988,32,5,6,13,0,62,124,22,21,47,4,226,1496,481,322,1830,80,4213,303,3,13,7,0,325,59,4,4,17,3,87,141,30,17,168,0,355,25,11,3,18,3,62,17,3,0,3,0,19,498,14,15,24,4,554,523,119,69,652,17,1379,255,67,37,220,14,585,86,0,3,0,0,87,48,0,0,5,0,56,10,0,5,5,0,14,12,6,3,8,0,30,184,21,5,0,13,222,117,27,18,7,0,170,113,13,5,22,3,156,28,0,6,5,0,40,411,114,75,478,14,1087,24,5,3,3,0,33,72,6,3,0,0,85,66,3,0,13,0,83,90,0,5,0,0,98,37,0,0,0,0,42,155,3,0,3,3,163,47,12,7,25,0,89,1878,100,89,99,27,2192,60,7,9,46,1376,1484,6645,947,677,4471,1582,14321
POA6105,197,510,376,2287,66,3430,0,0,0,71,3,78,1053,21,23,34,8,1135,45,10,0,19,0,77,106,26,16,36,0,179,1438,434,338,1708,81,3995,572,0,20,0,3,588,60,5,0,10,0,75,118,27,23,157,0,334,38,4,10,14,0,65,23,3,3,4,0,31,601,10,6,7,3,623,416,100,82,533,18,1155,347,66,22,243,8,690,125,0,4,0,0,128,59,15,16,3,0,87,8,0,0,4,0,12,13,11,7,12,0,38,187,4,6,4,3,201,103,26,20,12,3,161,126,7,10,33,0,179,23,4,0,6,3,30,373,114,80,444,15,1026,8,0,0,0,0,15,46,8,7,0,0,62,64,0,0,7,0,80,83,0,0,0,0,85,75,0,3,4,0,85,115,8,8,0,3,132,41,10,3,17,0,73,2618,79,108,89,21,2916,105,9,10,50,1285,1453,7854,890,692,4085,1477,14997
POA6106,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,3,0,0,7,10,19
POA6107,661,1238,989,5637,124,8653,3,15,3,139,3,165,4965,42,77,54,31,5171,84,22,12,33,3,159,385,71,77,170,6,706,3786,1107,922,4166,144,10134,1694,4,41,3,4,1747,151,18,3,46,3,215,296,97,72,390,13,863,45,19,13,47,4,118,41,4,0,4,0,45,3682,43,24,39,22,3811,751,191,142,1167,26,2276,848,220,95,614,34,1816,410,6,4,0,0,421,104,6,16,4,0,131,10,5,6,13,0,38,16,4,3,10,0,40,355,14,7,18,0,396,262,68,51,13,3,396,213,24,16,51,3,307,77,3,13,3,0,94,721,236,195,972,22,2152,63,4,3,4,0,74,158,25,13,0,3,201,191,3,6,19,0,222,368,5,0,0,3,377,404,31,37,12,4,489,357,3,9,0,0,366,103,27,20,69,0,216,9120,257,296,292,89,10051,366,6,21,116,2287,2790,26820,2231,1873,9936,2739,43605
POA6108,306,976,772,3809,77,5931,6,6,5,63,0,81,2261,30,69,41,7,2406,31,7,8,23,0,69,260,59,42,77,8,440,3203,828,676,3098,105,7908,492,6,26,0,3,521,96,7,4,15,0,135,247,38,35,259,12,586,26,13,7,21,0,68,32,3,0,4,0,38,974,26,23,14,9,1043,671,135,119,845,17,1788,340,104,58,294,15,809,111,0,3,0,0,114,58,3,9,0,0,70,4,0,0,0,0,8,16,8,0,4,0,28,343,36,10,3,3,389,178,76,36,6,0,297,89,14,8,41,0,145,26,0,0,0,0,27,716,202,151,672,27,1774,25,0,0,0,0,27,177,3,12,0,3,193,49,9,0,14,0,68,69,3,3,0,0,74,40,3,0,5,0,47,141,0,14,0,0,160,104,9,8,32,0,158,3468,172,188,151,28,4008,166,18,10,57,863,1101,12336,1622,1332,6765,1095,23153
POA6109,230,421,326,2085,62,3121,0,0,0,70,0,74,328,7,12,0,0,342,28,3,3,23,0,55,90,22,15,59,3,190,1363,400,306,1446,66,3575,602,0,16,0,0,623,18,0,3,7,0,23,106,21,30,127,3,284,16,6,9,3,0,36,18,3,4,0,0,33,760,12,8,12,0,796,236,72,39,367,6,721,228,52,26,177,7,485,29,0,0,3,0,31,27,0,3,0,0,29,11,0,0,0,0,13,4,3,0,4,0,16,153,4,13,3,9,182,67,3,17,12,3,108,37,3,4,19,0,67,3,0,0,0,0,4,248,98,54,320,13,734,11,3,0,0,0,15,43,3,3,0,0,54,40,3,0,0,0,43,57,3,0,3,0,64,13,0,0,0,0,16,63,3,0,3,0,70,38,10,4,8,0,65,2527,104,81,73,15,2796,80,10,6,40,672,814,6494,755,570,3474,827,12122
POA6110,604,1680,1379,7811,192,11657,4,6,3,148,7,165,2125,57,68,56,18,2321,61,18,9,40,0,128,490,119,74,215,6,905,5542,1526,1309,5523,217,14121,940,5,48,0,7,998,152,14,8,39,5,217,338,93,74,363,19,891,26,11,9,24,0,71,41,5,0,17,0,64,2165,37,42,38,16,2290,961,250,187,1275,37,2712,402,162,80,519,13,1177,121,0,3,0,0,128,82,26,7,3,0,114,9,3,0,13,0,25,38,16,4,20,0,70,490,39,27,15,7,578,382,87,80,38,9,594,142,21,27,58,0,241,42,3,3,17,0,59,1060,311,230,1207,35,2845,33,3,0,0,0,40,397,25,30,6,3,453,138,15,9,27,0,182,303,0,0,0,4,314,45,6,3,0,0,50,117,8,3,3,0,131,156,22,23,50,3,258,6092,331,274,313,64,7067,239,25,8,150,2284,2716,19967,2863,2339,12877,2803,40858
POA6111,264,1172,919,5063,130,7552,0,0,0,50,0,61,224,11,26,26,0,294,27,12,3,25,0,68,399,114,66,169,5,760,4356,1128,931,3933,150,10497,263,7,30,4,8,305,81,7,16,30,3,140,263,61,51,306,9,682,8,14,0,25,0,57,34,7,0,8,0,48,444,20,8,8,4,485,739,188,144,971,19,2067,391,135,68,367,15,983,24,0,3,0,0,26,10,4,0,0,0,10,0,3,0,4,0,5,27,4,0,4,3,42,277,23,20,8,4,334,230,48,33,19,8,343,109,21,14,29,0,177,30,3,7,10,0,54,815,218,167,898,34,2134,13,3,0,8,0,15,139,6,12,9,3,159,55,4,5,14,0,86,57,3,0,0,0,64,7,3,0,0,0,13,28,0,4,0,0,31,170,31,7,50,0,259,1753,154,158,195,18,2279,79,9,9,97,1379,1573,9124,1995,1587,8657,1700,23068
