region_id,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
POA6149,19,19,112,122,53,269,26,131,11,762,38,288,204,150,168,194,56,109,9,1216,146,533,200,90,232,68,59,74,10,1412,289,594,198,131,293,85,53,63,17,1723,445,781,273,207,499,118,77,127,25,2552,362,592,229,161,445,151,83,112,24,2159,34,93,39,21,59,21,19,21,8,315,4,0,3,3,6,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,1337,2900,1258,885,1755,906,373,637,107,10158
POA6150,3,13,49,98,37,251,15,89,6,561,30,222,99,168,138,172,38,97,10,974,77,414,128,77,139,58,15,46,18,972,192,378,103,76,184,47,18,32,17,1047,299,553,140,100,304,81,33,49,18,1577,193,397,118,59,240,94,36,56,12,1205,34,71,21,13,37,17,13,17,8,231,6,10,0,0,3,3,0,0,3,25,0,0,0,0,0,0,0,0,0,0,834,2058,658,591,1082,723,168,386,92,6592
POA6151,5,13,41,65,42,132,7,51,7,363,58,237,127,167,154,143,36,77,9,1008,239,936,261,157,267,109,62,99,20,2150,385,707,119,104,239,85,36,57,22,1754,388,665,128,101,299,101,33,51,25,1791,293,494,123,72,236,95,38,52,18,1421,90,105,20,9,53,25,10,20,7,339,8,7,3,0,4,3,0,0,0,25,0,0,0,0,0,3,0,0,5,8,1466,3164,822,675,1294,696,222,407,113,8859
POA6152,16,22,83,150,61,211,19,107,6,675,75,387,218,297,259,265,55,162,21,1739,324,1350,388,240,406,182,96,159,37,3182,405,870,206,140,301,118,63,76,26,2205,461,777,224,162,413,133,68,100,33,2371,336,607,159,96,390,129,65,80,22,1884,49,107,34,22,82,24,11,32,6,367,9,8,0,6,4,8,0,9,0,44,0,0,0,0,0,3,0,0,0,3,1675,4128,1312,1113,1916,1073,377,725,151,12470
POA6153,10,15,42,121,56,202,14,72,11,543,51,251,141,189,140,140,28,61,9,1010,217,718,197,107,230,73,36,62,25,1665,390,689,154,99,261,96,37,42,23,1791,514,785,178,128,367,139,45,52,35,2243,403,607,109,100,328,124,42,42,24,1779,85,152,33,12,76,37,6,12,16,429,11,16,0,0,13,10,3,0,8,61,0,0,0,0,7,0,0,0,0,7,1681,3233,854,756,1478,821,211,343,151,9528
POA6154,3,3,40,44,24,120,6,62,6,308,18,94,56,80,54,58,18,48,6,432,106,254,123,57,112,46,21,42,10,771,192,374,105,81,169,50,33,38,16,1058,222,376,119,74,174,52,35,52,12,1116,122,207,90,46,123,43,21,31,6,689,26,44,21,18,38,12,14,5,8,186,4,10,6,0,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,693,1362,560,400,694,381,148,278,67,4583
POA6155,23,40,301,268,166,640,38,325,29,1830,115,442,477,348,434,412,128,245,29,2630,473,1497,682,329,733,292,271,266,56,4599,862,1552,910,475,1036,339,278,296,69,5817,915,1493,809,489,1120,407,371,363,66,6033,525,821,441,277,714,288,236,291,63,3656,70,121,84,35,99,50,46,54,19,578,6,0,5,4,9,3,0,0,0,27,0,0,0,0,0,0,0,0,0,0,2989,5966,3709,2225,4311,2431,1368,1840,331,25170
POA6156,0,7,50,115,38,179,17,59,8,473,30,103,115,120,100,110,30,44,12,664,167,484,222,121,203,96,50,80,16,1439,348,649,273,143,296,97,60,124,31,2021,330,529,170,141,317,101,61,100,25,1774,176,267,120,72,201,55,42,69,14,1016,37,76,16,15,44,18,10,21,5,242,11,8,3,0,10,3,3,5,3,46,0,0,0,0,0,3,0,0,0,3,1099,2123,969,727,1209,662,273,502,114,7678
POA6157,8,4,44,64,22,112,4,63,5,326,32,93,95,107,69,66,8,44,11,525,158,511,247,108,178,82,49,75,16,1424,262,575,179,112,237,77,47,58,15,1562,259,500,184,155,265,78,43,74,19,1577,166,300,124,67,221,74,38,55,12,1057,29,71,25,14,50,11,6,15,8,229,0,8,4,0,3,0,0,0,4,19,0,0,0,5,0,0,0,0,0,5,914,2062,902,632,1045,500,195,384,90,6724
POA6158,6,3,10,42,17,68,3,31,0,180,14,64,38,48,49,41,6,23,4,287,58,221,62,46,58,16,17,26,9,513,159,329,72,49,90,38,18,24,11,790,200,391,90,60,137,44,18,32,16,988,127,268,53,28,96,43,13,25,16,669,31,47,4,7,17,13,5,5,0,129,4,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,599,1323,329,280,464,263,80,166,59,3563
POA6159,0,0,6,8,0,12,0,6,0,32,4,30,7,21,16,12,0,8,0,98,46,156,33,27,36,24,15,7,5,349,56,145,14,17,30,13,6,7,6,294,46,110,17,19,28,13,7,10,0,250,62,109,20,13,33,11,9,7,0,264,32,25,6,4,12,3,3,3,4,92,0,4,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,246,579,106,109,155,88,40,48,15,1386
POA6160,0,7,12,41,18,48,4,21,0,151,19,79,49,91,48,71,10,53,0,420,107,467,150,93,96,56,43,75,10,1097,122,367,85,54,98,29,20,38,7,820,131,330,78,43,112,41,27,54,13,829,111,269,62,35,91,40,17,33,11,669,25,58,14,6,18,7,8,13,0,149,4,4,0,0,4,3,0,0,0,15,5,0,0,0,0,0,0,0,0,5,524,1581,450,363,485,295,129,287,41,4155
POA6161,0,0,0,0,0,0,0,4,0,4,0,0,0,6,6,0,0,3,0,15,3,0,7,7,4,0,0,4,0,25,3,0,6,4,0,0,0,0,0,13,10,4,0,3,0,0,0,0,0,17,3,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,13,20,10,0,0,11,0,81
POA6162,0,3,27,48,15,65,3,42,6,209,16,49,68,91,49,73,14,37,3,400,91,343,176,101,106,59,39,48,7,970,206,459,168,95,124,63,24,72,14,1225,186,439,144,73,174,57,49,72,10,1204,100,316,77,73,104,41,55,75,13,854,25,49,20,17,17,3,12,15,0,158,11,7,0,0,0,0,3,0,0,21,0,0,0,0,0,0,0,0,0,0,635,1665,680,498,589,361,199,361,53,5041
POA6163,13,17,231,208,94,453,33,232,27,1308,102,324,513,365,303,391,124,256,42,2420,405,1196,908,425,585,322,286,419,60,4606,645,1238,922,429,718,299,351,412,76,5090,671,1057,766,488,904,339,375,491,82,5173,383,592,494,352,563,234,292,410,46,3366,49,97,74,59,109,48,70,96,20,622,4,11,4,0,3,3,3,5,3,36,0,3,0,0,0,0,0,0,4,7,2272,4535,3912,2326,3279,2089,1534,2321,360,22628
POA6164,18,33,309,167,136,542,50,263,32,1550,145,323,552,301,446,350,165,216,29,2527,745,1907,1445,470,1117,411,406,447,102,7050,924,1347,1213,539,1169,408,493,519,99,6711,656,672,828,464,862,328,450,462,67,4789,318,353,396,221,442,170,257,258,34,2449,41,42,52,38,59,38,41,56,14,381,0,8,0,0,3,0,3,7,0,21,0,0,0,0,0,0,0,0,0,0,2847,4685,4795,2200,4234,2247,1865,2228,377,25478
POA6165,0,0,3,0,0,0,0,6,0,9,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,4,3,0,0,10,6,0,0,3,0,0,4,0,0,13,0,0,0,3,0,0,0,3,0,6,0,5,3,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,9,6,0,7,10,9,0,52
POA6166,3,4,84,43,26,149,7,45,7,368,13,45,92,52,53,49,21,38,6,369,69,110,132,49,88,44,35,43,9,579,150,166,190,72,176,55,67,72,11,959,168,159,198,88,214,81,96,104,21,1129,104,93,108,51,133,43,64,68,14,678,26,20,18,9,14,7,17,18,9,138,7,0,0,7,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,540,597,822,371,704,428,307,388,77,4234
POA6167,8,9,132,71,44,158,18,141,3,584,54,67,249,127,165,123,74,132,11,1002,211,363,618,251,430,226,281,274,37,2691,180,220,466,227,319,171,311,279,47,2220,152,181,311,219,231,115,294,246,26,1775,99,87,188,126,133,63,158,167,17,1038,11,17,28,18,20,8,27,22,8,159,0,0,0,3,3,0,3,3,0,12,0,0,0,0,0,0,0,0,0,0,715,944,1992,1042,1345,864,1166,1264,149,9481
POA6168,21,13,148,104,35,207,26,130,10,694,72,109,309,193,143,142,78,133,16,1195,154,256,504,259,250,130,178,227,34,1992,165,232,410,253,255,124,251,233,30,1953,233,241,428,316,360,167,273,297,28,2343,121,195,292,190,230,99,193,208,18,1546,27,32,41,34,29,12,37,53,12,277,6,3,0,0,3,0,0,6,3,21,0,0,0,0,0,0,0,0,0,0,799,1081,2132,1349,1305,881,1036,1287,151,10021
POA6169,32,21,250,191,76,428,47,243,25,1313,72,126,436,234,234,227,127,236,23,1715,217,381,726,289,367,192,279,342,39,2832,375,476,719,370,445,227,343,358,58,3371,403,547,742,446,562,286,419,364,65,3834,200,314,365,236,335,155,248,239,42,2134,42,57,58,28,39,20,28,48,11,331,3,9,0,0,6,0,0,4,0,22,0,4,0,0,0,0,0,0,0,4,1344,1935,3296,1794,2064,1535,1491,1834,263,15556
POA6170,3,4,45,28,22,83,8,40,3,236,23,31,97,44,57,44,28,37,6,367,68,161,164,54,134,55,80,84,11,811,76,111,157,96,110,51,91,75,9,776,69,74,125,67,116,41,95,72,12,671,30,33,57,24,37,15,37,52,6,291,3,7,6,0,7,6,7,8,0,44,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,272,421,654,313,483,295,346,368,47,3199
POA6171,6,7,102,50,45,185,14,117,6,532,61,80,271,115,143,84,71,84,12,921,198,372,523,221,346,135,195,164,23,2177,301,375,446,271,342,126,149,129,34,2173,236,224,264,160,250,93,150,107,31,1515,88,97,109,57,129,43,71,70,13,677,12,18,19,13,7,5,14,14,3,105,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,3,902,1173,1734,890,1262,671,664,685,125,8106
POA6172,14,3,117,76,44,198,15,140,8,615,35,55,177,109,81,86,41,86,9,679,103,146,292,139,154,89,116,115,13,1167,204,243,376,203,247,144,183,169,33,1802,178,206,274,172,221,114,150,126,21,1462,49,70,91,50,89,48,81,60,10,548,9,21,17,6,8,7,5,7,0,80,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,592,744,1344,755,844,686,591,703,97,6356
POA6173,3,8,91,66,39,142,12,95,7,463,20,31,132,69,65,55,31,44,7,454,96,190,260,101,166,58,90,71,9,1041,259,329,332,238,267,115,109,99,16,1764,174,192,237,139,186,75,83,56,14,1156,39,65,42,26,54,24,34,26,0,310,6,10,5,3,3,6,3,6,0,42,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,597,828,1099,642,780,475,362,397,53,5233
POA6174,3,3,23,6,3,26,6,15,0,85,7,8,30,11,15,5,4,7,0,87,25,36,47,16,9,13,11,22,6,185,30,42,74,26,31,5,22,29,9,268,22,37,45,25,51,11,24,26,7,248,12,18,16,13,15,13,23,7,0,117,0,6,3,6,0,3,0,3,0,21,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,99,150,238,103,124,76,90,113,22,1015
POA6175,0,0,30,14,5,45,0,35,3,132,4,8,27,9,11,15,7,9,0,90,32,57,61,26,32,17,26,29,0,280,45,79,91,45,57,28,35,33,6,419,40,59,72,36,54,24,34,25,7,351,18,24,26,17,26,10,16,16,6,159,7,5,0,0,0,0,4,6,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,232,307,147,185,139,122,153,22,1453
POA6176,0,0,13,5,0,15,0,3,3,39,0,3,8,0,6,3,3,6,0,29,0,6,4,6,0,7,3,0,0,26,12,9,23,3,6,3,4,7,0,67,16,15,15,11,21,7,7,8,3,103,13,15,9,4,8,6,4,10,0,69,4,6,4,0,3,0,0,0,0,17,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,45,57,76,29,44,41,21,34,6,353
POA6180,3,0,25,26,6,34,0,23,0,117,9,18,54,20,25,25,19,29,3,202,30,65,92,31,57,22,54,43,3,397,43,55,75,43,57,31,46,30,3,383,35,49,61,40,43,30,36,12,6,312,28,34,20,16,19,17,24,26,3,187,0,4,6,8,7,0,0,5,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,225,333,184,214,159,179,168,21,1631
POA6181,0,0,8,3,0,8,0,7,0,26,3,3,11,3,3,8,0,3,0,34,6,0,6,0,3,3,3,3,0,24,6,7,12,3,9,3,10,4,0,54,12,20,19,12,12,6,11,9,0,101,3,4,5,8,4,0,5,3,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,34,61,29,31,28,29,29,0,271
POA6182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6207,0,0,13,3,4,9,0,16,0,45,0,3,15,3,0,3,5,6,0,35,7,4,20,0,6,4,9,9,3,62,17,15,32,13,13,6,19,16,4,135,22,7,26,18,20,5,15,17,0,130,22,9,14,10,12,3,13,6,3,92,12,8,3,0,0,4,0,0,0,27,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,83,46,123,47,55,34,61,70,10,529
POA6208,4,0,69,29,14,76,7,51,9,259,13,21,92,36,30,36,32,43,3,306,41,73,168,51,58,52,102,81,5,631,77,100,186,73,86,39,146,95,13,815,87,86,170,103,111,64,151,121,8,901,100,94,111,49,78,51,101,61,14,659,37,20,18,13,12,21,16,17,3,157,13,4,0,6,0,0,0,0,0,23,3,0,0,0,0,0,0,0,0,3,375,398,814,360,389,339,555,469,55,3754
POA6209,0,3,19,6,3,12,0,13,0,56,3,4,16,10,5,6,6,0,3,53,6,0,22,3,8,4,11,15,0,69,20,17,35,15,22,3,19,13,0,144,24,24,48,18,21,15,39,26,4,219,31,25,29,10,19,12,26,21,5,178,7,3,3,0,3,6,4,7,0,33,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,91,76,172,62,81,58,105,98,12,755
POA6210,34,28,388,285,101,641,50,366,32,1925,105,159,591,328,258,335,160,329,32,2297,304,614,1002,361,436,325,441,486,50,4019,535,740,1053,558,628,351,559,552,83,5059,668,860,1047,670,811,468,663,571,75,5833,457,603,606,356,556,356,406,435,71,3846,105,117,90,67,115,88,69,99,24,774,5,10,8,3,9,3,0,6,0,44,0,5,0,0,0,0,0,4,0,9,2213,3136,4785,2628,2914,2567,2348,2848,367,23806
POA6211,4,4,32,25,8,69,4,46,3,195,3,8,40,18,12,22,12,15,0,130,26,37,102,31,35,30,45,34,6,346,69,84,138,42,85,36,75,59,13,601,53,97,117,53,74,33,48,49,4,528,46,74,72,28,63,36,42,36,8,405,12,20,12,0,15,0,15,10,3,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,324,513,197,292,226,241,249,37,2292
POA6213,0,0,4,5,0,8,0,6,3,26,0,3,8,0,0,0,3,7,0,21,0,8,11,3,0,3,13,6,0,44,8,11,8,10,5,3,12,11,3,71,19,15,13,9,8,3,15,13,4,99,18,13,8,3,10,3,8,7,0,70,4,0,0,0,0,0,5,3,0,12,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,49,53,52,30,23,20,56,53,10,346
POA6214,0,0,7,6,0,3,0,0,0,16,0,0,0,0,0,0,4,6,0,10,5,0,9,0,5,0,3,0,0,22,6,6,9,8,0,0,13,4,0,46,3,0,4,3,8,0,4,8,0,30,10,0,4,3,3,3,4,3,3,33,0,0,0,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,6,33,20,19,9,28,21,3,163
POA6215,3,3,40,11,7,21,3,26,0,114,6,7,42,14,11,12,14,16,5,127,13,23,60,16,18,7,46,36,4,223,36,25,82,27,37,14,70,40,0,331,45,27,80,40,37,22,71,58,10,390,49,28,48,27,34,8,49,49,0,292,12,5,0,0,3,0,10,8,0,38,0,0,0,0,6,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,164,118,352,135,153,84,266,233,19,1524
POA6218,0,0,0,0,3,0,0,6,3,12,0,0,0,3,3,3,0,6,3,18,0,0,6,0,3,0,6,5,0,20,0,0,6,6,0,5,6,13,3,39,3,3,10,3,3,3,9,6,0,40,0,0,6,3,0,0,0,4,0,13,3,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,28,15,12,11,24,40,9,148
POA6220,3,3,39,12,11,38,7,56,4,173,9,7,29,16,21,7,16,54,0,159,38,23,69,15,28,12,33,87,4,309,67,47,79,36,48,24,59,101,8,469,90,62,71,33,65,19,66,92,9,507,91,38,43,19,40,10,26,65,8,340,37,13,9,3,3,6,7,11,5,94,11,0,0,0,0,0,0,3,0,14,4,0,0,0,0,0,0,0,0,4,350,193,339,134,216,116,214,469,38,2069
POA6221,3,0,0,3,0,6,3,4,0,19,3,3,3,0,0,0,0,3,0,12,5,3,9,0,7,3,8,6,0,41,15,8,5,3,8,3,6,12,0,60,17,5,0,3,4,3,4,5,0,41,12,3,5,0,6,3,0,4,0,33,6,0,0,0,6,0,0,0,0,12,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,64,22,22,9,31,18,21,34,0,221
POA6224,0,0,5,4,0,8,0,16,0,33,3,0,11,0,8,3,5,9,3,42,7,6,17,6,8,4,15,15,0,78,10,12,21,15,11,10,17,18,6,120,22,14,27,8,17,8,25,17,3,141,15,9,11,6,6,3,16,8,0,74,7,3,3,3,3,6,0,3,0,28,0,3,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,64,47,95,42,53,42,78,86,15,522
POA6225,3,0,105,24,20,98,5,79,7,341,8,16,143,27,36,32,13,70,0,345,30,73,250,44,53,32,96,145,17,740,73,87,254,88,88,47,132,157,23,949,63,93,243,78,91,50,233,168,21,1040,41,56,120,60,60,26,157,94,20,634,17,19,20,12,0,5,15,11,3,102,6,0,0,0,0,0,3,0,0,9,3,0,0,0,0,0,0,0,0,3,244,344,1135,333,348,290,654,724,91,4163
POA6226,0,0,12,4,3,7,0,4,0,30,0,0,6,7,5,0,3,4,0,25,0,6,14,3,7,3,3,6,0,42,16,11,23,3,7,10,9,3,0,82,16,24,15,3,11,6,13,14,0,102,15,7,7,3,5,0,7,9,0,53,3,3,0,0,0,0,3,0,0,9,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,53,51,77,23,38,26,38,40,0,346
POA6227,0,0,0,6,0,8,0,3,3,20,3,0,7,3,0,3,3,3,0,22,7,6,17,3,8,3,8,11,0,63,12,12,15,7,7,5,8,8,0,74,4,6,5,0,5,3,9,7,0,39,3,6,3,0,7,3,0,4,0,26,0,3,0,0,0,0,0,3,0,6,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,29,36,47,19,27,25,28,39,3,253
POA6229,3,0,5,3,0,0,3,6,0,20,0,0,0,0,3,0,0,6,0,9,4,3,13,3,4,3,10,6,0,46,14,10,9,0,10,0,6,6,3,58,19,0,0,0,8,6,12,6,0,51,15,4,5,0,4,3,8,4,0,43,7,3,0,3,3,0,3,0,0,19,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,62,23,32,9,32,12,42,34,3,249
POA6230,21,19,279,172,102,468,37,269,16,1383,87,163,537,180,198,227,150,312,14,1868,297,707,932,284,435,273,338,511,37,3814,471,788,806,366,577,335,445,464,52,4304,537,833,690,421,654,306,448,473,66,4428,358,521,434,246,377,208,305,318,38,2805,51,92,66,33,48,43,43,62,14,452,9,14,4,5,7,6,0,4,4,53,0,7,0,0,0,0,0,0,0,7,1831,3144,3748,1707,2398,1866,1766,2413,241,19114
POA6232,4,0,100,34,29,120,8,62,7,364,20,25,160,46,74,63,35,74,7,504,90,115,265,82,141,69,131,124,17,1034,105,148,213,87,141,89,116,125,15,1039,95,113,191,109,128,92,133,127,7,995,56,66,106,50,84,48,80,75,6,571,4,7,9,4,11,8,13,10,0,66,0,3,0,0,0,0,0,6,6,15,0,0,0,0,0,0,0,0,0,0,374,477,1044,412,608,489,516,603,65,4588
POA6233,8,7,119,58,35,196,27,96,3,549,26,41,179,62,75,58,48,96,4,589,89,199,355,84,174,94,169,248,26,1438,199,307,391,178,248,116,205,186,28,1858,242,311,349,178,288,144,220,172,22,1926,154,181,183,97,170,71,136,117,6,1115,25,27,14,9,17,19,18,19,4,152,3,3,0,0,0,0,0,3,7,16,0,0,0,0,0,0,0,0,0,0,746,1076,1590,666,1007,698,823,937,100,7643
POA6236,0,0,23,10,0,23,0,16,0,72,3,3,17,7,3,7,3,7,4,54,10,12,23,6,16,7,5,13,0,92,45,37,45,15,32,19,32,21,0,246,58,54,42,25,39,19,38,30,0,305,54,34,27,13,18,11,20,10,3,190,21,3,10,0,0,3,7,3,0,47,6,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,197,143,187,76,108,89,108,100,7,1015
POA6237,3,0,23,11,9,16,4,21,0,87,3,0,23,3,10,3,12,14,0,68,24,20,34,6,15,12,16,16,0,143,29,47,42,38,33,13,19,31,6,258,74,65,70,32,58,19,43,34,0,395,45,45,42,19,29,14,25,34,6,259,33,6,6,0,7,3,5,0,0,60,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,214,183,240,109,161,80,124,150,12,1273
POA6239,5,3,28,13,0,30,4,33,0,116,3,3,27,10,19,11,10,25,3,111,19,37,58,8,24,15,19,52,8,240,64,69,72,46,56,21,53,61,6,448,84,82,78,55,62,26,54,59,9,509,79,53,44,26,28,22,36,50,0,338,35,9,0,3,4,3,14,10,4,82,3,0,3,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,292,256,310,167,193,128,190,290,30,1856
POA6240,0,0,0,0,0,0,0,3,0,3,0,3,3,0,0,0,0,3,0,9,6,3,6,0,0,0,0,3,0,18,3,3,3,3,3,0,3,0,0,18,11,7,3,3,3,3,3,3,0,36,13,13,4,0,3,3,0,6,0,42,6,0,0,0,0,0,3,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,29,19,6,9,6,9,18,3,138
POA6244,3,0,8,0,4,8,0,4,0,27,0,3,3,6,3,3,3,8,0,29,40,14,3,5,7,3,8,24,3,107,54,17,16,12,11,5,21,23,3,162,63,14,22,10,14,10,18,28,3,182,79,12,14,7,12,0,10,18,0,152,47,3,6,0,3,3,0,3,6,71,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,290,63,72,40,54,32,60,108,15,734
POA6251,0,0,0,0,0,6,0,6,0,12,0,0,4,3,0,3,0,0,0,10,3,0,11,3,3,0,0,6,0,26,5,3,3,8,4,0,8,9,0,40,24,7,0,7,4,6,3,6,0,57,14,4,5,5,0,3,3,6,3,43,14,0,0,0,0,3,3,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,14,23,26,11,21,17,36,3,211
POA6253,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,3,0,6,3,3,0,0,3,0,0,5,0,14,12,9,12,6,4,0,3,3,3,52,19,10,4,10,3,6,5,7,0,64,26,11,17,4,9,6,10,9,0,92,9,0,3,0,0,0,0,6,0,18,3,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,72,33,36,20,19,18,21,33,3,255
POA6254,0,0,6,0,0,3,0,3,0,12,0,0,3,6,0,3,6,3,0,21,3,6,9,0,4,3,4,3,0,32,6,5,11,0,10,0,15,7,3,57,5,6,18,7,4,4,10,22,3,79,15,11,4,0,6,0,4,9,0,49,4,0,0,0,0,0,0,6,0,10,3,0,3,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,36,28,54,16,24,13,39,53,6,269
POA6255,0,3,18,16,3,28,0,23,3,94,5,7,16,7,6,3,0,15,0,59,21,30,33,17,21,20,28,27,3,200,40,60,46,36,42,21,30,37,7,319,50,65,77,45,46,22,58,46,9,418,81,49,54,43,44,30,36,47,5,389,28,18,14,6,9,5,0,9,0,89,7,0,0,0,0,0,0,3,3,13,0,0,0,0,0,0,0,0,0,0,232,232,258,170,171,129,152,207,30,1581
POA6256,0,0,3,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,3,0,3,5,0,0,21,13,3,4,3,4,0,0,6,0,33,13,6,7,3,3,0,0,0,0,32,13,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,12,14,9,7,3,5,9,0,105
