region_id,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
POA6084,0,0,67,31,18,76,6,56,7,261,8,5,59,18,26,30,19,40,5,210,44,58,99,31,62,25,44,38,0,401,108,96,171,66,131,44,108,81,20,825,122,116,167,73,136,48,99,77,16,854,91,61,87,44,85,31,55,59,5,518,20,11,15,8,14,0,8,14,0,90,3,0,0,0,0,0,3,0,3,9,0,0,0,0,0,0,0,0,0,0,396,347,665,271,472,254,342,365,56,3168
POA6090,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,9
POA6100,4,7,46,57,35,83,6,39,3,280,46,159,137,187,133,117,38,112,10,939,274,903,393,235,343,132,93,194,22,2589,256,528,192,99,216,77,70,109,21,1568,241,336,163,88,230,81,73,79,16,1307,169,246,99,60,184,48,55,55,4,920,19,31,21,10,21,14,14,14,6,150,0,0,0,0,4,3,0,0,0,7,0,0,0,0,4,0,0,0,0,4,1009,2210,1051,736,1170,555,349,602,82,7764
POA6101,7,5,57,49,24,111,9,63,6,331,48,176,157,149,137,132,46,110,22,977,226,892,347,210,333,139,131,189,40,2507,275,632,247,134,278,81,91,109,20,1867,191,346,182,100,231,72,82,101,18,1323,106,166,123,46,175,50,61,80,19,826,18,32,17,15,21,13,13,19,6,154,0,0,0,0,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0,0,871,2249,1130,703,1199,598,436,674,131,7991
POA6102,6,4,29,64,19,92,10,53,6,283,18,152,132,259,135,199,58,150,15,1118,130,619,254,200,270,108,86,181,28,1876,94,272,153,85,121,52,73,117,14,981,73,157,105,59,104,25,54,90,13,680,38,89,60,29,81,26,46,63,6,438,9,19,13,11,9,10,7,20,3,101,0,5,5,0,0,0,0,0,5,15,0,0,0,0,0,0,0,0,6,6,368,1317,751,707,739,512,334,674,96,5498
POA6103,3,0,23,26,10,44,3,33,3,145,34,104,82,101,64,66,29,70,4,554,150,451,229,111,190,85,116,107,9,1448,132,238,140,75,142,47,73,64,21,932,96,133,117,67,119,41,60,75,10,718,61,82,59,31,71,28,54,59,7,452,10,13,9,12,11,5,14,10,0,84,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,486,1021,659,423,607,316,352,418,54,4336
POA6104,10,6,51,57,23,94,13,60,11,325,41,72,155,96,120,88,63,74,15,724,154,467,314,152,282,115,139,133,39,1795,211,313,237,141,228,77,157,108,20,1492,166,212,182,91,222,97,142,114,22,1248,102,110,130,78,179,65,85,101,19,869,17,6,32,19,31,14,16,16,6,157,0,4,0,0,3,3,3,3,6,22,0,0,0,0,0,0,0,0,0,0,701,1190,1101,634,1088,553,618,609,138,6632
POA6105,7,6,49,45,33,120,16,54,3,333,32,76,159,106,104,101,48,70,8,704,135,391,326,139,272,100,124,146,29,1662,157,267,299,117,210,77,161,128,34,1450,109,135,214,132,251,87,173,140,17,1258,54,94,126,74,162,53,97,108,10,778,12,22,23,13,25,12,14,31,6,158,0,3,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,506,994,1196,629,1057,550,633,677,107,6349
POA6106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,6,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,6,0,12
POA6107,14,29,168,125,66,324,37,157,23,943,108,275,451,314,318,340,172,325,43,2346,417,1343,908,463,787,331,488,533,105,5375,346,715,722,292,627,200,381,386,76,3745,331,459,506,328,494,169,356,350,44,3037,199,261,323,202,428,120,248,292,27,2100,47,62,59,43,67,21,39,62,13,413,7,6,3,3,7,0,3,0,3,32,3,0,0,3,0,0,0,0,6,12,1472,3150,3140,1773,2794,1505,1724,2105,340,18003
POA6108,11,8,160,91,50,315,27,145,10,817,59,143,256,145,185,169,100,145,17,1219,169,460,480,182,380,178,219,229,52,2349,240,373,461,215,419,157,272,230,30,2397,247,338,408,224,488,170,292,282,22,2471,167,237,327,184,385,155,213,246,16,1930,29,48,46,25,34,18,31,48,9,288,6,0,3,3,0,0,0,6,3,21,0,0,0,0,0,0,0,0,0,0,928,1607,2141,1069,1941,1162,1154,1331,159,11492
POA6109,3,0,59,30,24,74,20,56,3,269,15,31,120,61,54,67,43,80,7,478,73,149,259,98,164,85,182,128,21,1159,59,98,200,89,126,56,160,133,18,939,84,86,153,93,155,51,136,157,14,929,48,55,114,80,114,38,143,93,13,698,12,16,16,16,28,7,21,16,9,141,4,4,0,0,0,3,0,0,3,14,0,0,0,0,0,0,0,0,0,0,298,439,921,467,665,381,705,663,88,4627
POA6110,12,16,230,119,93,347,47,222,15,1101,87,149,383,206,256,231,151,224,22,1709,318,601,869,340,675,291,429,385,64,3972,399,504,706,299,653,262,429,413,75,3740,354,391,490,351,638,247,449,362,57,3339,206,271,357,257,419,148,273,272,29,2232,32,46,70,38,62,25,49,47,15,384,7,0,0,0,3,0,3,10,3,26,0,0,0,0,0,0,0,0,0,0,1415,1978,3105,1610,2799,1551,1830,1935,280,16503
