POA_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA6053,..,59,96,27,30,34,11,5,0,263,..,20,65,68,95,161,149,169,83,816,16,12,10,15,13,9,19,6,3,112,1186,673,1125,1097,931,787,487,307,139,6725,..,23,775,1276,1039,820,522,233,65,4754,..,101,563,377,269,139,46,8,4,1509,..,6,57,115,151,101,28,29,23,511,2349,..,..,..,..,..,..,..,..,2349,..,587,..,..,..,..,..,..,..,587,..,288,172,50,41,23,4,0,0,585,..,96,86,20,29,37,31,17,15,323,..,60,97,25,5,6,0,0,0,195,..,145,239,92,68,74,31,14,0,663,..,53,149,174,234,301,257,237,122,1521,20,41,31,31,24,26,27,14,3,210,2370,1405,2173,2157,1859,1524,946,545,228,13209
POA6054,..,57,79,35,45,37,20,9,4,286,..,30,103,97,134,260,268,193,107,1189,31,40,36,17,22,24,25,10,3,200,1639,1070,1456,1379,1311,1178,870,458,187,9544,..,45,1010,1436,1370,1188,906,429,83,6478,..,156,632,428,296,174,68,10,0,1760,..,37,140,255,287,172,81,49,36,1047,3457,..,..,..,..,..,..,..,..,3457,..,888,..,..,..,..,..,..,..,888,..,662,358,110,88,33,11,0,0,1265,..,137,87,43,41,72,49,43,26,499,..,67,75,27,20,13,4,4,3,212,..,115,206,122,104,90,42,24,4,699,..,64,204,245,357,455,428,290,135,2179,53,88,69,50,36,41,29,19,12,402,3513,2259,2783,2713,2603,2236,1618,870,292,18895
POA6055,..,37,74,8,15,25,3,3,3,165,..,20,91,71,91,113,119,73,37,616,31,34,31,9,14,18,24,4,0,170,1980,1152,2009,1448,1172,876,522,218,79,9462,..,129,2065,1922,1410,1077,650,250,46,7550,..,275,779,340,296,142,42,9,0,1900,..,22,110,178,201,101,31,19,4,675,4046,..,..,..,..,..,..,..,..,4046,..,844,..,..,..,..,..,..,..,844,..,575,261,77,30,11,3,0,0,954,..,169,114,33,50,60,52,40,21,538,..,80,66,28,16,14,4,3,0,211,..,85,187,49,49,48,20,8,3,447,..,60,227,188,201,219,192,126,45,1255,66,78,76,30,25,34,29,11,0,352,4111,2308,3887,2851,2293,1707,1020,457,127,18776
POA6056,..,99,111,54,49,61,54,7,0,436,..,53,156,168,249,369,452,358,192,1995,66,106,74,40,42,39,32,26,18,447,3158,2379,2478,2370,2602,2216,1687,907,333,18124,..,138,1710,2294,2755,2467,1894,907,166,12338,..,480,1009,660,579,337,136,29,3,3237,..,96,296,499,604,302,154,85,57,2097,6446,..,..,..,..,..,..,..,..,6446,..,1639,..,..,..,..,..,..,..,1639,..,1497,723,248,139,67,13,0,0,2686,..,272,154,62,93,143,118,66,40,965,..,156,127,45,58,31,8,3,4,432,..,224,268,158,135,148,103,21,3,1066,..,134,404,444,629,750,738,523,248,3874,127,194,158,99,111,70,57,37,18,888,6575,4838,4859,4510,5108,4318,3233,1674,549,35664
POA6057,..,36,46,10,23,21,10,0,0,145,..,21,48,39,51,133,166,122,46,628,31,29,27,14,12,13,15,10,3,158,1539,957,1152,1076,1082,940,686,343,96,7862,..,44,789,1222,1279,1146,854,413,59,5805,..,188,592,295,241,127,55,9,4,1517,..,14,121,226,220,110,41,21,13,771,3096,..,..,..,..,..,..,..,..,3096,..,717,..,..,..,..,..,..,..,717,..,693,294,87,52,23,5,0,0,1158,..,83,58,21,33,55,42,23,14,323,..,56,64,17,37,11,3,0,3,186,..,79,103,53,55,45,18,3,0,354,..,46,139,132,176,226,231,165,68,1188,53,57,62,33,19,27,28,16,3,305,3155,1986,2214,2090,2116,1772,1276,655,165,15422
POA6058,..,23,24,13,14,20,13,3,3,116,..,6,46,38,64,127,126,151,54,605,20,27,19,5,3,10,8,8,6,102,1084,770,885,814,737,771,519,325,84,5983,..,45,682,895,800,909,645,282,41,4304,..,180,375,214,161,90,49,9,0,1083,..,13,101,176,165,84,39,21,14,608,2198,..,..,..,..,..,..,..,..,2198,..,520,..,..,..,..,..,..,..,520,..,527,237,79,45,13,3,0,0,899,..,82,72,26,30,49,33,20,11,320,..,65,35,21,19,7,0,5,0,152,..,43,90,45,48,43,25,7,3,308,..,24,119,128,173,219,198,197,72,1132,30,46,46,22,20,20,9,13,6,212,2227,1551,1756,1614,1467,1433,1000,548,141,11735
POA6059,..,57,106,37,20,26,20,8,4,283,..,19,87,108,142,258,308,358,223,1510,18,38,24,8,15,25,25,19,15,193,1739,1381,1439,1493,1593,1394,1133,902,357,11435,..,53,1004,1856,2031,1663,1335,914,219,9076,..,120,518,249,184,139,47,20,3,1284,..,9,71,201,239,187,72,72,43,894,3569,..,..,..,..,..,..,..,..,3569,..,1383,..,..,..,..,..,..,..,1383,..,662,486,144,117,37,9,0,0,1463,..,153,131,48,38,70,54,59,34,589,..,69,148,44,26,12,3,0,0,305,..,154,317,87,68,64,47,20,4,766,..,48,209,247,318,425,463,476,267,2455,46,73,67,38,33,38,38,37,15,373,3613,2732,2956,2919,3053,2638,2068,1600,578,22160
POA6060,..,159,250,59,35,33,21,6,4,567,..,45,321,323,305,398,340,310,204,2259,25,37,52,28,26,31,18,9,9,232,1559,1146,2625,1679,1272,1147,842,666,310,11254,..,90,1813,1763,1107,946,749,572,152,7189,..,210,1263,422,221,136,46,7,3,2315,..,23,113,184,264,151,50,57,37,877,2988,..,..,..,..,..,..,..,..,2988,..,686,..,..,..,..,..,..,..,686,..,354,244,88,72,41,7,0,0,807,..,185,146,40,49,39,34,40,24,562,..,98,182,30,11,10,4,0,0,341,..,307,609,158,90,73,46,18,4,1305,..,96,617,612,644,689,534,398,262,3853,54,60,99,62,41,47,29,17,8,421,3045,2113,5096,3369,2486,2136,1507,1107,489,21343
POA6061,..,152,253,69,54,52,33,15,0,636,..,56,303,261,270,399,424,292,99,2103,44,60,75,39,26,32,31,24,4,336,3227,2268,4087,2462,1794,1671,1204,715,208,17632,..,306,3435,2613,1758,1529,1039,610,118,11411,..,368,1434,479,265,166,83,15,6,2811,..,79,320,469,482,313,168,101,46,1981,6658,..,..,..,..,..,..,..,..,6658,..,1562,..,..,..,..,..,..,..,1562,..,935,687,224,156,69,10,0,0,2072,..,495,479,144,126,140,92,68,25,1571,..,252,372,96,59,20,9,3,0,817,..,388,810,280,169,142,70,31,3,1898,..,138,663,602,629,726,649,431,151,3997,86,131,185,99,71,64,46,37,8,720,6741,4653,8376,5006,3712,3169,2169,1296,363,35493
POA6062,..,101,205,56,45,48,30,19,0,507,..,33,130,103,144,252,341,291,154,1453,30,54,51,31,23,36,26,21,21,287,2386,1849,2451,2035,1928,1917,1557,920,327,15375,..,97,1822,2447,2368,2373,2012,1083,196,12384,..,200,840,395,266,152,76,20,3,1961,..,31,140,288,403,246,113,94,58,1375,4931,..,..,..,..,..,..,..,..,4931,..,1615,..,..,..,..,..,..,..,1615,..,1027,720,241,140,85,13,0,0,2239,..,300,201,54,78,109,87,70,47,947,..,154,212,71,48,33,11,3,0,523,..,265,509,163,132,121,70,28,8,1312,..,70,312,289,358,470,534,426,207,2658,69,95,113,70,53,54,48,39,22,557,4996,3853,4867,4027,3847,3642,2969,1763,539,30501
POA6063,..,34,30,13,10,16,10,8,0,118,..,11,29,32,46,115,73,74,27,401,17,16,20,11,11,17,12,7,3,109,1446,877,993,985,948,805,429,179,74,6743,..,66,830,1202,1235,971,529,145,22,4998,..,92,278,206,162,81,27,0,0,851,..,26,96,162,189,135,44,17,18,685,2944,..,..,..,..,..,..,..,..,2944,..,831,..,..,..,..,..,..,..,831,..,599,378,100,32,21,3,0,0,1136,..,123,88,44,44,73,54,29,22,480,..,65,64,53,28,12,7,0,0,238,..,67,95,52,43,39,17,4,0,319,..,19,86,118,120,207,136,86,33,815,30,37,45,25,19,23,20,10,3,218,2967,1938,1967,1962,1878,1562,837,295,103,13509
POA6064,..,57,79,43,39,36,19,10,0,272,..,28,85,75,141,240,281,193,65,1111,47,49,48,27,19,35,27,11,7,261,3023,2046,2099,1967,1984,1728,1167,570,148,14731,..,135,1588,2210,2333,2042,1378,553,89,10334,..,194,650,425,328,170,71,14,3,1854,..,64,228,358,471,287,156,86,28,1684,6035,..,..,..,..,..,..,..,..,6035,..,1858,..,..,..,..,..,..,..,1858,..,1255,820,290,159,58,9,0,0,2586,..,331,185,87,90,150,111,65,35,1055,..,156,152,86,65,34,19,0,0,507,..,150,269,175,126,84,39,19,0,862,..,61,213,284,333,467,445,284,103,2182,93,93,119,67,51,62,37,16,4,542,6124,4297,4221,3983,3956,3358,2259,1040,261,29501
POA6065,..,123,146,47,40,45,22,6,0,431,..,37,149,133,183,303,427,385,124,1743,88,94,78,44,26,40,29,22,5,417,6879,3772,4802,4894,3935,2630,1762,980,233,29883,..,177,4591,6914,5492,3635,2325,1025,160,24325,..,497,1796,879,687,289,94,27,3,4270,..,66,290,620,669,267,99,56,24,2091,13812,..,..,..,..,..,..,..,..,13812,..,3521,..,..,..,..,..,..,..,3521,..,2328,959,215,99,41,7,0,0,3655,..,365,281,95,81,170,129,80,44,1235,..,168,182,62,41,33,7,5,0,500,..,256,401,118,94,98,40,14,0,1021,..,87,432,407,444,489,610,482,171,3114,168,184,164,99,58,69,52,34,7,822,13978,7661,9101,9417,7648,5079,3363,1720,409,58374
POA6066,..,27,35,17,24,22,10,0,3,140,..,5,31,24,61,131,113,82,27,487,17,28,15,11,13,10,9,9,3,120,1769,1411,1126,1161,1536,1140,540,267,91,9038,..,60,829,1352,1991,1587,708,298,54,6874,..,118,382,249,223,106,30,13,3,1125,..,24,120,229,293,174,52,29,9,925,3573,..,..,..,..,..,..,..,..,3573,..,1446,..,..,..,..,..,..,..,1446,..,945,509,101,60,17,3,0,0,1643,..,121,99,27,57,71,51,35,39,500,..,78,64,33,35,9,3,0,3,232,..,53,114,50,61,43,25,7,3,348,..,20,93,82,176,232,169,111,33,917,38,64,43,35,31,28,17,13,10,272,3617,2933,2257,2166,2911,2264,1060,495,150,17854
POA6067,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
POA6068,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,3,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7
POA6069,..,77,58,32,30,33,12,0,0,240,..,51,154,102,151,180,177,113,36,976,52,90,55,28,25,22,18,11,0,308,4801,2442,3351,3080,2313,1413,919,416,80,18811,..,192,3088,3918,2969,1757,1201,505,77,13709,..,554,1474,717,440,192,53,17,0,3446,..,86,334,538,424,165,56,36,9,1646,9789,..,..,..,..,..,..,..,..,9789,..,1898,..,..,..,..,..,..,..,1898,..,1279,408,111,62,22,0,0,0,1888,..,236,186,56,59,106,83,60,18,794,..,143,107,30,26,16,7,0,0,327,..,157,161,87,63,53,20,3,4,552,..,117,370,293,327,277,260,146,50,1850,113,167,128,64,58,37,29,14,3,605,9906,4825,6262,5810,4437,2620,1711,778,159,36506
POA6070,..,0,0,0,4,11,4,0,0,23,..,4,0,4,12,34,42,17,8,121,5,3,3,0,0,0,0,0,3,21,363,169,117,231,310,255,212,81,18,1757,..,3,97,315,400,341,321,103,11,1600,..,5,44,54,62,34,9,4,0,213,..,6,7,19,44,28,13,8,4,121,724,..,..,..,..,..,..,..,..,724,..,234,..,..,..,..,..,..,..,234,..,94,42,23,14,3,0,0,0,177,..,6,3,0,4,10,10,8,4,43,..,3,6,0,0,3,0,0,0,17,..,0,6,3,4,12,6,0,0,35,..,9,8,15,32,56,60,32,13,209,12,12,10,0,0,5,4,0,3,48,732,371,222,431,559,483,421,152,34,3417
POA6071,..,0,0,0,0,3,3,0,0,7,..,3,0,0,5,37,33,19,8,111,0,4,3,0,0,4,0,0,0,17,280,218,122,207,290,245,177,72,24,1629,..,6,100,248,379,327,260,92,23,1436,..,13,50,66,70,43,17,5,4,268,..,4,4,10,49,22,11,3,0,112,584,..,..,..,..,..,..,..,..,584,..,228,..,..,..,..,..,..,..,228,..,138,53,25,13,4,0,0,0,234,..,11,5,7,4,5,9,10,3,42,..,4,6,3,0,4,0,0,0,22,..,3,0,4,3,9,3,0,0,23,..,6,4,7,23,61,59,28,14,199,4,16,4,8,3,7,3,4,0,45,591,425,226,377,540,479,365,143,43,3191
POA6072,..,0,0,0,0,0,0,0,0,5,..,0,0,0,0,9,0,4,0,20,0,0,0,0,0,3,0,0,0,4,71,42,29,37,72,60,37,12,8,379,..,0,30,45,95,86,62,30,3,342,..,3,5,12,19,13,3,0,0,66,..,0,0,4,9,3,3,0,3,24,126,..,..,..,..,..,..,..,..,126,..,44,..,..,..,..,..,..,..,44,..,41,18,4,4,4,0,0,0,69,..,3,0,0,0,0,0,0,3,10,..,0,0,0,0,0,0,0,0,3,..,0,3,0,0,7,0,0,0,7,..,3,8,4,3,16,9,4,0,48,0,0,5,0,0,0,0,0,0,9,126,99,67,75,132,131,80,35,11,754
POA6073,..,3,4,0,0,4,7,3,3,21,..,0,3,4,10,22,38,50,36,166,3,13,3,0,8,0,0,3,0,31,244,153,109,164,242,205,178,113,53,1474,..,7,76,190,315,292,253,114,30,1274,..,5,34,48,53,27,13,3,3,181,..,5,7,30,30,11,5,5,0,98,472,..,..,..,..,..,..,..,..,472,..,146,..,..,..,..,..,..,..,146,..,122,38,16,8,3,0,0,0,198,..,16,3,0,0,3,6,6,8,40,..,5,8,3,0,0,0,0,0,23,..,4,8,7,3,3,6,5,3,41,..,4,10,14,30,44,63,73,38,286,7,15,4,5,8,3,0,4,3,44,479,324,196,307,456,400,350,201,88,2814
POA6074,..,0,0,0,0,4,0,0,0,6,..,0,0,0,3,8,5,3,9,25,0,0,0,0,3,0,0,0,3,9,96,47,34,59,66,72,56,16,15,461,..,0,31,61,87,91,92,34,0,400,..,3,13,26,15,15,9,3,0,77,..,0,3,13,9,6,0,0,0,38,171,..,..,..,..,..,..,..,..,171,..,53,..,..,..,..,..,..,..,53,..,49,16,9,4,0,0,0,0,77,..,3,3,0,0,0,0,3,3,13,..,0,0,0,3,0,0,0,0,14,..,0,0,4,0,3,0,0,0,11,..,0,3,6,10,12,12,3,9,50,0,3,0,4,3,0,0,0,3,16,173,115,75,115,130,141,115,39,15,915
POA6076,..,5,9,8,22,25,12,6,9,95,..,17,21,30,62,131,266,272,126,928,22,37,26,17,9,21,17,15,5,160,1758,1157,733,1239,1616,1385,1318,733,227,10170,..,38,569,1624,2204,1938,1914,860,145,9286,..,59,251,258,287,189,83,20,4,1156,..,9,46,133,236,122,52,49,26,681,3575,..,..,..,..,..,..,..,..,3575,..,1336,..,..,..,..,..,..,..,1336,..,784,328,120,83,34,6,0,0,1360,..,83,33,13,17,42,53,35,29,300,..,49,34,14,23,14,8,4,0,150,..,22,36,37,46,48,22,20,8,234,..,41,67,79,178,242,393,364,176,1535,54,58,49,37,29,36,44,22,6,319,3628,2485,1420,2308,3098,2660,2574,1368,396,19936
POA6077,..,0,0,0,0,0,3,0,0,3,..,0,4,0,3,5,27,17,6,60,0,6,0,0,4,4,0,3,0,16,91,101,40,61,116,128,81,46,11,668,..,7,27,87,176,200,106,36,6,647,..,3,11,11,17,20,9,0,0,73,..,0,5,0,5,5,4,4,0,27,186,..,..,..,..,..,..,..,..,186,..,98,..,..,..,..,..,..,..,98,..,74,30,8,8,0,0,0,0,126,..,10,0,0,0,3,4,11,7,34,..,4,0,0,0,0,0,0,0,8,..,0,9,0,0,7,7,0,0,22,..,3,9,10,8,13,37,25,8,109,3,6,8,0,3,3,0,3,0,30,193,209,103,124,219,255,169,77,26,1365
POA6078,..,0,3,0,3,4,0,0,0,10,..,0,0,0,0,5,0,6,0,19,0,0,4,0,0,3,0,0,0,12,60,47,38,40,75,79,37,16,4,393,..,0,19,47,116,117,66,9,0,381,..,0,15,10,7,10,3,0,0,44,..,0,4,3,10,3,0,0,0,25,144,..,..,..,..,..,..,..,..,144,..,55,..,..,..,..,..,..,..,55,..,47,18,10,0,0,0,0,0,77,..,3,7,0,3,0,0,5,3,25,..,9,5,0,0,0,0,0,0,15,..,0,10,0,3,6,0,4,0,31,..,0,3,5,4,14,8,6,0,33,0,6,5,3,3,0,0,0,0,24,144,121,87,79,144,155,85,25,8,846
POA6079,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,8,..,0,0,0,0,6,8,0,0,14,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,4,0,26
POA6081,..,0,3,3,8,3,4,0,0,25,..,3,11,14,16,27,28,5,4,107,3,7,3,4,4,7,3,0,0,32,430,234,195,312,403,303,195,52,17,2154,..,0,146,365,545,432,295,87,19,1899,..,21,80,91,78,63,23,5,0,373,..,4,11,32,54,25,12,7,4,143,899,..,..,..,..,..,..,..,..,899,..,266,..,..,..,..,..,..,..,266,..,207,70,20,9,5,0,0,0,314,..,4,5,3,9,5,10,7,7,57,..,18,5,5,3,3,0,0,0,33,..,11,8,5,7,10,7,0,0,52,..,5,27,22,29,55,42,20,14,210,8,13,9,6,9,13,11,4,3,69,908,552,371,554,749,611,397,126,50,4316
POA6082,..,0,3,0,3,3,0,0,0,10,..,0,4,5,17,25,22,13,4,87,4,7,9,4,7,3,0,0,0,33,309,178,168,206,255,209,127,52,10,1509,..,3,130,238,296,281,188,67,8,1215,..,14,84,76,68,32,14,0,3,291,..,3,15,23,43,23,9,7,0,130,634,..,..,..,..,..,..,..,..,634,..,177,..,..,..,..,..,..,..,177,..,142,40,12,8,8,0,0,0,209,..,12,7,3,0,10,8,3,8,40,..,12,7,0,0,8,0,0,0,25,..,3,3,3,3,9,4,0,0,27,..,3,11,16,34,47,42,17,7,181,11,15,8,4,9,7,5,3,0,57,644,379,313,388,466,417,265,99,24,2995
POA6083,..,0,3,0,0,4,0,4,0,9,..,0,0,8,13,11,17,3,0,53,3,3,5,4,0,6,0,0,0,29,276,203,95,232,317,251,142,46,8,1569,..,9,68,265,446,367,217,74,11,1459,..,21,41,65,92,60,21,5,0,298,..,3,10,21,25,18,3,4,0,82,551,..,..,..,..,..,..,..,..,551,..,202,..,..,..,..,..,..,..,202,..,141,39,11,5,6,0,0,0,197,..,14,8,0,3,6,14,10,0,55,..,10,9,4,3,5,3,0,0,42,..,4,3,5,3,7,3,4,0,27,..,9,11,15,40,45,35,18,5,181,6,10,13,6,10,6,8,0,0,66,563,414,199,400,621,516,307,117,23,3153
POA6084,..,4,9,5,13,13,5,3,0,50,..,10,8,15,24,45,30,18,4,147,3,13,5,3,10,7,8,3,0,63,749,475,381,567,649,469,282,91,17,3687,..,13,288,669,848,714,435,117,14,3089,..,69,186,188,152,65,29,4,0,695,..,8,39,64,75,20,18,5,5,233,1534,..,..,..,..,..,..,..,..,1534,..,432,..,..,..,..,..,..,..,432,..,289,89,37,18,4,6,0,0,445,..,19,11,3,6,13,27,24,10,118,..,32,9,6,15,7,4,3,0,86,..,3,20,10,19,34,13,4,0,111,..,13,28,40,70,84,63,28,9,343,14,42,19,10,20,17,23,7,0,152,1552,929,686,1036,1226,958,613,199,34,7235
POA6090,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,..,0,0,0,4,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,3,..,..,..,..,..,..,..,..,3,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,3,0,0,0,3,0,0,0,0,5
POA6100,..,177,195,30,27,24,11,4,0,463,..,55,136,92,130,139,123,81,55,812,5,36,38,22,8,18,5,7,3,139,903,871,1610,932,773,663,361,210,95,6409,..,84,1151,1164,774,745,386,181,55,4538,..,169,712,251,165,97,52,14,0,1453,..,3,40,85,127,71,31,15,13,389,1751,..,..,..,..,..,..,..,..,1751,..,392,..,..,..,..,..,..,..,392,..,216,142,38,20,23,0,0,0,440,..,171,131,30,29,42,13,12,10,432,..,110,155,21,13,9,5,0,0,308,..,452,543,96,68,52,32,7,3,1251,..,123,332,251,298,298,241,139,74,1759,16,69,71,40,21,27,7,11,3,268,1764,1778,3285,1976,1518,1348,765,381,163,12981
POA6101,..,215,234,41,33,34,17,3,4,585,..,31,126,138,121,185,156,108,87,951,16,29,38,8,10,14,9,5,3,137,1200,935,1745,1189,869,650,442,221,137,7391,..,55,1162,1293,886,552,390,180,55,4560,..,191,873,347,206,112,32,3,3,1774,..,16,52,143,151,113,43,25,13,558,2334,..,..,..,..,..,..,..,..,2334,..,506,..,..,..,..,..,..,..,506,..,245,151,54,44,20,3,0,0,512,..,205,147,40,30,43,41,11,12,527,..,164,188,28,17,7,0,0,0,397,..,480,555,132,85,77,38,7,3,1388,..,87,265,268,271,361,295,163,116,1827,26,59,79,36,23,25,18,10,6,276,2366,2003,3462,2338,1711,1302,853,398,213,14655
POA6102,..,454,222,38,19,24,5,5,0,764,..,40,75,75,88,141,166,232,213,1035,0,34,33,9,8,9,9,8,9,129,645,1116,1245,613,464,420,356,363,284,5497,..,48,841,673,451,309,265,205,92,2893,..,151,405,128,76,37,14,9,0,826,..,15,52,75,94,70,26,20,7,362,1341,..,..,..,..,..,..,..,..,1341,..,304,..,..,..,..,..,..,..,304,..,159,115,45,25,16,3,0,0,361,..,273,139,22,25,20,27,10,12,525,..,244,240,45,11,9,0,0,0,547,..,1177,702,172,70,44,20,8,3,2201,..,96,176,161,192,262,289,305,259,1735,21,83,69,30,23,23,17,9,13,291,1362,2552,2746,1355,973,786,660,567,391,11392
