POA_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA6036,..,43,32,9,8,6,9,5,0,102,..,29,64,70,74,105,69,27,11,435,14,23,23,15,9,6,6,0,0,91,1881,1136,1259,1238,979,479,311,97,25,7404,..,49,1033,1478,1284,518,378,133,15,4889,..,248,591,274,169,70,21,0,0,1379,..,52,167,245,237,75,23,5,3,796,3863,..,..,..,..,..,..,..,..,3863,..,931,..,..,..,..,..,..,..,931,..,588,136,27,26,0,0,0,0,778,..,108,68,16,22,21,36,17,9,293,..,62,39,13,9,3,3,0,0,125,..,97,77,19,21,14,8,6,0,250,..,53,155,158,146,149,96,31,11,795,39,56,44,34,16,5,4,0,0,206,3898,2240,2311,2260,1925,848,570,194,39,14292
POA6037,..,0,8,0,3,5,0,4,0,26,..,3,8,6,13,16,25,16,3,90,6,9,9,0,3,5,4,0,0,29,267,133,187,168,191,157,120,74,8,1305,..,4,122,198,220,188,178,86,10,1007,..,18,80,50,55,32,7,3,0,260,..,3,26,25,32,14,3,3,0,111,575,..,..,..,..,..,..,..,..,575,..,107,..,..,..,..,..,..,..,107,..,98,34,10,9,4,0,0,0,151,..,9,0,0,3,6,8,7,4,41,..,11,11,0,3,3,0,3,0,35,..,12,21,3,6,10,4,4,0,60,..,5,20,27,52,46,43,28,4,228,6,15,5,4,3,11,4,0,0,46,583,280,320,325,384,314,253,137,24,2628
POA6038,..,26,19,0,0,0,0,0,0,42,..,14,39,21,24,31,16,4,0,160,7,13,9,3,3,3,0,0,0,39,753,434,748,453,327,147,84,16,0,2955,..,48,638,579,391,164,103,15,3,1945,..,209,471,125,75,14,10,3,0,903,..,21,60,73,63,17,10,0,0,237,1494,..,..,..,..,..,..,..,..,1494,..,236,..,..,..,..,..,..,..,236,..,148,38,12,5,0,0,0,0,205,..,39,25,4,9,14,13,3,0,103,..,15,14,8,0,0,0,0,0,40,..,40,47,3,5,3,0,0,0,103,..,30,107,75,53,42,26,4,0,333,19,33,19,7,5,6,3,0,0,80,1508,816,1412,872,611,260,161,28,3,5672
POA6041,..,5,3,0,0,0,0,0,0,13,..,0,5,3,7,11,16,12,0,45,3,6,0,0,0,8,4,3,0,20,125,59,54,74,94,109,107,40,9,661,..,0,29,79,114,134,163,53,6,586,..,10,28,27,29,24,13,3,0,125,..,3,9,12,14,4,0,0,0,40,247,..,..,..,..,..,..,..,..,247,..,49,..,..,..,..,..,..,..,49,..,34,10,5,4,3,0,0,0,62,..,4,0,0,0,10,8,0,0,25,..,3,5,0,0,0,0,0,0,15,..,10,7,0,5,9,6,0,0,38,..,0,10,11,19,26,29,14,3,114,0,10,0,4,3,11,10,3,0,38,250,118,100,140,188,214,226,80,14,1331
POA6042,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,12,4,3,0,32,..,0,0,0,7,3,6,0,0,17,..,0,0,0,0,7,3,0,0,8,..,0,0,0,0,0,0,0,0,3,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,3,0,0,3,..,0,0,0,0,0,0,0,0,3,..,0,0,0,3,0,3,3,0,12,0,0,0,0,0,0,0,0,0,4,0,0,8,3,9,17,18,6,0,60
POA6043,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,3,3,0,8,0,0,0,0,0,0,0,0,3,7,19,5,6,14,8,18,11,4,5,93,..,0,7,11,8,19,17,3,3,74,..,0,3,7,3,5,4,0,0,24,..,0,0,0,0,0,0,0,0,3,32,..,..,..,..,..,..,..,..,32,..,4,..,..,..,..,..,..,..,4,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,0,0,0,3,..,0,0,3,4,8,4,9,0,37,3,0,0,0,0,4,0,0,3,18,30,11,13,27,21,35,34,13,8,189
POA6044,..,14,37,0,4,0,3,0,0,59,..,0,0,3,7,16,18,8,4,52,6,0,0,4,3,7,0,0,0,17,73,39,63,48,69,96,83,35,5,514,..,3,15,46,68,119,111,52,10,422,..,11,20,26,16,19,9,5,0,107,..,0,3,11,11,7,3,3,0,38,132,..,..,..,..,..,..,..,..,132,..,24,..,..,..,..,..,..,..,24,..,20,8,3,0,3,0,0,0,33,..,4,0,0,0,3,0,0,0,8,..,5,0,0,0,0,0,0,0,5,..,18,43,7,8,3,4,0,0,75,..,0,12,9,17,43,45,19,6,151,6,4,6,7,9,7,6,3,0,45,137,85,111,102,131,205,179,84,17,1047
POA6050,..,133,211,41,24,20,0,4,0,438,..,36,128,107,87,137,197,166,150,1004,11,21,36,7,9,15,9,6,3,121,991,892,1092,907,953,851,536,370,230,6825,..,19,525,1011,1249,1079,610,325,145,4963,..,89,532,253,175,126,49,3,0,1237,..,6,34,72,98,83,30,26,22,364,1996,..,..,..,..,..,..,..,..,1996,..,808,..,..,..,..,..,..,..,808,..,285,174,50,41,24,3,0,0,576,..,77,62,15,15,18,22,22,20,249,..,39,64,20,3,3,0,3,0,134,..,248,448,80,51,39,25,14,0,901,..,64,273,216,222,251,314,222,198,1760,19,40,70,31,22,26,22,7,4,232,2017,1676,2176,1754,1878,1644,1079,625,382,13225
POA6051,..,113,185,39,23,12,8,0,0,377,..,55,210,173,133,183,159,106,40,1055,12,28,48,16,15,10,0,6,0,138,761,614,1600,918,589,541,339,175,58,5611,..,72,1062,979,553,499,292,94,40,3579,..,155,742,235,136,82,40,10,0,1405,..,15,51,107,102,57,28,19,10,381,1548,..,..,..,..,..,..,..,..,1548,..,263,..,..,..,..,..,..,..,263,..,110,103,33,21,8,3,0,0,272,..,98,87,22,16,29,21,3,0,272,..,61,84,15,4,9,0,0,0,166,..,238,479,142,69,44,26,9,3,1009,..,108,435,380,334,363,332,149,60,2159,23,51,105,43,30,32,8,13,3,300,1571,1166,3142,1955,1259,1118,748,283,116,11357
POA6052,..,59,84,23,13,14,5,3,0,209,..,17,79,64,77,128,142,121,79,710,6,22,12,6,5,12,12,5,0,82,878,604,813,853,772,638,383,249,126,5310,..,21,524,995,891,691,382,198,55,3756,..,81,380,218,159,86,30,6,0,956,..,4,33,87,150,83,37,24,20,445,1836,..,..,..,..,..,..,..,..,1836,..,554,..,..,..,..,..,..,..,554,..,262,155,59,35,18,7,0,0,541,..,49,61,16,14,30,19,15,10,210,..,40,49,4,6,8,0,0,0,108,..,124,215,55,48,35,16,9,3,510,..,32,139,142,165,219,195,159,105,1159,10,38,28,17,18,17,13,5,3,154,1842,1210,1581,1595,1478,1196,701,421,195,10219
