POA_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
POA6315,48,14,64,262,102,11,379,1053,201,1629
POA6316,0,0,0,52,12,0,70,182,22,271
POA6317,66,19,95,528,228,33,789,2055,493,3343
POA6318,7,0,9,88,23,0,111,239,60,412
POA6320,7,3,10,104,14,4,119,267,72,455
POA6321,7,0,10,81,18,9,110,249,38,397
POA6322,3,0,3,24,15,4,40,126,31,190
POA6323,3,0,3,112,54,0,167,590,85,843
POA6324,66,24,88,484,193,17,695,1802,378,2880
POA6326,5,0,5,65,32,3,102,260,49,409
POA6327,4,0,7,45,8,3,58,137,24,220
POA6328,3,0,3,68,17,5,91,219,30,342
POA6330,827,198,1034,5398,1998,276,7671,18759,2805,29230
POA6333,90,30,117,863,286,50,1201,3091,546,4837
POA6335,5,3,9,130,45,11,187,355,74,615
POA6336,0,0,0,56,15,0,70,145,41,260
POA6337,0,0,3,101,20,3,124,227,62,407
POA6338,6,0,6,104,46,3,157,341,61,562
POA6341,0,0,0,53,18,3,75,125,32,236
POA6343,0,0,0,57,10,0,65,99,25,196
POA6346,3,3,6,121,37,4,163,366,89,616
POA6348,12,3,11,104,25,7,141,491,88,712
POA6350,3,0,3,37,18,0,57,168,37,257
POA6351,0,0,0,25,4,3,27,29,0,62
POA6352,0,0,0,42,8,0,46,66,33,144
POA6353,11,0,11,136,43,3,185,371,72,624
POA6355,0,0,3,80,11,4,96,200,25,324
POA6356,0,0,0,22,6,0,36,56,9,97
POA6357,0,0,0,11,0,0,17,41,4,63
POA6358,0,0,0,13,0,0,14,58,4,82
POA6359,0,0,0,90,34,3,119,202,36,357
POA6361,0,0,0,22,14,0,39,46,4,91
POA6363,0,0,0,25,6,0,33,37,4,76
POA6365,12,4,13,76,35,3,117,266,46,434
POA6367,5,0,5,53,28,0,76,185,25,286
POA6368,0,0,0,11,5,0,21,41,3,62
POA6369,23,3,30,93,36,6,136,358,60,559
POA6370,9,0,8,85,18,0,98,233,24,357
POA6372,3,0,7,10,7,0,19,60,23,101
POA6373,0,0,0,16,4,0,25,35,7,66
POA6375,28,7,30,135,68,12,213,484,108,806
POA6383,29,7,27,112,53,7,171,531,121,818
POA6384,0,0,0,10,0,0,10,15,4,27
POA6385,0,0,0,7,0,0,6,11,3,21
POA6386,5,0,5,10,3,0,18,56,15,80
POA6390,7,3,14,360,96,16,476,797,136,1407
POA6391,14,0,13,164,65,4,237,472,92,801
POA6392,13,0,15,74,33,0,110,239,27,367
POA6393,0,0,0,20,4,0,29,61,10,98
POA6394,9,0,5,73,36,10,118,210,33,364
POA6395,29,19,52,253,119,11,385,735,175,1295
POA6396,0,0,7,59,5,7,72,183,45,299
POA6397,0,0,0,11,6,0,14,48,11,72
POA6398,7,3,6,53,25,3,90,338,54,475
POA6401,145,30,174,1057,442,64,1571,3851,1191,6613
POA6403,0,0,0,17,8,0,31,96,12,147
POA6405,0,0,3,59,13,3,71,159,13,244
POA6407,10,9,22,150,61,6,220,592,118,935
POA6409,3,0,3,66,20,3,83,179,51,308
POA6410,26,13,44,164,55,8,227,524,102,856
POA6411,3,0,3,11,8,0,21,74,14,108
POA6412,0,0,0,9,3,0,14,26,10,41
POA6413,0,0,0,10,0,0,7,27,4,45
POA6414,0,0,0,7,7,0,12,30,4,51
POA6415,53,12,66,426,135,23,585,1592,247,2421
POA6418,15,3,18,96,45,0,145,357,58,557
POA6419,0,0,0,10,4,0,11,31,0,40
POA6420,0,0,3,21,0,0,19,52,19,91
POA6421,0,0,0,38,5,0,40,55,20,112
POA6422,0,0,0,16,5,0,19,20,5,42
POA6423,0,0,0,34,10,3,46,116,26,185
POA6424,3,0,3,8,3,0,16,43,10,68
POA6425,0,0,0,14,0,0,14,47,17,80
POA6426,10,12,19,132,43,3,176,442,96,711
POA6427,0,0,0,22,5,0,20,41,23,94
POA6428,0,0,0,11,0,0,13,23,0,42
POA6429,4,0,3,135,47,0,181,496,103,790
POA6430,93,26,122,4198,995,192,5385,10107,1922,17423
POA6431,0,0,4,143,159,22,329,366,133,833
POA6432,19,6,28,1143,295,59,1498,3152,890,5534
POA6434,0,0,0,30,5,0,29,110,14,157
POA6436,0,0,0,10,0,0,8,56,20,91
POA6437,0,0,0,117,11,3,129,196,138,465
POA6438,4,3,5,93,26,0,125,415,171,714
POA6440,0,0,3,160,82,12,251,550,205,1009
POA6442,3,0,3,468,114,17,594,1032,292,1913
POA6443,7,0,6,81,22,0,104,493,138,734
POA6445,0,0,0,31,8,5,43,75,28,152
POA6446,0,0,0,25,0,0,24,55,14,99
POA6447,0,0,0,35,7,0,40,68,34,148
POA6448,3,0,4,68,16,0,87,246,41,365
POA6450,205,45,251,1993,743,115,2848,6345,1446,10633
POA6452,0,0,0,0,0,0,0,0,3,5
POA6460,25,6,32,107,43,7,151,373,80,599
POA6461,10,0,10,89,34,5,134,254,29,412
POA6462,0,0,0,20,5,4,32,55,9,94
POA6463,0,0,0,0,0,0,0,10,3,20
POA6465,0,0,0,6,0,0,6,22,0,25
POA6466,0,0,3,9,8,0,11,34,5,56
POA6467,0,0,0,3,3,0,7,17,0,26
POA6468,0,0,0,38,8,4,49,126,25,198
POA6470,0,0,0,3,0,0,3,7,0,13
POA6472,3,0,3,44,17,4,65,58,8,133
POA6473,0,0,0,8,3,0,16,19,6,35
POA6475,9,0,7,61,17,8,92,199,33,321
POA6476,0,0,0,10,0,0,11,33,0,45
POA6477,3,0,8,45,12,0,59,140,19,222
POA6479,3,3,13,97,32,5,142,247,45,430
POA6480,0,0,0,10,0,3,7,24,4,40
POA6484,0,0,0,15,5,0,15,58,23,96
POA6485,17,3,23,62,23,0,84,270,66,421
POA6487,0,0,0,4,3,0,9,24,12,44
POA6488,3,3,3,20,10,0,30,100,32,159
POA6489,8,0,8,14,3,0,14,60,22,92
POA6490,0,0,8,36,14,0,46,140,17,206
POA6501,9,0,9,158,59,4,216,498,87,800
POA6502,13,0,15,160,66,13,230,637,93,956
POA6503,21,13,36,317,125,12,450,1111,214,1773
POA6504,0,0,0,18,6,4,25,102,15,143
POA6505,0,0,0,21,10,0,32,62,4,103
POA6506,0,0,0,0,0,0,4,39,7,52
POA6507,4,3,12,84,19,0,107,299,46,447
POA6509,0,0,0,35,0,0,34,84,45,162
POA6510,35,3,41,262,104,13,379,1022,178,1578
POA6511,5,0,6,64,35,0,97,294,64,460
POA6512,0,0,0,19,4,0,25,35,8,72
POA6513,3,0,3,40,18,0,53,96,23,169
POA6514,9,0,5,70,34,0,106,399,52,556
POA6515,3,0,3,37,19,3,58,171,13,245
POA6516,22,8,28,236,88,11,331,984,160,1478
POA6517,3,0,3,48,17,3,69,221,36,327
POA6518,0,0,0,26,11,4,40,123,5,179
POA6519,19,0,17,106,26,4,134,273,46,452
POA6521,3,0,3,63,26,0,94,192,13,303
POA6522,3,0,7,73,21,3,94,231,50,368
POA6525,78,11,85,502,166,36,706,1955,304,2958
POA6528,3,0,3,58,14,0,70,221,45,333
POA6530,455,127,582,4977,1944,228,7148,15905,2668,25724
POA6532,39,7,48,1168,331,56,1557,2916,826,5293
POA6535,23,15,41,191,89,8,281,886,174,1348
POA6536,17,5,19,202,75,6,276,881,177,1344
POA6537,13,3,14,140,31,9,176,477,93,744
POA6556,21,7,23,339,137,13,486,1024,135,1649
POA6558,0,0,0,124,50,4,177,374,1934,2484
POA6560,13,0,8,187,87,10,280,734,94,1106
POA6562,5,0,10,195,77,3,277,646,84,1008
POA6564,3,0,5,43,25,0,62,192,13,268
POA6566,22,7,27,364,210,17,598,1847,335,2778
POA6567,3,0,3,42,22,0,71,256,37,364
POA6568,0,0,0,27,14,0,43,151,9,199
POA6569,0,0,0,50,12,0,55,137,25,214
POA6571,0,0,0,13,3,0,15,36,3,58
POA6572,0,0,0,8,6,0,17,31,3,47
POA6574,0,0,0,17,4,0,22,28,11,60
POA6575,0,0,0,18,11,3,37,51,17,105
POA6603,21,5,26,187,58,5,253,550,61,867
POA6605,0,0,0,7,0,0,13,16,0,27
POA6606,0,0,0,28,11,0,43,93,4,136
POA6608,0,0,0,18,5,0,29,61,13,101
POA6609,17,0,18,117,48,6,172,432,58,668
POA6612,3,3,10,35,11,0,45,110,28,171
POA6613,5,0,5,11,0,0,8,31,6,44
POA6614,0,0,0,5,3,0,6,8,4,17
POA6616,0,0,0,12,0,0,14,33,0,43
POA6620,3,0,3,84,21,4,111,259,64,429
POA6623,15,5,15,99,25,4,127,343,60,532
POA6625,3,0,3,10,0,0,10,26,8,42
POA6627,0,0,0,7,7,4,25,27,0,49
POA6628,0,0,0,3,0,0,3,23,4,26
POA6630,9,0,7,75,26,13,106,276,91,475
POA6631,0,0,0,3,3,0,6,21,0,26
POA6632,0,0,0,18,3,0,21,22,3,45
POA6635,0,0,0,30,22,8,67,167,73,303
POA6638,0,0,3,51,19,0,74,209,106,394
POA6639,0,0,0,3,0,0,4,70,19,86
POA6640,0,0,0,14,6,0,17,106,44,170
POA6642,5,5,10,116,56,17,188,466,228,876
POA6646,0,0,0,89,39,7,138,388,132,660
POA6701,47,20,69,708,290,36,1035,2612,772,4415
POA6705,0,0,0,27,25,8,60,86,45,200
POA6707,7,5,11,481,109,23,619,1294,234,2147
POA6710,3,0,3,372,86,22,479,2479,899,3859
POA6711,0,0,0,0,0,0,0,0,0,0
POA6712,0,0,0,255,35,4,301,1259,406,1961
POA6713,3,0,5,254,39,7,303,410,69,783
POA6714,10,0,9,3405,574,144,4122,6706,1859,12689
POA6716,0,0,0,186,24,8,216,293,43,553
POA6718,4,3,7,117,95,13,222,325,275,825
POA6720,0,0,0,557,74,24,649,914,301,1867
POA6721,3,0,4,823,133,32,988,2019,565,3577
POA6722,15,9,31,1727,379,62,2166,3867,1370,7399
POA6725,36,8,45,1670,532,106,2306,4675,1242,8229
POA6726,11,0,9,839,240,71,1155,2394,576,4125
POA6728,24,3,29,824,501,86,1413,2252,741,4405
POA6731,0,0,0,0,0,0,0,0,3,3
POA6733,0,0,0,0,0,0,0,0,0,0
POA6740,5,0,4,168,120,7,294,498,164,954
POA6743,14,5,16,878,295,64,1228,2912,684,4830
POA6751,0,0,0,1109,146,23,1288,2016,663,3961
POA6753,3,0,4,1280,318,79,1676,2794,1453,5921
POA6754,0,0,0,343,40,14,396,425,153,975
POA6758,0,0,0,367,71,6,444,966,248,1662
POA6760,0,0,3,77,66,13,152,244,104,495
POA6762,0,0,0,150,90,15,255,354,182,785
POA6765,7,0,9,258,174,46,472,657,188,1316
POA6770,4,0,4,297,182,51,524,1044,559,2126
