POA_CODE_2016,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedonian_SEO,FOL_Macedonian_SOLSE_VWorW,FOL_Macedonian_SOLSE_NWorNAA,FOL_Macedonian_SOLSE_Tot,FOL_Macedonian_NS,FOL_Macedonian_Tot,FOL_Maltese_SEO,FOL_Maltese_SOLSE_VWorW,FOL_Maltese_SOLSE_NWorNAA,FOL_Maltese_SOLSE_Tot,FOL_Maltese_NS,FOL_Maltese_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_SOLSE_VWorW,FOL_Persian_ED_SOLSE_NWorNAA,FOL_Persian_ED_SOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_SOLSE_VWorW,FOL_Polish_SOLSE_NWorNAA,FOL_Polish_SOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Russian_SEO,FOL_Russian_SOLSE_VWorW,FOL_Russian_SOLSE_NWorNAA,FOL_Russian_SOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_SOLSE_VWorW,FOL_Samoan_SOLSE_NWorNAA,FOL_Samoan_SOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_SOLSE_VWorW,FOL_Serbian_SOLSE_NWorNAA,FOL_Serbian_SOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipino_SEO,FOL_SAL_Filipino_SOLSE_VWorW,FOL_SAL_Filipin_SOLSE_NWorNAA,FOL_SAL_Filipino_SOLSE_Tot,FOL_SAL_Filipino_NS,FOL_SAL_Filipino_Tot,FOL_SAL_Indonesian_SEO,FOL_SAL_Indonesia_SOLSE_VWorW,FOL_SAL_Indones_SOLSE_NWorNAA,FOL_SAL_Indonesian_SOLSE_Tot,FOL_SAL_Indonesian_NS,FOL_SAL_Indonesian_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_SOLSE_VWorW,FOL_SAL_Tagalog_SOLSE_NWorNAA,FOL_SAL_Tagalog_SOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_SOLSE_VWorW,FOL_SAL_Oth_SOLSE_NWorNAA,FOL_SAL_Oth_SOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_SOLSE_VWorW,FOL_SAL_Tot_SOLSE_NWorNAA,FOL_SAL_Tot_SOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_SOLSE_VWorW,FOL_Spanish_SOLSE_NWorNAA,FOL_Spanish_SOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_SOLSE_VWorW,FOL_Tamil_SOLSE_NWorNAA,FOL_Tamil_SOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_SOLSE_VWorW,FOL_Thai_SOLSE_NWorNAA,FOL_Thai_SOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_SOLSE_VWorW,FOL_Turkish_SOLSE_NWorNAA,FOL_Turkish_SOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_SOLSE_VWorW,FOL_Vietnamese_SOLSE_NWorNAA,FOL_Vietnamese_SOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_SOLSE_VWorW,FOL_Oth_SOLSE_NWorNAA,FOL_Oth_SOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_SOLSE_VWorW,FOL_Tot_SOLSE_NWorNAA,FOL_Tot_SOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LSatH_NS_SEO,F_LSatH_NS_SOLSE_VWorW,F_LSatH_NS_SOLSE_NWorNAA,F_LSatH_NS_SOLSE_Tot,F_LSatH_NS_NS,F_LSatH_NS_Tot,F_Tot_SEO,F_Tot_SOLSE_VWorW,F_Tot_SOLSE_NWorNAA,F_Tot_SOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_SOLSE_VWorW,PSEO_SOLSE_NWorNAA,PSEO_SOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_SOLSE_VWorW,POL_Afrikaans_SOLSE_NWorNAA,POL_Afrikaans_SOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_SOLSE_VWorW,POL_Arabic_SOLSE_NWorNAA,POL_Arabic_SOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_SOLSE_VWorW,POL_AIndLng_SOLSE_NWorNAA,POL_AIndLng_SOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Cantones_SEO,POL_CL_Cantones_SOLSE_VWorW,POL_CL_Cantones_SOLSE_NWorNAA,POL_CL_Cantones_SOLSE_Tot,POL_CL_Cantones_NS,POL_CL_Cantones_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_SOLSE_VWorW,POL_CL_Mandarin_SOLSE_NWorNAA,POL_CL_Mandarin_SOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot,POL_CL_Oth_SEO,POL_CL_Oth_SOLSE_VWorW,POL_CL_Oth_SOLSE_NWorNAA,POL_CL_Oth_SOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_SOLSE_VWorW,POL_CL_Tot_SOLSE_NWorNAA,POL_CL_Tot_SOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_SOLSE_VWorW,POL_Croatian_SOLSE_NWorNAA,POL_Croatian_SOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_Dutch_SEO,POL_Dutch_SOLSE_VWorW,POL_Dutch_SOLSE_NWorNAA,POL_Dutch_SOLSE_Tot,POL_Dutch_NS,POL_Dutch_Tot,POL_French_SEO,POL_French_SOLSE_VWorW,POL_French_SOLSE_NWorNAA,POL_French_SOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_SOLSE_VWorW,POL_German_SOLSE_NWorNAA,POL_German_SOLSE_Tot,POL_German_NS,POL_German_Tot
POA6000,0,120,..,3,0,5,0,5,..,0,0,0,0,0,..,34,4,35,0,35,..,19,0,20,0,21,..,26,3,28,0,28,..,3,0,3,0,3,..,16,0,18,0,18,..,28,0,33,0,33,..,49,3,55,0,55,..,33,0,33,0,35,..,25,3,26,0,26,..,136,9,142,0,146,..,66,0,67,0,65,..,26,0,26,0,26,..,41,3,52,0,52,..,0,0,4,0,4,..,71,39,109,3,106,..,223,24,252,5,256,..,1624,342,1968,21,1984,..,9,3,14,765,783,2572,1630,346,1980,789,5339,5800,..,..,..,..,5800,..,14,0,14,0,14,..,81,15,91,0,91,..,11,0,11,0,11,..,204,60,261,6,267,..,547,211,757,3,758,..,23,12,35,0,35,..,769,278,1052,10,1063,..,9,0,11,0,11,..,19,0,19,0,26,..,122,7,125,0,125,..,82,3,81,0,81
POA6003,0,55,..,3,0,3,0,3,..,0,0,0,0,0,..,9,0,9,0,9,..,6,3,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,8,3,14,..,7,0,9,0,9,..,7,0,6,0,6,..,5,0,5,0,5,..,5,0,5,0,5,..,27,3,32,0,32,..,26,3,26,0,27,..,4,0,4,0,4,..,11,0,13,0,13,..,0,0,0,0,0,..,24,13,34,0,39,..,36,6,43,0,43,..,396,115,509,8,511,..,0,3,6,299,303,877,395,116,512,304,1688,1870,..,..,..,..,1870,..,8,0,8,0,8,..,10,3,16,0,16,..,3,0,3,0,3,..,54,26,79,0,79,..,101,42,148,0,148,..,6,0,7,0,7,..,164,77,237,0,237,..,3,3,4,0,4,..,8,0,8,0,8,..,38,0,41,0,45,..,20,0,18,0,18
POA6004,0,141,..,9,0,9,0,9,..,0,0,0,0,0,..,49,6,55,0,55,..,23,3,22,0,22,..,46,3,51,0,48,..,0,0,0,0,0,..,20,3,27,0,27,..,29,0,29,0,35,..,68,4,74,0,75,..,29,0,29,0,29,..,40,3,41,0,41,..,163,9,171,5,173,..,87,11,97,0,104,..,19,0,17,0,23,..,52,12,63,0,63,..,4,0,4,0,4,..,46,13,64,0,64,..,222,41,262,0,261,..,1745,322,2070,18,2082,..,8,5,12,696,715,2244,1756,329,2084,717,5036,5044,..,..,..,..,5044,..,22,0,22,0,22,..,87,19,104,0,108,..,3,0,3,0,3,..,224,48,270,3,272,..,584,116,699,6,704,..,61,9,69,0,69,..,863,175,1040,8,1041,..,12,0,12,0,12,..,15,0,15,0,15,..,122,4,125,0,125,..,50,0,52,0,52
POA6005,0,50,..,0,0,3,0,3,..,0,0,0,0,0,..,30,9,30,0,34,..,13,0,15,0,15,..,9,0,11,0,14,..,0,0,0,0,0,..,9,0,7,0,7,..,9,0,9,0,9,..,17,0,16,0,16,..,13,0,13,0,13,..,13,0,13,0,13,..,48,0,50,0,50,..,60,0,61,0,61,..,11,0,13,0,13,..,11,3,14,0,14,..,4,0,4,0,4,..,12,4,15,0,15,..,122,16,139,3,141,..,725,114,842,19,861,..,8,0,8,354,364,1496,732,114,848,378,2717,3167,..,..,..,..,3167,..,24,0,24,0,27,..,24,0,30,0,30,..,0,0,0,0,0,..,66,23,81,0,82,..,181,54,239,0,240,..,17,3,20,0,20,..,263,74,337,3,343,..,5,0,10,0,10,..,10,0,10,0,12,..,56,4,59,0,59,..,41,0,41,3,44
POA6006,0,18,..,53,20,76,0,76,..,5,0,5,0,5,..,5,0,5,0,5,..,15,0,23,0,23,..,3,0,3,0,3,..,0,0,0,0,0,..,10,4,15,0,15,..,4,0,4,0,4,..,5,0,5,0,5,..,10,0,10,0,10,..,0,0,0,0,0,..,17,0,17,0,17,..,28,3,31,0,31,..,0,0,0,0,0,..,13,3,13,0,13,..,0,0,3,0,3,..,80,28,106,0,106,..,83,9,91,3,95,..,789,204,996,6,1002,..,9,0,7,276,283,3134,801,204,1009,281,4425,6311,..,..,..,..,6311,..,17,0,19,0,19,..,23,10,36,0,36,..,0,0,0,0,0,..,66,23,84,0,84,..,82,18,108,0,108,..,14,4,20,0,20,..,161,46,208,0,208,..,28,5,33,0,33,..,15,0,15,0,15,..,56,3,57,0,57,..,45,0,45,0,45
POA6007,0,19,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,9,0,9,..,15,0,20,0,20,..,3,0,6,0,6,..,0,0,0,0,0,..,13,0,13,0,13,..,3,0,3,0,3,..,4,0,4,0,4,..,4,0,4,0,4,..,0,0,0,0,0,..,17,0,17,0,17,..,18,3,21,0,29,..,0,0,0,0,0,..,8,3,11,0,11,..,3,0,3,0,3,..,19,8,23,0,23,..,85,11,94,0,98,..,561,81,643,7,650,..,3,7,7,271,282,2714,569,84,656,283,3653,5341,..,..,..,..,5341,..,15,0,15,0,15,..,4,0,10,0,10,..,3,0,3,0,3,..,40,7,54,0,53,..,78,15,91,0,91,..,18,5,24,0,24,..,136,26,164,0,171,..,11,0,15,0,15,..,19,0,19,0,19,..,64,0,69,3,72,..,44,3,46,0,46
POA6008,0,40,..,7,0,7,0,7,..,0,0,0,0,0,..,22,6,29,0,29,..,32,4,36,0,39,..,28,9,33,0,33,..,0,0,0,0,0,..,15,5,27,0,27,..,14,0,19,0,19,..,28,3,25,0,25,..,15,0,15,0,15,..,14,3,20,0,20,..,71,7,79,0,79,..,50,4,59,0,54,..,19,0,19,0,19,..,22,3,22,0,22,..,5,0,12,0,12,..,30,5,32,0,32,..,167,29,198,0,202,..,1190,189,1380,12,1391,..,16,3,25,561,585,5818,1207,191,1398,580,7800,11470,..,..,..,..,11470,..,38,0,38,0,41,..,31,4,36,0,41,..,0,0,3,0,3,..,111,13,125,3,126,..,318,50,371,5,374,..,34,6,42,0,42,..,464,71,534,3,542,..,22,4,22,0,22,..,60,4,67,0,67,..,194,6,195,3,200,..,99,3,104,3,102
POA6009,0,22,..,0,0,0,0,0,..,0,0,0,0,0,..,27,3,34,0,34,..,17,0,17,0,17,..,16,0,16,0,16,..,0,0,0,0,0,..,6,0,6,0,6,..,4,0,4,0,4,..,97,11,108,0,107,..,12,0,12,0,12,..,48,3,54,0,54,..,166,13,179,0,180,..,36,3,38,0,38,..,47,6,51,0,51,..,14,0,14,0,14,..,0,0,0,0,0,..,46,3,49,0,49,..,152,19,164,3,174,..,2068,212,2277,18,2295,..,15,0,17,387,404,6622,2084,214,2296,405,9320,13214,..,..,..,..,13214,..,69,0,71,0,73,..,100,23,117,3,119,..,3,0,3,0,3,..,415,48,464,4,461,..,1397,176,1575,8,1579,..,153,23,175,0,175,..,1962,252,2216,5,2222,..,22,0,22,0,22,..,66,0,66,0,66,..,166,3,169,0,170,..,86,3,93,0,93
POA6010,0,18,..,0,0,0,0,0,..,0,0,0,0,0,..,33,3,32,0,32,..,28,0,34,0,34,..,28,0,28,0,32,..,3,0,0,0,0,..,6,0,6,0,6,..,3,0,3,0,3,..,23,0,22,0,22,..,6,0,6,0,6,..,20,0,17,0,17,..,47,4,52,0,52,..,45,6,52,0,52,..,7,0,7,0,7,..,10,0,10,0,10,..,4,0,3,0,3,..,20,0,17,0,17,..,113,17,130,6,134,..,967,102,1066,5,1070,..,20,0,21,560,582,6965,980,105,1091,568,8623,13659,..,..,..,..,13659,..,44,0,44,0,44,..,13,8,25,0,25,..,5,0,7,0,7,..,98,12,116,0,114,..,266,48,315,0,315,..,24,10,27,0,27,..,381,74,455,0,458,..,15,0,19,0,19,..,38,0,38,0,38,..,136,3,142,0,142,..,125,0,124,0,124
POA6011,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,5,0,9,0,9,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,12,0,12,0,12,..,14,0,14,0,14,..,4,0,4,0,4,..,5,0,5,0,5,..,3,0,3,0,3,..,3,0,3,0,3,..,48,3,51,0,51,..,333,16,351,4,358,..,10,0,10,285,294,4054,346,16,358,286,4703,7759,..,..,..,..,7759,..,29,0,31,0,33,..,0,0,0,0,4,..,0,0,0,0,0,..,18,3,23,0,23,..,40,7,45,0,45,..,0,0,0,0,0,..,62,9,70,0,70,..,10,0,10,0,10,..,24,0,24,0,26,..,80,4,89,0,89,..,51,0,51,0,51
