region_id,P_SOL_SE_Tot_2001_2005,P_SOL_SE_Tot_2006,P_SOL_SE_Tot_2007,P_SOL_SE_Tot_2008,P_SOL_SE_Tot_2009,P_SOL_SE_Tot_2010,P_SOL_SE_Tot_2011,P_SOL_SE_Tot_arrival_ns,P_SOL_SE_Tot_Total,P_L_prof_Eng_ns_bf1996,P_L_prof_Eng_ns_1996_2000,P_L_prof_Eng_ns_2001_2005,P_L_prof_Eng_ns_2006,P_L_prof_Eng_ns_2007,P_L_prof_Eng_ns_2008,P_L_prof_Eng_ns_2009,P_L_prof_Eng_ns_2010,P_L_prof_Eng_ns_2011,P_L_prof_Eng_ns_arrival_ns,P_L_prof_Eng_ns_Total,P_Tot_bf1996,P_Tot_1996_2000,P_Tot_2001_2005,P_Tot_2006,P_Tot_2007,P_Tot_2008,P_Tot_2009,P_Tot_2010,P_Tot_2011,P_Tot_Yr_arrival_not_stated,P_Tot_Total
POA6740,3,6,3,3,0,0,0,3,27,0,0,0,0,0,0,0,0,0,0,0,50,3,7,6,9,9,0,0,9,3,96
POA6743,22,15,15,23,30,47,23,53,305,3,0,0,0,0,0,0,0,0,0,3,379,53,60,35,41,45,55,79,43,76,866
POA6751,40,18,29,20,8,23,5,10,238,0,0,0,0,0,0,0,0,0,0,0,375,80,115,67,70,67,55,76,33,47,985
POA6753,66,42,90,89,48,33,18,26,560,0,3,0,0,0,0,0,0,0,0,3,706,128,215,121,162,191,117,98,82,77,1897
POA6754,24,0,4,13,4,0,7,3,70,0,0,0,0,0,0,0,0,0,0,0,99,18,51,11,14,27,7,7,17,12,263
POA6758,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,3,0,0,0,0,18
POA6760,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,18,0,3,0,0,7,0,3,0,0,31
POA6762,5,0,12,4,6,3,3,0,54,0,0,0,0,0,0,0,0,0,0,0,115,17,22,10,29,15,12,13,20,9,262
POA6765,6,0,3,6,5,5,6,0,41,0,0,0,0,0,0,0,0,0,0,0,35,6,9,4,10,16,5,5,9,4,103
POA6770,12,4,0,9,5,8,3,0,53,0,0,0,0,0,0,0,0,0,0,0,45,11,16,7,0,16,8,14,6,4,127
POA6907,19,9,9,27,58,70,71,11,297,0,0,0,0,0,0,0,0,0,0,0,42,23,47,12,12,40,77,102,104,28,487
