region_id,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
POA6313,3,0,0,0,0,0,3,3,0,0,3,0,0,0,0,6,3,9,3,7,5,0,0,0,27,0,0,4,3,3,0,0,0,10,0,0,4,6,3,0,0,0,13,6,6,8,7,5,6,3,0,41,0,0,0,0,0,3,0,0,3,6,6,12,13,8,9,3,0,57,0,0,0,3,0,3,0,0,6,4,0,7,3,3,3,0,0,20,16,15,29,32,19,15,3,0,129
POA6315,3,0,0,0,0,0,6,3,0,3,3,5,0,0,0,14,6,23,21,8,16,7,0,0,81,0,10,0,14,20,7,0,0,51,4,3,6,6,6,0,0,0,25,16,42,28,45,53,22,14,4,224,4,5,5,3,0,0,3,0,20,24,50,39,54,59,22,17,4,269,0,3,4,9,8,12,0,0,36,15,9,6,22,14,22,24,11,123,51,95,76,110,122,70,41,15,580
POA6316,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,10,9,6,0,0,0,0,25,0,6,6,4,3,6,0,0,25,0,5,0,0,0,0,0,0,5,4,6,10,13,12,8,0,0,53,3,0,0,3,0,0,0,0,6,7,11,10,16,12,8,0,0,64,0,0,0,0,0,0,3,0,3,3,0,3,3,7,0,3,0,19,10,27,28,32,22,14,6,0,139
POA6317,7,6,3,0,0,0,22,3,9,11,3,8,0,0,0,34,9,63,49,37,23,7,7,0,195,6,19,41,29,24,12,0,0,131,0,12,14,5,0,0,4,0,35,66,104,102,121,75,36,10,0,514,21,9,10,13,6,0,0,0,59,87,125,126,139,81,36,14,0,608,6,3,9,6,9,8,4,0,45,51,44,40,50,59,46,35,28,353,162,269,283,270,207,109,60,28,1388
POA6318,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,3,0,3,0,4,0,0,0,10,0,0,0,3,5,0,0,0,8,0,3,0,3,0,0,0,0,6,0,5,8,7,7,7,0,0,34,0,3,0,0,0,0,0,0,3,0,11,8,10,7,7,0,0,43,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,9,6,11,15,13,16,10,3,0,74
POA6320,0,0,0,4,0,0,4,0,3,3,3,0,0,0,0,9,4,17,23,11,10,0,0,0,65,0,7,8,12,10,0,0,0,37,0,3,3,0,3,0,0,0,9,6,23,17,19,11,5,0,0,81,3,0,0,0,0,0,0,0,3,9,26,20,19,14,5,0,0,93,0,0,0,0,3,0,0,0,3,6,8,14,10,8,9,3,3,61,19,61,68,55,45,18,3,3,272
POA6321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,0,0,0,12,0,6,7,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,8,8,0,0,0,5,5,0,26,0,0,0,0,0,0,0,0,0,8,8,0,0,0,5,5,0,26,0,0,0,0,0,0,0,0,0,0,0,3,9,7,3,0,0,22,8,14,14,14,10,8,5,0,73
POA6322,0,0,0,0,0,3,3,0,3,0,3,0,0,0,0,6,0,9,8,3,0,0,0,0,20,4,0,6,11,6,3,0,0,30,0,0,5,0,0,0,3,0,8,5,6,6,6,15,6,3,0,47,0,0,0,0,0,0,0,0,0,5,6,11,6,15,6,6,0,55,0,0,0,3,0,0,0,0,3,3,0,6,8,6,7,0,6,36,12,18,31,34,27,16,6,9,153
POA6323,0,0,3,3,0,0,6,0,0,3,8,3,0,0,0,14,0,9,13,14,13,7,0,0,56,0,3,11,11,11,10,3,0,49,3,0,0,0,6,0,0,0,9,6,10,19,29,34,33,0,0,131,6,3,4,0,0,0,0,0,13,15,13,23,29,40,33,0,0,153,0,6,0,5,6,3,0,0,20,3,6,8,10,11,10,3,0,51,18,37,58,77,87,66,6,0,349
POA6324,7,3,3,4,0,0,20,0,6,6,10,11,3,0,0,36,0,23,36,38,45,18,18,0,178,9,20,20,51,43,32,7,0,182,0,4,21,6,9,3,0,0,43,56,66,63,88,71,36,13,11,404,18,11,5,5,0,0,0,0,39,74,81,89,99,80,39,13,11,486,0,6,7,6,11,5,0,4,39,33,17,22,28,36,26,25,15,202,116,156,187,235,229,127,63,30,1143
POA6326,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,9,4,8,3,0,0,34,0,4,0,10,10,0,4,0,28,0,0,5,0,0,6,0,0,11,6,11,8,18,21,6,6,0,76,0,0,0,0,0,0,0,0,0,6,11,13,18,21,12,6,0,87,0,0,0,0,3,0,0,0,3,0,8,4,4,12,8,0,0,36,6,33,26,39,54,23,10,0,191
POA6327,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,8,0,3,9,4,5,0,0,0,21,0,3,0,0,0,0,0,0,3,6,9,17,14,13,0,0,0,59,6,0,0,0,0,0,0,0,6,12,12,17,14,13,0,0,0,68,0,0,0,3,0,0,0,0,3,0,0,3,3,0,0,5,0,11,12,15,34,31,18,0,5,0,115
POA6328,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,8,0,11,6,0,5,3,0,0,25,3,0,8,12,3,7,0,0,33,0,0,0,0,4,0,0,0,4,10,7,5,12,6,7,0,0,47,0,3,0,4,0,0,0,0,7,10,10,5,16,10,7,0,0,58,0,0,0,0,0,0,0,0,0,0,0,9,6,6,12,0,0,33,17,21,28,38,24,29,0,0,157
POA6330,62,83,102,37,13,4,328,3,43,96,101,92,26,4,3,368,67,385,600,483,431,200,92,26,2284,81,261,392,550,424,245,93,32,2078,48,89,97,97,97,52,23,9,512,660,868,973,1001,704,392,167,38,4803,175,88,69,48,39,19,6,0,444,883,1045,1139,1146,840,463,196,47,5759,26,45,55,95,117,93,68,25,524,377,289,340,285,280,269,344,159,2343,1437,2095,2684,2743,2286,1333,810,296,13684
POA6333,21,32,24,34,3,3,120,0,9,27,29,23,14,3,0,105,6,82,118,139,112,95,27,4,583,3,24,63,93,113,81,30,6,413,7,4,17,22,20,17,4,0,91,60,105,137,183,128,78,26,7,724,10,11,8,10,6,3,0,0,48,77,120,162,215,154,98,30,7,863,3,6,11,15,33,24,10,6,108,33,22,31,68,58,42,44,12,310,122,266,433,591,517,388,147,38,2502
POA6335,0,0,0,0,0,0,3,0,3,3,3,0,0,0,0,9,0,3,9,9,0,5,0,0,26,0,4,10,9,16,4,0,0,43,4,0,8,0,0,0,0,0,12,12,17,20,16,12,7,0,0,84,7,4,0,0,3,0,0,0,14,23,21,28,16,15,7,0,0,110,0,0,0,3,3,0,0,0,6,10,3,11,12,7,0,0,0,43,33,37,61,52,41,16,0,0,240
POA6336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,10,0,0,3,6,6,0,0,0,15,0,0,3,0,0,0,0,0,3,0,3,3,6,6,3,0,0,21,0,0,0,0,0,0,0,0,0,0,3,6,6,6,3,0,0,24,0,0,0,0,0,3,0,0,3,3,0,0,3,6,3,0,0,15,3,10,12,15,18,9,0,0,67
POA6337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,8,0,0,0,0,30,0,6,6,6,6,0,0,0,24,0,0,0,3,0,0,0,0,3,13,21,13,12,0,4,0,3,66,3,3,0,3,0,0,0,0,9,16,24,13,18,0,4,0,3,78,0,0,4,0,4,0,0,0,8,0,3,0,6,5,0,0,0,14,16,49,29,38,15,4,0,3,154
POA6338,3,0,0,0,0,0,6,0,6,0,0,0,0,0,0,6,0,10,19,8,11,3,0,0,51,0,3,8,7,6,6,0,0,30,0,0,3,0,0,0,0,0,3,6,23,15,24,16,10,6,0,100,3,3,3,0,0,0,0,0,9,9,26,21,24,16,10,6,0,112,3,0,3,3,3,3,0,0,15,3,6,7,12,5,3,6,0,42,15,54,61,54,41,25,12,0,262
POA6341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,15,3,3,3,6,3,0,0,0,18,0,0,0,0,0,0,0,0,0,10,14,6,9,3,0,0,0,42,0,0,0,0,0,0,0,0,0,10,14,6,9,3,0,0,0,42,0,0,3,0,3,0,0,0,6,0,5,0,3,7,0,0,0,15,13,32,17,18,16,0,0,0,96
POA6343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,3,3,3,0,0,29,0,3,3,3,0,0,0,0,9,0,0,0,0,3,0,0,0,3,5,3,3,3,3,0,0,0,17,0,0,0,0,0,0,0,0,0,5,3,3,3,6,0,0,0,20,0,3,0,3,0,3,0,0,9,0,0,0,0,3,0,3,0,6,5,19,16,12,12,6,3,0,73
POA6346,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,15,10,19,4,0,0,0,48,0,6,7,6,6,6,0,0,31,0,0,3,0,3,3,0,0,9,17,39,41,40,19,3,3,0,162,0,3,0,3,0,0,0,0,6,17,42,44,43,22,6,3,0,177,0,0,0,0,3,0,0,0,3,8,9,6,6,5,0,0,0,34,25,78,70,74,40,12,3,0,302
POA6348,3,5,0,0,0,0,11,0,5,0,0,0,0,0,0,5,0,29,22,13,8,12,3,0,87,3,9,25,21,16,13,3,0,90,3,5,4,11,6,0,0,0,29,19,47,52,33,29,16,5,0,201,4,4,6,0,0,0,0,0,14,26,56,62,44,35,16,5,0,244,0,0,3,3,3,3,3,3,18,9,12,17,14,24,25,13,6,120,38,114,132,100,86,69,27,9,575
POA6350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,3,0,0,0,12,0,3,0,3,6,0,0,0,12,0,6,0,3,0,0,0,0,9,0,0,8,6,4,9,0,0,27,0,0,0,0,0,0,0,0,0,0,6,8,9,4,9,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,0,15,0,15,8,18,16,12,6,0,75
POA6352,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,22,12,6,4,0,0,0,44,3,6,3,3,4,0,0,0,19,0,0,0,3,3,0,0,0,6,9,9,10,7,0,0,0,0,35,0,0,3,0,0,0,0,0,3,9,9,13,10,3,0,0,0,44,0,0,0,0,0,0,3,0,3,0,4,3,0,4,0,0,0,11,12,41,34,22,15,0,3,0,127
POA6353,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,9,3,14,13,14,10,0,3,0,57,0,3,8,10,3,7,0,3,34,0,0,0,3,6,0,3,0,12,9,23,22,14,13,8,0,0,89,6,0,0,0,0,0,0,0,6,15,23,22,17,19,8,3,0,107,0,3,3,0,3,0,0,0,9,3,6,6,0,6,3,6,0,30,21,52,55,41,44,18,12,3,246
POA6355,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,10,4,20,22,12,6,3,0,0,67,5,15,10,4,4,0,0,0,38,0,0,3,7,6,0,0,0,16,6,28,15,15,11,4,0,0,79,0,6,3,0,0,0,0,0,9,6,34,21,22,17,4,0,0,104,0,0,0,3,8,3,0,0,14,0,0,5,5,11,3,7,4,35,15,69,62,52,46,13,7,4,268
POA6358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,0,0,0,15,0,0,3,0,5,3,0,0,11,0,0,0,0,0,0,0,0,0,3,9,3,5,0,6,0,0,26,0,0,0,0,0,0,0,0,0,3,9,3,5,0,6,0,0,26,0,0,3,0,0,0,0,0,3,0,0,0,0,4,3,3,3,13,3,9,12,12,14,12,3,3,68
POA6359,0,3,0,0,0,0,6,0,0,5,0,0,0,0,0,5,3,7,5,4,4,4,0,0,27,4,8,7,7,5,7,0,0,38,0,0,3,0,3,0,0,0,6,8,25,15,13,8,3,0,0,72,3,4,0,0,0,0,0,0,7,11,29,18,13,11,3,0,0,85,0,0,3,4,0,0,0,0,7,10,25,16,13,7,0,0,0,71,28,72,54,44,27,14,0,0,239
POA6365,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,17,19,7,0,0,0,0,43,0,5,5,10,15,0,0,0,35,3,0,3,3,3,0,0,0,12,0,16,13,10,8,6,4,0,57,0,0,0,0,3,0,0,0,3,3,16,16,13,14,6,4,0,72,0,3,0,0,0,3,0,0,6,0,0,7,3,4,9,0,0,23,3,41,47,33,36,18,4,0,182
POA6367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,8,0,0,6,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,7,0,10,7,4,0,0,28,0,4,0,0,0,0,0,0,4,0,11,0,10,7,4,0,0,32,0,0,0,0,0,0,0,0,0,3,0,3,6,3,6,3,3,27,3,16,9,19,13,10,3,3,76
POA6368,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,11,0,0,0,4,0,3,0,0,7,0,0,0,0,0,0,0,0,0,3,6,0,0,6,0,0,0,15,0,0,0,0,0,0,0,0,0,3,6,0,0,6,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,6,17,0,7,9,3,0,0,42
POA6369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,7,9,0,4,0,0,33,0,0,0,4,5,3,4,3,19,0,3,0,0,0,0,4,0,7,5,12,19,4,6,8,0,0,54,0,3,0,0,3,0,0,0,6,5,18,19,4,9,8,4,0,67,0,0,4,4,0,0,0,3,11,9,3,8,7,9,4,10,14,64,18,30,38,28,23,19,18,20,194
POA6370,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,7,3,0,3,0,3,0,16,0,3,9,7,7,0,0,0,26,0,0,0,6,0,0,0,0,6,6,15,9,12,8,6,0,0,56,3,0,0,0,0,0,0,0,3,9,15,9,18,8,6,0,0,65,0,3,6,0,3,0,0,0,12,6,6,3,8,6,6,3,6,44,15,38,30,33,27,12,6,6,167
POA6373,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,3,6,0,3,0,0,17,0,3,3,3,4,0,0,0,13,0,0,0,0,0,0,3,0,3,8,5,5,6,0,0,0,0,24,0,3,0,6,0,0,0,0,9,8,8,5,12,0,0,3,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,6,8,16,14,21,7,3,6,0,75
POA6375,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,8,10,5,8,5,3,0,42,0,4,5,11,7,6,3,4,40,0,3,3,3,3,3,0,0,15,10,20,15,19,26,6,0,0,96,3,6,3,3,0,0,0,0,15,13,29,21,25,29,9,0,0,126,0,0,0,0,3,3,0,6,12,3,3,5,7,9,15,13,0,55,19,44,44,48,56,38,19,10,278
POA6383,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,10,0,16,12,12,6,8,0,3,57,0,3,6,16,8,7,4,0,44,5,0,0,3,6,0,3,0,17,8,11,24,27,20,19,9,0,118,0,0,4,0,0,0,0,0,4,13,11,28,30,26,19,12,0,139,0,0,3,7,6,0,6,0,22,6,8,3,11,15,9,11,6,69,19,38,58,76,65,43,33,9,341
POA6386,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,8,0,0,0,0,0,11,0,0,7,5,0,3,0,0,15,0,0,0,0,3,0,0,0,3,3,6,6,8,3,0,0,0,26,0,0,0,0,0,0,0,0,0,3,6,6,8,6,0,0,0,29,0,0,0,3,7,0,0,0,10,0,3,0,0,0,0,5,0,8,3,15,21,16,13,3,5,0,76
POA6390,7,3,6,3,0,0,22,0,3,5,0,4,0,0,0,12,12,52,42,27,12,3,0,3,151,0,18,28,16,33,6,0,0,101,0,3,6,8,0,4,0,0,21,39,93,101,82,42,18,4,0,379,11,9,3,4,3,0,0,0,30,50,105,110,94,45,22,4,0,430,0,3,9,7,3,3,3,0,28,48,113,94,73,41,13,12,0,394,110,297,295,220,144,50,19,3,1138
POA6391,3,0,3,0,0,0,6,0,0,4,3,3,0,0,0,10,0,17,26,14,6,4,0,0,67,0,8,15,10,11,0,0,0,44,0,3,0,4,0,6,0,0,13,11,26,24,15,13,3,0,0,92,6,3,0,3,0,3,0,0,15,17,32,24,22,13,12,0,0,120,0,0,4,0,0,0,0,0,4,7,6,9,5,9,10,10,4,60,24,63,85,54,45,26,10,4,311
POA6392,0,6,0,0,0,0,6,0,0,3,0,3,0,0,0,6,3,9,7,3,5,0,0,0,27,0,3,6,8,3,3,4,0,27,0,0,0,0,0,0,0,0,0,3,12,13,22,5,3,0,0,58,3,3,0,0,0,0,0,0,6,6,15,13,22,5,3,0,0,64,0,0,3,6,3,0,0,0,12,3,0,4,3,3,12,5,0,30,12,27,36,48,22,18,9,0,172
POA6393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,5,0,3,0,0,27,0,4,7,5,0,4,0,0,20,0,0,0,0,0,0,4,0,4,5,0,13,11,6,0,0,0,35,0,0,0,0,0,0,0,0,0,5,0,13,11,6,0,4,0,39,0,0,0,3,0,0,0,0,3,0,0,0,7,6,0,0,0,13,5,13,30,31,12,7,4,0,102
POA6394,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,6,0,3,15,8,4,0,3,0,33,0,3,9,7,3,3,0,0,25,3,0,0,0,0,0,0,0,3,3,5,15,10,6,3,0,0,42,0,0,0,3,3,0,0,0,6,6,5,15,13,9,3,0,0,51,0,3,0,0,6,3,0,0,12,6,0,0,3,3,3,3,0,18,12,17,39,34,25,12,6,0,145
POA6395,0,3,3,3,0,0,9,0,0,0,6,0,0,0,0,6,8,29,27,13,13,4,4,0,98,3,13,11,21,24,10,0,0,82,0,6,6,4,3,3,3,0,25,28,44,25,32,22,11,4,3,169,0,6,0,0,3,3,0,0,12,28,56,31,36,28,17,7,3,206,0,0,6,7,0,8,0,0,21,15,10,7,12,17,3,19,6,89,54,108,82,98,85,45,30,9,511
POA6396,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,10,6,4,3,0,0,0,23,0,5,4,7,7,0,0,0,23,0,0,4,3,0,0,0,0,7,3,4,8,3,6,4,0,0,28,0,0,0,0,3,0,0,0,3,3,4,12,6,9,4,0,0,38,0,0,0,0,3,0,0,0,3,4,6,8,9,3,0,3,0,33,7,28,30,26,25,4,3,0,123
POA6397,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,6,3,6,6,3,0,30,0,0,0,4,3,4,0,0,11,0,0,3,7,0,0,0,0,10,7,5,9,6,0,0,0,0,27,3,3,0,0,0,0,0,0,6,10,8,12,13,0,0,0,0,43,0,3,0,0,3,0,0,0,6,13,28,32,11,11,4,0,0,99,26,42,50,34,23,14,3,0,192
POA6398,3,0,3,4,0,0,10,0,0,0,4,0,0,0,0,4,0,8,4,5,10,12,0,0,39,0,5,7,10,9,6,0,0,37,0,0,0,0,4,0,0,0,4,3,6,13,18,17,14,5,0,76,0,3,3,4,0,0,0,0,10,3,9,16,22,21,14,5,0,90,0,0,0,0,0,6,0,0,6,0,7,3,0,3,10,4,0,27,3,29,33,41,46,52,9,0,213
POA6401,13,18,14,4,0,0,55,0,14,14,12,17,3,0,0,60,26,101,73,65,69,28,13,3,378,10,29,53,77,77,38,9,3,296,6,19,16,19,15,7,3,0,85,141,191,214,172,146,74,31,9,978,25,21,20,10,9,6,3,0,94,172,231,250,201,170,87,37,9,1157,6,10,11,20,27,19,6,3,102,124,94,109,107,143,103,94,51,825,338,485,523,500,517,282,159,69,2873
POA6403,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,3,0,3,0,0,9,0,0,3,4,0,0,0,0,7,0,0,0,0,6,0,0,0,6,0,8,3,8,6,3,0,0,28,0,0,0,3,0,0,3,0,6,0,8,3,11,12,3,3,0,40,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,0,8,12,21,12,9,3,0,65
POA6405,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,3,3,0,0,0,12,0,0,0,5,6,5,0,0,16,0,0,0,0,0,0,0,0,0,7,8,6,5,6,4,0,0,36,0,0,0,0,0,0,0,0,0,7,8,6,5,6,4,0,0,36,0,0,0,3,0,0,0,0,3,0,0,3,3,3,0,3,0,12,7,17,9,19,18,9,3,0,82
POA6407,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,8,12,14,14,7,6,0,0,0,53,0,5,7,4,12,10,0,0,38,3,3,3,3,6,0,0,0,18,13,30,14,23,19,15,6,0,120,16,7,3,0,0,0,0,0,26,32,40,20,26,25,15,6,0,164,0,0,0,6,5,3,3,0,17,8,7,12,7,5,10,14,9,72,52,66,58,53,53,38,23,9,352
POA6409,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,8,8,3,0,3,0,26,4,3,0,8,0,3,3,0,21,0,4,0,0,0,0,0,0,4,0,0,9,10,3,4,3,0,29,0,4,0,0,4,0,0,0,8,0,8,9,10,7,4,3,0,41,0,0,0,0,0,0,4,0,4,0,3,5,9,3,6,6,3,35,4,18,22,35,16,13,19,3,130
POA6410,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,3,3,13,12,7,6,3,3,3,50,0,5,9,10,16,3,0,0,43,4,4,0,0,4,6,0,0,18,8,19,17,43,19,17,6,0,129,4,6,5,0,0,0,0,0,15,16,29,22,43,23,23,6,0,162,0,0,3,3,0,4,3,0,13,14,3,8,12,14,15,7,4,77,33,54,54,78,59,48,19,7,352
POA6413,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,3,6,3,0,0,15,0,0,3,6,3,0,0,0,12,0,0,0,3,0,0,0,0,3,0,3,3,3,6,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,3,6,6,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,0,6,12,15,18,3,0,0,54
POA6415,6,3,3,0,0,0,21,0,6,9,3,3,6,0,0,27,23,55,35,23,17,3,0,0,156,11,23,25,28,20,4,3,3,117,3,12,8,3,7,0,3,0,36,48,77,66,88,53,18,11,4,365,16,11,7,3,0,0,0,0,37,67,100,81,94,60,18,14,4,438,4,6,6,3,6,6,6,0,37,32,20,37,44,16,16,15,9,189,137,219,199,198,125,53,38,16,985
POA6418,0,3,0,0,0,0,3,0,3,0,3,0,0,0,0,6,3,17,11,3,3,0,3,0,40,0,6,10,6,6,3,0,0,31,0,0,0,3,0,0,0,0,3,18,14,13,13,15,9,0,0,82,7,3,0,0,0,0,0,0,10,25,17,13,16,15,9,0,0,95,0,0,0,0,3,3,0,0,6,0,0,10,3,4,12,13,11,53,28,43,44,34,31,27,16,11,234
POA6421,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,10,4,4,0,0,0,18,0,0,3,3,0,6,0,0,12,0,0,0,0,3,3,0,0,6,3,0,0,4,0,6,0,0,13,3,4,3,0,0,0,0,0,10,6,4,3,4,3,9,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,7,16,14,7,15,3,0,68
POA6423,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,3,0,12,6,6,0,0,0,0,24,3,3,3,3,3,0,0,0,15,0,0,0,3,0,0,0,0,3,4,10,10,9,3,6,0,0,42,0,0,0,0,0,0,0,0,0,4,10,10,12,3,6,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,12,7,25,22,24,12,9,3,0,102
POA6425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,13,0,0,3,3,0,0,0,3,9,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,3,0,12,0,0,3,0,0,0,0,0,3,3,3,3,0,0,3,3,0,15,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,6,9,6,10,0,6,3,3,43
POA6426,0,0,0,0,0,0,4,0,0,0,4,3,0,0,0,7,5,14,22,3,7,0,0,0,51,4,3,15,6,6,0,3,0,37,0,4,0,3,3,0,0,0,10,20,39,32,23,24,7,4,0,149,3,3,3,4,0,0,0,0,13,23,46,35,30,27,7,4,0,172,0,0,0,3,5,6,0,0,14,12,11,26,14,10,8,8,0,89,44,78,98,60,58,21,15,0,374
POA6429,3,3,0,0,0,0,12,0,3,0,3,3,0,0,0,9,6,18,8,11,10,0,0,0,53,3,8,10,18,11,9,0,0,59,0,3,4,0,7,0,0,0,14,21,54,40,47,36,9,4,0,211,9,0,0,4,0,0,0,0,13,30,57,44,51,43,9,4,0,238,0,3,4,6,5,3,0,0,21,36,49,50,40,42,12,6,3,238,75,144,119,132,114,33,10,3,630
POA6430,92,51,20,3,0,0,289,10,79,69,48,33,0,0,3,242,152,616,446,252,115,28,6,0,1615,80,235,328,242,126,33,14,3,1061,35,55,52,38,25,9,0,0,214,544,1024,860,672,367,97,27,8,3599,78,62,42,34,11,3,0,0,230,657,1141,954,744,403,109,27,8,4043,22,59,59,53,38,13,7,0,251,468,527,493,446,244,137,85,33,2433,1400,2769,2441,1836,979,323,139,47,9934
