region_id,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
POA6258,8,6,8,0,3,3,34,0,10,13,13,12,3,3,0,54,15,72,74,65,58,16,8,0,308,14,22,55,70,56,26,12,0,255,9,6,15,25,14,9,0,3,81,132,129,172,192,129,73,23,12,862,30,16,19,20,7,0,0,0,92,171,151,206,237,150,82,23,15,1035,7,6,12,17,18,10,5,0,75,54,30,57,80,71,70,37,17,416,261,297,425,488,373,207,91,35,2177
POA6260,8,5,6,0,0,0,19,0,3,3,6,3,3,0,0,18,3,18,30,19,10,6,0,0,86,6,3,20,21,26,8,4,3,91,0,4,6,7,3,0,0,0,20,11,17,51,52,29,22,7,0,189,3,3,0,0,6,0,0,0,12,14,24,57,59,38,22,7,0,221,0,3,3,7,6,8,0,3,30,7,13,9,17,16,10,19,6,97,30,64,130,134,105,57,30,12,562
POA6262,0,0,5,0,0,0,8,0,0,3,3,0,0,0,0,6,0,3,12,18,16,9,4,0,62,0,0,17,17,10,0,0,0,44,0,0,3,6,4,0,0,0,13,10,6,12,27,25,12,3,0,95,0,0,6,3,0,0,0,0,9,10,6,21,36,29,12,3,0,117,0,0,6,6,4,6,0,0,22,0,3,8,11,12,17,7,0,58,10,15,67,91,76,44,14,0,317
POA6271,6,3,3,3,4,0,22,0,5,9,6,7,0,0,0,27,3,28,59,37,23,8,5,3,166,12,19,36,35,35,21,0,0,158,6,0,5,11,15,0,0,0,37,52,75,83,100,73,45,17,0,445,4,17,6,3,0,0,0,0,30,62,92,94,114,88,45,17,0,512,0,6,5,9,16,0,0,0,36,24,42,51,34,43,14,4,6,218,101,195,260,238,215,91,30,9,1139
POA6275,4,3,0,9,0,0,16,0,0,3,0,7,0,3,0,13,0,12,20,20,36,17,0,0,105,0,7,18,15,39,15,3,0,97,0,3,4,7,0,3,3,0,20,15,20,24,46,54,21,7,0,187,3,3,3,0,5,3,0,0,17,18,26,31,53,59,27,10,0,224,0,3,0,4,9,4,0,0,20,9,6,7,14,11,11,8,3,69,27,54,83,109,161,83,24,3,544
POA6280,47,42,27,25,3,0,160,6,36,61,43,35,16,6,0,203,38,312,394,387,245,138,73,17,1604,64,176,281,312,275,173,72,16,1369,24,55,88,59,59,38,21,0,344,438,671,786,738,548,306,168,40,3695,92,64,55,49,23,15,6,5,309,554,790,929,846,630,359,195,45,4348,20,33,53,75,60,69,46,13,369,227,160,208,223,201,206,252,120,1597,909,1523,1973,1928,1473,986,647,211,9650
POA6281,12,21,17,20,0,3,85,0,20,21,24,15,10,0,0,90,18,153,185,88,96,77,29,6,652,14,70,114,88,75,53,29,6,449,7,13,24,20,15,10,0,0,89,60,184,241,175,113,53,22,4,852,13,14,13,14,4,5,3,0,66,80,211,278,209,132,68,25,4,1007,6,13,13,18,24,16,6,6,102,49,47,55,44,47,29,23,6,300,167,526,678,492,406,273,112,31,2685
POA6282,0,3,6,10,0,0,22,0,6,9,3,8,0,0,0,26,3,20,63,37,42,22,3,0,190,3,6,36,24,36,18,3,0,126,0,6,10,3,8,0,0,0,27,10,20,41,46,20,14,6,0,157,3,3,3,6,0,0,0,0,15,13,29,54,55,28,14,6,0,199,3,6,4,5,3,0,0,0,21,6,6,12,9,7,3,0,3,46,28,76,178,136,130,67,12,3,630
POA6284,3,0,6,3,0,0,15,0,6,5,10,3,0,0,0,24,0,41,65,32,23,18,0,0,179,4,16,25,24,19,16,5,0,109,0,0,13,4,0,3,0,0,20,13,49,65,50,23,7,8,0,215,0,5,4,6,4,0,0,0,19,13,54,82,60,27,10,8,0,254,0,3,3,3,6,6,3,0,24,20,21,28,15,15,10,3,4,116,37,144,211,144,99,63,19,4,721
POA6285,32,8,17,10,6,3,95,0,11,43,34,28,7,0,0,123,25,184,268,153,108,59,14,0,811,18,89,130,104,104,51,20,3,519,3,19,37,22,11,5,3,0,100,86,280,288,263,150,37,14,5,1123,15,20,12,12,11,4,0,0,74,104,319,337,297,172,46,17,5,1297,5,21,21,31,13,6,10,4,111,72,125,123,89,72,40,42,18,581,224,768,954,716,514,219,109,33,3537
