POA_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
POA6034,5,26,7,14,0,54,9,0,38,27,34,3,103,0,0,0,3,3,0,5,0,0,0,9,35,0,48,0,0,8,4,15,3,26,16,20,128,112,332,24,626
POA6035,28,71,41,56,5,219,15,11,93,110,119,12,350,0,0,6,11,14,3,38,4,3,7,19,82,0,116,0,0,10,12,53,16,95,65,54,383,453,1287,112,2350
POA6036,54,179,58,116,16,456,36,29,249,207,200,43,758,0,0,9,11,27,0,48,4,3,19,39,174,6,251,3,6,21,28,83,16,154,166,141,989,880,2235,238,4648
POA6037,10,23,7,26,0,67,5,5,21,31,24,0,84,0,0,0,0,3,0,8,0,0,5,9,32,0,47,0,0,6,3,22,9,36,18,26,98,136,428,46,752
POA6038,17,90,31,43,8,204,15,10,118,115,102,18,368,0,0,6,4,8,0,23,5,0,18,27,89,3,138,0,0,8,10,42,7,73,98,55,487,464,1112,104,2312
POA6041,3,10,8,4,3,26,3,0,8,6,10,3,28,0,0,0,0,0,0,0,0,0,0,0,7,0,12,0,0,0,0,9,0,17,6,9,32,42,173,25,287
POA6042,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,11,0,18
POA6043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,4,26,0,38
POA6044,0,14,6,3,0,22,0,0,5,3,9,3,21,0,0,0,0,0,0,0,0,0,0,3,8,0,12,0,0,0,0,3,3,10,7,7,41,38,150,42,283
POA6050,122,324,61,44,18,738,156,51,460,98,82,11,861,13,13,66,20,35,6,146,19,6,46,21,70,3,172,17,5,79,38,43,20,212,881,379,2799,796,941,161,5953
POA6051,70,218,39,35,10,478,105,50,369,112,110,14,752,11,6,40,18,29,0,106,19,7,39,31,88,4,188,20,9,67,33,64,15,200,669,276,2223,838,1222,156,5379
POA6052,82,244,63,52,14,542,64,34,242,103,85,22,552,7,0,24,21,24,3,86,12,3,33,23,98,7,172,10,8,53,26,49,14,156,452,285,1679,687,955,127,4179
POA6053,90,293,67,71,14,658,91,57,327,126,141,29,776,12,7,55,13,25,0,108,5,4,47,26,112,10,206,18,10,60,28,77,33,214,542,317,2036,895,1449,208,5454
POA6054,111,320,98,127,16,748,75,60,320,194,264,33,945,4,4,48,20,33,6,121,11,9,51,38,174,6,288,8,4,48,37,107,32,243,422,322,1872,1077,2346,258,6306
POA6055,78,286,71,118,15,636,78,47,399,212,252,48,1038,8,9,33,21,45,3,116,5,3,58,53,218,13,353,20,6,59,59,135,35,317,472,250,1956,1302,2819,305,7101
POA6056,134,361,183,225,31,1030,76,80,453,334,458,76,1486,4,3,31,28,70,9,147,10,7,64,78,460,16,634,12,3,52,61,251,63,449,439,376,2186,1897,5196,559,10653
POA6057,52,175,70,116,15,439,25,27,189,145,215,24,626,0,0,19,6,33,3,65,3,5,18,45,256,8,332,8,3,33,15,139,22,230,132,159,938,782,2514,218,4744
POA6058,28,95,49,83,4,294,16,18,121,104,161,18,436,3,0,13,5,41,3,63,3,0,18,21,143,8,185,7,0,24,20,109,30,181,118,84,650,586,1913,162,3509
POA6059,132,389,112,105,23,893,124,60,487,179,183,48,1073,11,7,47,29,23,4,111,18,5,56,71,177,12,348,23,4,95,49,88,42,311,673,386,2814,1263,2058,317,7505
POA6060,129,457,77,83,9,920,155,81,654,234,244,68,1429,7,8,73,30,30,0,159,23,5,91,71,185,6,385,22,9,112,51,107,24,320,934,447,3663,1493,2278,294,9110
POA6061,98,294,92,165,27,756,123,74,692,422,510,57,1882,18,4,61,36,47,4,165,26,17,85,101,277,30,532,32,8,103,97,205,94,530,841,324,3238,2128,3673,538,10746
POA6062,108,391,119,176,29,946,108,51,550,276,318,49,1353,12,8,52,32,55,12,168,18,3,78,71,361,29,564,16,10,99,65,174,68,440,672,351,3051,1767,3598,460,9901
POA6063,23,103,56,94,9,309,25,25,167,122,165,28,537,0,0,9,9,22,5,46,3,0,15,32,149,9,209,4,0,19,26,96,35,186,149,80,874,639,1730,199,3669
POA6064,64,220,93,225,30,677,51,44,297,236,432,61,1124,3,3,25,27,30,7,100,13,5,49,60,307,19,451,9,3,57,56,141,85,350,302,183,1589,1291,3384,463,7202
POA6065,222,873,261,374,47,1949,188,112,1099,614,726,118,2853,9,8,61,55,110,13,255,25,7,129,161,723,37,1078,36,3,162,123,399,107,836,1066,623,5430,3646,8376,853,19994
POA6066,42,191,85,149,20,536,28,30,219,155,229,34,696,4,0,18,15,34,3,75,5,0,24,42,204,10,288,6,0,39,33,116,34,222,204,135,1133,891,2420,257,5051
POA6067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6069,105,441,171,260,19,1093,81,67,496,393,481,71,1597,12,7,35,22,73,4,150,11,7,59,104,442,21,647,18,7,80,87,214,46,450,541,338,2519,2425,5640,506,11969
POA6070,50,95,28,18,3,248,25,18,78,27,28,6,179,0,0,6,3,3,0,17,3,0,13,8,23,0,49,3,0,16,7,15,3,47,158,114,454,208,299,43,1284
POA6071,29,84,28,28,3,190,12,28,67,42,32,8,190,0,0,8,7,10,0,26,3,0,5,6,39,0,52,6,0,5,4,11,4,36,110,82,341,207,404,36,1178
POA6072,3,20,3,3,0,45,0,3,14,9,11,0,42,0,0,0,0,0,0,3,0,0,0,0,14,0,19,0,0,4,3,5,4,18,16,8,58,50,116,14,272
POA6073,14,65,22,25,3,141,3,8,48,26,24,4,112,0,0,6,3,4,0,17,0,3,6,5,42,0,58,0,0,5,3,12,5,32,48,50,229,150,386,36,896
POA6074,8,29,11,7,0,50,0,0,15,11,10,0,33,0,0,0,3,3,0,8,0,0,0,4,10,0,18,0,0,3,3,16,4,24,8,18,74,65,144,9,320
POA6076,131,460,129,168,28,1070,76,64,319,191,146,25,823,11,6,31,20,25,0,89,8,6,34,50,239,17,358,8,8,56,45,117,23,262,498,367,1950,1189,2475,249,6741
POA6077,7,12,10,8,0,40,12,0,15,7,12,8,48,0,0,0,3,0,0,3,0,0,5,9,9,0,23,0,0,4,4,14,0,18,24,11,87,65,187,28,403
POA6078,5,3,9,6,3,22,7,0,8,10,3,3,28,0,0,0,0,0,0,3,0,0,3,3,17,0,22,3,0,0,0,13,3,15,11,10,49,48,140,18,273
POA6079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3
POA6081,24,89,30,35,5,207,18,17,70,41,46,5,203,0,0,3,4,10,0,19,0,0,9,5,55,0,74,0,4,13,3,39,7,71,75,74,400,252,708,67,1580
POA6082,16,46,14,33,3,125,10,3,42,40,37,4,134,3,3,0,3,4,0,23,3,0,3,8,43,0,63,0,0,0,4,24,3,39,32,41,205,187,489,43,997
POA6083,9,38,20,30,4,113,7,4,38,33,39,7,131,0,0,3,4,4,0,12,0,0,4,6,52,3,65,0,3,10,7,30,4,53,62,34,221,211,554,58,1144
POA6084,12,71,34,70,9,216,15,12,77,63,70,8,246,0,0,3,5,7,0,20,0,0,14,12,105,6,140,3,3,9,24,71,12,124,59,48,366,393,1371,138,2376
POA6090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6100,71,231,60,45,6,571,96,33,320,110,106,21,687,15,5,47,40,29,4,137,15,3,46,38,78,13,191,22,3,63,53,56,28,227,789,281,2314,1013,1299,189,5880
POA6101,104,315,71,66,15,750,89,43,419,128,109,26,810,13,7,66,30,31,5,146,9,12,61,35,117,11,235,21,3,73,29,65,34,228,755,327,2523,960,1479,214,6246
POA6102,40,160,42,40,4,414,54,27,268,93,75,16,527,7,3,26,11,14,0,68,14,4,33,23,67,10,149,19,0,58,24,47,20,171,495,161,1534,618,817,151,3772
POA6103,22,106,33,25,8,277,42,32,229,77,89,16,471,7,3,39,18,31,0,91,6,3,27,36,75,7,153,12,3,38,29,28,17,130,406,154,1356,636,988,114,3652
POA6104,38,147,49,57,6,341,62,26,230,98,122,22,563,8,8,26,26,75,11,147,4,0,39,35,128,3,212,7,4,47,37,74,33,206,357,156,1311,791,1630,208,4446
POA6105,40,139,48,61,12,352,46,24,218,97,119,24,536,9,3,27,12,25,3,79,9,3,42,36,121,8,221,19,0,37,44,87,24,210,347,127,1289,713,1552,191,4224
POA6106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
POA6107,97,444,111,189,37,1081,186,86,949,389,411,69,2091,15,3,94,41,56,6,216,38,14,124,104,318,13,615,65,16,168,97,219,103,669,1496,422,4699,2291,4180,574,13672
POA6108,79,252,117,159,15,683,55,52,304,197,266,47,918,13,3,32,21,44,4,117,11,4,46,47,239,12,364,15,4,45,48,143,45,296,368,223,1616,1171,2770,329,6487
POA6109,14,53,31,66,5,198,24,14,104,89,136,22,387,0,0,9,11,16,0,37,3,7,25,25,108,10,175,3,0,31,18,63,34,149,156,53,571,513,1292,160,2750
POA6110,86,364,154,233,33,1007,88,50,581,359,499,66,1642,12,0,42,22,54,12,138,19,8,69,78,391,17,577,22,7,73,86,291,83,564,715,262,2547,1876,4876,514,10797
POA6111,93,298,113,159,11,737,58,37,272,223,313,40,942,7,3,17,19,46,3,91,9,0,47,51,230,10,348,8,3,37,55,153,44,302,313,217,1376,1164,3027,279,6367
POA6112,154,624,202,333,49,1531,206,104,896,582,765,102,2655,13,3,38,36,95,10,190,23,8,85,110,586,24,835,29,10,125,91,324,99,678,1130,460,4074,2930,7311,688,16594
POA6121,10,33,16,28,5,94,8,6,26,16,21,10,86,0,0,3,0,11,0,12,0,0,3,11,40,0,50,0,0,5,3,38,3,48,30,22,180,141,476,39,891
POA6122,39,173,75,129,10,454,31,42,195,201,238,32,746,0,0,10,8,35,5,59,4,0,24,45,263,3,340,4,0,19,20,130,27,207,174,132,879,958,2934,207,5281
POA6123,3,11,3,11,3,28,0,4,12,12,27,0,57,0,0,0,3,7,0,10,0,0,0,3,21,0,26,0,0,3,0,9,0,19,7,9,51,61,247,19,399
POA6124,7,14,9,10,3,39,0,0,9,14,12,3,40,0,0,0,0,5,0,12,0,0,0,0,10,0,12,0,0,3,0,8,0,13,11,14,77,63,172,13,348
POA6125,4,28,13,16,7,79,3,5,25,15,24,7,81,0,0,3,5,17,3,22,0,0,5,7,31,3,48,0,0,3,3,25,10,44,15,30,148,143,490,69,894
POA6126,0,3,0,3,3,5,0,0,3,0,0,0,5,0,0,0,0,3,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,0,13,6,39,6,70
POA6147,45,196,54,87,11,476,50,28,222,150,154,27,631,3,3,25,11,23,5,70,7,0,46,32,93,3,184,19,6,34,27,88,43,215,403,160,1393,751,1478,205,4392
POA6148,94,331,79,73,20,804,112,50,422,148,145,33,904,4,0,26,12,22,3,76,7,8,55,36,102,9,210,17,6,78,29,69,16,214,794,287,2237,837,1387,180,5726
POA6149,125,463,116,103,20,1030,101,74,444,181,149,35,984,8,0,41,13,30,4,97,15,7,46,29,114,11,224,35,13,75,52,84,22,272,746,394,2561,1047,1532,210,6494
POA6150,68,297,71,51,10,656,79,34,358,115,77,24,688,3,0,19,10,12,3,50,16,3,35,19,58,3,126,15,0,53,23,26,18,141,573,227,1967,622,806,149,4350
POA6151,111,353,74,63,20,853,172,58,505,107,82,33,953,11,8,46,15,33,3,112,21,13,53,24,88,8,202,40,10,107,38,48,37,283,1084,410,2908,871,1052,224,6545
POA6152,155,505,108,79,28,1177,218,105,731,176,135,39,1393,20,12,60,22,46,9,173,26,15,80,38,120,0,279,38,12,144,42,97,32,358,1358,563,4092,1247,1733,273,9276
POA6153,106,395,78,69,18,853,198,92,603,126,107,51,1177,11,4,47,11,24,5,107,13,8,49,26,91,10,200,37,12,107,46,69,27,300,1102,436,3281,1016,1223,242,7301
POA6154,62,196,72,54,4,469,58,41,235,78,59,23,500,3,3,27,10,14,3,59,4,4,29,25,49,0,112,9,3,47,15,37,14,133,390,204,1434,548,719,133,3430
POA6155,221,889,234,264,46,2055,312,145,1133,442,416,91,2532,13,8,73,41,69,6,216,47,12,137,82,355,32,665,56,10,184,105,219,82,659,2045,675,6106,2644,4611,666,16743
POA6156,95,379,95,75,14,794,99,60,403,129,94,31,809,13,4,35,26,27,3,104,11,4,42,37,102,8,196,16,6,85,44,92,18,262,553,324,2193,934,1543,179,5730
POA6157,109,388,79,67,12,792,107,64,417,117,98,17,830,9,10,38,15,22,4,91,5,3,45,31,71,3,159,11,8,66,33,51,14,176,498,321,1946,780,1228,154,4930
POA6158,71,201,44,32,11,456,99,42,233,66,39,12,486,16,3,29,11,0,4,61,0,8,26,10,35,4,81,7,3,45,23,19,8,111,401,212,1244,427,525,97,2909
POA6159,12,68,6,10,3,152,54,20,112,23,11,5,230,3,3,11,6,0,0,32,5,0,13,6,13,0,36,15,0,31,10,12,3,72,241,78,612,191,185,40,1333
POA6160,76,181,37,38,5,486,101,41,277,64,35,14,534,14,3,44,12,19,5,96,11,5,22,16,37,3,95,21,3,40,19,32,14,128,535,239,1301,417,575,90,3160
POA6161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,24,4,50
POA6162,103,270,53,43,11,651,102,52,321,86,65,22,649,11,3,46,15,20,4,99,8,5,29,19,57,9,123,15,4,76,18,54,11,187,580,250,1565,553,916,136,4004
POA6163,284,930,261,285,61,2207,232,156,1056,441,506,106,2497,23,3,98,44,86,11,265,19,7,104,87,462,18,696,48,6,171,117,284,126,750,1316,748,5083,2606,5772,759,16288
POA6164,235,864,277,389,56,2061,228,180,1165,595,679,93,2941,6,7,78,49,88,13,236,27,10,110,153,597,25,925,64,15,149,124,409,95,854,1413,774,5604,3342,7736,744,19615
POA6165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,19,0,23
POA6166,25,147,49,62,23,344,37,23,150,90,88,18,403,0,0,3,11,5,6,22,0,0,11,14,127,5,168,4,0,25,22,87,13,157,132,98,736,548,1362,167,3042
POA6167,56,221,86,152,15,580,40,41,309,198,323,43,958,0,0,16,16,40,0,81,4,0,27,52,195,9,284,3,3,44,43,188,55,339,267,184,1386,1074,3131,362,6399
POA6168,55,155,76,142,18,469,19,32,200,177,333,33,791,0,0,11,10,42,6,61,4,0,21,31,182,16,255,10,0,18,37,136,48,248,167,126,851,967,3192,287,5593
POA6169,98,365,144,260,29,972,59,61,326,296,456,44,1252,0,0,17,24,55,3,99,4,0,35,47,311,16,411,10,4,39,71,222,52,399,306,250,1559,1604,4882,420,9011
POA6170,43,128,34,73,9,324,40,32,254,143,139,18,630,0,0,15,9,17,3,50,11,3,25,28,123,0,195,11,3,22,21,75,18,156,322,146,1097,676,1704,151,4105
POA6171,86,368,131,240,21,912,69,71,432,311,410,44,1338,0,3,19,15,64,5,110,11,5,31,68,346,5,458,12,0,48,53,202,40,359,323,260,1841,1706,5052,381,9555
POA6172,37,143,42,106,7,360,14,20,122,144,186,13,496,0,0,7,12,26,6,48,3,0,3,25,114,7,155,0,0,11,30,95,17,154,92,78,531,712,2057,164,3638
POA6173,31,179,60,135,10,440,22,24,195,116,143,23,516,0,0,15,6,39,3,60,4,0,10,24,94,4,143,4,0,19,31,91,23,157,139,106,781,709,1963,152,3838
POA6174,13,66,22,41,3,159,3,9,50,23,38,4,130,0,0,0,3,5,0,14,0,0,0,6,49,0,63,0,0,3,9,35,8,56,27,37,199,173,636,64,1134
POA6175,26,71,22,45,3,177,3,6,42,45,38,4,135,0,0,3,3,9,0,15,3,0,3,5,39,4,50,0,0,3,6,13,3,32,28,46,213,211,566,35,1107
POA6176,8,19,7,15,0,51,3,0,8,16,12,0,44,0,0,0,0,5,4,9,0,0,0,9,26,3,36,0,0,3,4,13,3,27,14,12,56,86,239,35,441
POA6180,29,66,23,31,3,166,8,14,53,58,77,10,214,0,0,0,3,7,0,8,0,0,3,11,58,0,77,0,0,9,8,47,4,66,51,54,243,279,845,58,1525
POA6181,0,9,6,4,0,19,0,0,3,3,3,0,10,0,0,0,0,0,0,0,0,0,0,0,14,0,13,0,0,0,0,3,0,7,3,0,33,27,98,0,162
POA6182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6207,3,13,6,6,0,32,0,0,13,12,7,0,29,0,0,0,0,8,0,12,0,0,0,3,9,0,12,0,0,0,0,13,3,19,7,5,39,51,176,16,286
POA6208,30,84,32,76,12,253,10,13,64,79,124,11,295,0,0,6,3,20,6,29,0,0,4,11,91,3,114,0,0,8,13,78,14,109,50,65,312,363,1486,129,2416
POA6209,0,19,7,12,3,45,4,3,10,10,16,0,47,0,0,0,0,6,0,10,0,0,0,0,18,0,20,0,0,0,0,10,0,16,14,11,60,55,226,25,381
POA6210,219,784,279,415,49,1854,125,89,680,571,811,105,2386,4,0,34,28,89,11,170,6,7,61,113,481,17,692,10,4,64,92,336,95,598,591,473,3096,2786,8283,764,15988
POA6211,23,88,31,42,13,212,3,16,69,58,63,9,227,0,3,0,3,8,0,16,0,0,3,18,48,3,71,0,0,12,10,39,14,72,53,61,312,318,929,85,1748
POA6213,3,7,5,8,0,19,0,0,9,3,3,0,14,0,0,3,0,4,0,5,0,0,0,0,0,0,3,0,0,0,0,3,0,3,5,4,32,27,77,6,149
POA6214,0,9,0,3,0,10,0,0,0,4,7,0,14,0,0,0,0,5,0,5,0,0,0,0,0,0,6,0,0,0,0,10,7,14,0,5,22,27,99,17,172
POA6215,10,26,10,24,6,79,0,6,29,27,45,13,117,0,0,0,0,11,0,14,0,0,4,6,27,0,41,0,0,0,3,18,3,28,11,16,113,136,554,63,899
POA6218,0,0,0,0,0,4,0,0,0,3,5,3,9,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,3,3,6,11,45,8,77
POA6220,15,38,12,28,3,109,4,4,34,23,37,5,106,0,0,3,3,11,0,13,0,0,4,3,41,0,48,0,0,0,12,28,7,50,14,30,229,160,609,77,1119
POA6221,3,7,0,0,0,14,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,22,6,31,9,73
POA6223,0,0,3,6,4,15,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,18,10,31,6,70
POA6224,0,9,8,12,0,31,0,0,9,9,12,0,35,0,0,0,0,4,0,4,0,0,0,0,13,3,17,0,0,0,4,7,0,13,0,4,26,40,162,14,256
POA6225,17,88,40,75,6,237,5,3,55,58,125,11,252,0,0,0,0,11,0,19,0,0,0,16,88,0,111,0,0,0,0,54,14,68,28,21,237,251,1357,122,2016
POA6226,4,10,10,3,0,36,3,0,11,8,14,0,36,0,0,0,0,0,0,3,0,0,5,3,10,0,12,0,0,3,3,11,0,10,8,7,53,42,162,3,278
POA6227,3,14,11,7,0,28,0,0,6,6,12,0,21,0,0,0,0,3,0,3,0,0,0,3,6,0,10,0,0,4,0,3,0,6,8,8,39,46,128,9,228
POA6228,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,4,6,19,3,38
POA6229,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,3,0,0,0,0,6,0,20,4,30
POA6230,205,659,187,306,40,1496,171,118,776,391,571,84,2108,4,8,34,23,60,4,121,23,15,83,71,396,16,598,13,10,59,65,240,77,462,557,480,2834,1940,5970,579,12360
POA6232,24,101,46,99,10,282,16,23,106,89,174,8,420,0,0,0,3,17,0,24,3,4,16,21,135,3,178,0,0,6,9,54,8,87,59,76,439,410,1808,114,2905
POA6233,83,272,97,163,17,653,20,19,232,152,234,22,682,0,5,18,15,30,3,67,5,0,19,30,165,9,225,4,0,16,35,105,23,184,124,156,1010,840,2945,234,5309
POA6236,6,37,12,14,3,72,0,3,31,15,31,4,85,0,0,0,3,0,0,9,0,0,5,4,17,0,25,0,0,3,7,14,0,21,16,19,165,120,312,36,662
POA6237,3,44,21,24,7,110,3,3,35,23,37,3,103,0,0,6,0,5,8,18,0,0,3,0,24,0,26,0,0,6,6,13,3,29,21,15,160,136,427,49,807
POA6239,20,57,20,21,4,123,6,14,57,28,48,12,169,0,0,3,3,5,0,10,0,0,5,5,34,0,49,0,0,3,5,19,11,35,27,38,237,179,559,79,1123
POA6240,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,12,14,0,40
POA6243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,12
POA6244,0,16,3,5,0,27,0,0,13,10,7,3,31,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,3,9,3,14,3,5,75,64,156,28,335
POA6251,0,0,3,3,0,5,0,0,0,3,3,0,8,0,0,0,0,0,0,3,0,0,0,0,5,0,5,0,0,0,0,0,3,3,5,3,17,17,44,4,89
POA6252,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,4,29,5,34
POA6253,3,9,5,3,0,18,0,0,8,7,3,3,20,0,0,0,3,0,0,4,0,0,0,0,3,0,7,0,0,3,0,0,0,4,9,8,45,40,68,7,169
POA6254,0,3,0,6,0,5,0,0,0,3,5,3,9,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,3,0,4,9,18,61,15,104
POA6255,15,67,18,28,6,139,4,5,41,35,50,7,141,0,0,3,4,9,0,15,0,0,8,4,28,0,44,3,0,3,5,20,0,37,27,30,225,156,504,62,1014
POA6256,3,9,4,4,0,19,0,0,3,4,3,0,15,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,3,0,3,0,9,3,3,23,19,63,18,137
POA6258,29,89,19,51,5,205,14,11,48,46,96,8,218,3,0,13,7,27,0,50,0,0,0,6,66,0,74,0,0,3,4,33,8,47,47,49,272,214,885,100,1574
POA6260,4,16,5,3,0,34,7,0,13,4,10,0,35,0,0,0,0,3,0,11,0,0,0,4,3,0,3,0,0,9,3,3,6,19,13,19,78,61,145,34,341
POA6262,5,8,4,3,0,25,0,0,12,0,3,0,14,0,0,3,0,0,0,6,0,0,0,0,9,0,9,0,0,0,0,3,0,6,4,3,37,29,84,15,168
POA6271,13,40,12,25,3,100,9,3,46,25,49,6,146,0,0,7,0,9,0,13,0,0,10,3,28,0,37,0,0,6,6,25,4,39,27,32,187,127,463,42,869
POA6275,4,14,5,10,0,36,0,0,12,16,10,0,39,0,0,0,0,4,0,6,0,0,0,0,3,0,8,0,0,4,0,3,0,10,11,17,68,65,137,13,299
POA6280,101,343,132,186,18,836,57,52,343,226,398,45,1112,3,0,12,25,42,4,94,5,7,29,38,229,17,321,3,3,19,44,136,44,249,212,258,1502,1198,3901,355,7429
POA6281,32,122,24,29,3,229,16,23,102,51,54,12,261,0,0,15,11,6,0,36,0,0,7,16,58,7,89,3,4,21,17,52,10,100,89,95,700,417,1034,108,2442
POA6282,7,18,7,5,0,40,7,3,28,9,3,0,48,0,0,4,0,0,0,6,0,0,0,0,5,0,6,0,0,3,0,8,0,15,23,23,162,65,159,19,450
POA6284,14,46,16,15,0,92,3,5,32,5,14,0,65,0,0,4,3,3,0,7,0,0,3,3,14,0,28,0,0,4,3,17,3,30,17,43,217,111,327,43,752
POA6285,49,170,45,70,7,362,21,23,131,60,63,5,306,3,0,19,12,30,0,56,4,0,19,12,74,7,117,6,4,33,20,71,20,156,124,125,930,512,1335,152,3184
POA6286,5,17,0,3,3,30,0,3,10,4,0,0,17,0,0,3,3,0,0,7,0,0,3,0,9,0,12,0,0,0,3,3,0,9,8,5,81,34,80,11,224
POA6288,0,9,3,4,0,16,0,0,5,0,4,0,9,0,0,0,0,0,0,3,0,0,0,0,3,0,4,0,0,0,0,0,0,4,7,6,44,21,53,16,152
POA6290,0,6,3,10,0,23,4,0,14,14,18,0,50,0,0,0,0,0,0,4,0,0,0,3,8,0,13,0,0,3,3,3,6,14,7,6,66,43,213,27,366
POA6302,8,34,18,20,0,85,7,3,43,33,40,3,136,0,0,0,4,0,0,5,0,0,3,3,26,0,34,3,0,4,12,16,7,43,31,18,192,151,378,46,808
POA6304,5,8,4,7,3,34,4,0,5,9,12,7,38,0,0,0,0,0,0,0,0,0,0,0,9,0,15,0,0,3,0,8,0,14,11,9,71,65,171,29,362
POA6306,8,8,4,11,0,32,0,3,4,3,17,4,31,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,3,0,0,3,7,7,15,45,29,94,17,197
POA6308,3,11,7,7,0,37,0,0,8,7,15,3,31,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,3,8,3,10,9,8,44,57,168,30,312
POA6309,0,3,3,0,0,8,0,0,3,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,7,5,26,3,54
POA6311,4,9,3,3,0,16,0,0,3,9,3,0,19,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,3,5,13,21,23,65,10,128
POA6312,27,63,33,46,9,188,14,4,91,51,69,15,239,0,0,5,4,9,0,22,0,0,4,8,54,3,75,0,0,3,7,19,11,40,37,50,269,199,592,85,1230
POA6313,0,4,3,0,0,6,0,0,0,0,7,0,13,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,3,12,16,28,3,65
POA6315,4,27,4,12,3,54,0,0,13,9,22,3,55,0,0,0,0,4,0,4,0,0,3,0,19,0,26,0,0,0,0,5,3,10,7,9,78,60,214,31,396
POA6316,3,3,0,4,0,11,0,0,3,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,3,22,15,41,0,83
