POA_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
POA6324,853,876,1730,198,200,398,5,4,13,12,8,20,7,12,15,8,5,11,330,302,631,0,0,0,6,3,7,0,0,0,0,0,0,366,335,692,51,30,82,17,13,23,629,577,1204,244,148,389,1721,1600,3322
POA6326,161,157,312,6,14,20,0,4,4,0,0,0,0,0,0,3,8,5,33,45,74,0,0,0,0,0,0,0,0,0,0,0,0,39,50,86,3,0,3,0,0,0,52,59,112,30,22,47,233,233,466
POA6327,96,82,176,3,7,11,0,0,0,0,0,0,0,0,0,0,0,0,24,20,45,0,0,0,0,0,0,0,0,0,0,0,0,26,20,44,0,0,0,0,0,0,31,22,58,9,11,23,137,119,249
POA6328,114,104,217,13,8,22,3,4,4,0,0,0,3,3,8,0,0,0,48,44,92,0,0,0,0,0,3,0,0,0,0,0,0,57,50,106,4,0,3,4,3,3,75,65,138,18,19,42,210,183,397
POA6330,8671,9051,17723,1473,1633,3108,79,67,148,53,66,123,103,86,193,41,44,87,4187,4583,8774,19,29,48,15,18,36,5,5,13,0,0,0,4512,4899,9409,378,455,836,94,84,177,6453,7079,13531,1546,1139,2686,16674,17262,33937
POA6333,1434,1430,2864,338,370,706,8,9,19,14,12,24,30,30,63,3,3,7,562,596,1159,3,5,7,14,11,24,3,3,4,0,0,0,636,669,1302,49,56,98,9,15,24,1034,1104,2139,295,285,578,2762,2823,5583
POA6335,196,197,386,41,35,73,0,3,3,4,0,4,0,0,3,3,3,8,56,61,114,0,0,0,0,0,0,0,0,0,0,0,0,66,63,129,26,27,51,0,0,0,135,125,258,43,28,68,372,343,715
POA6336,100,76,174,21,10,27,0,0,0,0,0,0,0,0,0,0,0,0,21,20,40,0,0,0,0,0,0,0,0,0,0,0,0,24,23,43,4,0,3,0,0,0,52,29,79,29,10,39,181,116,301
POA6337,162,117,276,36,21,50,0,0,0,3,4,8,0,0,0,0,0,0,38,38,71,0,0,0,0,0,0,0,0,0,0,0,0,43,40,81,4,13,14,0,0,0,78,72,147,42,30,73,279,224,501
POA6338,194,161,355,33,31,69,3,3,6,0,0,0,3,3,4,3,3,7,59,46,102,0,0,0,0,0,3,0,0,0,0,0,0,72,59,124,9,5,19,0,0,0,110,95,209,36,41,76,346,292,643
POA6341,98,70,164,12,14,27,0,5,6,0,0,0,0,0,0,0,0,3,16,19,35,0,0,0,0,0,0,0,0,0,0,0,0,21,20,40,0,0,3,0,0,0,38,32,70,24,14,37,154,120,269
