region_id,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_unit_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_unit_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_unit_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_unit_aprt,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_Ps_not_in_s_hh_DS_Flt_ut_at,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Fl_u_at,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flt_unt_apt,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flt_unit_apt,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_unit_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flt_unt_apt,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flt_unt_apt,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_unit_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
POA6109,872,168,3,57,4,1104,1529,65,4,0,0,1598,263,50,4,0,0,317,100,32,0,0,0,132,322,34,0,3,0,359,7,0,0,0,0,7,41,4,0,41,0,86,20,0,0,0,0,20,753,120,4,44,0,921,85,0,0,0,5,90,114,13,3,3,0,133,3353,366,14,104,9,3846
POA6110,2761,101,155,4,0,3021,5507,94,123,23,0,5747,1022,118,135,10,0,1285,212,52,162,0,3,429,877,45,75,3,3,1003,15,29,59,0,0,103,83,4,16,0,0,103,47,3,7,0,0,57,2256,251,454,13,6,2980,54,37,74,0,0,165,207,24,53,0,0,284,10785,507,859,40,6,12197
POA6111,2431,49,81,19,4,2584,3308,86,52,5,0,3451,508,82,133,0,0,723,93,25,86,0,0,204,511,30,36,0,0,577,5,25,4,0,0,34,49,7,0,40,0,96,35,3,0,0,0,38,1201,172,259,40,0,1672,40,6,0,0,0,46,129,14,17,3,0,163,7109,327,409,67,4,7916
POA6112,2861,143,77,20,0,3101,6661,280,105,4,0,7050,1260,189,190,0,0,1639,278,77,149,0,0,504,892,93,57,3,0,1045,18,43,10,0,0,71,80,26,7,3,0,116,39,15,7,0,0,61,2567,443,420,6,0,3436,76,71,12,0,0,159,245,42,20,3,0,310,12410,979,634,33,0,14056
POA6121,250,0,0,3,0,253,479,0,3,3,0,485,19,0,0,3,0,22,0,0,0,0,0,0,44,0,0,3,0,47,0,0,0,0,0,0,11,0,0,0,0,11,5,0,0,0,0,5,79,0,0,6,0,85,4,0,0,0,0,4,12,0,0,0,0,12,824,0,3,12,0,839
POA6122,661,7,4,0,0,672,1774,6,0,4,3,1787,233,0,5,0,0,238,0,0,0,0,0,0,178,0,0,0,0,178,3,0,0,0,0,3,15,0,0,0,0,15,14,0,0,0,0,14,443,0,5,0,0,448,10,0,0,0,0,10,48,0,0,0,0,48,2936,13,9,4,3,2965
POA6123,132,0,0,0,0,132,249,0,0,0,0,249,20,0,0,0,0,20,5,0,0,0,0,5,50,0,0,3,0,53,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,79,0,0,3,0,82,0,0,0,0,0,0,11,0,0,0,0,11,471,0,0,3,0,474
POA6124,126,0,0,0,0,126,180,0,0,0,0,180,8,0,0,0,0,8,14,0,0,0,0,14,21,0,0,0,0,21,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,52,0,0,0,0,52,3,0,0,0,0,3,11,0,0,0,0,11,372,0,0,0,0,372
POA6125,342,0,0,3,0,345,394,4,0,4,0,402,25,0,0,0,0,25,4,0,0,0,0,4,68,0,0,0,0,68,0,0,0,0,0,0,29,0,0,4,0,33,15,0,0,0,0,15,141,0,0,4,0,145,10,0,0,0,0,10,18,0,0,0,0,18,905,4,0,11,0,920
POA6126,41,0,0,0,0,41,21,0,0,0,0,21,4,0,0,0,0,4,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,3,0,0,0,0,3,6,0,0,0,0,6,26,0,0,0,0,26,0,0,0,0,0,0,3,0,0,0,0,3,91,0,0,0,0,91
POA6147,1638,93,36,0,0,1767,2017,171,63,0,0,2251,434,75,30,0,0,539,102,45,32,0,0,179,413,57,39,0,0,509,8,3,0,0,0,11,36,3,6,0,0,45,23,0,4,0,0,27,1016,183,111,0,0,1310,16,3,4,0,0,23,105,8,4,0,0,117,4792,458,218,0,0,5468
POA6148,2087,330,45,0,0,2462,1664,316,17,0,0,1997,530,234,20,0,0,784,15,66,3,0,0,84,423,141,15,0,0,579,6,17,0,3,0,26,15,11,3,0,0,29,17,13,3,0,0,33,1006,482,44,3,0,1535,20,53,65,0,0,138,81,45,6,0,0,132,4858,1226,177,3,0,6264
POA6149,2610,117,62,0,0,2789,2333,74,16,0,0,2423,422,34,23,0,0,479,7,10,0,0,0,17,312,38,21,0,0,371,3,4,28,0,0,35,15,0,9,0,0,24,10,4,3,0,0,17,769,90,84,0,0,943,23,3,159,0,0,185,69,11,23,0,0,103,5804,295,344,0,0,6443
POA6150,1860,159,39,0,0,2058,1194,56,17,0,0,1267,260,45,31,0,0,336,3,22,7,3,0,35,193,39,57,0,0,289,0,4,31,0,3,38,9,9,34,0,0,52,15,0,6,0,0,21,480,119,166,3,3,771,15,88,25,0,0,128,40,29,22,0,0,91,3589,451,269,3,3,4315
POA6151,1185,313,404,0,3,1905,1151,261,347,0,0,1759,383,349,1044,0,0,1776,93,13,74,0,0,180,226,155,339,0,0,720,3,0,33,0,0,36,19,10,23,0,0,52,11,7,25,0,0,43,735,534,1538,0,0,2807,18,5,32,0,0,55,60,11,40,0,0,111,3149,1124,2361,0,3,6637
POA6152,1949,764,143,0,0,2856,1729,782,190,0,0,2701,534,833,379,0,0,1746,340,137,85,0,0,562,437,512,202,0,0,1151,4,37,23,0,0,64,30,27,7,0,0,64,21,34,8,0,0,63,1366,1580,704,0,0,3650,25,131,49,0,0,205,93,81,31,0,0,205,5162,3338,1117,0,0,9617
POA6153,2580,276,116,0,0,2972,1749,193,75,0,0,2017,734,192,205,0,0,1131,69,51,4,0,0,124,479,101,66,0,0,646,4,10,7,0,0,21,19,9,4,0,0,32,35,13,0,0,0,48,1340,376,286,0,0,2002,28,4,11,0,0,43,103,23,10,0,0,136,5800,872,498,0,0,7170
POA6154,1364,284,34,3,0,1685,1058,111,26,0,3,1198,254,91,32,0,0,377,0,8,7,0,0,15,190,65,14,0,0,269,0,3,0,0,3,6,11,3,3,0,0,17,21,3,0,0,0,24,476,173,56,0,3,708,3,33,3,0,0,39,63,29,11,0,0,103,2964,630,130,3,6,3733
POA6155,4503,80,22,3,0,4608,7503,99,19,0,3,7624,1262,85,22,0,0,1369,37,40,4,0,0,81,797,45,12,0,0,854,9,3,0,0,0,12,43,3,0,0,0,46,43,3,3,0,0,49,2191,179,41,0,0,2411,92,3,11,0,0,106,174,8,5,0,0,187,14463,369,98,3,3,14936
POA6156,1830,173,119,0,5,2127,1914,109,95,0,0,2118,404,92,130,0,0,626,274,64,74,0,0,412,342,62,53,0,0,457,3,14,8,0,0,25,41,6,4,0,0,51,18,3,7,0,0,28,1082,241,276,0,0,1599,21,44,15,0,0,80,97,21,16,0,0,134,4944,588,521,0,5,6058
POA6157,1427,330,172,0,3,1932,1372,300,148,0,3,1823,349,212,214,0,3,778,68,84,56,0,0,208,299,143,85,0,0,527,5,4,9,0,0,18,21,3,0,0,0,24,21,10,0,0,0,31,763,456,364,0,3,1586,17,5,8,0,0,30,64,30,25,0,0,119,3643,1121,717,0,9,5490
POA6158,790,126,54,3,3,976,743,120,72,0,0,935,159,73,100,0,0,332,15,23,19,0,0,57,95,48,57,0,0,200,8,3,0,0,0,11,0,14,3,0,0,17,7,4,3,0,0,14,284,165,182,0,0,631,5,0,0,0,0,5,32,12,16,3,0,63,1854,423,324,6,3,2610
POA6159,194,101,52,0,0,347,173,101,37,0,0,311,55,85,56,0,0,196,8,97,14,0,0,119,40,45,26,0,0,111,0,0,0,0,0,0,3,3,0,0,0,6,0,0,3,0,0,3,106,230,99,0,0,435,4,0,0,0,0,4,9,5,3,0,0,17,486,437,191,0,0,1114
POA6160,569,201,129,10,0,909,489,205,142,11,0,847,150,244,320,6,3,723,18,87,236,0,0,341,155,113,121,3,3,395,5,13,3,0,0,21,4,6,8,0,0,18,7,6,3,0,0,16,339,469,691,9,6,1514,11,4,3,0,0,18,34,22,36,0,0,92,1442,901,1001,30,6,3380
POA6161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,22,6,0,0,0,28,4,0,0,0,0,4,33,6,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,33,6,0,0,0,39
POA6162,1209,140,29,86,0,1464,1079,122,23,5,0,1229,283,122,60,6,0,471,60,202,125,0,0,387,353,101,16,5,0,475,4,0,3,0,0,7,21,20,0,23,0,64,14,0,3,0,0,17,735,445,207,34,0,1421,10,14,0,5,0,29,83,15,12,8,0,118,3116,736,271,138,0,4261
POA6163,5680,470,152,6,0,6308,5439,556,236,0,0,6231,1268,368,290,0,0,1926,482,368,146,0,0,996,1120,272,179,0,3,1574,39,57,40,0,0,136,101,36,18,0,0,155,59,15,8,0,0,82,3069,1116,681,0,3,4869,65,46,7,0,0,118,346,99,38,0,3,486,14599,2287,1114,6,6,18012
POA6164,2624,172,26,29,0,2851,8775,317,137,3,0,9232,1388,178,153,0,0,1719,245,151,49,0,0,445,853,66,33,5,0,957,15,6,0,0,0,21,89,3,3,3,0,98,54,0,3,0,0,57,2644,404,241,8,0,3297,36,55,0,4,0,95,193,22,9,3,0,227,14272,970,413,47,0,15702
POA6165,8,0,0,0,0,8,6,0,0,0,0,6,9,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,15,0,0,0,0,15,3,0,0,0,0,3,0,0,0,0,0,0,32,0,0,0,0,32
POA6166,1231,39,15,34,0,1319,985,37,4,3,0,1029,195,39,0,0,0,234,8,4,6,0,0,18,133,24,0,0,0,157,0,0,0,0,0,0,32,0,0,3,0,35,11,3,0,3,0,17,379,70,6,6,0,461,15,0,0,0,0,15,61,3,5,4,0,73,2671,149,30,47,0,2897
POA6167,1536,18,17,0,0,1571,3637,50,81,0,0,3768,914,34,121,0,0,1069,233,112,93,6,4,448,558,14,59,0,0,631,15,3,11,0,0,29,56,3,3,0,0,62,36,0,3,0,0,39,1812,166,290,6,4,2278,44,3,4,0,0,51,185,11,14,0,0,210,7214,248,406,6,4,7878
POA6168,2207,336,298,211,0,3052,2593,167,132,4,0,2896,857,310,335,0,0,1502,132,116,128,0,0,376,644,166,174,3,0,987,6,23,11,0,0,40,114,21,20,27,0,182,32,11,9,0,0,52,1785,647,677,30,0,3139,27,17,31,5,0,80,172,50,57,15,0,294,6784,1217,1195,265,0,9461
POA6169,3273,174,66,0,0,3513,4739,104,52,3,4,4902,1566,161,192,0,0,1919,198,73,132,0,0,403,932,85,72,3,0,1092,4,3,8,0,0,15,137,9,7,3,0,156,42,3,7,3,0,55,2879,334,418,9,0,3640,25,3,5,0,0,33,221,19,14,0,0,254,11137,634,555,12,4,12342
POA6170,304,16,0,0,0,320,1061,135,0,0,0,1196,238,40,0,0,0,278,68,6,10,0,0,84,115,19,0,0,0,134,0,3,3,0,0,6,3,3,0,0,0,6,11,0,0,0,0,11,435,71,13,0,0,519,7,0,0,0,0,7,32,8,0,0,0,40,1839,230,13,0,0,2082
POA6171,755,5,0,41,0,801,3165,35,3,3,4,3210,591,19,23,3,0,636,9,0,4,0,0,13,273,0,0,0,0,273,0,0,0,0,0,0,65,5,3,12,0,85,14,0,0,3,0,17,952,24,30,18,0,1024,21,0,0,4,0,25,54,0,0,0,0,54,4947,64,33,66,4,5114
POA6172,676,14,0,0,0,690,2193,19,3,0,0,2215,695,9,10,0,0,714,65,19,0,0,0,84,284,0,3,0,0,287,10,0,0,0,0,10,70,0,0,0,0,70,11,0,0,0,0,11,1135,28,13,0,0,1176,64,4,0,0,0,68,94,0,0,0,0,94,4162,65,16,0,0,4243
POA6173,402,0,0,3,0,405,1898,0,6,0,0,1904,521,3,7,0,0,531,5,0,3,0,0,8,166,0,0,0,0,166,0,0,0,0,0,0,53,0,4,0,0,57,4,0,0,0,0,4,749,3,14,0,0,766,4,0,0,0,0,4,27,0,0,0,0,27,3080,3,20,3,0,3106
POA6174,169,0,0,0,0,169,338,0,0,0,0,338,109,3,0,3,0,115,0,0,0,0,0,0,75,3,0,0,0,78,0,0,0,0,0,0,4,0,0,0,0,4,5,0,0,0,0,5,193,6,0,3,0,202,0,0,0,0,0,0,10,0,0,0,0,10,710,6,0,3,0,719
POA6175,201,0,3,0,0,204,511,0,3,0,0,514,145,0,0,0,0,145,0,0,0,0,0,0,65,0,0,0,0,65,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,3,217,0,0,0,0,217,3,0,0,0,0,3,11,0,0,0,0,11,943,0,6,0,0,949
POA6176,91,0,0,3,0,94,94,0,0,3,0,97,14,0,0,0,0,14,3,0,0,0,0,3,11,0,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,3,0,31,3,0,0,0,0,3,3,0,0,0,0,3,219,0,0,9,0,228
POA6180,180,0,0,0,0,180,651,3,0,5,0,659,124,0,0,0,0,124,52,0,0,0,0,52,53,0,0,0,0,53,25,0,0,0,0,25,0,0,0,0,0,0,4,0,0,0,0,4,258,0,0,0,0,258,7,0,0,0,0,7,16,0,0,0,0,16,1112,3,0,5,0,1120
POA6181,39,0,0,0,0,39,94,0,0,0,0,94,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,143
POA6182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6207,115,0,0,3,0,118,162,0,0,6,0,168,9,0,3,0,0,12,0,0,0,0,0,0,22,0,3,0,0,25,0,0,0,0,0,0,16,0,0,0,0,16,4,0,0,0,0,4,51,0,6,0,0,57,4,0,0,0,0,4,12,0,0,0,0,12,344,0,6,9,0,359
POA6208,1093,23,18,55,0,1189,1265,11,13,6,0,1295,316,19,13,0,0,348,62,22,6,0,0,90,219,14,8,0,0,241,17,0,0,0,0,17,36,9,0,21,0,66,27,0,0,0,3,30,677,64,27,21,3,792,124,23,4,0,0,151,99,7,6,8,0,120,3258,128,68,90,3,3547
POA6209,286,0,0,44,0,330,205,0,3,3,0,211,38,3,0,3,0,44,0,0,0,0,0,0,58,3,0,0,0,61,3,0,0,0,0,3,12,0,0,16,0,28,8,0,0,0,0,8,119,6,0,19,0,144,5,0,0,0,0,5,11,0,0,7,0,18,626,6,3,73,0,708
POA6210,6119,764,271,198,3,7355,6550,286,164,3,0,7003,3078,665,436,3,3,4185,230,350,111,3,0,694,1701,295,157,3,3,2159,20,62,71,0,0,153,120,54,21,29,0,224,109,25,15,0,0,149,5258,1451,811,38,6,7564,209,404,193,6,0,812,400,157,59,17,0,633,18536,3062,1498,262,9,23367
POA6211,636,13,5,29,0,683,779,9,0,5,0,793,245,12,4,4,0,265,27,0,0,0,0,27,105,13,5,5,0,128,4,0,0,0,0,4,10,0,3,9,0,22,9,3,0,0,0,12,400,28,12,18,0,458,7,0,0,0,0,7,26,0,0,3,0,29,1848,50,17,55,0,1970
POA6213,107,0,0,5,0,112,76,0,0,0,0,76,19,0,0,0,0,19,3,0,0,0,0,3,36,0,0,0,0,36,0,0,0,0,0,0,10,0,0,0,0,10,3,0,0,0,0,3,71,0,0,0,0,71,3,0,0,0,0,3,5,0,0,4,0,9,262,0,0,9,0,271
POA6214,41,0,0,3,0,44,55,0,0,0,0,55,3,0,0,0,0,3,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,21,0,0,0,0,21,0,0,0,0,0,0,3,0,0,0,0,3,120,0,0,3,0,123
POA6215,458,12,0,15,4,489,485,6,0,0,0,491,89,14,0,0,0,103,22,6,9,0,0,37,105,17,0,0,0,122,0,3,0,0,0,3,13,5,0,3,0,21,8,3,0,0,0,11,237,48,9,3,0,297,7,18,0,0,0,25,30,7,0,0,0,37,1217,91,9,18,4,1339
POA6218,42,0,0,0,0,42,33,0,0,3,0,36,52,0,0,0,0,52,11,0,4,0,0,15,16,0,0,0,0,16,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,83,0,4,0,0,87,0,0,0,0,0,0,4,0,0,3,0,7,162,0,4,6,0,172
POA6220,621,3,5,3,3,635,476,5,0,0,0,481,96,3,12,0,0,111,47,8,38,0,0,93,164,4,21,3,0,192,3,0,6,0,0,9,35,8,4,0,0,47,17,0,0,3,0,20,362,23,81,6,0,472,11,0,10,0,0,21,39,4,4,38,0,85,1509,35,100,47,3,1694
POA6221,56,0,0,0,0,56,43,0,0,0,0,43,4,0,0,0,0,4,0,0,0,0,0,0,23,0,0,0,0,23,0,0,0,0,0,0,6,0,0,0,0,6,5,0,0,0,0,5,38,0,0,0,0,38,0,0,0,0,0,0,6,0,0,0,0,6,143,0,0,0,0,143
POA6224,156,0,0,0,0,156,150,0,0,4,0,154,19,0,0,0,0,19,17,0,3,0,0,20,33,0,3,0,0,36,0,0,0,0,0,0,14,0,0,0,0,14,7,0,0,0,0,7,90,0,6,0,0,96,0,0,0,0,0,0,11,0,0,11,0,22,407,0,6,15,0,428
POA6225,1126,24,23,20,0,1193,1265,4,5,9,0,1283,217,9,11,0,0,237,133,29,12,0,0,174,181,7,6,5,0,199,3,0,5,0,0,8,37,0,7,7,0,51,14,3,3,0,0,20,585,48,44,12,0,689,13,0,0,0,0,13,85,6,7,0,0,98,3074,82,79,41,0,3276
POA6226,72,0,0,0,0,72,110,0,0,0,0,110,7,0,0,0,0,7,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,22,0,0,0,0,22,0,0,0,0,0,0,3,0,0,0,0,3,207,0,0,0,0,207
POA6227,42,0,0,0,0,42,89,0,0,0,0,89,11,0,0,0,0,11,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,28,0,0,0,0,28,3,0,0,0,0,3,3,0,0,0,0,3,165,0,0,0,0,165
POA6229,54,0,0,3,0,57,37,0,0,0,0,37,8,0,0,0,0,8,0,0,0,0,0,0,28,0,0,3,0,31,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,3,44,0,0,3,0,47,3,0,0,0,0,3,3,0,0,45,0,48,141,0,0,51,0,192
POA6230,3484,359,98,80,3,4024,5093,202,86,7,3,5391,1683,453,290,3,0,2429,448,293,102,0,0,843,1108,209,159,3,0,1479,22,76,22,0,0,120,115,22,40,29,0,206,59,11,10,4,0,84,3435,1064,623,39,0,5161,42,110,13,3,0,168,263,91,31,11,0,396,12317,1826,851,140,6,15140
POA6232,710,78,7,25,0,820,1504,9,3,3,0,1519,429,15,16,0,0,460,20,10,0,0,0,30,256,7,3,0,0,266,4,3,0,0,0,7,12,0,0,8,0,20,10,0,0,0,0,10,731,35,19,8,0,793,4,71,0,0,0,75,52,12,0,0,0,64,3001,205,29,36,0,3271
POA6233,1389,36,4,36,0,1465,2492,14,8,3,0,2517,617,23,23,0,3,666,34,38,7,0,0,79,341,23,5,0,3,372,3,0,0,0,0,3,21,5,0,32,0,58,17,0,0,0,0,17,1033,89,35,32,6,1195,22,0,0,0,0,22,70,6,5,4,0,85,5006,145,52,75,6,5284
POA6236,263,0,0,8,0,271,275,0,0,4,0,279,25,3,0,0,0,28,0,0,0,0,0,0,53,0,0,0,0,53,0,0,0,0,0,0,7,0,0,0,0,7,9,0,0,0,0,9,94,3,0,0,0,97,3,0,0,0,0,3,9,0,0,0,0,9,644,3,0,12,0,659
POA6237,362,0,0,0,0,362,359,0,0,9,0,368,25,0,0,0,3,28,10,0,0,0,0,10,71,0,3,0,0,74,0,0,0,0,0,0,8,0,0,0,0,8,14,0,0,0,0,14,128,0,3,0,3,134,11,0,0,0,0,11,16,0,0,0,0,16,876,0,3,9,3,891
POA6239,566,0,6,4,0,576,577,0,0,5,0,582,86,3,0,0,0,89,21,0,8,0,0,29,94,3,3,0,0,100,3,0,3,0,0,6,18,0,3,0,0,21,10,0,3,0,0,13,232,6,20,0,0,258,3,0,0,0,0,3,29,0,4,0,0,33,1407,6,30,9,0,1452
POA6240,54,0,0,0,0,54,32,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,16,0,0,0,0,16,3,0,0,0,0,3,0,0,0,0,0,0,105,0,0,0,0,105
POA6244,301,0,0,0,3,304,169,0,0,0,0,169,20,0,0,0,0,20,13,0,0,0,0,13,50,0,0,0,0,50,0,0,0,0,0,0,18,0,0,0,0,18,19,0,0,0,0,19,120,0,0,0,0,120,4,0,0,0,0,4,16,0,0,0,0,16,610,0,0,0,3,613
POA6251,72,0,5,3,0,80,56,0,0,0,0,56,3,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,8,3,0,0,0,0,3,22,0,0,0,0,22,0,0,0,0,0,0,4,0,0,0,0,4,154,0,5,3,0,162
POA6253,126,0,0,0,0,126,70,0,0,0,4,74,6,0,0,0,0,6,3,0,0,0,0,3,22,0,0,0,0,22,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,37,0,0,0,0,37,11,0,0,0,0,11,5,0,0,0,0,5,249,0,0,0,4,253
POA6254,98,0,0,3,0,101,86,0,0,3,0,89,16,0,0,0,0,16,5,0,0,0,0,5,21,0,0,0,0,21,4,0,0,0,0,4,17,0,0,0,0,17,0,0,0,0,0,0,63,0,0,0,0,63,0,0,0,0,0,0,11,0,0,0,0,11,258,0,0,6,0,264
POA6255,539,10,0,3,0,552,472,3,0,7,0,482,108,4,5,0,0,117,28,7,0,0,0,35,101,0,0,6,0,107,0,4,0,0,0,4,15,3,0,0,4,22,10,3,0,0,0,13,262,21,5,6,4,298,9,11,0,0,0,20,24,3,0,3,0,30,1306,48,5,19,4,1382
POA6256,36,0,0,0,0,36,29,0,0,0,0,29,6,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,83
POA6258,865,0,21,3,0,889,745,0,8,3,0,756,200,3,51,0,0,254,74,12,37,0,0,123,166,3,6,0,0,175,3,0,23,0,3,29,39,0,8,0,0,47,30,0,6,0,0,36,512,18,131,0,3,664,20,0,0,0,0,20,47,6,11,0,0,64,2189,24,171,6,3,2393
POA6260,236,0,0,0,0,236,148,0,0,3,0,151,58,0,0,0,0,58,10,0,0,0,0,10,32,0,0,0,0,32,0,0,0,0,0,0,27,0,0,0,3,30,11,0,0,0,0,11,138,0,0,0,3,141,11,0,0,0,0,11,16,0,0,0,0,16,549,0,0,3,3,555
POA6262,152,4,0,0,0,156,87,0,0,0,0,87,13,0,0,0,0,13,3,0,4,0,0,7,24,0,0,0,0,24,0,0,0,0,0,0,7,0,0,0,0,7,13,0,0,0,0,13,60,0,4,0,0,64,3,0,0,0,0,3,3,0,0,0,0,3,305,4,4,0,0,313
POA6271,303,0,5,3,0,311,387,0,0,0,0,387,120,0,0,0,0,120,26,3,0,0,0,29,79,0,0,0,0,79,0,0,0,0,0,0,11,0,0,0,0,11,7,0,0,4,0,11,243,3,0,4,0,250,4,0,0,0,0,4,16,3,0,0,0,19,953,6,5,7,0,971
POA6275,230,0,0,9,0,239,122,0,0,7,0,129,21,0,0,0,0,21,11,6,0,0,0,17,37,0,0,8,0,45,0,0,0,0,0,0,37,0,0,0,0,37,14,0,0,0,0,14,120,6,0,8,0,134,7,0,0,0,0,7,9,0,0,0,0,9,488,6,0,24,0,518
POA6280,2378,205,69,101,5,2758,2608,73,22,4,0,2707,1086,149,64,0,0,1299,250,196,78,3,0,527,650,56,26,3,0,735,16,20,0,3,0,39,100,7,7,32,4,150,59,6,6,3,0,74,2161,434,181,44,4,2824,84,20,15,4,0,123,148,19,11,4,0,182,7379,751,298,157,9,8594
POA6281,543,12,3,21,0,579,673,11,3,6,0,693,321,23,5,3,0,352,12,0,9,0,0,21,209,8,0,5,0,222,0,0,0,0,0,0,24,0,0,4,0,28,22,0,0,0,0,22,588,31,14,12,0,645,7,0,0,0,0,7,34,4,3,0,0,41,1845,58,23,39,0,1965
POA6282,162,0,0,3,0,165,152,5,0,3,0,160,13,3,0,0,0,16,0,0,0,0,0,0,44,4,0,3,0,51,0,0,0,0,0,0,13,0,0,3,0,16,5,0,0,0,0,5,75,7,0,6,0,88,5,0,0,0,0,5,4,0,0,0,0,4,398,12,0,12,0,422
POA6284,137,4,0,3,0,144,210,0,0,0,0,210,39,8,3,0,0,50,0,3,0,0,0,3,66,3,0,0,0,69,0,6,0,0,0,6,19,0,0,8,0,27,8,0,0,0,0,8,132,20,3,8,0,163,4,0,0,0,0,4,0,0,0,0,0,0,483,24,3,11,0,521
POA6285,643,21,3,6,0,673,938,20,0,0,0,958,357,52,8,0,0,417,43,22,0,0,0,65,307,14,7,0,0,328,4,14,0,0,0,18,46,0,0,12,0,58,29,0,0,0,0,29,786,102,15,12,0,915,16,10,0,0,0,26,38,6,0,11,0,55,2421,159,18,29,0,2627
