region_id,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_unit_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_unit_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_unit_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_unit_aprt,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_Ps_not_in_s_hh_DS_Flt_ut_at,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Fl_u_at,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flt_unt_apt,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flt_unit_apt,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_unit_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flt_unt_apt,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flt_unt_apt,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_unit_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
POA6053,1250,179,43,0,0,1472,1865,211,49,3,0,2128,439,156,49,0,3,647,56,131,37,0,0,224,432,77,46,0,0,555,9,62,3,0,0,74,22,8,0,0,0,30,22,5,4,0,0,31,980,439,139,0,3,1561,17,68,0,0,0,85,71,40,11,0,0,122,4183,937,242,3,3,5368
POA6054,1957,130,134,0,0,2221,2716,227,163,0,0,3106,578,111,108,0,0,797,228,171,128,0,0,527,524,77,75,5,0,681,11,12,8,0,0,31,37,4,9,0,0,50,32,7,5,0,0,44,1410,382,333,5,0,2130,31,17,14,0,0,62,151,23,21,0,0,195,6265,779,665,5,0,7714
POA6055,1026,31,5,147,6,1215,1888,38,3,3,0,1932,266,25,10,0,0,301,76,35,21,0,0,132,253,19,5,3,0,280,5,3,3,0,0,11,35,3,0,13,4,55,20,0,0,0,0,20,655,85,39,16,4,799,11,0,0,4,0,15,62,6,5,51,0,124,3642,160,52,221,10,4085
POA6056,3659,186,74,34,0,3953,4992,230,147,3,0,5372,984,367,217,0,0,1568,270,218,199,0,0,687,984,172,104,3,0,1263,31,19,12,0,0,62,83,35,13,13,0,144,44,14,3,4,0,65,2396,825,548,20,0,3789,52,3,9,3,0,67,300,48,24,3,0,375,11399,1292,802,63,0,13556
POA6057,1712,12,0,3,0,1727,2751,3,12,0,0,2766,405,8,0,0,0,413,68,10,0,0,0,78,385,0,4,0,0,389,3,0,0,0,0,3,31,0,0,0,0,31,20,0,0,0,0,20,912,18,4,0,0,934,31,5,0,0,0,36,100,3,0,0,0,103,5506,41,16,3,0,5566
POA6058,1191,63,5,54,0,1313,1877,22,3,0,0,1902,352,21,8,0,0,381,74,58,3,0,0,135,345,22,5,0,0,372,8,9,0,0,0,17,26,0,0,5,0,31,13,0,0,0,0,13,818,110,16,5,0,949,21,123,0,0,0,144,66,13,3,7,0,89,3973,331,27,66,0,4397
POA6059,2889,504,136,0,0,3529,2176,507,122,0,0,2805,494,300,125,0,0,919,36,116,56,0,0,208,474,262,81,0,0,817,4,7,37,0,0,48,42,25,9,0,0,76,27,11,8,0,0,46,1077,721,316,0,0,2114,27,18,58,0,0,103,154,54,29,0,0,237,6323,1804,661,0,0,8788
POA6060,1523,840,274,0,0,2637,1113,1288,476,0,5,2882,512,1032,702,0,0,2246,42,146,102,0,0,290,435,612,317,0,0,1364,3,30,32,0,0,65,32,57,34,0,0,123,27,19,8,0,0,54,1051,1896,1195,0,0,4142,21,21,18,0,0,60,95,98,71,0,0,264,3803,4143,2034,0,5,9985
POA6061,2061,452,74,0,0,2587,2571,1338,182,0,0,4091,1105,849,190,0,0,2144,675,504,124,0,0,1303,871,432,78,0,0,1381,14,58,11,3,0,86,173,49,15,0,0,237,41,24,3,0,0,68,2879,1916,421,3,0,5219,45,21,3,0,0,69,285,116,25,0,0,426,7841,3843,705,3,0,12392
POA6062,4078,398,83,3,0,4562,3227,491,69,0,7,3794,913,296,68,0,0,1277,84,50,18,0,0,152,861,256,34,0,0,1151,9,12,19,0,0,40,116,20,4,0,0,140,42,10,4,0,0,56,2025,644,147,0,0,2816,40,8,29,0,0,77,218,44,14,0,0,276,9588,1585,342,3,7,11525
