region_id,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_199_cpl_fam_no_child,FI_1_199_cpl_fam_with_child,FI_1_199_One_parent_fam,FI_1_199_Other_fam,FI_1_199_Tot,FI_200_299_cpl_fam_no_child,FI_200_299_cpl_fam_with_child,FI_200_299_One_parent_fam,FI_200_299_Other_fam,FI_200_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_599_cpl_fam_no_child,FI_400_599_cpl_fam_with_child,FI_400_599_One_parent_fam,FI_400_599_Other_fam,FI_400_599_Tot,FI_600_799_cpl_fam_no_child,FI_600_799_cpl_fam_with_child,FI_600_799_One_parent_fam,FI_600_799_Other_fam,FI_600_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_with_child,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1999_cpl_fam_no_child,FI_1500_1999_cpl_fam_wth_chld,FI_1500_1999_One_parent_fam,FI_1500_1999_Other_fam,FI_1500_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cple_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cple_fam_no_child,All_inc_ns_cple_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cple_fam_no_child,Tot_cple_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
POA6606,0,3,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,3,0,0,6,3,3,0,0,6,5,4,0,0,9,3,5,3,0,11,3,3,0,3,9,10,6,4,0,20,8,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,6,0,0,11,0,0,0,0,0,46,37,7,3,93
POA6608,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,3,3,0,0,6,3,3,0,0,6,3,4,0,0,7,3,3,0,0,6,4,3,0,0,7,0,0,0,0,0,0,0,0,0,0,4,3,0,0,7,0,3,0,0,3,0,0,0,0,0,3,10,0,0,13,0,3,0,0,3,30,35,4,0,69
POA6609,0,0,0,0,0,3,0,3,0,6,0,0,0,0,0,3,0,0,0,3,5,0,3,0,8,6,0,0,0,6,3,5,3,0,11,3,7,3,0,13,4,5,3,0,12,8,10,3,0,21,12,0,0,0,12,3,7,0,0,10,3,5,0,0,8,0,3,0,0,3,3,6,0,0,9,4,17,0,0,21,0,0,0,0,0,60,65,18,0,143
POA6612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,5,4,0,0,9,3,0,0,0,3,0,3,0,3,6,3,0,0,0,3,5,7,0,0,12,3,3,0,0,6,0,0,3,0,3,3,3,0,0,6,0,0,0,0,0,3,0,0,0,3,3,3,3,0,9,0,3,0,0,3,31,29,6,3,69
POA6620,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,3,0,6,3,0,0,0,3,0,0,5,0,5,3,5,0,0,8,0,0,0,0,0,3,0,0,0,3,3,4,0,0,7,3,3,0,0,6,0,4,0,0,4,3,4,0,0,7,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,24,23,8,0,55
POA6623,8,0,0,0,8,3,3,0,0,6,0,0,0,0,0,3,0,3,0,6,11,6,14,0,31,11,12,3,0,26,16,9,3,0,28,8,12,4,0,24,6,22,3,0,31,12,24,0,0,36,9,7,0,0,16,8,5,0,0,13,3,7,0,0,10,0,0,0,0,0,6,8,0,0,14,16,25,3,0,44,6,0,3,0,9,126,140,36,0,302
POA6628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,0,4,0,8,0,0,8,4,6,0,3,13,0,5,0,0,5,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,5,0,0,9,0,4,0,0,4,0,0,0,0,0,14,32,3,3,52
POA6630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,0,8,0,15,4,4,3,0,11,7,4,3,0,14,0,6,0,0,6,4,4,0,0,8,8,4,0,0,12,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,8,9,4,8,0,21,0,0,3,0,3,49,29,28,0,106
POA6635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,6,0,6,3,0,9,0,3,3,0,6,7,3,0,0,10,3,0,0,0,3,0,0,0,0,0,3,3,0,0,6,3,3,0,0,6,0,3,0,0,3,3,0,0,0,3,3,3,0,0,6,4,6,0,0,10,0,0,3,0,3,29,30,12,0,71
POA6638,0,0,0,0,0,3,0,0,0,3,3,3,3,0,9,0,0,0,0,0,6,6,7,0,19,5,6,3,0,14,6,3,3,3,15,4,0,0,0,4,3,6,5,0,14,5,8,0,0,13,3,3,0,0,6,3,0,0,0,3,0,3,0,0,3,0,0,0,0,0,3,3,0,0,6,5,10,0,6,21,0,0,3,0,3,49,51,24,9,133
POA6639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,7,3,0,0,10,3,0,0,0,3,19,8,0,0,27
POA6640,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,3,7,0,3,0,10,3,4,0,0,7,6,0,3,0,9,3,0,0,0,3,0,0,0,0,0,4,0,0,0,4,4,0,0,0,4,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,4,3,0,7,31,12,15,0,58
POA6642,0,4,3,0,7,3,3,3,0,9,0,0,0,0,0,0,0,4,0,4,8,6,9,3,26,4,7,5,0,16,3,5,3,0,11,8,12,4,0,24,3,0,0,0,3,14,7,0,0,21,14,5,0,0,19,3,3,0,0,6,3,3,0,0,6,0,0,0,0,0,3,0,0,3,6,6,9,5,0,20,9,4,9,0,22,81,68,45,6,200
