region_id,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
POA6149,318,127,448,2866,1170,180,4216,10632,694,15542
POA6150,239,55,298,1795,758,87,2640,8062,512,11214
POA6151,267,55,325,2209,859,156,3224,9549,1205,13978
POA6152,618,162,783,2945,1348,149,4442,14937,1586,20965
POA6153,368,97,468,2809,1328,124,4261,10556,1213,16030
POA6154,375,51,434,1551,573,82,2206,5204,524,7934
POA6155,284,36,330,8803,2715,364,11882,23467,2546,37895
POA6156,327,56,389,2740,964,152,3856,8084,823,12763
POA6157,344,79,426,2044,774,118,2936,7114,744,10794
POA6158,138,19,157,1231,472,67,1770,3484,376,5630
POA6159,63,0,63,344,219,19,582,1555,239,2376
POA6160,116,24,147,840,440,59,1339,4892,631,6862
POA6161,0,0,0,5,3,7,15,78,6,99
POA6162,179,37,216,1559,630,134,2323,5644,657,8624
POA6163,710,194,912,6752,2889,374,10015,25823,2609,38447
POA6164,187,20,212,9888,2402,450,12740,21185,2136,36061
POA6165,0,0,0,12,6,3,21,58,21,100
POA6166,63,15,78,1321,586,54,1961,4342,443,6746
POA6167,185,60,245,3867,1174,195,5236,9896,2375,17507
POA6168,462,121,583,3061,1475,163,4699,13113,1840,19652
POA6169,388,74,467,5624,2230,297,8151,16991,2153,27295
POA6170,10,3,13,1267,436,72,1775,2736,408,4919
POA6171,23,3,31,3665,820,228,4713,6195,579,11487
POA6172,66,47,113,2779,759,186,3724,5576,981,10281
POA6173,9,0,9,2649,495,135,3279,3695,334,7308
POA6174,5,0,5,395,125,23,543,957,154,1654
POA6175,8,0,8,667,177,40,884,1169,130,2183
POA6176,0,0,0,135,50,3,188,351,26,565
POA6180,0,6,6,704,186,30,920,1446,210,2576
POA6181,0,0,0,95,31,4,130,228,36,394
POA6182,0,0,0,0,0,0,0,0,0,0
POA6207,4,0,7,166,47,12,225,539,87,851
POA6208,101,30,131,1428,560,92,2080,4922,672,7674
POA6209,23,14,37,241,113,11,365,1030,158,1553
POA6210,1065,445,1518,8588,3696,516,12800,32315,4751,49866
POA6211,19,5,24,974,361,47,1382,2627,303,4312
POA6213,0,0,0,114,54,5,173,345,39,557
POA6214,0,0,0,72,30,0,102,157,17,276
POA6215,50,8,58,572,196,42,810,1849,189,2848
POA6218,3,0,3,67,26,0,93,209,60,362
POA6220,55,18,73,716,278,43,1037,2431,369,3837
POA6221,3,0,3,87,15,4,106,203,31,340
POA6224,12,3,15,191,82,13,286,542,92,920
POA6225,122,21,143,1494,590,75,2159,4571,631,7361
POA6226,3,3,6,120,54,4,178,276,27,481
POA6227,0,0,3,115,20,8,143,195,32,370
POA6229,3,3,6,89,36,3,128,234,41,403
POA6230,530,158,698,6623,2289,339,9251,20044,3048,32343
POA6232,152,26,178,1810,577,106,2493,4340,453,7286
POA6233,82,21,103,3082,910,168,4160,6941,853,11954
POA6236,8,8,16,362,113,26,501,902,87,1490
POA6237,15,3,18,425,145,25,595,1277,130,2002
POA6239,47,11,58,653,226,29,908,2128,199,3235
POA6240,0,0,0,49,17,0,66,137,8,211
POA6244,31,4,35,292,78,12,382,797,72,1251
POA6251,0,0,0,67,27,0,94,225,32,351
POA6253,9,0,9,67,45,0,112,339,31,482
POA6254,7,0,7,98,26,0,124,347,34,505
POA6255,48,6,54,564,198,32,794,1840,121,2755
POA6256,3,0,3,35,9,0,44,112,9,165
POA6258,94,26,123,1013,317,54,1384,3193,342,4919
POA6260,19,5,24,278,94,17,389,738,67,1194
POA6262,0,0,0,114,40,6,160,412,56,628
POA6271,10,3,16,470,143,32,645,1281,225,2151
POA6275,11,3,14,166,74,14,254,740,69,1063
POA6280,444,81,528,3998,1319,192,5509,11602,1365,18476
POA6281,42,10,52,1091,334,60,1485,2539,268,4292
POA6282,3,3,6,249,77,18,344,573,55,972
POA6284,7,3,10,357,71,22,450,645,110,1205
POA6285,74,16,90,1483,359,104,1946,3314,529,5789
POA6286,5,0,5,76,35,6,117,330,56,503
POA6288,6,0,6,51,29,3,83,224,43,350
POA6290,60,18,78,186,113,13,312,1016,115,1443
POA6302,36,12,48,483,233,35,751,1796,229,2776
POA6304,30,6,36,181,64,9,254,932,104,1290
POA6306,30,6,36,142,51,3,196,484,68,748
POA6308,26,6,32,265,102,12,379,779,96,1254
POA6309,3,0,3,54,6,3,63,144,12,219
POA6311,4,0,4,111,28,9,148,296,27,471
POA6312,98,16,114,748,297,68,1113,2411,272,3796
POA6313,0,0,0,66,32,3,101,185,13,299
POA6315,40,12,52,291,101,12,404,959,101,1464
POA6316,3,0,3,85,17,7,109,174,22,305
POA6317,39,25,64,694,199,33,926,1976,259,3161
POA6318,0,0,0,39,9,0,48,122,8,178
POA6320,11,3,14,169,42,12,223,372,57,652
POA6321,0,4,4,30,7,6,43,140,19,202
POA6322,4,6,10,69,31,5,105,226,41,372
POA6323,7,3,10,158,45,6,209,517,47,773
POA6324,63,10,73,498,127,23,648,1591,180,2419
POA6326,4,0,4,79,27,0,106,283,32,421
POA6327,3,0,3,55,24,4,83,154,7,244
POA6328,0,0,0,64,22,6,92,228,25,345
POA6330,616,128,747,5296,1878,337,7511,16794,2026,26331
POA6333,83,19,102,818,248,82,1148,2791,257,4196
POA6335,11,3,14,145,64,17,226,339,39,604
POA6336,0,0,0,41,19,3,63,112,16,191
POA6337,0,0,0,87,38,5,130,221,18,369
POA6338,0,0,0,149,29,9,187,345,49,581
POA6341,0,0,0,54,16,0,70,139,8,217
POA6343,0,0,0,59,18,0,77,96,3,176
POA6346,3,0,3,115,26,10,151,406,31,588
POA6348,3,4,7,249,43,13,305,646,112,1063
POA6350,7,0,7,25,10,3,38,122,15,175
POA6352,0,0,0,86,29,9,124,179,6,309
POA6353,11,0,11,134,30,11,175,365,26,566
POA6355,0,3,3,185,43,0,228,392,37,657
POA6358,3,3,6,38,23,0,61,124,12,197
POA6359,4,0,4,102,33,12,147,231,62,440
POA6365,11,0,11,112,50,6,168,277,15,460
POA6367,6,0,6,49,22,0,71,127,14,212
POA6368,0,0,0,34,13,0,47,95,6,148
POA6369,15,11,29,89,32,4,125,346,40,511
POA6370,6,3,9,99,25,3,127,276,28,431
POA6373,0,0,0,47,6,3,56,122,6,184
POA6375,29,5,34,104,65,10,179,452,59,690
POA6383,25,3,28,161,38,0,199,595,44,838
POA6386,0,0,0,56,9,6,71,106,3,180
POA6390,15,3,18,374,93,34,501,959,389,1849
POA6391,6,0,6,157,64,14,235,457,37,729
POA6392,8,0,8,97,24,9,130,227,25,382
POA6393,4,0,4,74,22,0,96,190,14,300
POA6394,0,0,0,81,26,4,111,195,15,321
POA6395,29,3,32,274,121,13,408,752,76,1236
POA6396,0,0,0,67,10,4,81,167,29,277
POA6397,6,0,6,50,15,0,65,149,98,312
POA6398,6,0,6,77,28,8,113,302,37,452
POA6401,137,24,167,1066,420,65,1551,3686,700,5937
POA6403,0,0,0,35,15,0,50,99,3,152
POA6405,0,3,3,41,6,0,47,154,12,213
POA6407,21,8,29,148,53,8,209,579,58,846
POA6409,4,0,4,80,28,4,112,155,27,294
POA6410,31,3,34,178,67,6,251,603,67,921
POA6413,3,0,3,25,7,0,32,92,0,124
POA6415,30,8,38,454,126,23,603,1500,169,2272
POA6418,15,9,24,109,50,12,171,341,50,562
POA6421,0,0,0,53,9,0,62,109,6,177
POA6423,3,0,3,50,9,0,59,153,18,230
POA6425,4,0,4,24,4,0,28,97,4,129
POA6426,7,0,7,204,35,10,249,508,79,836
POA6429,0,0,0,192,67,0,259,779,218,1256
POA6430,113,23,136,3955,1018,227,5200,10157,2217,17574
POA6431,0,0,3,71,105,9,185,279,47,511
POA6432,13,13,26,1203,305,89,1597,3278,1055,5930
POA6434,0,0,0,32,0,0,32,72,3,107
POA6436,0,0,0,18,3,0,21,101,21,143
POA6437,0,0,3,244,38,3,285,583,198,1066
POA6438,8,0,8,93,51,7,151,490,399,1040
POA6440,0,0,0,145,71,11,227,613,126,966
POA6442,4,0,4,565,99,33,697,1001,240,1938
POA6443,6,3,9,155,41,10,206,550,170,926
POA6445,0,0,0,40,4,0,44,72,3,119
POA6447,3,0,3,100,22,9,131,174,37,342
POA6448,4,0,4,71,17,0,88,219,58,365
POA6450,142,40,182,2074,656,107,2837,5915,913,9665
POA6460,14,3,17,177,58,5,240,470,47,757
POA6461,8,9,17,58,27,4,89,176,24,289
POA6462,6,0,6,65,21,0,86,139,6,231
POA6468,0,3,3,39,17,6,62,96,8,166
POA6472,0,0,0,35,3,6,44,95,3,142
POA6475,4,0,4,75,24,3,102,216,15,333
POA6477,4,0,4,55,5,3,63,161,4,228
POA6479,4,0,4,68,34,8,110,267,22,399
POA6484,0,0,0,47,15,0,62,217,88,367
POA6485,17,0,17,75,13,6,94,285,44,423
POA6488,6,0,6,57,6,7,70,187,22,279
POA6490,3,0,3,28,10,3,41,125,12,178
POA6501,3,0,3,183,69,7,259,482,48,789
POA6502,8,6,14,150,44,3,197,583,87,867
POA6503,15,9,24,341,116,16,473,962,158,1593
POA6505,0,0,0,43,12,0,55,156,24,235
POA6507,4,0,4,65,27,4,96,226,9,331
POA6509,3,0,3,60,17,0,77,171,9,257
POA6510,34,8,42,342,113,16,471,1020,113,1604
POA6511,3,0,3,58,35,3,96,253,39,388
POA6513,0,0,0,47,15,6,68,63,8,139
POA6514,0,0,0,56,36,12,104,368,48,520
POA6515,6,0,6,76,19,3,98,252,7,357
POA6516,13,6,19,254,50,12,316,749,114,1179
POA6517,3,3,6,74,31,3,108,205,31,344
POA6518,0,0,0,9,4,0,13,61,15,89
POA6519,9,3,12,111,21,7,139,285,44,468
POA6521,4,0,4,62,17,3,82,183,9,274
POA6522,4,0,4,89,14,3,106,233,23,362
POA6525,40,9,49,569,159,24,752,1834,225,2811
POA6528,3,0,3,39,24,0,63,144,26,233
POA6530,364,89,461,5216,1890,324,7430,15301,2022,24753
POA6532,19,6,28,1018,269,52,1339,2656,563,4558
POA6535,23,11,34,200,73,4,277,845,114,1236
