POA_CODE_2016,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
POA6000,15,98,32,18,13,6,5,0,193,3,103,64,17,13,0,0,0,207,54,427,187,93,92,49,14,3,916,16,116,38,29,24,11,7,3,243,3,22,9,5,3,3,0,0,42,20,100,46,14,27,4,3,0,215,0,24,17,13,8,11,0,0,84,59,318,160,85,57,19,5,0,698,50,184,83,41,57,18,5,0,439,25,86,35,17,13,10,0,0,176,24,82,35,14,12,3,0,0,177,0,5,3,0,0,0,0,0,11,4,11,12,12,3,5,0,0,52,115,369,173,114,106,49,26,10,967,388,1961,890,482,410,191,71,19,4413,22,81,27,14,6,3,0,0,152,8,31,28,3,6,0,0,0,72,14,81,27,11,3,3,3,0,151,7,31,15,7,0,0,0,0,67,0,14,3,3,0,0,0,0,20,40,211,73,30,25,20,5,0,407,14,67,39,27,28,18,5,0,195,102,422
POA6003,3,23,9,3,0,5,0,0,44,3,22,14,0,3,0,0,0,48,23,104,45,25,30,5,5,0,242,5,35,13,10,3,6,0,0,66,0,3,0,3,6,0,0,0,11,6,31,7,6,4,3,0,0,56,0,10,6,5,7,7,0,0,34,15,88,45,27,16,7,0,0,197,3,59,28,15,14,8,0,0,132,5,32,15,5,4,3,0,0,70,9,31,9,11,5,0,0,0,66,0,0,0,0,0,0,0,0,3,0,7,4,0,0,0,0,0,14,48,146,66,38,29,8,6,0,343,119,588,261,148,121,56,19,3,1323,9,20,11,0,0,0,3,0,40,4,8,8,3,3,0,0,0,20,0,20,3,3,0,0,0,0,26,0,12,10,3,0,0,0,0,25,0,6,0,0,0,0,0,0,9,9,67,15,7,8,4,3,0,117,6,24,12,11,10,8,3,0,79,27,129
POA6004,12,70,26,29,26,15,4,0,181,11,88,53,17,12,0,3,0,187,64,387,171,113,112,58,19,3,935,18,83,27,25,28,16,8,0,205,3,14,3,9,3,6,0,0,37,10,90,36,13,21,12,3,0,199,0,20,9,10,11,7,4,0,61,55,354,140,106,73,49,9,3,790,21,106,55,41,56,28,7,3,311,9,45,14,3,6,4,0,3,87,20,82,29,8,7,4,0,0,157,3,6,0,0,0,0,0,0,13,3,8,6,7,3,3,0,0,36,116,345,125,81,99,58,30,6,855,354,1706,703,455,455,269,94,21,4054,21,70,21,12,9,3,3,0,144,4,38,10,7,3,0,0,0,62,12,96,38,8,4,0,0,0,164,4,33,15,6,3,3,0,0,65,6,14,0,0,3,0,0,0,24,43,168,48,36,49,32,7,0,390,10,40,28,29,57,23,7,0,191,95,461
POA6005,14,48,25,18,8,0,3,0,109,10,63,31,8,0,3,0,0,121,20,205,80,56,28,34,9,3,441,10,49,14,13,5,9,3,0,101,0,14,3,0,3,0,0,0,26,10,49,19,6,14,6,5,0,117,0,9,7,6,12,3,5,0,37,28,148,90,41,37,21,4,0,373,22,87,46,30,31,9,12,0,225,4,33,7,8,0,4,0,0,67,7,29,13,12,4,8,0,0,75,0,0,0,0,0,4,0,0,10,0,9,12,0,3,3,3,0,28,47,154,76,49,36,40,20,13,443,175,890,422,258,184,150,70,13,2167,10,60,10,7,3,0,0,0,92,3,15,12,0,4,0,0,0,36,15,43,19,10,3,0,3,0,90,3,17,11,9,0,0,0,0,40,0,9,4,0,0,0,0,0,10,16,141,39,29,15,12,10,3,275,3,39,22,20,14,20,3,0,118,26,196
POA6006,3,33,32,33,15,5,3,0,122,6,31,33,24,3,6,0,0,105,32,154,122,87,85,49,19,8,560,14,64,43,37,33,12,21,3,229,3,11,8,13,0,3,0,0,35,9,34,34,27,19,8,0,0,138,0,15,16,22,31,8,4,0,92,17,113,120,91,56,34,8,0,445,14,71,55,51,34,14,14,0,251,26,60,26,15,18,6,3,0,159,10,23,16,17,15,0,3,0,88,0,0,0,0,0,0,0,0,3,0,5,4,4,5,0,0,0,21,26,69,52,67,43,35,27,14,339,174,682,555,495,364,183,93,32,2581,7,40,31,22,8,3,0,0,120,0,5,10,11,3,0,0,0,24,7,16,16,6,6,0,11,4,72,3,15,8,3,3,0,0,0,38,4,12,8,4,0,0,0,0,20,28,115,77,67,53,15,9,3,376,5,45,53,60,49,19,13,8,255,28,178
POA6007,9,49,37,26,22,14,5,0,152,4,38,37,16,6,3,0,0,98,23,169,100,57,52,35,15,8,464,9,59,39,31,19,10,3,0,178,3,14,10,6,3,5,3,0,38,10,65,42,35,22,18,3,0,196,3,14,14,9,19,5,5,0,65,12,117,94,71,51,23,11,3,378,19,73,63,38,25,13,7,0,231,10,50,18,8,14,6,0,0,113,6,16,11,14,5,0,0,0,58,3,3,0,0,0,0,0,0,6,0,9,4,10,9,0,0,0,28,33,99,53,24,22,28,16,10,282,147,784,514,336,273,167,55,18,2289,10,46,30,14,13,5,0,0,116,0,4,11,4,3,0,0,0,24,7,37,29,4,3,3,5,3,87,4,26,16,6,3,0,0,0,56,0,7,7,0,4,0,0,0,21,28,161,93,68,66,37,17,4,473,5,49,39,29,48,27,13,5,216,36,178
POA6008,24,79,58,76,68,48,20,3,376,11,43,42,37,18,12,0,0,156,53,204,210,145,130,107,47,14,900,17,67,34,45,48,36,25,3,277,10,19,10,6,9,11,9,0,71,13,116,88,84,76,40,21,3,447,10,14,17,24,35,31,9,5,147,38,209,223,189,143,104,37,3,956,29,141,99,81,96,94,21,3,568,19,45,29,33,16,12,4,0,159,13,27,18,17,9,6,0,3,91,0,3,0,4,3,3,0,0,8,3,5,6,12,9,4,5,4,41,49,120,95,71,82,87,47,26,574,285,1086,921,826,737,594,253,62,4769,37,68,54,65,29,10,5,0,279,0,12,20,8,9,3,0,0,64,10,51,52,26,8,3,6,0,156,9,26,26,23,11,4,4,0,93,3,16,9,8,3,0,0,0,48,57,285,163,175,166,121,74,37,1078,11,52,59,93,125,105,39,5,492,52,216
POA6009,113,157,67,78,91,75,37,10,620,13,28,29,24,19,3,3,0,116,165,243,160,182,149,108,56,24,1083,14,42,31,39,38,27,9,7,202,12,25,17,15,8,11,11,3,104,35,115,124,152,134,143,68,15,779,7,12,5,17,34,35,11,4,121,103,150,197,274,187,122,62,13,1100,70,115,100,111,111,93,44,13,667,32,37,22,14,17,10,4,0,135,8,13,9,4,4,10,3,0,43,20,0,0,0,0,0,0,0,23,6,7,6,12,5,3,3,4,43,101,68,56,54,55,48,26,18,421,701,1000,825,969,848,682,331,106,5459,145,139,64,65,43,39,14,3,516,3,11,9,14,10,0,0,0,52,37,44,41,33,16,6,4,3,189,13,16,17,17,11,9,0,0,90,11,25,16,13,6,3,0,0,70,64,172,201,213,199,170,72,26,1116,11,46,59,101,162,162,49,20,618,148,143
POA6010,24,46,40,69,54,46,17,13,306,3,30,23,29,10,4,3,0,97,49,134,157,186,155,120,78,18,896,16,52,37,45,44,44,15,8,260,3,10,15,19,12,9,19,4,86,14,55,83,105,96,83,57,29,522,6,14,21,29,34,33,25,6,170,64,138,173,257,184,147,66,17,1050,24,87,101,89,104,85,32,12,536,20,30,14,12,14,9,6,0,106,6,17,13,9,10,6,3,0,59,0,0,0,0,0,0,0,0,0,5,9,15,12,12,8,3,0,58,66,90,93,93,85,71,46,19,568,305,708,781,954,811,663,365,132,4720,44,55,47,47,40,21,12,13,267,5,9,18,18,8,3,0,0,54,12,24,32,29,11,3,4,4,118,7,29,11,14,17,6,0,0,93,4,7,8,10,9,3,0,0,43,37,159,148,252,219,164,112,57,1145,11,46,82,138,187,138,78,34,709,41,165
POA6011,21,24,34,34,32,25,10,4,193,0,9,12,4,12,4,0,0,40,21,79,68,73,104,68,32,11,462,7,39,24,32,36,15,8,3,173,0,3,11,3,16,6,6,0,53,8,48,49,71,71,39,26,7,324,0,6,8,7,21,15,7,4,68,37,96,108,192,123,82,25,7,659,19,45,43,75,71,63,15,6,331,16,20,10,12,11,10,0,0,80,0,12,4,8,3,7,0,0,34,0,0,0,0,0,0,0,0,0,0,3,6,3,9,0,3,0,20,41,58,34,51,49,33,22,7,291,171,436,416,564,563,362,169,48,2729,16,32,26,20,30,10,0,7,126,0,0,3,6,6,0,0,0,13,6,7,10,7,10,0,3,5,48,10,15,17,20,8,8,0,0,81,3,12,4,6,3,4,0,0,32,25,130,82,126,110,65,48,32,624,8,28,32,79,117,94,28,13,401,29,104
POA6012,8,29,25,37,29,23,3,4,163,0,16,10,15,4,0,0,0,49,17,92,78,93,91,70,24,12,482,7,36,29,36,31,13,14,0,167,3,7,13,13,5,10,6,0,64,3,32,52,44,34,34,6,3,210,0,7,11,14,23,20,4,3,79,21,67,119,119,81,60,16,4,497,19,49,36,52,33,43,19,3,246,9,22,12,15,14,12,3,0,88,4,21,9,6,8,3,0,0,55,0,0,0,0,0,0,3,0,7,0,3,3,5,3,3,0,0,21,29,60,47,58,51,55,37,25,354,116,444,438,519,409,352,139,56,2482,27,45,28,20,29,11,0,0,157,0,3,8,4,3,0,0,0,20,3,22,8,12,3,0,3,0,58,0,15,10,4,0,8,0,0,43,0,5,10,10,0,0,0,0,35,24,100,85,120,76,54,32,11,500,11,45,45,66,87,62,32,4,353,28,101
POA6014,19,70,82,90,72,49,10,12,406,14,58,69,52,21,3,0,0,213,83,241,277,252,210,124,90,34,1301,26,92,70,66,59,37,22,13,372,3,14,27,23,14,10,3,4,104,15,101,151,114,68,31,25,9,516,8,29,32,42,51,34,15,14,225,70,244,298,303,195,108,58,26,1297,42,100,107,113,89,60,18,4,526,27,37,32,20,17,14,0,3,154,13,53,23,18,25,6,3,0,140,6,0,3,0,0,0,0,0,12,3,11,14,12,16,5,4,3,68,68,103,99,84,60,50,43,25,536,392,1147,1269,1193,881,544,283,150,5864,35,59,83,61,42,19,6,0,301,3,12,19,14,7,3,0,0,60,11,46,55,23,10,4,8,3,160,3,26,17,25,9,3,0,0,87,3,18,27,15,3,0,0,0,64,68,241,279,275,207,98,76,34,1288,17,81,130,166,202,107,59,35,792,54,326
POA6015,12,3,15,37,41,22,13,9,146,5,3,10,13,7,0,0,0,32,21,31,49,115,90,50,51,19,423,11,10,16,36,21,14,14,12,128,3,5,0,7,6,6,7,0,29,10,11,28,53,51,26,21,5,205,0,3,9,9,19,10,11,4,58,22,29,67,147,103,45,34,22,461,9,13,16,46,36,14,16,7,161,3,13,3,11,5,8,3,0,39,0,3,5,3,5,0,3,0,18,0,3,0,0,0,0,0,0,7,0,0,4,3,3,0,3,0,16,15,21,10,26,16,12,15,9,122,110,141,227,498,391,212,187,79,1849,22,8,20,32,17,13,9,0,114,0,0,3,11,5,0,0,0,15,4,3,16,14,0,0,3,0,38,0,3,4,8,0,0,0,0,26,3,4,3,3,0,0,0,0,18,11,28,66,108,85,43,41,23,405,9,13,34,80,57,46,36,12,281,24,26
POA6016,9,41,30,28,20,8,0,0,139,5,49,43,13,11,0,0,0,128,26,193,181,121,93,41,17,3,677,16,63,48,49,25,13,11,3,219,3,19,16,10,7,3,0,0,51,4,47,43,27,9,10,0,0,141,5,17,21,30,31,13,0,0,109,30,164,155,127,54,17,10,0,557,14,59,53,45,34,21,11,0,236,16,32,22,19,14,3,0,0,107,9,37,19,18,7,3,0,0,102,6,0,0,0,0,0,0,0,7,4,6,3,7,6,3,0,0,33,50,75,52,40,30,31,18,9,302,198,796,691,531,338,160,60,23,2807,12,36,32,28,11,0,0,0,121,3,16,10,9,3,3,0,0,48,8,28,28,10,3,3,0,0,84,9,15,18,8,3,0,0,0,53,3,6,12,3,0,0,0,0,30,23,129,150,94,63,22,4,3,491,11,64,69,74,63,30,9,4,313,54,208
POA6017,0,23,18,0,11,3,0,0,55,6,34,27,6,0,0,0,0,74,32,131,49,35,17,21,10,0,299,17,37,21,8,7,5,4,4,99,0,5,4,3,4,0,0,0,18,4,32,10,5,7,9,0,0,58,0,10,6,13,3,0,3,0,36,15,129,60,13,16,4,4,0,238,3,36,22,8,13,0,0,0,76,7,19,14,4,3,3,0,0,50,4,32,6,4,5,0,0,0,58,0,0,0,0,0,0,0,0,6,0,3,3,0,3,0,0,0,14,28,51,41,22,21,18,8,4,194,113,541,277,123,107,63,31,11,1271,8,20,12,3,3,0,0,0,49,9,25,4,0,0,0,0,0,35,5,12,7,3,0,0,3,0,31,9,16,9,0,3,0,0,0,36,0,3,3,3,0,0,0,0,7,25,85,27,11,17,11,5,0,178,11,44,10,11,16,9,4,0,103,35,122
POA6018,31,108,104,105,72,59,23,7,513,20,96,122,81,40,6,0,0,366,138,613,611,477,430,284,183,64,2796,64,350,191,181,125,68,63,13,1062,7,45,46,28,24,10,9,0,168,26,138,148,98,64,37,27,11,553,9,57,68,91,90,71,34,7,432,69,395,449,462,254,184,96,19,1934,43,158,153,130,106,73,27,9,695,40,94,64,32,31,9,6,0,280,12,71,57,43,23,23,6,5,246,9,0,0,0,0,3,3,3,15,3,22,24,21,15,6,4,0,104,123,251,208,179,136,89,88,68,1141,590,2396,2249,1935,1422,927,574,203,10299,48,116,121,75,54,18,6,0,443,5,18,37,22,20,6,3,0,119,12,84,69,41,27,14,17,8,271,16,41,53,33,12,4,0,0,160,11,33,24,19,3,0,0,0,94,87,542,427,341,256,166,100,29,1958,45,255,264,312,285,191,86,17,1455,133,641
POA6019,21,74,83,72,46,41,23,5,361,15,51,63,29,21,3,0,0,176,97,488,325,282,249,128,96,26,1693,44,311,143,94,88,36,25,10,760,6,45,29,23,14,8,4,0,135,18,109,85,75,39,31,13,7,381,0,35,51,52,56,39,25,4,254,63,285,298,259,141,97,51,12,1210,34,105,126,74,69,32,22,6,473,22,65,59,32,13,7,3,0,200,12,59,41,21,19,9,6,4,176,0,0,0,0,0,0,3,0,7,8,22,15,12,3,4,0,0,67,85,248,139,122,87,59,43,21,807,429,1901,1453,1149,844,504,322,96,6694,26,99,82,37,22,16,3,0,276,0,11,20,11,5,0,0,0,46,15,48,46,20,10,8,7,9,166,11,41,28,12,12,0,0,0,107,3,21,26,14,8,0,0,0,70,60,390,232,209,148,96,47,15,1205,27,165,152,172,166,107,61,10,862,85,468
POA6020,14,20,47,66,72,52,10,3,291,6,20,49,37,23,13,0,0,153,62,203,276,365,352,305,118,26,1710,38,116,124,112,120,100,31,11,655,5,13,21,21,23,18,6,0,107,18,38,45,68,48,26,5,3,253,6,18,30,40,84,77,25,8,284,46,105,248,286,268,201,58,11,1219,29,48,53,66,73,50,15,6,339,28,23,31,23,19,15,3,0,149,3,14,25,22,35,21,0,0,121,0,0,0,0,3,0,3,0,8,0,4,6,14,19,13,9,3,69,52,68,70,75,105,77,34,19,500,305,692,1033,1203,1244,980,323,83,5858,16,47,51,43,36,13,3,0,216,0,5,17,15,9,6,0,0,51,6,23,27,29,18,8,6,3,112,0,17,20,15,9,3,0,0,69,5,4,18,7,3,0,0,0,43,67,151,179,231,213,121,46,8,1011,25,72,187,224,308,162,30,12,1020,69,172
POA6021,21,33,31,32,15,12,4,0,157,19,75,68,41,12,8,0,0,219,85,361,302,272,241,168,105,18,1547,58,170,117,97,70,63,44,17,627,0,15,17,18,9,8,4,0,65,11,66,73,29,33,9,8,0,233,5,25,26,24,31,15,9,3,144,52,247,203,132,103,68,27,3,830,17,67,59,43,46,21,8,5,278,13,38,24,18,17,6,3,0,118,14,60,36,44,18,19,3,0,203,3,0,3,0,0,4,0,0,14,4,14,10,10,10,3,5,0,57,87,142,71,108,67,68,83,61,696,393,1307,1048,877,682,476,308,103,5185,23,35,49,26,8,0,0,0,152,4,20,21,16,4,4,0,0,77,11,43,38,14,9,12,18,3,157,7,26,10,6,4,0,0,0,57,4,14,7,3,0,0,0,0,33,49,213,138,93,83,45,26,3,643,23,113,120,117,98,55,19,4,550,86,347
POA6022,3,12,9,11,9,6,3,0,57,6,17,15,9,3,3,0,0,57,13,82,73,79,54,74,32,3,414,7,44,38,22,11,19,14,3,164,0,11,3,5,4,3,0,0,24,0,11,15,5,7,3,4,0,44,5,13,15,8,13,4,3,0,61,4,31,49,29,26,34,4,3,180,8,15,21,18,12,10,3,0,80,7,9,10,3,6,9,3,0,42,9,10,8,5,0,5,0,0,44,0,0,0,0,0,3,0,0,3,0,8,4,7,3,6,0,0,22,15,22,22,20,14,21,6,7,118,77,281,279,224,177,195,74,19,1321,3,7,10,9,3,5,0,0,42,0,0,8,0,3,0,0,0,12,0,5,6,6,3,3,3,0,29,0,4,0,0,4,0,0,0,12,0,3,0,0,0,0,0,0,12,11,44,48,35,45,24,8,0,218,3,39,34,39,34,28,4,0,185,14,63
POA6023,10,31,49,46,44,35,10,0,229,9,30,45,27,28,9,0,0,147,75,137,261,281,242,200,71,20,1283,40,64,91,78,63,49,22,3,409,3,11,18,24,14,6,0,0,81,8,23,52,40,38,21,8,0,195,3,10,38,42,52,49,17,5,216,36,77,184,167,143,128,22,6,762,17,42,53,63,49,34,10,4,275,17,25,24,13,8,8,3,0,95,3,15,24,19,5,7,10,0,78,0,0,0,0,0,0,0,0,0,0,7,11,17,7,5,10,0,51,28,40,54,56,46,37,15,12,280,251,499,900,873,743,584,188,60,4104,15,26,35,44,20,10,5,0,152,0,6,11,16,9,0,0,0,43,3,18,24,23,15,3,6,0,92,4,7,21,9,0,7,0,0,44,4,4,17,9,7,0,0,0,39,37,106,155,172,124,83,29,12,714,12,70,172,160,182,90,18,12,715,54,111
POA6024,12,22,27,26,20,16,3,0,121,7,33,55,24,13,3,0,0,133,50,218,228,195,198,206,60,15,1167,23,105,97,83,61,63,27,4,466,4,19,18,9,12,4,3,0,78,5,25,34,23,22,10,8,0,129,3,18,45,34,27,32,7,0,158,25,94,88,93,74,102,22,3,491,29,41,46,26,31,31,3,4,208,8,25,25,15,7,9,3,0,92,11,21,19,28,9,12,9,0,108,0,0,0,0,0,0,0,0,12,3,9,8,15,5,3,3,0,42,45,56,62,48,42,45,29,10,329,217,684,745,615,516,543,173,35,3539,4,32,21,19,13,4,0,0,102,3,6,6,0,4,0,0,0,25,3,19,15,14,8,4,5,3,76,3,13,14,7,0,0,0,0,36,4,5,17,7,3,0,0,0,41,36,132,127,110,110,68,21,3,616,29,87,122,109,102,73,15,3,532,32,157
POA6025,24,48,61,55,54,34,7,0,280,23,56,75,86,32,4,0,0,279,149,442,512,524,565,415,130,27,2767,76,294,230,187,151,119,40,4,1113,8,38,33,43,26,15,8,0,173,29,67,74,92,70,27,14,5,374,4,37,33,51,77,50,17,3,271,63,148,228,285,241,143,23,15,1150,49,79,92,76,70,53,10,6,440,25,44,45,16,20,20,5,3,185,13,39,50,47,41,23,3,3,222,3,0,0,0,0,0,3,0,10,3,21,11,20,18,9,4,0,88,99,132,136,125,108,83,48,19,755,578,1445,1587,1629,1468,993,311,87,8097,32,63,75,52,28,17,8,0,273,0,10,19,25,12,3,0,0,76,7,27,31,22,34,13,3,3,143,14,21,12,18,13,0,0,0,71,8,17,15,10,9,0,0,0,66,78,268,257,265,229,141,38,13,1281,50,177,257,268,266,133,32,13,1200,116,339
POA6026,15,22,36,48,42,20,5,3,193,22,43,76,56,26,15,4,0,238,127,224,323,405,513,273,99,42,2003,52,140,123,148,152,63,30,13,712,0,25,21,23,14,5,8,3,106,17,30,43,39,38,24,3,9,195,13,17,40,51,92,38,13,7,277,45,103,202,229,206,117,30,14,936,42,53,58,60,58,38,5,7,323,31,20,22,17,17,8,3,0,114,5,16,27,52,32,12,9,3,154,3,0,3,3,0,0,0,0,13,4,9,8,19,10,3,3,0,64,57,48,76,65,84,61,36,25,437,439,731,1066,1219,1268,670,244,129,5767,20,27,59,38,22,8,0,0,166,5,8,21,17,11,3,0,0,57,4,14,30,13,10,3,13,3,96,9,14,11,6,3,0,0,0,42,4,13,19,8,4,6,0,0,54,67,132,176,209,194,88,45,19,937,37,90,183,247,236,73,30,14,901,76,183
POA6027,34,58,77,68,74,42,12,6,360,60,112,113,76,40,12,0,0,416,276,675,673,795,833,491,161,31,3941,151,351,297,316,250,124,61,10,1559,17,66,38,41,32,11,6,3,215,46,110,74,103,71,28,12,7,452,21,73,71,79,106,53,19,3,413,112,285,270,333,252,139,39,9,1439,86,140,111,103,104,50,13,6,613,65,68,51,26,29,16,5,0,264,24,69,70,82,56,21,8,0,337,7,0,0,4,5,0,0,3,14,15,15,27,36,25,11,5,0,126,201,184,186,171,185,121,71,25,1143,1106,2202,2061,2233,2054,1123,413,92,11292,37,66,85,62,32,12,9,0,306,5,18,30,26,22,0,0,0,111,24,50,43,26,18,20,11,0,191,7,30,40,26,14,0,0,0,120,17,24,37,25,4,3,0,0,113,128,343,344,408,312,142,44,7,1725,73,238,320,361,293,110,36,11,1445,178,495
POA6028,18,22,39,49,35,9,4,0,167,21,39,72,66,23,4,3,0,230,145,216,400,610,429,165,49,14,2025,89,115,156,250,157,54,23,3,843,3,9,20,21,17,7,0,3,82,26,43,57,90,38,5,3,3,267,4,25,25,58,38,16,12,0,182,56,93,201,288,138,52,19,3,863,45,45,72,80,58,17,3,3,323,43,31,17,14,7,7,0,0,125,15,24,37,39,34,14,4,0,169,3,0,0,0,3,0,0,0,12,0,10,10,22,9,7,3,0,56,75,62,81,88,62,31,20,11,438,550,746,1188,1676,1044,393,147,44,5795,30,35,49,29,12,0,0,0,158,0,5,17,23,8,0,0,0,54,11,15,27,25,8,4,4,3,99,7,14,12,18,6,0,0,0,55,4,6,10,10,0,0,0,0,38,92,128,224,265,149,42,24,0,938,50,99,181,235,114,32,18,0,729,86,205
POA6029,5,4,6,14,7,5,3,0,49,0,3,3,8,0,5,0,0,16,5,37,42,47,27,23,17,7,215,9,25,23,16,23,15,5,3,104,0,0,3,0,3,5,4,0,13,0,3,12,11,8,7,4,0,54,0,0,3,7,11,9,0,3,32,4,19,35,41,32,18,9,4,153,0,12,12,13,11,4,8,0,64,3,7,3,4,3,0,0,0,18,0,0,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,4,3,3,0,3,0,13,4,11,8,11,15,13,3,0,63,35,121,157,175,148,108,56,23,820,3,5,6,0,6,0,0,0,25,0,0,0,3,0,0,0,0,5,0,10,3,3,0,0,0,0,16,0,5,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,3,9,24,21,36,19,16,7,3,138,3,12,21,35,38,18,9,0,134,5,32
