region_id,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Emp_wkd_Tot_15_19,P_Emp_wkd_Tot_20_24,P_Emp_wkd_Tot_25_34,P_Emp_wkd_Tot_35_44,P_Emp_wkd_Tot_45_54,P_Emp_wkd_Tot_55_64,P_Emp_wkd_Tot_65_74,P_Emp_wkd_Tot_75_84,P_Emp_wkd_Tot_85ov,P_Emp_wkd_Tot_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Unem_look_Tot_15_19,P_Unem_look_Tot_20_24,P_Unem_look_Tot_25_34,P_Unem_look_Tot_35_44,P_Unem_look_Tot_45_54,P_Unem_look_Tot_55_64,P_Unem_look_Tot_65_74,P_Unem_look_Tot_75_84,P_Unem_look_Tot_85ov,P_Unem_look_Tot_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA6318,0,4,3,15,12,9,0,0,0,43,7,0,7,5,3,13,7,3,0,45,0,0,0,0,0,0,0,0,0,0,7,4,10,20,15,22,7,3,0,88,0,4,4,11,18,4,0,0,0,41,3,0,0,6,6,10,0,0,0,25,0,0,6,3,3,6,0,0,0,18,0,0,0,0,0,0,0,0,0,0,3,4,10,20,27,20,0,0,0,84,0,0,4,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,7,3,4,14,23,27,20,0,0,0,91,13,0,7,12,10,17,15,12,0,86,0,0,0,0,0,0,0,0,0,0,16,4,21,35,37,37,15,12,0,177
POA6320,10,7,32,37,54,34,0,0,0,174,9,7,24,18,14,14,18,16,7,127,0,0,3,5,4,0,3,0,3,18,19,14,59,60,72,48,21,16,10,319,15,18,53,55,84,55,11,0,0,291,4,0,16,24,23,17,7,0,0,91,0,0,4,0,6,0,0,0,0,10,0,0,0,3,4,6,0,0,0,13,19,18,73,82,117,78,18,0,0,405,0,0,0,4,4,0,0,0,0,8,0,0,0,0,4,0,0,0,0,4,0,0,0,4,8,0,0,0,0,12,19,18,73,86,125,78,18,0,0,417,22,12,31,26,21,20,33,25,7,197,0,3,6,8,10,3,6,0,3,39,41,33,110,120,156,101,57,25,10,653
POA6321,0,3,11,10,19,0,3,0,0,46,4,3,4,5,0,7,12,12,0,47,0,0,0,0,0,0,0,0,0,0,4,6,15,15,19,7,15,12,0,93,0,6,13,9,16,13,3,0,0,60,0,3,8,6,10,0,3,3,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,21,15,26,13,6,3,0,93,0,0,0,4,4,0,0,0,0,8,0,3,0,0,0,0,0,0,0,3,0,3,0,4,4,0,0,0,0,11,0,12,21,19,30,13,6,3,0,104,7,6,4,8,3,10,22,19,4,83,0,0,0,4,4,0,4,0,0,12,7,18,25,31,37,23,32,22,4,199
POA6322,4,6,12,20,23,22,11,0,0,98,9,0,5,8,6,14,11,8,3,64,0,0,0,0,3,3,3,0,0,9,13,6,17,28,32,39,25,8,3,171,0,11,20,31,35,30,11,6,0,144,0,3,4,15,11,14,13,0,0,60,4,0,0,0,4,3,0,0,0,11,0,0,0,4,0,0,0,0,0,4,4,14,24,50,50,47,24,6,0,219,0,0,4,0,0,4,0,0,0,8,0,0,0,3,3,0,0,0,0,6,0,0,4,3,3,4,0,0,0,14,4,14,28,53,53,51,24,6,0,233,13,4,5,8,12,29,26,11,8,116,3,0,0,0,6,6,6,0,0,21,20,18,33,61,71,86,56,17,8,370
POA6323,4,3,25,54,58,39,9,0,0,192,19,4,18,16,15,33,54,14,4,177,0,0,0,3,6,6,3,3,0,21,23,7,43,73,79,78,66,17,4,390,3,6,23,55,68,49,13,0,0,217,11,3,16,32,40,34,8,0,0,144,0,0,0,7,11,14,0,0,0,32,0,3,0,0,0,0,0,0,0,3,14,12,39,94,119,97,21,0,0,396,0,3,0,5,4,3,3,0,0,18,0,0,6,0,0,0,0,0,0,6,0,3,6,5,4,3,3,0,0,24,14,15,45,99,123,100,24,0,0,420,35,7,21,20,33,63,108,22,7,316,0,0,0,7,9,12,6,3,0,37,49,22,66,126,165,175,138,25,7,773
POA6324,43,36,93,137,176,132,30,0,0,647,41,28,56,50,56,77,97,77,40,522,5,0,4,10,5,16,7,10,4,61,89,64,153,197,237,225,134,87,44,1230,43,62,115,170,211,148,26,9,0,784,42,22,56,77,106,100,43,0,0,446,5,9,8,19,23,15,10,0,0,89,3,0,11,5,6,4,3,0,0,32,93,93,190,271,346,267,82,9,0,1351,8,8,4,17,14,12,0,0,0,63,3,5,10,4,0,6,0,0,0,28,11,13,14,21,14,18,0,0,0,91,104,106,204,292,360,285,82,9,0,1442,83,40,62,66,88,122,177,147,64,849,16,5,11,17,14,29,14,13,8,127,203,151,277,375,462,436,273,169,72,2418
POA6326,13,3,18,20,28,35,11,0,0,128,8,4,5,5,14,7,10,10,4,67,0,0,4,0,0,5,0,0,0,9,21,7,27,25,42,47,21,10,4,204,4,7,21,29,45,49,15,0,0,170,9,0,12,16,16,22,9,0,0,84,0,3,3,0,0,6,0,0,0,12,0,0,0,0,3,0,3,4,0,10,13,10,36,45,64,77,27,4,0,276,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,4,13,10,40,45,64,77,27,4,0,280,21,4,8,8,17,14,22,17,4,115,0,0,7,3,3,11,3,0,0,27,34,14,55,56,84,102,52,21,4,422
POA6327,0,5,13,23,18,13,0,3,0,75,6,0,0,8,3,8,0,3,0,28,0,0,0,0,0,0,0,3,3,6,6,5,13,31,21,21,0,9,3,109,8,9,7,29,29,24,3,0,0,109,0,0,7,15,16,7,3,0,0,48,0,0,0,3,0,3,0,3,0,9,0,0,0,0,0,0,0,0,0,0,8,9,14,47,45,34,6,3,0,166,3,3,3,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,3,6,3,3,0,0,0,0,0,0,12,14,12,17,47,45,34,6,3,0,178,11,3,0,8,6,11,7,11,0,57,0,0,0,0,3,0,0,3,3,9,25,15,17,55,54,45,13,17,3,244
POA6328,7,7,12,19,35,12,7,0,0,99,4,3,5,6,9,8,12,3,0,50,0,0,0,3,3,3,3,0,0,12,11,10,17,28,47,23,22,3,0,161,7,15,26,19,47,20,8,5,0,147,3,0,7,13,13,11,10,0,0,57,0,0,0,4,3,0,3,0,0,10,0,0,0,0,3,0,0,0,0,3,10,15,33,36,66,31,21,5,0,217,0,0,0,3,3,3,0,0,0,9,0,0,0,3,0,0,0,0,0,3,0,0,0,6,3,3,0,0,0,12,10,15,33,42,69,34,21,5,0,229,10,3,5,13,15,13,27,10,0,96,0,0,0,7,3,6,3,0,0,19,20,18,38,62,87,53,51,15,0,344
POA6330,688,560,1092,1651,1918,1199,202,16,0,7326,390,211,562,503,448,917,1311,963,440,5745,31,27,45,72,57,72,52,88,45,489,1109,798,1699,2226,2423,2188,1565,1067,485,13560,404,744,1414,1922,2208,1415,172,14,3,8296,644,300,696,1095,1165,933,277,57,0,5167,56,71,144,176,195,174,49,3,5,873,32,30,57,60,65,38,17,3,0,302,1136,1145,2311,3253,3633,2560,515,77,8,14638,79,93,81,92,83,44,5,0,0,477,68,29,45,49,42,40,7,0,0,280,147,122,126,141,125,84,12,0,0,757,1283,1267,2437,3394,3758,2644,527,77,8,15395,922,370,788,743,717,1508,2349,1774,661,9832,87,77,117,167,143,149,123,160,80,1103,2292,1714,3342,4304,4618,4301,2999,2011,749,26330
