POA_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA6707,0,5,41,51,47,31,25,3,0,206,3,9,22,41,34,17,6,3,0,127,0,5,40,29,31,17,0,0,0,126,0,3,27,26,25,10,3,0,0,97,0,0,27,44,53,26,4,0,0,159,0,0,10,19,26,15,3,0,0,74,31,13,48,54,34,33,18,6,4,238,126,125,412,455,399,324,239,60,11,2147
POA6710,0,6,21,23,16,21,5,0,0,91,0,4,22,13,14,12,3,0,0,70,0,5,24,29,38,30,5,0,0,134,0,9,67,48,55,49,7,0,0,233,0,37,251,216,199,112,9,0,0,824,0,35,379,354,332,170,11,0,0,1283,9,51,274,243,206,121,19,3,0,919,32,173,1099,972,917,560,84,19,3,3859
POA6711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6712,0,0,9,15,14,3,0,0,0,41,0,3,21,16,26,9,0,0,0,78,0,4,33,18,17,5,0,0,0,71,0,6,20,31,17,7,0,0,0,89,0,7,109,97,56,27,3,0,0,302,0,31,326,271,204,99,9,0,0,938,0,13,116,135,88,45,6,0,0,406,0,69,656,590,428,202,24,0,0,1961
POA6713,0,3,10,7,17,0,3,0,0,42,0,7,8,9,11,3,0,0,0,31,0,0,8,16,20,10,0,0,0,51,0,3,8,16,14,6,0,0,0,51,0,0,36,39,51,10,0,0,0,139,0,0,16,40,40,12,3,0,0,115,5,3,10,21,26,6,0,3,0,74,53,35,137,209,230,82,28,6,5,783
POA6714,19,112,288,205,163,105,20,3,0,913,14,102,237,217,148,75,8,0,0,800,4,51,263,192,168,107,15,0,0,799,4,44,280,184,163,88,12,3,0,783,3,79,664,595,409,222,28,0,0,2001,3,39,405,510,336,147,23,0,7,1460,123,157,572,454,370,190,59,8,0,1933,828,1027,3765,3158,2278,1256,308,52,9,12689
POA6716,0,5,7,8,4,0,0,0,0,25,0,0,7,5,6,6,0,0,0,29,0,3,6,3,7,3,0,0,0,25,0,0,10,9,13,6,0,0,0,43,0,3,39,38,44,21,3,0,0,151,0,0,15,23,20,8,0,0,0,64,0,4,13,15,15,3,0,0,0,57,14,35,163,137,131,68,10,3,0,553
POA6718,0,3,7,6,7,0,3,0,0,29,0,0,0,8,4,7,0,0,0,14,0,0,7,4,3,0,0,0,0,20,0,0,0,0,8,0,0,0,0,13,0,0,6,4,3,3,0,0,0,21,0,0,3,3,0,0,0,0,0,8,14,50,86,61,49,18,15,3,3,302,75,101,177,157,136,95,53,18,7,825
POA6720,3,13,29,15,15,8,0,0,0,80,0,14,23,28,28,12,0,0,0,102,3,9,23,22,26,12,0,0,0,99,0,11,22,33,24,15,0,0,0,115,0,19,105,103,61,31,4,0,0,323,0,0,50,67,64,26,0,0,0,203,20,15,101,65,72,30,6,0,0,318,138,156,504,455,366,201,42,4,0,1867
POA6721,8,22,68,58,51,44,8,0,0,260,0,14,70,49,36,29,4,3,0,196,0,21,79,57,53,37,0,0,0,251,3,12,94,58,40,21,5,0,0,236,3,21,194,152,116,77,11,0,0,572,0,9,152,188,124,59,8,3,0,535,32,46,161,119,104,88,32,7,0,600,158,228,1047,859,674,435,134,37,4,3577
POA6722,12,67,121,98,111,51,19,0,0,467,0,49,134,89,95,57,13,0,0,432,0,45,149,96,95,60,4,0,0,445,0,40,154,108,76,46,7,0,0,438,3,49,362,267,211,103,20,3,4,1022,3,18,225,180,130,75,13,0,0,639,98,114,390,289,267,154,40,15,9,1383,506,652,2205,1542,1367,798,235,70,31,7399
POA6725,5,64,247,181,151,100,27,10,0,779,0,16,163,133,122,88,17,3,0,550,0,8,143,128,107,80,12,0,0,485,0,14,115,113,87,72,4,3,0,407,0,5,143,157,140,116,15,3,0,578,3,3,45,50,43,25,16,0,0,179,123,95,311,277,215,188,81,35,20,1351,568,636,1978,1708,1420,1219,498,159,45,8229
POA6726,4,38,121,92,68,66,20,0,0,413,0,10,86,68,75,47,3,0,0,294,0,4,64,70,79,45,13,0,0,273,0,3,47,69,64,38,5,0,0,221,0,3,62,104,110,62,6,3,0,347,0,0,24,53,53,40,12,0,0,173,55,34,141,125,89,85,54,16,3,608,297,248,893,889,802,634,281,74,9,4125
POA6728,3,19,79,52,69,65,21,0,0,305,0,13,50,40,34,39,11,0,0,190,0,13,50,36,37,48,7,0,0,197,0,3,23,40,33,33,5,0,0,137,0,0,31,55,39,38,3,0,0,179,0,0,8,16,9,5,3,0,0,48,115,101,191,145,111,66,38,8,7,791,376,450,1027,823,728,636,256,81,29,4405
POA6731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3
POA6733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6740,0,3,10,8,13,7,5,0,0,46,0,3,6,4,11,0,5,0,0,32,0,5,6,9,7,4,0,0,0,26,0,0,10,18,3,10,0,0,0,33,0,0,6,11,9,12,0,0,0,37,0,0,0,3,5,4,6,0,0,24,19,15,33,27,36,16,16,3,0,173,89,102,191,166,165,115,87,23,4,954
POA6743,9,47,132,91,75,69,16,4,0,439,3,27,100,86,82,67,8,0,0,380,0,22,90,59,71,51,15,0,0,308,0,6,55,48,68,37,5,0,0,222,0,10,71,96,98,50,17,0,0,337,0,0,28,32,32,34,9,3,0,137,62,72,158,126,140,108,40,16,5,732,348,447,1114,914,913,739,273,67,16,4830
POA6751,10,22,62,57,40,31,0,0,0,228,0,25,59,38,33,21,5,0,0,192,5,13,65,49,49,25,0,0,0,206,0,17,94,64,52,31,0,0,0,260,3,42,359,296,197,117,11,0,0,1010,0,9,176,209,127,55,10,0,0,579,21,26,226,160,156,68,15,0,0,680,145,217,1285,1065,741,424,73,9,0,3961
POA6753,7,37,98,80,67,20,9,0,0,321,0,42,134,81,63,36,4,0,0,354,3,31,115,81,61,26,3,0,0,331,0,23,112,91,63,48,4,0,0,344,0,62,404,324,243,112,8,0,0,1152,0,9,241,205,155,76,6,0,0,696,38,120,520,356,287,158,14,5,0,1500,240,473,1946,1477,1104,586,85,13,4,5921
POA6754,5,4,11,13,14,3,0,0,0,57,0,7,11,15,12,8,3,0,0,54,0,0,14,17,10,3,0,0,0,49,0,0,12,9,9,5,3,0,0,43,0,5,68,73,59,19,3,0,0,230,0,3,27,53,29,10,0,0,0,117,4,13,47,40,40,12,3,0,0,154,52,63,251,302,188,92,14,0,0,975
POA6758,0,6,21,17,17,10,0,0,0,73,0,3,24,22,14,6,0,0,0,79,0,15,27,19,24,8,4,0,0,96,0,10,37,24,18,6,0,0,0,102,0,39,218,162,112,54,3,0,0,591,0,8,103,97,68,28,3,0,0,307,3,23,85,64,57,30,5,0,0,275,22,110,571,417,341,178,25,0,0,1662
POA6760,0,0,5,3,7,3,3,0,0,29,0,0,7,3,8,3,0,0,0,15,0,3,3,4,4,7,0,0,0,26,0,3,9,6,11,0,0,0,0,25,0,0,23,9,14,12,3,0,0,58,0,4,0,3,0,0,0,0,0,7,9,12,23,19,14,11,4,0,0,102,30,45,136,86,77,70,43,10,3,495
POA6762,0,0,8,3,7,4,0,0,0,22,0,0,16,4,8,4,0,0,0,35,0,3,16,12,3,5,4,0,0,39,0,4,21,21,10,9,0,0,0,65,0,9,84,47,31,20,3,0,0,195,0,0,21,24,21,5,0,0,0,77,13,7,54,45,43,18,3,0,0,184,28,42,275,188,146,86,24,3,0,785
POA6765,4,8,25,25,3,17,6,0,0,85,0,5,23,10,14,5,4,0,0,58,3,3,15,10,9,17,0,0,0,52,0,0,6,3,3,4,0,0,0,16,0,0,17,10,14,5,0,0,0,45,0,0,0,0,0,3,0,0,0,10,36,27,57,31,38,20,13,0,0,230,130,145,347,227,221,147,71,20,9,1316
POA6770,0,12,30,23,18,9,11,0,0,98,3,4,23,16,16,8,0,0,0,64,0,10,17,9,11,17,0,0,0,64,0,7,17,4,6,16,3,0,0,57,0,3,16,6,10,16,0,0,0,56,0,0,3,4,7,3,3,0,0,18,100,70,174,125,84,59,21,5,0,647,222,244,535,391,310,272,111,38,4,2126
