POA_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA6535,0,4,22,22,19,38,4,3,0,111,0,3,8,3,16,21,10,3,0,60,0,0,4,9,20,15,3,0,0,46,0,0,3,12,10,10,3,0,0,37,0,0,6,8,14,7,3,0,0,38,0,0,3,4,13,10,3,3,0,34,10,5,6,17,30,40,34,21,25,185,53,52,115,154,235,331,239,119,41,1348
POA6536,0,7,7,11,22,32,10,3,0,86,0,8,9,11,11,8,7,0,0,48,0,3,0,7,7,10,3,0,0,30,0,0,3,15,7,13,4,0,0,38,0,0,5,9,28,17,3,0,0,66,0,0,3,6,5,9,12,0,0,30,9,13,18,16,26,41,36,12,7,183,65,73,120,170,244,300,268,85,19,1344
POA6537,0,0,8,16,6,9,3,3,0,43,0,3,9,8,7,0,3,0,0,34,0,0,7,6,4,5,0,0,0,23,0,0,7,4,5,3,4,0,0,31,0,0,3,8,16,10,3,0,0,41,0,0,0,0,3,7,0,0,0,15,0,8,17,16,15,9,22,5,3,96,15,39,119,131,114,136,135,31,14,744
POA6556,0,4,24,23,38,36,12,0,0,141,0,3,18,15,35,22,6,0,0,94,0,3,16,15,29,14,7,0,0,89,0,0,8,19,22,31,3,0,0,80,0,4,17,23,45,19,0,0,0,103,3,0,7,8,21,7,0,0,0,49,25,9,13,27,34,20,20,7,3,159,152,111,195,235,373,314,186,69,23,1649
POA6558,0,10,10,12,10,10,0,0,0,52,0,0,9,12,15,3,0,0,0,42,0,0,0,5,11,10,3,0,0,26,0,0,0,4,8,8,0,0,0,27,0,0,0,10,7,5,0,0,0,27,0,0,0,5,4,6,0,0,0,21,26,245,663,546,278,111,53,14,0,1941,63,281,720,644,406,213,121,39,0,2484
POA6560,3,8,23,20,19,17,6,0,0,94,0,0,10,13,17,20,0,0,0,62,0,0,11,12,24,11,3,0,0,61,0,3,3,10,13,8,0,0,0,42,0,0,7,10,9,5,3,0,0,36,0,0,0,0,4,0,0,0,0,13,10,9,19,14,21,28,12,8,0,116,101,76,139,169,206,213,135,61,8,1106
POA6562,0,3,14,15,23,21,4,0,3,86,0,0,11,15,18,20,0,0,0,64,0,0,6,12,13,6,5,0,0,46,0,0,8,4,13,14,4,0,0,44,0,0,10,15,17,16,3,0,0,59,0,0,9,9,9,4,0,0,0,30,7,3,10,12,12,16,17,3,0,85,63,40,119,146,188,219,178,53,10,1008
POA6564,0,3,4,0,3,8,0,0,0,16,0,0,3,0,3,0,0,0,0,15,0,0,5,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,3,0,7,3,0,0,0,11,0,0,4,0,0,4,0,0,0,8,0,0,5,0,0,4,0,0,0,17,10,7,42,26,41,74,41,26,5,268
POA6566,0,13,29,18,51,50,26,8,0,192,0,3,20,18,29,36,17,5,0,126,0,3,13,15,38,28,13,0,0,108,0,0,11,9,23,24,12,0,0,81,0,5,11,25,50,27,3,3,0,128,0,0,12,10,24,20,5,4,0,71,29,14,27,35,66,79,65,34,0,338,157,110,229,286,538,640,567,212,27,2778
POA6567,0,0,0,3,4,5,3,0,0,17,0,3,0,0,10,7,6,0,0,28,0,0,0,3,3,7,5,0,0,20,0,0,0,0,3,4,0,0,0,10,0,0,0,3,4,3,3,0,0,17,0,0,0,0,8,3,0,3,0,12,0,0,0,6,6,9,8,0,0,32,25,9,15,39,81,82,80,25,3,364
POA6568,0,0,0,0,12,0,0,0,0,17,0,0,4,0,6,0,0,0,0,10,0,0,0,4,6,0,5,0,0,19,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,7,0,0,0,8,0,0,0,0,4,0,0,0,0,4,3,0,0,0,3,0,0,0,0,7,16,9,15,23,56,34,21,5,0,199
POA6569,0,3,0,4,4,4,0,0,0,25,0,0,3,0,4,4,0,0,0,14,0,0,0,3,4,4,0,0,0,7,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,9,0,0,4,5,0,0,6,3,0,23,16,9,31,30,43,40,28,13,0,214
POA6571,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,4,0,3,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,9,11,12,9,0,0,58
POA6572,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,4,3,14,14,8,0,0,47
POA6574,0,0,0,0,0,0,4,0,0,6,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,5,0,0,0,3,3,0,0,0,0,9,0,3,8,17,22,4,3,0,0,60
POA6575,0,3,0,0,3,5,3,3,0,13,0,0,4,4,0,3,0,0,0,9,0,0,0,7,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,9,3,6,12,28,22,20,9,3,0,105
POA6603,3,3,16,16,18,21,6,4,0,96,0,0,21,21,13,6,3,0,0,71,0,0,15,10,9,9,0,0,0,45,0,0,10,9,9,6,0,0,0,41,0,0,6,16,9,8,5,5,0,41,0,0,0,3,6,7,3,0,0,21,3,3,6,9,11,13,7,6,3,60,40,49,147,151,142,172,112,35,26,867
POA6605,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,8,7,8,9,3,0,0,27
POA6606,0,0,4,0,3,0,0,0,0,6,0,0,0,4,4,3,0,0,0,11,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,3,0,0,0,3,0,0,3,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,3,0,14,3,9,16,17,32,24,23,9,0,136
POA6608,0,0,0,0,3,3,3,0,0,7,0,0,0,3,0,0,0,0,0,4,0,0,3,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,4,0,0,0,4,0,0,0,3,5,0,0,0,0,12,5,4,14,15,20,21,11,3,0,101
POA6609,0,4,23,22,11,8,8,0,0,75,0,6,15,13,4,4,3,0,0,52,0,3,19,6,9,9,0,0,0,49,0,0,8,8,0,3,3,0,0,21,0,3,10,4,0,3,0,0,0,29,0,0,0,0,0,8,0,0,0,9,7,6,8,11,5,8,3,3,3,61,34,59,144,106,104,101,57,35,18,668
