POA_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
POA6020,178,266,158,116,175,81,47,1033,145,154,113,79,81,42,23,631,128,172,99,45,78,39,21,584,523,657,357,209,297,174,87,2302,4,3,0,0,0,3,3,15,977,1255,719,455,634,346,181,4557,5,16,15,13,28,9,13,96,10,18,10,11,15,3,0,70,11,14,12,12,16,3,3,67,35,76,54,41,55,16,13,299,0,3,0,0,0,0,0,5,65,123,99,75,108,33,28,539,1051,1374,815,524,738,381,212,5098
POA6021,366,307,128,81,147,101,57,1196,117,80,64,40,50,22,11,386,112,79,33,27,29,21,4,303,440,465,237,129,158,87,32,1550,3,10,3,0,0,0,0,14,1045,944,466,283,382,232,107,3446,28,47,18,18,36,33,25,213,13,14,13,8,18,4,3,71,6,20,7,6,8,5,4,54,44,60,45,23,39,23,12,249,0,3,4,3,3,0,0,9,96,135,87,64,109,62,44,596,1139,1076,554,342,487,295,150,4048
POA6022,74,63,21,22,29,13,7,228,19,31,12,9,14,3,0,92,42,45,20,13,16,9,3,136,157,146,65,27,43,13,7,460,0,0,0,0,0,0,0,5,288,276,121,71,98,36,18,919,5,10,7,3,13,3,3,39,4,6,4,4,3,4,0,35,0,8,0,3,4,3,0,19,15,29,12,8,23,6,7,97,0,0,0,0,0,0,0,4,25,59,23,23,40,21,10,197,310,335,148,89,141,53,27,1112
POA6023,196,325,193,118,168,93,55,1148,95,121,76,31,66,17,13,417,101,139,66,33,52,27,10,425,423,527,289,147,189,90,45,1708,4,4,0,0,0,0,0,7,808,1119,620,330,478,227,118,3704,0,28,18,14,29,15,10,105,3,12,12,5,13,10,5,54,5,20,8,3,0,3,0,43,19,58,37,26,50,13,8,214,3,0,0,3,0,0,0,3,32,111,73,49,87,43,27,422,841,1235,694,383,565,272,145,4127
POA6024,172,164,93,67,91,55,23,660,100,117,42,24,34,12,12,341,86,78,46,23,37,12,11,280,400,368,194,123,133,38,18,1280,0,4,0,0,0,0,0,13,753,725,382,234,289,118,67,2575,9,15,10,11,29,4,5,82,5,21,14,6,14,3,3,68,3,13,8,11,5,3,0,49,40,73,46,32,37,9,11,248,0,0,5,0,0,0,0,5,60,117,78,57,88,24,24,449,813,844,460,293,383,138,84,3021
POA6025,405,499,303,213,313,204,95,2035,222,205,121,67,82,31,24,757,214,240,102,61,80,36,28,760,758,713,379,214,341,172,74,2648,4,5,3,4,0,0,0,22,1601,1659,910,563,811,448,225,6222,23,40,49,35,58,25,14,244,23,48,31,13,27,10,7,152,13,24,22,11,23,10,4,109,81,159,90,62,90,25,24,540,8,3,9,4,0,0,0,23,143,272,209,133,205,72,49,1076,1741,1938,1117,693,1019,514,275,7296
POA6026,255,417,272,178,289,137,59,1609,164,165,111,56,72,29,32,630,153,150,87,42,79,35,14,560,465,558,274,186,273,162,82,1995,0,5,3,3,4,0,0,16,1032,1295,751,462,714,366,189,4812,13,27,19,23,32,5,8,132,9,25,11,13,28,5,3,102,14,9,14,14,27,6,0,83,38,86,70,50,76,30,11,368,3,3,3,3,0,3,3,19,81,156,119,107,166,52,30,698,1109,1447,872,566,880,419,216,5509
POA6027,665,780,507,329,506,241,141,3178,287,251,154,86,124,51,27,985,267,248,121,104,131,68,23,953,816,803,419,247,351,162,78,2878,10,6,3,4,8,0,0,24,2043,2097,1200,770,1116,516,268,8016,30,85,56,53,109,50,26,417,36,55,25,29,38,17,3,198,28,61,35,25,37,15,5,207,109,137,99,82,97,43,17,593,5,6,3,5,5,4,3,33,203,353,222,197,284,129,61,1441,2245,2448,1425,969,1398,646,333,9456
POA6028,461,655,470,314,532,307,147,2889,169,158,112,66,96,33,7,631,129,152,91,56,96,31,18,569,337,430,280,163,207,100,41,1561,3,6,3,0,0,0,0,22,1099,1408,949,602,926,479,216,5673,37,56,54,34,53,38,13,288,17,21,12,17,28,8,0,101,27,34,24,17,21,6,3,126,36,57,29,24,56,19,12,239,4,4,3,0,0,0,0,19,115,175,124,93,155,81,30,769,1215,1578,1074,694,1086,558,239,6443
POA6029,13,24,15,6,15,17,5,92,24,28,14,14,20,8,3,108,21,20,19,11,15,6,3,85,78,86,62,44,58,25,14,368,0,0,0,0,0,0,0,0,134,157,104,72,111,51,22,651,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,14,0,4,0,0,0,3,0,8,4,9,0,6,10,5,0,33,0,0,0,0,0,0,0,0,6,12,8,3,14,8,0,51,138,165,113,75,119,61,26,704
