POA_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
POA6042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,6,3,4,0,0,27,0,0,0,0,0,0,0,3,6,5,6,6,4,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,10,12,6,6,4,0,0,34
POA6044,0,4,3,0,0,0,0,9,0,0,0,3,0,0,0,10,4,4,0,0,4,0,0,12,27,32,21,8,15,3,0,105,0,3,0,0,0,0,0,3,31,42,21,14,24,3,0,131,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,5,4,0,0,0,22,0,0,0,0,0,0,0,3,3,8,6,7,3,0,0,28,35,47,33,22,27,3,0,159
POA6050,135,127,70,46,85,47,24,534,74,72,61,41,60,36,13,347,84,84,50,25,48,29,13,335,282,322,231,106,168,123,58,1293,3,0,0,0,0,3,3,7,584,601,411,213,356,232,118,2522,9,10,7,8,10,13,5,59,7,12,3,10,0,3,3,42,4,11,4,5,5,4,3,45,24,24,23,11,28,13,13,135,3,0,0,3,0,0,0,9,47,61,35,37,44,29,22,282,637,662,447,254,402,264,139,2804
POA6051,325,191,81,39,49,29,12,717,60,50,28,9,12,10,3,172,69,51,18,9,8,5,3,156,150,131,60,34,36,19,6,434,0,3,3,0,0,0,0,8,604,423,187,89,97,56,31,1486,31,26,13,10,8,10,8,106,3,19,8,6,4,7,3,50,6,7,0,3,3,0,3,24,27,42,27,14,10,10,3,137,0,3,3,0,0,0,0,7,67,100,45,30,33,29,12,325,675,523,230,118,136,83,48,1811
POA6052,133,130,56,33,56,37,18,463,87,82,34,25,25,12,9,268,93,60,38,25,30,20,4,272,303,263,134,88,110,63,35,995,7,0,0,0,0,0,0,6,623,540,262,166,223,137,62,2010,7,22,14,15,22,9,0,106,7,12,10,9,12,3,6,49,3,13,5,3,6,0,3,38,20,36,28,29,44,17,10,191,0,0,0,0,0,0,3,5,42,85,62,62,81,39,18,383,660,621,321,231,304,170,84,2388
POA6053,209,167,81,47,69,49,14,645,116,110,55,28,42,22,14,381,101,87,38,26,38,13,10,317,366,350,162,96,116,53,22,1162,5,0,0,0,0,0,0,4,801,707,341,201,264,135,61,2514,12,26,16,9,25,10,3,98,7,14,9,4,12,4,3,54,3,14,9,8,9,10,0,47,41,53,35,26,30,16,7,209,0,0,3,0,0,0,0,9,67,116,67,48,79,40,13,431,874,822,409,248,346,175,71,2937
POA6054,301,221,116,75,115,67,24,924,160,128,60,40,52,17,7,456,119,88,45,25,42,23,6,349,470,462,224,156,184,57,39,1600,11,3,4,3,4,0,0,23,1058,905,449,300,397,163,79,3355,37,29,32,17,39,18,12,180,40,36,23,15,21,10,9,152,23,33,15,8,17,8,0,97,103,144,100,53,74,23,13,512,17,17,9,6,3,0,0,48,213,259,173,100,151,67,32,991,1269,1170,625,397,547,227,107,4345
POA6055,649,421,227,111,154,78,36,1678,170,115,55,36,52,11,11,451,152,102,50,27,38,16,3,389,537,428,234,142,173,75,27,1598,14,7,13,3,0,0,0,42,1516,1075,571,322,417,176,74,4152,34,36,24,27,29,14,10,173,23,27,16,16,13,8,0,105,18,20,10,3,19,3,0,66,72,108,68,36,57,18,6,362,17,5,9,0,0,0,0,30,150,195,128,82,116,46,16,739,1668,1275,702,402,533,219,88,4887
POA6056,385,381,212,128,178,86,35,1401,204,164,82,62,76,22,15,628,202,167,80,42,92,23,17,615,961,895,511,341,478,127,37,3346,11,18,7,0,0,0,0,39,1755,1615,887,574,827,257,109,6029,39,50,36,26,38,13,7,215,49,58,46,34,43,16,4,248,29,47,31,24,30,7,7,183,292,395,232,176,197,48,13,1359,16,12,12,8,8,0,0,56,418,561,361,264,323,90,34,2057,2181,2177,1246,837,1149,346,143,8082
POA6057,164,179,103,63,86,22,12,619,88,82,46,31,53,19,6,326,97,71,50,23,37,11,8,291,518,502,292,194,215,48,26,1784,3,3,4,0,4,0,0,14,864,824,496,309,389,106,45,3034,12,32,12,11,18,0,4,98,20,30,19,10,18,8,7,104,0,20,13,13,14,6,0,64,92,156,101,53,77,16,5,499,0,3,0,3,5,0,0,17,129,243,148,84,129,31,18,776,989,1068,644,397,521,132,65,3815
POA6058,185,179,83,56,90,42,18,658,52,38,15,15,31,8,4,159,68,50,24,15,19,9,4,182,342,317,156,104,123,19,15,1074,0,0,3,0,3,0,0,7,651,586,280,191,265,77,33,2079,15,19,11,6,18,9,4,83,20,21,13,13,17,0,3,82,8,14,9,9,7,4,0,49,74,115,66,56,69,11,4,396,5,8,5,3,0,0,0,20,133,169,106,85,115,18,16,631,779,756,387,277,379,95,48,2718
POA6059,435,424,244,167,229,196,97,1797,133,111,73,40,59,25,19,461,120,107,51,33,54,28,7,392,335,381,239,161,244,128,54,1540,8,5,0,4,4,0,3,22,1024,1027,606,400,587,375,182,4213,33,55,29,31,43,43,18,257,22,22,26,22,14,12,5,125,10,23,9,6,11,5,3,65,49,73,44,33,50,24,11,279,4,3,3,4,5,4,3,23,124,178,112,92,121,84,39,749,1153,1204,720,500,709,461,219,4954
POA6060,527,319,151,97,98,87,47,1332,132,96,39,20,34,16,3,334,140,89,38,18,20,10,8,321,401,261,109,56,95,45,11,981,3,0,0,3,0,0,0,6,1202,764,336,197,252,151,77,2976,33,41,24,30,25,25,11,190,21,28,17,17,12,12,7,116,14,23,8,5,8,5,6,68,68,66,41,32,55,26,8,296,6,6,0,5,3,3,0,25,144,169,92,88,110,73,28,694,1348,931,422,283,358,229,103,3671
POA6061,1737,1137,545,312,461,262,143,4586,158,88,38,24,28,12,7,351,153,104,44,24,38,19,5,390,318,209,99,61,97,25,17,819,35,19,9,0,3,0,0,69,2399,1549,730,423,620,317,174,6212,190,208,151,91,132,76,53,894,51,55,28,9,29,3,3,180,33,38,23,24,24,13,0,154,156,198,128,81,81,15,12,673,38,38,11,5,5,0,0,102,466,534,341,214,273,109,72,2004,2865,2089,1067,634,894,423,245,8213
POA6062,659,598,349,248,358,204,136,2544,125,124,55,44,63,38,13,458,171,135,70,38,56,34,15,519,546,529,253,153,199,87,31,1798,6,6,3,3,0,0,0,18,1504,1388,730,484,680,367,193,5336,69,64,60,54,79,52,34,416,21,39,25,10,24,17,4,142,25,26,13,15,26,9,3,116,81,126,93,64,89,34,13,507,10,8,3,11,4,0,0,33,206,271,197,152,218,112,59,1211,1708,1662,928,632,893,479,247,6550
POA6063,425,416,243,168,208,148,62,1667,63,81,41,33,39,10,7,271,72,61,38,26,23,13,7,238,262,266,146,88,96,31,8,900,5,12,3,0,0,0,0,19,835,835,472,313,372,198,78,3094,50,40,32,28,36,31,12,225,12,12,10,9,14,5,0,63,3,7,6,14,17,0,3,45,70,70,57,36,54,18,4,308,12,17,8,3,0,0,0,35,149,142,107,95,122,50,19,679,977,975,578,408,489,248,95,3777
POA6064,843,876,482,318,459,252,140,3369,148,131,80,49,79,17,10,525,135,120,59,37,65,25,9,448,511,500,248,153,210,74,36,1727,16,10,10,9,3,0,3,52,1650,1641,881,567,813,366,200,6125,89,138,109,80,119,78,42,653,30,56,32,17,35,9,10,189,21,21,6,10,15,7,4,88,161,222,135,105,100,37,5,773,20,26,11,4,4,3,0,65,322,461,295,216,272,136,69,1768,1974,2095,1184,789,1089,506,266,7892
POA6065,1526,1659,973,667,921,461,256,6463,545,463,239,148,184,58,21,1656,530,417,184,121,135,43,15,1445,1820,1661,753,404,529,208,58,5423,23,17,13,3,8,0,0,63,4444,4213,2156,1336,1770,766,360,15046,89,147,122,88,135,66,41,687,59,88,62,41,42,18,11,323,47,70,42,21,43,8,3,249,196,295,154,96,169,50,20,972,22,14,10,3,8,3,0,59,412,614,389,249,409,152,74,2289,4854,4828,2548,1588,2178,916,430,17336
POA6066,353,395,268,178,292,190,93,1776,87,69,59,39,71,23,13,364,76,99,41,45,61,25,8,356,358,357,234,162,186,93,47,1425,4,3,3,3,0,0,0,16,877,921,598,427,609,335,167,3936,56,76,56,48,80,47,35,387,19,29,16,20,12,16,3,121,13,17,22,8,17,7,6,93,93,122,88,63,69,31,6,470,3,3,0,0,3,0,0,7,177,244,190,134,184,98,51,1081,1058,1172,783,557,794,427,215,5015
POA6067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6069,965,891,520,298,438,144,67,3329,361,277,129,72,121,31,6,994,290,282,143,94,94,28,6,938,1378,1307,607,383,397,91,25,4196,7,8,3,7,5,0,0,36,3000,2774,1405,857,1062,294,105,9500,122,154,107,66,94,32,16,600,42,62,47,31,37,5,4,235,24,55,31,25,39,15,4,194,240,362,197,116,148,27,12,1103,20,22,14,0,4,0,0,61,449,663,394,249,314,86,30,2185,3454,3436,1800,1106,1379,378,136,11690
POA6070,27,63,34,18,34,11,4,191,28,48,24,9,24,8,3,152,23,15,8,10,17,6,3,94,86,122,80,46,61,14,11,418,0,0,0,0,0,0,0,0,168,252,151,88,135,48,17,854,0,0,5,3,6,0,0,18,0,3,3,0,5,3,0,16,0,4,0,0,4,0,0,15,8,15,13,8,6,3,0,52,0,0,0,0,0,0,0,0,17,28,18,13,22,5,3,103,186,279,167,97,156,58,26,959
POA6071,17,27,14,17,19,12,4,107,22,30,22,15,19,7,3,123,16,20,14,11,23,6,0,100,80,117,64,36,57,34,5,392,0,0,0,0,0,0,0,3,132,192,114,83,119,53,18,723,3,7,0,0,0,0,0,4,0,4,4,0,3,5,0,20,0,0,0,0,0,0,0,9,7,10,14,7,8,5,0,56,0,0,0,0,0,0,0,0,8,23,18,13,19,16,0,90,144,218,131,92,144,68,23,811
POA6072,3,3,0,8,0,4,0,21,0,5,0,0,3,0,0,8,0,7,4,3,0,3,0,28,24,20,24,12,16,5,0,101,0,0,0,0,0,0,0,0,33,40,36,17,23,17,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,3,3,3,0,0,3,0,17,30,43,37,17,26,14,3,169
POA6073,12,15,17,12,6,3,3,65,5,12,15,11,16,4,0,64,15,25,6,9,13,7,4,82,73,90,47,36,37,8,3,299,0,0,0,0,0,0,0,0,100,143,86,69,73,21,11,502,0,0,3,4,6,0,0,12,10,3,0,0,4,0,0,16,0,0,0,0,0,0,0,4,12,17,17,4,15,8,0,75,0,3,0,0,0,0,0,4,22,23,21,9,27,10,0,112,127,165,113,76,101,32,13,617
POA6074,4,5,0,0,5,3,0,18,4,7,3,4,8,0,0,27,3,3,4,0,0,0,0,11,31,33,20,12,20,4,3,123,0,3,0,0,0,0,0,3,37,49,32,18,27,4,6,185,0,0,0,0,0,0,0,0,4,4,3,0,3,0,0,17,0,0,0,0,0,0,3,3,3,0,6,3,3,0,3,21,0,0,0,0,0,0,0,3,10,10,7,5,3,3,8,42,47,57,43,26,32,12,13,226
POA6076,113,184,127,81,149,68,31,773,102,163,97,67,107,36,20,591,118,151,77,50,80,27,20,512,521,674,378,256,366,126,60,2381,3,3,3,0,0,0,0,11,863,1173,688,452,699,264,126,4266,7,20,15,14,26,9,8,108,8,13,24,10,25,12,8,105,7,27,13,19,21,5,5,94,37,69,56,42,79,17,16,324,0,3,3,3,3,0,0,16,64,136,106,92,151,58,34,642,926,1311,793,544,851,320,163,4911
POA6077,6,9,10,8,18,4,0,58,4,3,3,3,8,0,0,22,0,0,3,0,0,3,0,14,24,43,34,21,32,11,5,167,0,0,0,0,0,0,0,0,35,61,48,28,53,26,11,264,0,0,3,0,3,0,3,9,0,0,0,3,0,0,0,4,0,0,3,0,0,0,0,4,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,3,0,3,3,7,5,3,21,37,59,52,34,62,29,9,291
POA6078,8,7,9,4,6,3,0,42,0,4,3,0,0,0,0,15,6,5,3,8,6,5,3,35,17,27,12,15,14,3,5,87,0,0,0,0,0,0,0,3,39,45,24,25,23,16,7,186,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,4,3,0,0,3,3,0,19,37,48,26,25,28,21,7,203
POA6079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6081,17,41,30,22,23,12,3,143,24,38,33,17,28,6,5,144,32,36,21,14,22,6,3,141,118,182,127,57,89,29,11,611,0,0,0,0,0,0,0,4,191,300,210,108,156,52,21,1040,0,0,0,0,5,5,0,14,0,8,4,3,5,0,0,21,3,3,3,3,0,0,0,12,15,21,18,11,20,3,3,81,0,0,0,0,0,0,0,3,18,34,26,20,28,6,0,130,207,334,232,127,182,60,23,1166
POA6082,15,14,12,7,24,3,0,80,15,23,6,6,13,0,0,65,17,23,17,8,10,0,0,85,119,120,80,39,59,8,7,426,0,0,0,0,0,0,0,0,162,186,113,60,111,18,11,659,0,0,0,5,9,0,0,23,5,0,0,3,6,0,0,13,0,3,7,3,4,0,0,16,17,29,14,17,19,4,0,91,0,0,4,0,0,0,0,4,25,39,20,26,33,5,0,151,185,220,134,94,140,23,9,810
POA6083,13,21,12,3,9,3,3,71,12,21,16,5,19,10,3,90,20,15,11,7,13,4,0,64,78,116,90,60,79,15,6,444,0,0,0,0,4,0,0,5,118,170,131,75,126,32,21,674,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,5,0,3,0,0,0,4,0,7,10,19,4,9,12,3,0,58,0,0,0,0,0,0,0,0,16,18,10,12,17,5,0,80,135,192,139,91,140,42,22,752
POA6084,27,70,43,44,67,28,5,286,33,43,18,16,24,9,10,157,51,56,34,31,35,9,0,209,263,306,181,103,145,29,6,1043,0,0,0,0,0,0,0,4,380,474,282,196,274,72,24,1701,6,6,6,3,5,3,0,28,3,15,8,6,5,0,0,36,3,6,3,10,6,3,0,38,35,32,35,19,20,8,3,156,0,0,0,0,3,0,0,9,45,64,48,44,41,16,7,270,425,541,328,239,316,83,33,1966
POA6090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
POA6100,325,224,75,38,60,35,13,778,66,56,27,15,19,16,3,205,77,57,30,18,10,4,3,202,230,170,81,53,60,38,21,651,0,0,0,0,0,0,0,0,693,506,220,117,152,94,44,1827,21,22,10,10,13,12,7,93,5,11,4,0,11,7,10,47,8,5,3,4,5,3,0,28,14,43,27,18,11,19,6,139,0,0,0,0,3,0,0,10,48,89,38,33,45,39,22,313,748,591,263,153,198,129,64,2144
POA6101,367,208,108,62,80,39,23,885,93,70,32,17,24,18,6,263,127,80,35,18,27,13,8,304,353,251,98,52,70,30,10,866,3,4,0,0,0,0,0,4,934,611,269,149,203,102,46,2319,25,19,17,18,35,19,9,143,19,19,13,6,15,3,0,76,13,14,13,8,8,9,3,58,35,71,47,30,31,12,8,228,4,4,3,0,3,0,0,17,100,123,87,54,91,45,17,517,1035,737,364,203,293,144,65,2837
POA6102,298,202,72,47,74,37,26,748,33,32,11,8,9,3,0,108,47,35,15,3,9,5,3,115,129,81,49,20,29,14,3,328,3,0,0,0,0,0,0,4,512,356,146,80,120,57,34,1303,34,25,21,13,29,21,15,157,6,3,4,0,7,7,3,29,9,15,7,4,4,0,0,46,26,27,16,12,12,0,0,99,3,4,3,0,0,0,0,17,80,77,48,39,57,29,17,351,591,435,195,119,174,78,55,1646
POA6103,261,144,54,45,38,28,15,589,39,12,3,0,6,6,3,78,50,33,17,5,16,4,0,124,158,122,49,29,38,10,6,415,0,4,0,0,0,0,0,6,509,316,123,83,103,49,30,1206,18,27,14,3,19,5,6,90,3,11,3,0,3,5,0,28,9,7,0,0,0,0,0,22,30,39,21,15,20,0,3,128,5,7,0,3,3,0,0,17,65,84,40,19,40,18,16,274,566,401,162,100,149,62,40,1486
POA6104,314,226,111,63,83,60,33,884,72,49,28,7,20,9,3,183,82,50,8,10,15,3,8,172,266,171,116,57,80,25,8,723,3,3,4,0,3,0,0,15,739,496,271,142,193,97,48,1973,27,51,26,18,26,13,15,176,8,18,13,10,7,5,3,60,9,12,14,3,0,0,3,36,44,65,42,26,36,12,3,234,13,3,3,4,0,0,0,22,97,148,92,72,75,28,27,528,833,645,357,209,262,124,67,2503
POA6105,466,367,182,124,131,66,29,1366,55,42,31,14,11,6,7,161,62,54,14,12,12,7,0,166,252,198,101,51,65,14,16,692,3,0,3,5,0,0,0,19,839,666,333,202,222,94,51,2406,29,51,21,26,29,18,12,184,12,25,5,9,10,4,0,68,13,14,12,5,13,3,3,62,67,84,42,29,24,9,8,270,10,3,3,5,5,0,0,26,125,172,91,70,81,41,21,604,967,841,424,268,299,131,73,3010
POA6106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6107,1910,1376,611,314,462,310,150,5135,168,137,64,38,50,27,9,487,197,140,84,38,53,24,6,537,631,549,297,166,212,81,38,1975,5,12,3,3,3,0,0,33,2911,2211,1060,563,782,436,203,8167,119,143,78,52,95,53,53,586,24,47,28,17,34,12,4,163,17,38,20,24,33,9,3,143,118,180,114,86,86,22,10,619,11,7,0,7,8,4,3,38,295,409,235,185,243,97,71,1545,3204,2623,1297,749,1027,536,281,9713
POA6108,607,544,312,218,274,170,92,2224,94,137,54,49,67,36,9,444,138,101,56,38,54,28,18,417,407,405,251,143,185,53,24,1472,17,7,0,0,3,0,0,26,1256,1190,671,453,589,285,137,4584,22,53,44,31,42,22,23,246,45,36,20,11,17,11,0,138,13,25,20,12,23,5,7,97,91,118,97,47,68,19,5,455,12,11,6,3,6,0,0,35,188,253,181,105,152,61,35,972,1446,1437,852,556,746,342,176,5551
POA6109,435,326,191,112,138,91,43,1335,31,38,11,12,22,7,7,132,61,31,10,3,14,7,4,129,207,185,86,54,72,14,5,623,5,3,0,4,0,0,0,11,738,578,306,187,249,118,55,2229,27,30,29,19,24,19,3,154,9,11,7,3,12,3,0,51,9,24,12,4,7,3,3,58,92,104,58,31,40,12,0,338,5,4,4,3,3,0,0,17,144,172,108,60,92,38,9,627,879,753,420,245,341,154,65,2853
POA6110,1229,1075,556,326,445,288,140,4055,201,193,109,58,86,29,8,678,217,220,104,50,82,30,8,712,882,876,445,282,306,80,37,2908,12,9,3,4,5,3,0,45,2544,2375,1211,728,929,423,189,8397,82,124,90,50,87,34,25,487,72,75,38,28,38,14,4,275,20,51,19,26,25,4,4,145,265,353,190,132,154,37,13,1150,25,26,10,3,6,5,0,74,472,624,355,233,312,88,42,2131,3012,2997,1568,963,1244,515,232,10530
POA6111,297,278,158,89,131,78,36,1066,125,122,87,55,83,27,9,509,151,128,59,43,54,22,6,466,580,563,307,180,242,68,33,1966,11,9,0,5,3,3,0,30,1168,1100,613,369,510,197,82,4039,25,38,22,30,43,11,16,184,22,39,18,17,21,5,3,132,18,34,18,13,30,11,3,125,138,178,105,76,112,24,8,644,15,4,6,4,3,0,0,38,226,298,164,144,205,52,30,1115,1391,1400,780,512,711,250,112,5160
POA6112,1792,1401,618,382,482,247,124,5050,429,349,187,86,133,38,21,1242,377,236,127,77,108,41,17,975,1767,1332,660,339,394,121,32,4651,12,13,8,6,11,0,0,42,4379,3331,1603,891,1124,443,193,11964,110,149,95,67,93,46,24,584,76,104,40,37,42,10,5,311,38,75,43,29,49,9,3,247,485,501,277,169,194,36,18,1679,25,22,17,3,6,3,0,86,735,856,466,317,382,104,52,2909,5117,4185,2065,1207,1515,545,249,14876
POA6121,7,13,12,12,15,5,3,76,5,24,21,8,19,17,3,95,18,18,13,10,14,5,0,81,86,126,72,50,59,14,11,418,3,0,0,0,0,0,0,3,120,185,117,81,112,43,17,674,0,3,0,0,3,0,0,8,3,4,3,4,3,4,0,17,0,5,0,3,5,0,3,15,6,8,7,6,5,0,0,37,0,3,0,0,0,0,0,3,10,21,7,11,11,4,6,77,131,205,127,93,119,50,25,749
POA6122,350,301,163,96,112,58,17,1088,192,119,71,44,53,13,3,496,161,138,58,25,42,15,3,437,803,646,292,190,199,31,11,2174,14,7,3,0,0,0,0,23,1513,1210,582,354,402,119,41,4224,23,26,9,13,13,4,11,98,20,27,12,14,13,0,0,83,23,29,21,11,12,0,0,96,106,159,84,59,54,14,7,487,8,10,4,0,0,0,0,25,181,251,133,98,101,16,12,792,1691,1459,721,447,499,139,54,5010
POA6123,17,17,11,5,8,0,0,57,11,10,8,4,0,0,0,37,4,4,3,7,7,0,0,23,75,59,19,14,33,4,0,202,0,0,0,0,0,0,0,0,109,91,46,32,42,3,0,318,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,7,3,4,3,0,0,0,21,0,0,0,0,0,0,0,5,4,12,4,3,3,0,3,35,116,100,50,38,46,4,3,350
POA6124,6,5,3,3,3,0,3,27,7,12,3,3,0,0,0,23,11,8,4,0,3,3,0,25,48,47,20,9,11,5,0,151,0,0,0,0,0,0,0,0,75,73,33,19,23,7,6,234,0,0,0,0,0,0,0,10,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,7,12,5,0,3,3,0,28,0,0,0,0,0,0,0,0,7,12,7,3,10,0,0,42,84,85,36,23,29,12,6,280
POA6125,13,11,14,5,15,4,0,58,17,24,9,6,10,7,0,69,18,16,11,7,15,0,0,74,82,106,79,51,69,3,4,395,0,0,0,0,0,0,0,0,122,156,116,72,105,16,12,599,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,4,0,0,10,5,14,12,3,4,0,0,42,0,0,0,0,0,0,0,4,6,22,18,11,13,0,3,68,132,178,139,83,119,14,10,673
POA6126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,9,13,6,3,4,0,0,35,0,0,0,0,0,0,0,0,7,10,6,6,7,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,15,11,5,7,3,0,42
